,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.969,60.3198,0.0,0.0,0.0,0.0,0.0,GND
1,55.7697,24.9697,60.3201,0.0,0.9347,0.0,0.0,0.0,GND
2,96.2562,24.9704,60.3198,0.0,0.9347,0.0,0.0,0.0,GND
3,144.959,24.9704,60.3198,0.0,0.0,0.0,0.0,0.0,GND
4,200.5853,24.9704,60.3198,0.0,0.0,0.0,0.0,0.1019,GND
5,244.9326,24.9685,60.3214,0.0,4.3769,0.0,0.0,0.0,GND
6,285.563,24.9649,60.3245,0.0,4.1156,0.0,0.0,0.0,GND
7,326.292,24.9604,60.3284,0.0,18.2161,0.0,18.9447,0.0291,GND
8,367.6247,24.9562,60.3298,0.0,3.1357,0.0,3.1357,0.0084,GND
9,407.6877,24.9544,60.3303,0.0,0.0,0.0,4.7638,0.0095,GND
10,456.3601,24.9544,60.3303,0.0,0.0,0.0,4.0402,0.0108,GND
11,524.8835,24.9544,60.3303,0.0,0.0,0.0,0.0,0.0,GND
12,602.0241,24.9544,60.3303,0.0,0.0,0.0,3.6482,0.0073,GND
13,658.5469,24.9535,60.3308,0.0,0.8291,0.0,0.603,0.0009,GND
14,698.5805,24.9495,60.3311,0.0,5.9447,0.0,4.5729,0.0128,GND
15,739.9723,24.9447,60.3312,0.0,11.8794,0.0,9.8995,0.0238,GND
16,781.9521,24.9282,60.324,250.0,131.6051,-162.2294,5.2261,0.1108,LVL
17,832.1658,24.8813,60.3031,2179.1457,138.2764,82.9146,9.4472,0.2562,LVL
18,887.4375,24.8029,60.278,3988.191,204.8002,2870.5844,4.1206,0.145,CL
19,933.7495,24.7134,60.254,6253.0151,252.337,5978.719,1.6884,0.0511,CL
20,990.0302,24.6397,60.1956,9656.6583,279.6715,3067.8522,6.5327,0.2927,CL
21,1043.8948,24.5666,60.1288,11768.593,328.9506,2314.5679,2.603,0.0945,CL
22,1101.1397,24.4817,60.0509,14914.8241,341.1691,4073.5152,0.0,0.1508,CL
23,1152.4086,24.403,59.9783,17412.6884,354.7295,2886.7571,0.0,0.1417,CL
24,1202.6117,24.3237,59.9047,19444.598,375.7523,1462.6377,7.8392,0.4578,CL
25,1249.3502,24.2452,59.8314,21498.7437,386.0407,3365.0458,4.4322,0.1925,CL
26,1294.0968,24.1686,59.7597,23138.6935,400.6635,1911.9759,66.9347,0.0947,CL
27,1346.9134,24.0635,59.678,25084.5477,403.3942,2074.3492,169.5678,0.2505,CL
28,1395.1302,23.9586,59.604,26907.9146,407.7431,2430.2202,38.4422,0.0577,CL
29,1437.9316,23.8661,59.5382,28169.7236,415.0351,2035.3045,201.2563,0.3113,CL
30,1490.4292,23.7468,59.4568,29524.4975,420.3301,3378.4335,0.0,0.0142,CL
31,1542.3247,23.6168,59.3818,30625.6281,429.6811,857.8084,7.1759,0.3731,CL
32,1598.77,23.4698,59.296,31953.392,435.0559,1462.1763,0.6332,0.0333,CL
33,1647.8828,23.3441,59.222,33343.3417,430.1298,1180.5364,187.4171,0.3073,CL
34,1692.2877,23.2329,59.1562,34433.2915,426.0784,1085.4106,12.4523,0.6511,CL
35,1737.7602,23.1182,59.088,35350.0,426.253,459.7731,285.5879,0.4683,CL
36,1778.8231,23.0157,59.0267,36042.5879,426.0088,225.4864,11.5377,0.6033,CR
37,1830.7864,22.8883,58.9501,37045.8543,422.604,1497.1923,9.9196,0.5243,CL
38,1884.426,22.7577,58.8712,37806.0302,423.0996,565.5184,10.6231,0.5524,CL
39,1933.2174,22.6372,58.7979,38263.6935,426.9839,804.3854,0.0,0.5696,CL
40,1983.213,22.5151,58.7231,38800.0,426.0826,0.0,307.8995,0.5048,CR
41,2025.6144,22.4122,58.6599,39000.0,429.9655,0.0,11.7487,0.6143,CR
42,2073.2443,22.2947,58.5871,39459.2965,428.2932,463.6649,0.0,0.2737,CL
43,2122.1404,22.1757,58.5131,39972.6131,426.4263,338.6034,0.0,0.0,CL
44,2169.1822,22.0617,58.4419,40000.0,436.3358,0.0,6.1206,0.327,CR
45,2216.9397,21.9433,58.3674,40000.0,445.0,0.0,0.0,0.7679,CR
46,2259.691,21.8358,58.2994,40000.0,450.4417,0.0,220.8844,0.388,CR
47,2304.819,21.7213,58.2266,40000.0,451.5192,0.0,0.0,0.0274,CR
48,2349.4906,21.6096,58.1552,40000.0,450.1248,0.0,6.0503,0.3371,CR
49,2395.7052,21.494,58.0809,40000.0,451.7578,0.0,0.0,0.0,CR
50,2441.7918,21.3796,58.0069,40000.0,449.7803,0.0,0.0,0.0,CR
51,2487.4068,21.2679,57.9343,40000.0,450.2186,0.0,0.0,0.644,CR
52,2533.7846,21.1521,57.8587,40000.0,453.3602,0.0,4.2211,0.2328,CR
