,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9614,60.3169,0.0,0.0,0.0,0.0,0.0,GND
1,74.5484,24.9599,60.3175,0.0,0.0,0.0,0.0,0.0,GND
2,124.1884,24.9595,60.3175,0.0,0.0,0.0,0.0,0.0,GND
3,184.1005,24.9595,60.3175,0.0,0.0,0.0,0.0,0.0,GND
4,242.8377,24.9608,60.318,0.0,2.2161,0.0,0.0,0.0,GND
5,290.9518,24.9611,60.32,0.0,5.3065,0.0,0.0,0.0,GND
6,341.2439,24.9655,60.3219,0.0,6.9548,0.0,0.0,0.0,GND
7,397.2438,24.9658,60.3221,0.0,0.0,0.0,0.0,0.0,GND
8,470.5465,24.9662,60.3223,0.0,3.4472,0.0,0.0,0.0,GND
9,517.441,24.9651,60.3243,0.0,5.6281,0.0,0.0,0.0,GND
10,563.6397,24.9546,60.3196,-8.6683,114.6051,687.8211,0.0,0.1167,CL
11,634.2846,24.8958,60.2845,2696.608,124.8367,1703.9681,0.0,0.0,CL
12,691.4113,24.8604,60.2486,3675.0,185.7278,512.9816,0.0,0.0763,CL
13,749.8016,24.8285,60.1958,5998.7437,215.524,1852.8804,0.0,0.0197,CL
14,808.7286,24.8014,60.137,7790.9548,232.1725,1689.878,0.0,0.2655,CL
15,863.9429,24.772,60.0756,8873.995,254.3293,2222.0332,0.0,0.145,CL
16,921.0425,24.7393,60.007,10650.3769,291.0352,1212.0832,0.0,0.4806,CL
17,976.0456,24.704,59.9292,12270.3518,324.4065,1810.7185,0.0,0.3855,CL
18,1027.8195,24.6685,59.8508,13793.593,347.1503,1849.7534,0.0,0.0,CL
19,1078.7269,24.6306,59.7695,15402.0101,362.1006,1937.0331,0.0,0.0492,CL
20,1135.3951,24.5859,59.6752,17453.7688,365.4492,4026.8831,0.0,0.4921,CL
21,1189.4536,24.5491,59.5861,18975.0,377.2242,960.2717,0.0,0.356,CL
22,1239.4328,24.5161,59.5004,20478.6432,382.4227,1974.8489,0.0,0.0985,CL
23,1292.0239,24.4801,59.4088,21862.5628,390.213,1261.2427,0.0,0.1141,CL
24,1340.3601,24.4465,59.3221,23114.196,394.788,3296.2667,0.0,0.3361,CL
25,1393.2919,24.4093,59.2261,24225.0,402.3456,1334.5555,0.0,0.568,CL
26,1443.4216,24.3745,59.1352,25164.9497,409.482,901.9026,0.0,0.0,CL
27,1494.6033,24.3376,59.0396,26314.6985,410.3933,753.3751,0.0,0.3082,CL
28,1545.8507,24.3005,58.9426,27088.8191,418.2208,915.4656,0.0,0.5528,CL
29,1591.9939,24.2672,58.8551,27875.0,423.9871,27.5673,0.0,0.7487,CR
30,1646.3201,24.2277,58.7501,28666.3317,430.0017,499.6938,0.0,0.5148,CL
31,1702.0357,24.1868,58.641,29567.0854,431.2606,1348.8966,0.0,0.5187,CL
32,1753.0398,24.1499,58.5419,30525.7538,429.0237,1066.0168,0.0,0.7642,CL
33,1803.9644,24.113,58.4431,31435.9296,426.2613,905.5902,0.0,0.5663,CL
34,1853.4055,24.0776,58.3468,31995.3518,431.221,353.6361,0.0,0.4673,CL
35,1904.8725,24.0407,58.2459,32525.0,436.8339,351.5895,0.0,0.0752,CL
36,1953.6387,24.0052,58.1488,33169.598,438.1716,947.3439,0.0,0.6177,CL
37,2010.0666,23.9648,58.0372,34048.6181,434.2925,1437.066,0.0,0.4158,CL
38,2062.7837,23.9276,57.9342,34879.0201,430.5573,91.3313,73.005,0.1267,CR
39,2110.6138,23.8949,57.8407,35471.2312,428.0372,497.2168,0.0,0.6692,CL
40,2160.7832,23.8634,57.7433,35963.4422,428.1142,1889.1131,0.0,0.4237,CL
41,2210.5552,23.8318,57.6466,36000.0,429.2675,0.0,0.0,0.1782,CL
42,2260.9326,23.7994,57.5476,36000.0,426.023,0.0,0.0,0.717,CR
43,2309.9232,23.769,57.4539,36000.0,426.1625,0.0,0.0,0.3128,CR
44,2361.4235,23.7368,57.3538,36000.0,425.0498,0.0,0.0,0.5555,CR
45,2410.9691,23.706,57.2576,36000.0,424.0059,0.0,0.0,0.7682,CR
46,2464.4752,23.6733,57.1552,36000.0,422.9824,0.0,149.2462,0.26,CR
47,2513.9894,23.6432,57.0601,36000.0,422.9906,0.0,289.4472,0.5069,CR
48,2561.0905,23.6145,56.9694,36000.0,423.0452,0.0,0.0,0.788,CR
49,2609.0514,23.5856,56.8773,36025.0,422.9807,0.0,120.3819,0.2099,CR
50,2656.3297,23.5571,56.7862,36000.0,422.9889,0.0,258.8945,0.4531,CR
51,2708.6247,23.5261,56.6857,36000.0,422.9765,0.0,49.7487,0.0871,CR
52,2759.397,23.4952,56.5862,36000.0,423.799,0.0,452.0,0.788,CR
53,2809.7518,23.4655,56.49,36000.0,424.9762,0.0,0.0,0.4039,CR
54,2857.9028,23.4372,56.3967,36000.0,424.1286,0.0,0.0,0.6494,CR
55,2909.911,23.4145,56.2969,36000.0,425.1477,0.0,0.0,0.1064,CR
56,2958.9803,23.3962,56.2007,36000.0,425.0764,0.0,0.0,0.4334,CR
57,3009.0509,23.378,56.1029,36000.0,427.0358,0.0,0.0,0.5949,CR
58,3057.3486,23.3605,56.0083,36025.0,429.3214,26.3819,0.0,0.0554,CR
59,3109.2362,23.3414,55.9044,36025.0,428.0,0.0,0.0,0.788,CR
60,3166.7116,23.3209,55.7928,36000.0,429.0874,0.0,0.0,0.2403,CR
61,3224.6894,23.3001,55.6791,36000.0,430.2191,0.0,0.0,0.0,CR
62,3270.943,23.2837,55.5874,36000.0,430.0015,0.0,0.0,0.5385,CR
