,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9687,60.3199,0.0,0.0,0.0,0.0,0.0,GND
1,43.5451,24.9688,60.3197,0.0,0.0,0.0,0.0,0.0,GND
2,110.1215,24.9687,60.3198,0.0,0.0,0.0,0.0,0.0,GND
3,171.2261,24.9689,60.3197,0.0,0.0,0.0,0.0,0.0,GND
4,228.3183,24.9689,60.3197,0.0,0.0,0.0,0.0,0.0,GND
5,283.6967,24.9688,60.3197,0.0,0.0,0.0,0.0,0.0,GND
6,349.5004,24.9689,60.3197,0.0,0.0,0.0,0.0,0.0,GND
7,393.9045,24.9695,60.3201,0.0,0.7437,0.0,0.0,0.0,GND
8,437.9468,24.9699,60.3202,0.0,0.5678,0.0,0.0,0.0,GND
9,483.0203,24.9699,60.3203,0.0,0.0,0.0,0.0,0.0,GND
10,549.2996,24.9699,60.3203,0.0,0.0,0.0,0.0,0.0,GND
11,615.0728,24.9699,60.3203,0.0,0.0,0.0,0.0,0.0,GND
12,706.245,24.9698,60.3203,0.0,0.0,0.0,0.0,0.0,GND
13,748.6036,24.9683,60.3216,0.0,5.4271,0.0,0.0,0.0,GND
14,791.1089,24.9649,60.3217,0.0,12.6432,0.0,0.0,0.0,GND
15,831.7588,24.9587,60.3189,0.0,22.0,0.0,0.0,0.0,GND
16,872.0923,24.9519,60.3158,0.0,20.7437,0.0,0.0,0.0,GND
17,912.3317,24.9452,60.3128,0.0,18.0452,0.0,0.0,0.0,GND
18,951.3504,24.9401,60.3102,0.0,5.6683,0.0,0.0,0.0,GND
19,994.1709,24.9393,60.3077,0.0,15.7236,0.0,0.0,0.0,GND
20,1035.1074,24.9367,60.3078,0.0,0.0,0.0,0.0,0.0,GND
21,1076.0099,24.9366,60.3078,0.0,0.0,0.0,0.0,0.0,GND
22,1145.2605,24.9366,60.3078,0.0,0.0,0.0,0.0,0.0,GND
23,1211.1903,24.9366,60.3078,0.0,0.0,0.0,0.0,0.0,GND
24,1264.6543,24.9366,60.3078,0.0,0.0,0.0,0.0,0.0,GND
25,1345.4913,24.9366,60.3078,0.0,0.0,0.0,0.0,0.0,GND
26,1406.8093,24.9366,60.3078,0.0,0.0,0.0,0.0,0.0,GND
27,1465.2891,24.9366,60.3078,0.0,0.0,0.0,0.0,0.0,GND
28,1531.0648,24.9366,60.3078,0.0,0.0,0.0,0.0,0.0,GND
29,1615.518,24.9366,60.3078,0.0,0.0,0.0,0.0,0.0,GND
30,1663.6674,24.9353,60.3083,0.0,5.2764,0.0,0.0,0.0,GND
31,1703.0736,24.9337,60.3087,0.0,6.4724,0.0,0.0,0.0,GND
32,1743.0467,24.9341,60.3103,0.0,10.201,0.0,0.0,0.0,CL
33,1789.6718,24.9656,60.3245,806.7839,145.0626,2251.4138,0.0,0.0,CL
34,1838.0369,25.0129,60.346,3016.0804,143.0376,2227.6529,0.0,0.0,CL
35,1880.7656,25.0603,60.3671,4300.0,185.2453,253.0639,27.2965,0.0433,CL
36,1930.7964,25.1453,60.3911,6086.0553,230.9916,2368.2218,13.598,0.0217,CL
37,1973.6665,25.2053,60.3585,8306.407,256.0728,3588.7492,65.8291,0.1055,CL
