,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.8142,60.1721,6500.0,273.0,3388.5543,0.0,0.388,CL
1,52.9856,24.7845,60.1049,8662.8141,292.948,2912.2081,0.0,0.2191,CL
2,103.1523,24.7545,60.0393,10725.1256,302.5757,957.0442,0.0,0.0024,CL
3,152.4988,24.7213,59.9668,12200.7538,334.1036,2792.8216,0.0,0.264,CL
4,203.512,24.6863,59.889,14226.5075,344.3226,-3145.0211,0.0,0.0,DE
5,249.5536,24.6533,59.8162,15813.4422,356.0906,1855.5254,0.0,0.2788,CL
6,296.7918,24.6209,59.7388,17326.5075,370.9,40.3445,0.0,0.0089,CL
7,345.8432,24.607,59.6541,18976.7588,376.7065,1851.2505,0.0,0.3106,CL
8,393.538,24.5914,59.5714,20276.005,385.8431,1212.5452,0.0,0.0124,CL
9,440.2046,24.5754,59.4872,21576.1307,392.3404,1593.5584,0.0,0.2998,CL
10,487.0681,24.5597,59.4013,22726.8844,399.0172,1951.9761,0.0,0.6239,CL
11,537.0959,24.5427,59.3079,23689.5729,412.3054,1240.5286,0.0,0.3461,CL
12,584.0485,24.5269,59.2185,24825.0,415.0218,1732.3893,0.0,0.6479,CL
13,629.1307,24.5114,59.131,25678.2663,422.0,3603.0151,0.0,0.6821,CL
14,676.114,24.4955,59.0409,26677.6382,424.9906,1702.8095,0.0,0.6715,CL
15,723.8914,24.4788,58.9465,27615.3266,428.3174,1009.0067,0.0,0.3807,CL
16,772.0148,24.4553,58.851,28325.0,434.0161,1439.6985,0.0,0.6911,CL
17,816.1313,24.4317,58.7639,28925.0,444.0366,362.0637,0.0,0.3311,CL
18,860.4864,24.409,58.6737,29652.2613,448.696,468.2429,0.0,0.0333,CL
19,908.5477,24.3839,58.5733,30150.0,459.0,603.0151,0.0,0.7462,CL
20,955.711,24.3594,58.4748,31203.7688,455.7239,624.0184,0.0,0.0,CL
21,1005.966,24.3332,58.3696,32077.6382,457.3088,966.8278,0.0,0.4157,CL
22,1057.1231,24.3066,58.2623,32901.3819,456.0934,650.1577,0.0,0.7218,CL
23,1105.6511,24.2813,58.1595,33000.0,465.2656,0.0,0.0,0.4306,CR
24,1151.2412,24.2575,58.0627,33000.0,464.0,0.0,0.0,0.768,CR
25,1200.7849,24.2321,57.9576,33000.0,464.2194,0.0,0.0,0.4345,CR
26,1255.671,24.2045,57.8412,33000.0,466.6535,0.0,0.0,0.0502,CR
27,1306.7035,24.1774,57.731,32975.0,469.9029,0.0,0.0,0.4361,CR
28,1354.2207,24.1533,57.629,33023.2412,472.5874,613.3565,0.0,0.0543,CL
29,1403.4649,24.128,57.5219,33010.6784,473.8849,-239.0919,0.0,0.4423,CR
30,1454.2548,24.1019,57.4117,32975.0,476.5427,0.0,32.8643,0.0582,CR
31,1504.9662,24.0757,57.3004,32975.0,480.4402,0.0,184.0402,0.3225,CR
32,1553.289,24.0511,57.1936,32975.0,486.0558,0.0,0.0,0.7063,CR
33,1603.8624,24.0249,57.0803,33025.0,491.436,0.0,0.0,0.3237,CR
34,1653.013,23.9993,56.9695,33050.0,494.8392,0.0,0.0,0.0666,CR
35,1699.3398,23.9751,56.8644,33000.0,495.4134,-158.2413,0.0,0.3198,CR
36,1748.0636,23.95,56.7534,33000.0,494.0547,0.0,0.0,0.7058,CR
37,1794.6471,23.9265,56.6485,32975.0,493.2059,0.0,0.0,0.4601,CR
38,1843.0366,23.9018,56.5389,32975.0,491.0714,0.0,0.0,0.6983,CR
39,1887.663,23.8796,56.4394,32975.0,489.4608,0.0,0.0,0.3087,CR
40,1933.2677,23.8565,56.3366,32975.0,488.0454,0.0,0.0,0.6908,CR
41,1979.5597,23.8338,56.2332,32975.0,487.2276,205.9763,0.0,0.4631,CR
42,2031.4419,23.8081,56.1167,32975.0,487.0605,0.0,0.0,0.6905,CR
43,2078.6497,23.7855,56.0127,33000.0,485.2335,0.0,0.0,0.4694,CR
44,2125.0077,23.763,55.9084,33000.0,485.0659,0.0,0.0,0.6867,CR
45,2173.2175,23.74,55.8024,33000.0,485.3652,0.0,0.0,0.2987,CR
46,2221.6875,23.7169,55.6951,33000.0,484.2453,0.0,0.0,0.0892,CR
47,2267.7913,23.6948,55.5919,33000.0,484.3072,0.0,0.0,0.2948,CR
48,2313.9148,23.6732,55.4903,33000.0,483.5436,0.0,0.0,0.0931,CR
49,2361.8931,23.6507,55.3842,33009.4221,482.631,138.9009,0.0,0.0,CR
50,2408.5025,23.629,55.2798,32975.0,483.0,0.0,0.0,0.764,CR
51,2453.9395,23.6079,55.1795,32975.0,484.1031,0.0,0.0,0.4799,CR
52,2503.7418,23.585,55.0696,33000.0,485.5179,0.0,55.9196,0.1003,CR
53,2553.5728,23.5622,54.9582,33025.0,486.9456,0.0,0.0,0.2832,CR
54,2601.4654,23.5363,54.8503,33025.0,482.9944,0.0,369.9296,0.6673,CR
55,2649.9146,23.4995,54.7452,33015.9548,481.6382,319.0955,154.8543,0.7746,CL
56,2700.0374,23.4649,54.6359,33025.0,484.0699,0.0,0.0,0.6634,CR
57,2747.1357,23.4326,54.5326,33000.0,483.3976,0.0,0.0,0.274,CR
58,2799.551,23.3957,54.4163,33000.0,482.1077,0.0,365.6281,0.6629,CR
59,2851.9523,23.3602,54.303,33025.0,480.2089,0.0,150.5528,0.273,CR
60,2900.7287,23.3275,54.1971,33000.0,476.8716,0.0,64.5226,0.1164,CR
61,2959.2361,23.2886,54.0709,33000.0,474.0589,0.0,0.0,0.5017,CR
62,3005.5399,23.2582,53.9715,32975.0,472.5334,0.0,66.6734,0.1196,CR
63,3052.108,23.2275,53.8715,32950.0,471.2064,-128.1407,0.0,0.2611,CR
64,3104.3731,23.1935,53.7591,32954.0201,471.0504,-377.0383,359.1759,0.6411,DE
65,3158.9058,23.1584,53.6429,32975.0,471.1795,0.0,283.8995,0.5094,CR
66,3210.1039,23.1255,53.5332,33000.0,472.1605,0.0,70.9749,0.1274,CR
67,3258.5931,23.0941,53.4281,33025.0,472.0638,0.0,0.0,0.5133,CR
68,3310.2469,23.0612,53.3183,33000.0,472.0329,0.0,354.8744,0.6368,CR
69,3360.6471,23.0291,53.2098,33025.0,473.048,0.0,0.0,0.2522,CR
70,3406.4935,23.0002,53.1115,33000.0,472.1585,0.0,0.0,0.1351,CR
71,3454.6658,22.9697,53.0071,33000.0,473.0229,0.0,290.3518,0.521,CR
72,3502.6878,22.9479,52.9028,33000.0,482.7864,0.0,77.4271,0.1397,CR
73,3549.3668,22.95,52.7968,33017.0854,489.0,512.5628,442.0,0.772,CR
74,3597.79,22.9541,52.6885,33000.0,488.0103,0.0,81.809,0.1435,CR
75,3650.2211,22.9587,52.5693,32982.7889,488.004,-413.0653,301.5377,0.5287,DE
76,3704.7117,22.9635,52.4472,32995.2261,489.0213,525.1149,355.9799,0.6213,CL
77,3752.4931,22.9678,52.3397,32992.3367,489.9932,1463.0113,134.8744,0.2354,CL
78,3800.4562,22.972,52.2297,33000.0,491.0174,0.0,353.7688,0.6207,CR
79,3851.9425,22.9763,52.1144,33025.0,491.9775,0.0,133.2663,0.2328,CR
80,3902.8702,22.9808,51.999,33025.0,491.071,0.0,88.8442,0.1552,CR
81,3949.737,22.985,51.8927,33000.0,489.9931,-269.8566,130.4523,0.2289,CR
82,4002.3672,22.9895,51.7736,32980.1508,489.9922,158.863,90.6533,0.1582,CR
83,4053.2865,22.9959,51.6582,32975.0,493.2227,0.0,128.2412,0.2238,CR
