,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9575,60.3149,0.0,0.0,0.0,0.0,0.0,GND
1,67.1948,24.9571,60.3152,0.0,2.0,0.0,0.0,0.0,GND
2,113.3506,24.9564,60.3155,0.0,2.0,0.0,0.0,0.0,GND
3,160.5063,24.9558,60.3155,0.0,1.0,0.0,0.0,0.0,GND
4,238.5883,24.956,60.3156,0.0,0.0,0.0,0.0,0.0,GND
5,381.3552,24.956,60.3156,0.0,0.0,0.0,0.0,0.0,GND
6,455.9737,24.9568,60.3163,0.0,7.0,0.0,0.0,0.0,GND
7,485.0927,24.9556,60.317,0.0,6.3668,0.0,0.0,0.0,GND
8,509.2852,24.9562,60.3177,0.0,11.0,0.0,0.0,0.0,GND
9,536.5885,24.9587,60.3189,0.0,7.7739,0.0,0.0,0.0,GND
10,559.5968,24.9594,60.3198,0.0,12.0,0.0,0.0,0.0,GND
11,582.7526,24.9574,60.3209,0.0,15.7136,0.0,0.0,0.0,GND
12,607.5823,24.9548,60.3223,0.0,2.0905,0.0,0.0,0.0,GND
13,631.0641,24.9527,60.3235,0.0,14.0,0.0,0.0,0.0,GND
14,654.2199,24.9516,60.3252,0.0,18.0,0.0,0.0,0.0,GND
15,679.7124,24.9506,60.3267,0.0,9.2864,0.0,0.0,0.0,GND
16,704.5315,24.9496,60.3282,0.0,10.4925,0.0,0.0,0.0,GND
17,729.6872,24.9482,60.3295,0.0,12.0,0.0,0.0,0.0,GND
18,753.843,24.946,60.3306,0.0,11.196,0.0,0.0,0.0,GND
19,777.8116,24.9447,60.3312,0.0,0.3216,0.0,0.0,0.0,GND
20,801.1238,24.9436,60.3311,0.0,4.4221,0.0,0.0,0.0,GND
21,826.3104,24.9433,60.3309,0.0,2.2714,0.0,0.0,0.0,GND
22,848.4661,24.9376,60.3283,0.0,83.7085,0.0,0.0,0.128,LVL
23,920.5176,24.865,60.2998,1975.0,176.2498,141.4808,0.0,0.1842,LVL
24,962.5164,24.781,60.3005,3448.8693,228.2613,3391.9598,260.0,0.401,CL
25,1006.9335,24.6876,60.2868,6092.0854,236.8945,4500.0,260.0,0.42,CL
26,1050.0893,24.5992,60.2675,8253.7688,255.0,2980.6224,260.0,0.4322,CL
27,1085.245,24.5194,60.2509,10190.4523,258.794,5690.9548,260.0,0.456,CL
28,1134.725,24.4063,60.2235,11675.0,310.0218,763.3863,94.0704,0.1896,CL
29,1164.5566,24.3267,60.2019,12738.8191,329.0,3926.5368,260.0,0.556,CL
30,1197.7124,24.2374,60.1774,14458.6683,331.6734,2755.0251,260.0,0.568,CL
31,1228.7267,24.1536,60.1546,15712.1859,340.89,2041.1136,215.5779,0.4842,CL
32,1270.0239,24.0349,60.1223,17573.8693,346.9849,4477.3869,260.0,0.6001,CL
33,1307.1797,23.9296,60.0935,19078.5176,355.0,2788.9447,260.0,0.62,CL
34,1336.3355,23.8439,60.0702,20107.4121,361.7035,2555.2764,260.0,0.636,CL
35,1372.4913,23.7376,60.0425,21536.3065,364.0,2321.608,260.0,0.648,CL
36,1406.6233,23.6343,60.0156,22525.0,376.2381,1175.8794,101.9095,0.2603,CL
37,1453.8028,23.4883,59.977,24388.191,377.0,3000.0,260.0,0.692,CL
38,1490.9586,23.3747,59.9467,25697.9899,381.9196,1500.0,260.0,0.704,CL
39,1527.3012,23.2611,59.9164,26582.5377,393.084,1513.1461,19.598,0.0549,CL
40,1560.2702,23.1536,59.8875,27600.0,397.0,1857.1115,260.0,0.7329,CL
