,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9802,60.3082,0.0,0.0,0.0,0.0,0.0,GND
1,90.3869,24.979,60.3087,0.0,7.6533,0.0,0.0,0.0,GND
2,158.1608,24.9811,60.3108,0.0,13.6935,0.0,0.0,0.0,GND
3,237.201,24.9771,60.3147,0.0,15.0402,0.0,0.0,0.0,GND
4,309.9347,24.9718,60.3198,0.0,15.0,0.0,0.0,0.0,GND
5,380.6683,24.966,60.3254,0.0,19.7337,0.0,0.0,0.0,GND
6,450.2412,24.9593,60.3294,0.0,11.0,0.0,0.0,0.0,GND
7,519.7085,24.9531,60.3317,0.0,16.8543,0.0,0.0,0.0,GND
8,588.3216,24.9429,60.3307,0.0,21.191,0.0,0.0,0.0,GND
9,678.3618,24.8377,60.2978,3615.0754,191.5176,2374.3719,0.0,0.288,CL
10,759.402,24.6831,60.2675,8130.1508,268.9347,4340.201,0.0,0.4192,CL
11,828.4422,24.5072,60.2322,11656.407,326.4422,2074.3719,330.0,0.5273,CL
12,906.3216,24.285,60.187,15791.0804,343.0,2820.1723,356.0,0.572,CL
13,975.5226,24.0756,60.1439,18888.4422,359.0151,2155.2764,372.0,0.602,CL
14,1052.397,23.8314,60.093,21498.995,383.4171,2068.0676,389.7085,0.6388,CL
15,1121.603,23.605,60.0453,23795.1005,387.0,2319.598,400.0,0.6664,CL
16,1196.191,23.3559,59.9921,25641.0804,397.0955,1068.4673,0.0,0.692,CL
17,1276.6834,23.0821,59.9329,27119.7236,407.8945,1030.1508,0.0,0.712,CL
18,1359.6884,22.7954,59.8701,28480.1508,412.0,637.832,0.0,0.725,CL
19,1432.1759,22.5444,59.8145,29979.397,406.0,1654.5226,0.0,0.7256,CL
20,1510.608,22.2796,59.755,31046.7337,413.9347,500.0,394.4322,0.732,CL
21,1583.8442,22.0228,59.6966,31657.0352,422.0,410.1759,426.5025,0.7491,CL
22,1661.1407,21.7508,59.634,32306.407,427.0,488.4422,0.0,0.756,CL
23,1729.8744,21.5071,59.5772,32874.3719,432.0,311.3065,0.0,0.752,CL
24,1810.2513,21.2184,59.5092,33732.1608,429.3568,1293.252,140.2211,0.764,CL
25,1893.3417,20.9334,59.441,35100.1256,413.0,974.6231,0.0,0.748,CL
26,1969.0905,20.6927,59.3667,36376.5075,404.9698,1196.9849,0.0,0.74,CL
27,2039.7236,20.477,59.2954,37075.0,408.0,239.3216,0.0,0.74,CR
28,2116.4171,20.2582,59.2222,39978.1407,356.2915,1943.9698,0.0,0.652,CL
29,2186.1106,20.072,59.1591,40652.7638,363.0,82.9146,0.0,0.66,CR
30,2271.608,19.8446,59.0817,42070.1005,349.0,1019.0955,0.0,0.6344,CL
31,2341.2462,19.6683,59.0211,43000.0,340.7487,0.0,436.0,0.628,CR
32,2415.2864,19.4743,58.9538,43000.0,358.0955,0.0,0.0,0.66,CR
33,2488.7688,19.2759,58.8846,43000.0,373.4422,0.0,0.0,0.684,CR
34,2570.1558,19.0481,58.8043,43000.0,385.7889,0.0,372.0,0.7072,CR
35,2648.4925,18.8245,58.7247,43000.0,393.1357,0.0,0.0,0.7165,CR
36,2734.9648,18.5735,58.6345,43000.0,398.0,0.0,0.0,0.728,CR
37,2809.4874,18.3597,58.5569,43000.0,400.8291,0.0,372.0,0.74,CR
38,2877.8794,18.1591,58.4834,43000.0,403.0,0.0,372.0,0.74,CR
39,2950.5678,17.9486,58.4057,43000.0,404.0,0.0,0.0,0.74,CR
40,3029.608,17.7208,58.3207,43000.0,404.8693,0.0,0.0,0.74,CR
41,3103.6482,17.5069,58.2403,43000.0,404.0,0.0,0.0,0.748,CR
42,3173.2513,17.3071,58.1644,43000.0,404.0,0.0,0.0,0.7463,CR
43,3249.6382,17.0881,58.0806,43000.0,403.0,0.0,0.0,0.748,CR
44,3332.0251,16.8557,57.9907,43000.0,402.0,0.0,0.0,0.748,CR
45,3399.809,16.6651,57.9164,43000.0,402.0,0.0,0.0,0.7456,CR
46,3474.6985,16.4546,57.8336,43000.0,403.0,0.0,0.0,0.744,CR
47,3550.8894,16.2427,57.7495,43000.0,403.0,0.0,0.0,0.7412,CR
48,3624.2161,16.0385,57.6678,43000.0,403.6432,0.0,0.0,0.7414,CR
49,3691.9899,15.8507,57.5921,43000.0,404.0,0.0,0.0,0.74,CR
50,3764.3467,15.6505,57.5105,43000.0,405.0,0.0,0.0,0.744,CR
51,3833.7337,15.458,57.4316,43000.0,406.0,0.0,0.0,0.744,CR
52,3905.1809,15.2622,57.3506,43000.0,405.0302,0.0,0.0,0.744,CR
53,3976.1307,15.0669,57.2692,43000.0,407.0,0.0,0.0,0.74,CR
54,4049.8945,14.8647,57.1842,43000.0,407.0,0.0,0.0,0.744,CR
55,4120.2814,14.6729,57.1028,43000.0,407.0,0.0,0.0,0.744,CR
56,4196.0854,14.4672,57.0149,43000.0,409.0,0.0,346.0,0.74,CR
57,4275.7638,14.2493,56.9212,43000.0,412.0,0.0,0.0,0.732,CR
58,4361.6633,14.0152,56.8194,43000.0,414.0,0.0,346.0,0.732,CR
59,4448.2864,13.7803,56.7162,43000.0,410.0,0.0,346.0,0.728,CR
60,4543.0402,13.5282,56.6043,43000.0,407.0,0.0,346.0,0.724,CR
61,4629.603,13.301,56.5025,43000.0,405.0,0.0,293.8392,0.716,CR
62,4711.4623,13.0869,56.4057,43000.0,403.5025,0.0,173.8693,0.726,CR
63,4800.0653,12.8574,56.3009,43000.0,400.0,0.0,292.1005,0.728,CR
64,4880.2462,12.6541,56.2072,43000.0,397.0,0.0,0.0,0.724,CR
65,4977.0754,12.4094,56.0945,43000.0,395.0,0.0,186.0402,0.724,CR
66,5074.6533,12.1633,55.98,43000.0,393.0,0.0,306.0101,0.724,CR
67,5164.6935,11.9418,55.876,43000.0,391.0,0.0,266.0201,0.7231,CR
68,5238.3116,11.7611,55.7903,43000.0,391.0,0.0,0.0,0.72,CR
69,5308.7739,11.5887,55.7081,43000.0,390.0,0.0,346.0,0.72,CR
70,5412.0854,11.3396,55.5881,43000.0,390.0,0.0,93.8894,0.72,CR
