,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9652,60.3188,0.0,2.0,0.0,0.0,0.0,GND
1,45.9196,24.9648,60.3192,0.0,1.0,0.0,0.0,0.0,GND
2,114.407,24.9648,60.3193,0.0,0.0,0.0,0.0,0.0,GND
3,164.9036,24.9629,60.3186,0.0,1.206,0.0,0.0,0.0,GND
4,205.2212,24.9582,60.3204,0.0,4.9749,0.0,5.4271,0.0081,GND
5,247.6382,24.9523,60.324,0.0,12.2513,0.0,12.7839,0.0192,GND
6,288.7701,24.9506,60.3267,0.0,5.8744,0.0,5.0352,0.0101,GND
7,329.246,24.9515,60.3277,0.0,7.6884,0.0,6.8342,0.0068,GND
8,371.3825,24.9529,60.3292,0.0,4.5226,0.0,5.4271,0.0072,GND
9,415.4458,24.9525,60.3294,0.0,0.0,0.0,0.0,0.0,GND
10,476.0679,24.9525,60.3294,0.0,0.0,0.0,0.0,0.0,GND
11,541.5228,24.9525,60.3294,0.0,0.0,0.0,0.0,0.0,GND
12,604.2664,24.9523,60.3296,0.0,3.392,0.0,0.0,0.0,GND
13,642.2925,24.9502,60.3301,0.0,0.1206,0.0,0.1206,0.0001,GND
14,686.0615,24.95,60.3311,0.0,2.8342,0.0,5.6683,0.0057,GND
15,726.196,24.9491,60.3311,0.0,0.598,0.0,8.0,0.016,GND
16,768.6382,24.9483,60.3311,0.0,2.7136,0.0,7.2362,0.0145,GND
17,808.3957,24.9459,60.3312,0.0,1.2663,0.0,1.6884,0.0008,GND
18,848.3405,24.9439,60.3311,0.0,0.5176,0.0,4.1407,0.0041,GND
19,896.5643,24.9424,60.3305,0.0,38.7337,0.0,6.593,0.0363,GND
20,960.3769,24.8877,60.3053,2066.3317,140.865,524.8524,1.0452,0.0314,CL
21,1018.7487,24.8046,60.2785,3938.9447,212.771,2459.1709,3.4975,0.1504,CL
22,1085.8987,24.6753,60.2492,7723.1156,257.6211,3186.6658,0.0,0.0,CL
23,1146.8276,24.5797,60.1944,11207.5377,296.1483,-2167.2012,0.0,0.0,DE
24,1214.1874,24.4996,60.1113,15323.1156,297.6036,2983.8845,0.0,0.0,CL
25,1270.7568,24.4301,60.0389,18308.4171,311.3796,643.0554,2.6935,0.1818,CL
26,1321.9215,24.3634,59.9691,20595.4774,328.9052,3354.59,0.0,0.547,CL
27,1375.1229,24.2943,59.8964,22877.6382,339.8567,2440.8185,2.2111,0.1658,CL
28,1419.6613,24.2315,59.8302,24168.7186,362.4452,3516.3738,4.6633,0.3731,CL
29,1473.8758,24.1535,59.7481,26169.4724,369.21,1599.5495,0.8844,0.0734,CL
30,1531.3214,24.0468,59.6666,28059.799,371.291,2198.5165,1.5678,0.1356,CL
31,1587.1005,23.9351,59.5874,29587.5628,382.715,1266.5445,3.9799,0.3582,CL
32,1635.463,23.8325,59.5144,30035.6784,408.0062,1294.7025,6.4724,0.6246,CL
33,1684.3612,23.7135,59.4454,31280.7789,403.0483,3858.506,7.0754,0.6828,CL
34,1741.8171,23.5671,59.3769,34077.7638,366.6721,2777.286,0.0,0.3174,CL
35,1798.397,23.4306,59.3126,35247.8643,369.3604,1535.7277,0.0,0.0,CL
36,1840.1509,23.3265,59.2634,35651.7588,381.8888,35.7357,0.2814,0.0267,CR
37,1884.0055,23.2152,59.2105,36117.0854,390.9797,-2947.7811,0.0,0.0,DE
38,1935.5627,23.0798,59.1457,37063.4422,389.0951,2181.3415,5.1859,0.5004,CL
39,1987.2227,22.9537,59.085,38173.8693,380.5408,615.1893,0.3618,0.034,CL
40,2035.911,22.8308,59.0256,38431.5327,389.8485,138.5996,0.0,0.1955,CL
41,2079.8296,22.7184,58.9709,38850.0,393.1763,216.0804,0.0,0.3215,CR
42,2126.5126,22.6008,58.9134,39318.7186,395.1225,531.2101,0.0,0.0,CL
43,2167.5797,22.4954,58.8616,39734.0452,394.3342,889.0001,0.0,0.1346,CL
44,2210.4623,22.3839,58.8066,40000.0,397.4874,0.0,0.0,0.752,CL
45,2256.4206,22.2659,58.7481,40000.0,407.8708,0.0,0.0,0.6098,CR
46,2299.4043,22.1548,58.6927,40000.0,415.7889,0.0,0.0,0.0,CR
47,2346.7404,22.0288,58.6295,40000.0,417.9199,0.0,0.0,0.0,CR
48,2392.163,21.9059,58.5676,40000.0,417.0117,0.0,5.7085,0.5623,CR
49,2439.3312,21.7831,58.5054,40000.0,419.2335,0.0,0.1608,0.0158,CR
50,2479.6424,21.675,58.4504,40000.0,421.2933,0.0,148.9447,0.2587,CR
51,2520.1437,21.5679,58.3955,40000.0,421.2758,0.0,167.2764,0.2905,CR
52,2570.9014,21.4356,58.3274,40000.0,418.5791,0.0,0.0,0.0,CR
53,2612.6111,21.3253,58.2705,40000.0,417.5278,0.0,112.7739,0.195,CR
54,2656.7601,21.2104,58.2106,40000.0,417.0227,0.0,203.9397,0.3524,CR
55,2698.7184,21.103,58.1541,40000.0,417.6017,0.0,64.7236,0.1114,CR
56,2744.8852,20.9851,58.0916,40000.0,413.2724,0.0,76.2814,0.1307,CR
57,2790.0335,20.8693,58.0298,40000.0,410.7008,0.0,216.3417,0.3741,CR
58,2833.2112,20.7627,57.9728,40000.0,410.521,0.0,100.8241,0.1742,CR
59,2875.5138,20.657,57.9159,40000.0,410.0089,0.0,39.2965,0.0673,CR
60,2914.5695,20.5571,57.8619,40000.0,411.1286,0.0,0.0,0.4791,CR
61,2956.814,20.4519,57.8048,40000.0,414.0556,0.0,321.3065,0.556,CR
62,2999.0125,20.3458,57.7469,40000.0,409.0018,0.0,0.0,0.788,CR
63,3044.4947,20.236,57.6867,40000.0,409.2414,0.0,0.0,0.2468,CR
64,3084.5353,20.1409,57.6312,40000.0,410.4135,0.0,0.0,0.3025,CR
65,3126.9452,20.0424,57.5684,40000.0,411.0247,0.0,425.3266,0.7323,CR
66,3170.9395,19.9437,57.5064,40000.0,411.7591,0.0,0.0,0.1831,CR
67,3214.7728,19.8436,57.4433,40000.0,411.1764,0.0,0.0,0.3643,CR
68,3255.5327,19.7472,57.3824,40000.0,412.0,0.0,71.6583,0.7886,CR
69,3298.6909,19.6519,57.3218,40000.0,414.7166,0.0,0.0,0.1194,CR
70,3342.0115,19.5519,57.258,40000.0,411.1781,0.0,0.0,0.3622,CR
71,3384.9594,19.4545,57.1955,40000.0,407.0362,0.0,0.0,0.6019,CR
72,3424.5855,19.3691,57.1406,40000.0,407.2152,0.0,0.0,0.0,CR
73,3466.3544,19.2744,57.0794,40000.0,410.143,0.0,0.0,0.297,CR
74,3507.591,19.1827,57.0197,40000.0,413.0587,0.0,0.0,0.2507,CR
75,3552.9909,19.0794,56.9524,40000.0,413.0009,0.0,0.0,0.7801,CR
76,3597.1371,18.9823,56.8887,40000.0,412.3002,0.0,136.3819,0.2348,CR
77,3642.0649,18.8822,56.8228,40000.0,411.4629,0.0,0.0,0.3128,CR
78,3684.7446,18.7889,56.7611,40000.0,411.6982,0.0,0.0,0.0716,CR
79,3733.4112,18.6818,56.6899,40000.0,411.085,0.0,0.0,0.1703,CR
80,3777.2901,18.5852,56.6253,40000.0,411.9934,0.0,0.0,0.3762,CR
81,3818.7224,18.4931,56.5635,40000.0,412.1105,0.0,0.0,0.6567,CR
82,3863.3222,18.395,56.4974,40000.0,409.1072,0.0,0.0,0.688,CR
83,3905.9879,18.3053,56.4367,40000.0,407.3593,0.0,0.0,0.4418,CR
84,3946.945,18.2171,56.3767,40000.0,407.0385,0.0,0.0,0.587,CR
85,3988.2211,18.1275,56.3155,40000.0,410.0,0.0,0.0,0.792,CR
86,4033.811,18.0326,56.2505,40000.0,405.1122,0.0,0.0,0.2851,CR
87,4076.1606,17.9418,56.1878,40000.0,406.8322,0.0,0.0,0.5267,CR
88,4116.9417,17.8544,56.1274,40000.0,410.9641,0.0,0.0,0.7643,CR
89,4158.7167,17.7653,56.0655,40000.0,415.0797,0.0,0.0,0.5605,CR
90,4204.7855,17.6683,55.9979,40000.0,416.4829,0.0,0.0,0.3264,CR
91,4246.2728,17.5802,55.9361,40000.0,417.4298,0.0,0.0,0.084,CR
92,4289.402,17.486,55.8698,40000.0,410.0,0.0,0.0,0.788,CR
93,4333.2061,17.3951,55.8056,40000.0,412.3281,0.0,0.0,0.39,CR
94,4374.6588,17.3095,55.7448,40000.0,413.4277,0.0,0.0,0.1465,CR
95,4417.8122,17.2192,55.6803,40000.0,414.8626,0.0,0.0,0.0946,CR
96,4460.8543,17.1267,55.6131,40000.0,419.4271,0.0,0.0,0.788,CR
97,4502.5906,17.0466,55.5477,40000.0,422.8755,0.0,0.0,0.2109,CR
98,4545.4557,16.9632,55.4799,40000.0,422.7236,0.0,0.0,0.0318,CR
99,4591.0149,16.8731,55.4068,40000.0,418.3783,0.0,0.0,0.2746,CR
100,4633.7298,16.7903,55.3395,40000.0,416.2494,0.0,0.0,0.2732,CR
101,4674.695,16.7122,55.2758,40000.0,414.85,0.0,0.0,0.0318,CR
102,4716.4307,16.6303,55.2086,40000.0,414.1077,0.0,0.0,0.5781,CR
103,4760.3994,16.5469,55.14,40000.0,414.2665,0.0,0.0,0.4514,CR
104,4807.0065,16.46,55.0681,40000.0,415.9424,0.0,0.0,0.0,CR
105,4849.5578,16.3757,54.9982,40000.0,420.0,0.0,0.0,0.7887,CR
106,4898.8301,16.2833,54.921,40000.0,420.171,0.0,0.0,0.3861,CR
107,4940.9479,16.2031,54.8538,40000.0,422.0757,0.0,0.0,0.16,CR
108,4988.1607,16.1127,54.7777,40000.0,415.0763,0.0,0.0,0.7048,CR
109,5029.8423,16.0354,54.7124,40000.0,413.6965,0.0,0.0,0.3264,CR
110,5071.8188,15.9577,54.6465,40000.0,413.5354,0.0,0.0,0.2217,CR
111,5116.0334,15.8737,54.5748,40000.0,413.0187,0.0,0.0,0.776,CR
112,5161.5598,15.7904,54.5035,40000.0,417.1594,0.0,0.0,0.5213,CR
113,5203.8628,15.7125,54.4366,40000.0,421.4182,0.0,0.0,0.2822,CR
114,5251.8342,15.6213,54.3579,40000.0,422.0,0.0,0.0,0.796,CR
115,5295.1514,15.5436,54.2904,40000.0,414.6318,0.0,0.0,0.197,CR
116,5343.611,15.4547,54.2131,40000.0,414.0816,0.0,0.0,0.4418,CR
117,5387.5293,15.3748,54.1431,40000.0,411.0743,0.0,0.0,0.6811,CR
118,5434.1693,15.293,54.0713,40000.0,407.1385,0.0,0.0,0.1346,CR
119,5478.8244,15.2131,54.0008,40000.0,408.3301,0.0,0.0,0.4118,CR
120,5524.7805,15.1309,53.928,40000.0,412.2347,0.0,0.0,0.624,CR
121,5569.0686,15.0518,53.8577,40000.0,408.992,0.0,0.0,0.7167,CR
122,5610.1453,14.9801,53.7937,40000.0,411.0654,0.0,0.0,0.3144,CR
123,5653.7035,14.9027,53.7243,40000.0,408.0,0.0,0.0,0.792,CR
124,5697.2549,14.8285,53.6575,40000.0,409.3471,0.0,0.0,0.0079,CR
125,5743.5293,14.7465,53.5834,40000.0,409.111,0.0,0.0,0.5385,CR
126,5791.0638,14.6631,53.5076,40000.0,411.2065,0.0,0.0,0.4935,CR
127,5835.4189,14.5877,53.4389,40000.0,409.5302,0.0,31.0955,0.0554,CR
128,5880.3597,14.5078,53.3657,40000.0,411.1813,0.0,337.608,0.6019,CR
129,5926.6281,14.4273,53.2918,40000.0,412.0,0.0,0.0,0.788,CR
130,5976.7526,14.34,53.212,40000.0,415.1089,0.0,0.0,0.6692,CR
131,6020.3048,14.2651,53.1441,40000.0,418.4621,0.0,0.0,0.0,CR
132,6070.0332,14.1743,53.0629,40000.0,418.3693,0.0,0.0,0.4258,CR
133,6120.4656,14.0838,52.9815,40000.0,419.1059,0.0,342.9045,0.6058,CR
134,6164.1949,14.0059,52.9109,40051.8844,423.0146,423.9125,0.0,0.7286,CR
135,6217.4498,13.9131,52.8266,41009.5477,410.3879,228.4148,170.3317,0.3009,CR
136,6260.0006,13.8396,52.7596,41000.0,406.4915,0.0,138.9548,0.2443,CR
137,6304.9981,13.7604,52.6871,41000.0,410.0023,0.0,443.7588,0.7721,CR
138,6351.537,13.6816,52.6146,41000.0,413.1584,0.0,311.5276,0.5476,CR
139,6400.6247,13.5973,52.5368,41000.0,416.2322,0.0,0.0,0.3073,CR
140,6449.4437,13.513,52.4586,41000.0,420.1072,0.0,38.1005,0.067,CR
141,6494.5632,13.4331,52.3841,41000.0,424.016,0.0,0.0,0.6138,CR
142,6543.4986,13.3488,52.3053,41000.0,415.0335,0.0,210.6734,0.3684,CR
143,6588.1211,13.2741,52.2352,41000.0,410.9071,0.0,73.9598,0.128,CR
144,6634.9729,13.1945,52.1601,41000.0,416.7057,0.0,62.7538,0.1092,CR
145,6687.3417,13.1025,52.073,41000.0,418.4472,0.0,446.0,0.7782,CR
146,6737.0151,13.018,51.9926,41000.0,420.0,0.0,446.0,0.783,CR
147,6789.2412,12.9283,51.9068,40976.5075,418.0,22.6131,446.0,0.7798,CR
148,6842.4101,12.8395,51.8217,41000.0,418.293,0.0,0.0,0.4863,CR
149,6894.5205,12.7525,51.7377,41000.0,420.9974,0.0,145.6784,0.2522,CR
150,6942.6046,12.6722,51.66,41000.0,422.5234,0.0,8.9648,0.0156,CR
151,6990.8169,12.5881,51.5782,41000.0,422.153,0.0,318.2513,0.5537,CR
