,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9694,60.319,0.0,0.0,0.0,0.0,0.0,GND
1,52.3266,24.9698,60.3191,0.0,2.0653,0.0,0.0,0.0,GND
2,91.6533,24.9708,60.3193,0.0,2.8693,0.0,0.0,0.0,GND
3,217.7839,24.9708,60.3194,0.0,5.196,0.0,0.0,0.0,GND
4,257.7839,24.9682,60.3217,0.0,22.2613,0.0,0.0,0.0,GND
5,297.9799,24.963,60.3262,0.0,29.0,0.0,0.0,0.0,GND
6,337.7839,24.9572,60.331,0.0,29.0,0.0,0.0,0.0,GND
7,377.8291,24.951,60.3311,0.0,19.0,0.0,0.0,0.0,GND
8,418.0905,24.9441,60.3311,0.0,16.0,0.0,0.0,0.0,GND
9,458.5276,24.9285,60.3241,200.0,122.5226,0.0,0.0,0.2202,LVL
10,520.5729,24.8582,60.2983,2372.9899,163.2261,1620.0646,0.0,0.2958,CL
11,587.3116,24.7342,60.2948,4411.6834,226.3116,2461.0553,246.0,0.4017,CL
12,643.1357,24.6152,60.2709,6453.392,266.3518,1759.2965,246.0,0.4623,CL
13,695.5477,24.4866,60.2443,8481.1558,297.8492,2550.2513,246.0,0.5154,CL
14,739.6583,24.3742,60.2159,10510.0503,310.9146,2657.0352,246.0,0.5357,CL
15,782.9397,24.2639,60.1873,12646.9849,312.0,3000.0,246.0,0.552,CL
16,837.3166,24.1216,60.1505,14963.5678,321.0452,2407.7531,234.8744,0.5802,CL
17,880.3317,24.0066,60.1206,16736.0553,326.0,2444.7236,246.0,0.6,CL
18,923.5276,23.8895,60.0899,18496.9849,329.0,2912.0603,0.0,0.62,CL
19,965.7236,23.7763,60.06,20099.1206,331.0,2189.6985,246.0,0.632,CL
20,1006.2261,23.6633,60.0303,20815.3266,352.6131,923.3668,246.0,0.676,CL
21,1049.3719,23.5368,59.9965,21584.2965,371.0,1500.0,154.5226,0.7105,CL
22,1089.4372,23.4126,59.9633,22610.9296,377.4372,1331.1558,246.0,0.728,CL
23,1130.0151,23.2892,59.9302,23575.3769,382.5025,1350.7538,246.0,0.742,CL
24,1176.1106,23.145,59.891,24460.1759,392.1357,783.9196,246.0,0.7543,CL
25,1217.5327,23.011,59.8545,25147.4874,402.2663,987.4372,246.0,0.7625,CL
26,1259.0955,22.8743,59.817,25959.9246,407.6985,1060.3015,246.0,0.776,CL
27,1305.2915,22.7235,59.7754,26832.2864,412.2362,1381.9095,246.0,0.788,CL
28,1347.4874,22.5825,59.7365,27637.1859,415.0,1371.8593,246.0,0.8,CL
29,1386.6834,22.4548,59.7008,28742.0854,406.1055,1500.0,246.0,0.8,CL
30,1432.8392,22.3061,59.6591,29622.9899,405.9598,765.0754,246.0,0.8,CL
31,1470.1256,22.1857,59.6251,30526.8844,400.0,1484.9246,246.0,0.8039,CL
32,1510.3618,22.0564,59.5882,31131.7839,401.9095,1011.3065,22.2513,0.804,CL
33,1556.4673,21.9108,59.5468,31932.7889,400.0,577.8894,0.0,0.8,CL
34,1599.8844,21.7735,59.5072,32666.5829,400.0,1417.0854,0.0,0.8031,CL
35,1650.1457,21.6154,59.4615,33446.4824,399.7136,1125.0,175.5377,0.7989,CL
36,1694.407,21.4792,59.4218,34535.1759,388.6482,1378.4548,246.0,0.788,CL
37,1736.3367,21.3529,59.3847,35522.9899,379.1658,1421.7965,0.0,0.784,CL
38,1794.9296,21.1785,59.3334,36000.0,380.0,77.6382,246.0,0.784,CR
39,1833.7387,21.064,59.2993,36000.0,381.0,0.0,0.0,0.784,CR
40,1880.5176,20.9256,59.258,36000.0,382.0,0.0,0.0,0.784,CR
41,1927.7136,20.787,59.2149,36000.0,380.3216,0.0,246.0,0.784,CR
42,1966.9749,20.6714,59.1783,36000.0,379.0,0.0,246.0,0.784,CR
43,2007.2362,20.556,59.1417,36000.0,378.0,0.0,0.0,0.78,CR
44,2051.6231,20.4271,59.1009,35975.0,377.0,0.0,246.0,0.78,CR
45,2103.6985,20.2776,59.0531,35975.0,378.0,0.0,246.0,0.78,CR
46,2145.0201,20.16,59.015,35975.0,380.0,-298.4925,0.0,0.78,CR
47,2188.3518,20.0339,58.9741,35998.2412,382.0704,-21.1055,0.0,0.78,CR
48,2229.6784,19.913,58.9352,36000.0,384.1357,0.0,212.6231,0.78,CR
49,2273.603,19.7869,58.8937,36025.0,385.0,0.0,0.0,0.788,CR
50,2317.598,19.6601,58.8518,36025.0,386.0,-137.5628,0.0,0.788,CR
51,2360.3266,19.5355,58.8107,36025.0,386.0,0.0,0.0,0.784,CR
52,2401.5879,19.4155,58.771,36000.0,386.0,0.0,0.0,0.78,CR
53,2441.7739,19.2997,58.7324,35975.0,388.4623,0.0,0.0,0.7782,CR
54,2494.1658,19.1472,58.681,35975.0,391.0,0.0,0.0,0.78,CR
55,2543.3719,19.0048,58.6327,36000.0,392.0,0.0,145.8693,0.784,CR
56,2590.9749,18.865,58.5854,36025.0,392.0,0.0,161.9397,0.784,CR
57,2638.7889,18.7271,58.5381,36025.0,392.0,0.0,0.0,0.0,CR
58,2678.7337,18.6114,58.4984,36000.0,392.0,0.0,0.0,0.78,CR
59,2720.8342,18.4917,58.4568,36000.0,391.8543,0.0,0.0,0.7806,CR
60,2762.8392,18.3695,58.4145,35975.0,393.0,0.0,0.0,0.78,CR
61,2802.9698,18.2542,58.3743,36000.0,393.0,3.2304,0.0,0.78,CR
62,2851.4523,18.1145,58.3256,36000.0,394.0,0.0,0.0,0.78,CR
63,2909.3467,17.9484,58.2664,36000.0,395.0,0.0,0.0,0.78,CR
64,2953.7236,17.8213,58.2213,36000.0,395.0,0.0,0.0,0.784,CR
65,2993.9849,17.7078,58.1808,36018.8442,395.0,96.1055,0.0,0.784,CR
66,3041.5578,17.5719,58.1321,36000.0,395.3116,0.0,0.0,0.78,CR
67,3082.5075,17.454,58.0896,36000.0,394.0,0.0,0.0,0.78,CR
68,3126.3266,17.3311,58.0448,36000.0,394.0,0.0,0.0,0.784,CR
69,3173.0452,17.1987,57.9965,36025.0,393.0,0.0,0.0,0.784,CR
70,3214.2915,17.0823,57.9537,36025.0,393.0,213.5678,0.0,0.784,CR
71,3254.9146,16.969,57.9122,36000.0,393.0,-135.6784,0.0,0.784,CR
72,3292.407,16.8641,57.8733,36000.0,392.0,0.0,0.0,0.78,CR
73,3339.3065,16.7344,57.8251,35975.0,392.0,0.0,0.0,0.776,CR
74,3379.5025,16.6222,57.7831,35975.0,392.0,0.0,0.0,0.78,CR
75,3420.598,16.5092,57.7407,36000.0,392.8995,0.0,0.0,0.78,CR
76,3464.8593,16.3854,57.694,36000.0,393.0,0.0,444.0,0.78,CR
77,3509.0603,16.2619,57.6471,36000.0,394.0,0.0,446.0,0.784,CR
78,3553.4774,16.1405,57.6006,36025.0,394.0,0.0,0.0,0.784,CR
79,3596.804,16.0217,57.5552,36025.0,393.0,0.0,0.0,0.784,CR
80,3648.9045,15.8794,57.5004,36019.3467,392.2261,302.1357,0.0,0.784,CL
81,3695.4573,15.7525,57.4512,36000.0,392.0,0.0,0.0,0.7828,CR
82,3742.4271,15.625,57.4016,36000.0,390.0,0.0,0.0,0.7826,CR
83,3780.1106,15.5236,57.3616,36000.0,390.0,0.0,0.0,0.78,CR
84,3821.9497,15.4103,57.3173,36000.0,390.5126,0.0,0.0,0.78,CR
85,3861.8693,15.3032,57.275,36000.0,390.0,0.0,0.0,0.78,CR
86,3905.2362,15.1849,57.228,36000.0,390.0,0.0,0.0,0.78,CR
87,3946.7337,15.0744,57.1839,36000.0,390.3166,0.0,0.0,0.78,CR
88,3998.4975,14.9371,57.1287,36000.0,390.0,0.0,0.0,0.78,CR
89,4041.8141,14.8211,57.082,36000.0,389.0,0.0,0.0,0.78,CR
90,4087.6382,14.7015,57.0337,36000.0,389.0,0.0,0.0,0.78,CR
91,4132.7236,14.5821,56.985,36000.0,390.0,0.0,0.0,0.78,CR
92,4172.0503,14.4787,56.9427,36000.0,390.0,0.0,0.0,0.78,CR
93,4220.3015,14.351,56.8902,36000.0,390.0,0.0,0.0,0.78,CR
94,4258.7035,14.2497,56.8484,36003.5176,390.0,42.2111,0.0,0.784,CR
95,4300.2362,14.142,56.8038,36025.0,389.0,0.0,0.0,0.784,CR
96,4348.8141,14.0167,56.7516,36025.0,386.0,0.0,0.0,0.784,CR
97,4390.0101,13.9094,56.7067,36000.0,385.0,0.0,0.0,0.78,CR
98,4433.608,13.7982,56.66,35975.0,385.0,0.0,0.0,0.7784,CR
99,4476.9347,13.6865,56.6127,35975.0,385.0,0.0,0.0,0.78,CR
100,4517.7286,13.5831,56.5688,36000.0,385.0,0.0,0.0,0.784,CR
101,4564.794,13.463,56.5176,36025.0,385.0,0.0,0.0,0.784,CR
102,4618.9899,13.3261,56.4589,36025.0,383.0,0.0,0.0,0.784,CR
103,4658.9146,13.2247,56.4151,36000.0,382.7286,0.0,0.0,0.78,CR
104,4702.3819,13.1154,56.3678,36000.0,382.0,0.0,0.0,0.78,CR
105,4744.2965,13.0123,56.3231,35975.0,381.0,0.0,0.0,0.7766,CR
106,4783.7739,12.9128,56.28,35975.0,381.0,0.0,0.0,0.78,CR
107,4824.9397,12.8107,56.2351,35975.2513,381.0,-242.4623,0.0,0.78,DE
108,4869.1658,12.7016,56.187,36000.0,381.0,0.0,0.0,0.78,CR
109,4909.3618,12.6024,56.1432,36000.0,382.0,0.0,0.0,0.784,CR
110,4953.7437,12.493,56.0947,36025.0,382.1859,0.0,0.0,0.7807,CR
111,4997.5025,12.3841,56.0461,36025.0,382.0,0.0,0.0,0.784,CR
112,5040.8995,12.278,55.9981,36025.0,381.0,0.0,0.0,0.784,CR
113,5082.1457,12.1779,55.9529,36025.0,379.0,0.0,0.0,0.784,CR
114,5121.8945,12.0813,55.9092,36000.0,378.0,0.0,446.0,0.78,CR
115,5161.0251,11.987,55.8661,36000.0,376.0,0.0,442.0,0.78,CR
116,5203.3116,11.8856,55.8196,35975.0,376.0,0.0,444.0,0.78,CR
117,5243.7889,11.7891,55.7754,35975.0,375.3568,0.0,444.0,0.78,CR
118,5294.1256,11.6692,55.7199,35982.2864,375.0,-354.2714,442.0,0.7772,CR
119,5338.5477,11.5649,55.6716,35994.3467,375.7739,580.402,99.9497,0.7791,CR
120,5378.6784,11.4703,55.6274,36000.0,377.0,0.0,445.6784,0.784,CR
121,5423.5226,11.363,55.5774,36025.0,377.0,0.0,446.0,0.784,CR
122,5468.8794,11.255,55.527,36025.0,376.0302,0.0,446.0,0.784,CR
123,5520.1407,11.1344,55.4701,36000.0,375.9648,-206.748,446.0,0.78,CR
124,5559.3015,11.0423,55.4263,35975.0,374.0,0.0,446.0,0.7804,CR
125,5607.6633,10.9305,55.3732,35975.0,376.0,0.0,446.0,0.776,CR
126,5649.9246,10.8309,55.3256,35975.0,379.0,0.0,444.0,0.78,CR
127,5702.4824,10.7074,55.2661,36000.0,381.0,0.0,444.0,0.784,CR
128,5759.809,10.5725,55.2011,36025.0,381.0,0.0,160.6432,0.7829,CR
129,5818.1357,10.4371,55.1354,36000.0,380.0,0.0,189.6482,0.776,CR
130,5867.4774,10.3203,55.0785,36000.0,383.0,0.0,444.0,0.78,CR
131,5913.1156,10.2141,55.0264,36000.0,384.0,-221.1055,446.0,0.7818,DE
132,5966.8693,10.0877,54.9641,36025.0,382.3769,0.0,446.0,0.788,CR
133,6018.3769,9.9685,54.9049,36025.0,380.0,0.0,446.0,0.784,CR
134,6066.2613,9.8579,54.85,36000.0,379.0,0.0,0.0,0.78,CR
135,6115.4573,9.7458,54.7944,35975.0,377.1809,0.0,444.0,0.78,CR
136,6159.9598,9.6437,54.7429,35975.0,377.1156,57.7889,444.0,0.776,CR
137,6210.8492,9.5283,54.6846,35975.0,379.0,0.0,444.0,0.7798,CR
138,6263.0905,9.4097,54.6247,36025.0,379.0,0.0,0.0,0.784,CR
139,6308.7236,9.3061,54.5719,36002.0101,379.9196,-446.3987,0.0,0.78,DE
140,6389.5829,9.1232,54.4782,36000.0,377.0,0.0,0.0,0.78,CR
141,6449.2111,8.9901,54.4096,36000.0,376.0,0.0,0.0,0.78,CR
142,6504.5528,8.8661,54.3453,35975.0,377.7236,0.0,0.0,0.776,CR
143,6544.0251,8.778,54.2996,35975.0,379.0,0.0,0.0,0.776,CR
144,6589.6281,8.6764,54.2465,36000.0,380.0,0.0,0.0,0.776,CR
145,6634.8894,8.5748,54.1932,36000.0,381.0,0.0,0.0,0.78,CR
146,6674.1508,8.4873,54.1471,36025.0,382.0,0.0,0.0,0.78,CR
147,6742.206,8.3365,54.0674,36025.0,381.0,0.0,0.0,0.7824,CR
148,6799.3417,8.2098,54.0001,36025.0,381.0,71.0696,0.0,0.78,CR
149,6844.3367,8.1095,53.9464,36025.0,380.2663,0.0,0.0,0.784,CR
150,6894.397,7.9999,53.8877,36000.0,380.0,0.0,0.0,0.78,CR
151,6951.1859,7.8747,53.8199,35975.0,379.1357,0.0,0.0,0.7795,CR
152,7004.5075,7.7588,53.7573,35951.7588,380.0,-199.2103,0.0,0.776,CR
153,7048.9698,7.6621,53.7045,35300.3769,380.9899,-750.5384,0.0,0.772,DE
154,7090.3015,7.5706,53.6542,34620.4774,381.8794,-759.0452,1190.0,0.784,DE
155,7136.3769,7.4714,53.6003,33943.7186,377.3769,-1000.0,0.0,0.779,DE
156,7196.9095,7.3409,53.5276,32921.3568,379.0,-900.0,233.7286,0.764,DE
157,7241.2814,7.2456,53.475,32124.3719,374.0,-1051.2563,0.0,0.748,DE
158,7281.6432,7.1603,53.4277,30800.8794,370.0,-2080.402,161.4573,0.732,DE
159,7323.7085,7.0732,53.3793,29387.9397,362.0,-1665.8291,252.0,0.7178,DE
160,7368.809,6.9831,53.3287,27904.7739,353.5477,-1500.0,135.8392,0.6942,DE
161,7421.6231,6.8801,53.2706,26309.4221,340.4824,-1861.809,128.3618,0.6619,DE
162,7485.2412,6.7585,53.2018,25745.9799,342.6683,-739.3216,248.0,0.661,DE
163,7538.2965,6.6578,53.1449,24892.5879,333.3518,-1265.4941,248.0,0.652,DE
164,7582.5678,6.5765,53.0984,24128.6432,328.0,-1071.1055,0.0,0.632,DE
165,7623.3367,6.5018,53.0557,23436.0553,331.0,-977.8894,0.0,0.632,DE
166,7662.2211,6.4303,53.0148,22765.5779,328.0,-1013.0653,235.0,0.6212,DE
167,7704.9095,6.3528,52.9702,22052.2613,326.0,-1445.7286,227.0,0.6124,DE
168,7755.9246,6.262,52.9177,21201.8844,321.0,-1484.9246,227.0,0.604,DE
169,7804.1206,6.1768,52.8685,20422.9899,318.9598,-1000.0,227.0,0.5962,DE
170,7851.4221,6.0949,52.8209,19159.1709,315.7889,-1847.4874,227.0,0.5836,DE
171,7905.3417,6.0025,52.767,17462.1859,309.0,-1939.0704,227.0,0.5647,DE
172,7951.7085,5.9234,52.7206,15982.2864,305.0,-2263.8191,0.0,0.5409,DE
173,8002.206,5.8399,52.6715,14437.3116,301.6985,-1962.3116,68.4422,0.528,DE
174,8047.4673,5.7653,52.6278,13069.9749,300.0,-1775.1256,0.0,0.516,DE
175,8099.7286,5.6803,52.5774,11495.9799,297.0,-1875.0,227.0,0.508,DE
176,8146.4874,5.6,52.5388,10212.6884,294.005,-1201.5075,227.0,0.494,DE
177,8197.2513,5.4923,52.5366,9710.9296,265.4372,-407.7889,0.0,0.448,DE
178,8262.1407,5.3633,52.5329,8287.1859,259.0,-1311.5578,227.0,0.4528,DE
179,8314.7739,5.2614,52.5303,7072.9899,255.0,-1239.9497,227.0,0.424,DE
180,8353.2764,5.1874,52.5287,6193.0905,252.0,-1500.0,0.0,0.42,DE
181,8414.2965,5.0713,52.5257,4842.5879,250.0,-1500.0,0.0,0.416,DE
182,8476.4472,4.9539,52.5225,3411.0553,246.0,-1233.1658,0.0,0.404,DE
183,8535.5025,4.8462,52.5195,2431.7839,240.1357,-832.058,0.0,0.3922,DE
184,8592.0603,4.7589,52.5002,2100.0,207.9397,0.0,0.0,0.3439,LVL
185,8631.5126,4.7252,52.4723,1975.0,172.6583,0.0,227.0,0.3126,LVL
186,8675.9045,4.7191,52.4402,1538.6935,146.397,-750.0,0.0,0.2474,DE
187,8724.2965,4.7162,52.4093,908.794,134.7839,-554.0201,0.0,0.228,DE
188,8768.3769,4.7136,52.3819,382.7889,134.0,-750.0,0.0,0.2229,DE
189,8881.7337,4.7121,52.3361,0.0,30.2663,0.0,0.0,0.1,GND
190,8921.0603,4.7136,52.3316,0.0,24.4121,0.0,0.0,0.1,GND
191,8962.4322,4.7199,52.3284,0.0,22.5226,0.0,0.0,0.1,GND
192,9011.1709,4.7273,52.3253,0.0,30.5427,0.0,0.0,0.1,GND
193,9050.4322,4.7334,52.321,0.0,24.7839,0.0,0.0,0.1,GND
194,9091.3668,4.7409,52.3203,0.0,22.3065,0.0,0.0,0.1,GND
195,9131.2161,4.7416,52.3163,0.0,27.7387,0.0,0.0,0.1,GND
196,9171.4121,4.7411,52.3107,0.0,29.196,0.0,0.0,0.1,GND
197,9211.4774,4.7406,52.3054,0.0,26.2613,0.0,0.0,0.1,GND
198,9295.6734,4.7524,52.2982,0.0,25.3266,0.0,0.0,0.0,GND
199,9457.0,4.7655,52.3051,0.0,6.0,0.0,0.0,0.0,NA
