,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9605,60.3163,0.0,9.0,0.0,0.0,0.0,GND
1,72.2714,24.9601,60.3168,0.0,2.8543,0.0,0.0,0.0,GND
2,299.5427,24.9596,60.3175,0.0,5.2915,0.0,0.0,0.0,GND
3,362.2513,24.9609,60.3189,0.0,8.4372,0.0,0.0,0.0,GND
4,414.2513,24.9575,60.3208,0.0,16.4171,0.0,0.0,0.0,GND
5,465.0854,24.9521,60.3244,0.0,16.7286,0.0,0.0,0.0,GND
6,521.1256,24.9496,60.3283,0.0,18.0,0.0,0.0,0.0,GND
7,571.8794,24.9469,60.3301,0.0,2.0,0.0,0.0,0.0,GND
8,623.5025,24.9438,60.3311,0.0,13.1658,0.0,0.0,0.0,GND
9,684.4422,24.9433,60.3309,0.0,0.0,0.0,0.0,0.0,GND
10,771.1709,24.8884,60.3057,1458.5427,162.9146,3137.1859,0.0,0.2578,CL
11,837.191,24.8023,60.2784,2719.8492,185.794,1000.0,0.0,0.2825,CL
12,897.005,24.6977,60.2537,3700.1256,236.005,1275.3769,0.0,0.372,CL
13,959.6332,24.5885,60.2049,5876.3819,278.1055,2947.2362,0.0,0.416,CL
14,1018.8794,24.5234,60.1347,8220.9799,286.9598,2020.1005,0.0,0.436,CL
15,1079.4422,24.4515,60.0607,10215.7035,303.4422,1148.7437,0.0,0.456,CL
16,1131.3417,24.3843,59.9908,11075.1256,345.6734,900.0,0.0,0.5227,CL
17,1190.1357,24.2977,59.8995,11939.196,390.6131,821.608,0.0,0.5983,CL
18,1243.5075,24.2136,59.8103,13368.8442,403.3769,1528.8945,0.0,0.6375,CL
19,1302.0804,24.1124,59.7118,14932.7889,412.2312,1922.9481,0.0,0.6609,CL
20,1365.2563,23.9719,59.6128,16608.5427,422.0,1667.428,0.0,0.68,CL
21,1418.8794,23.852,59.5273,17823.4925,431.0,780.1508,0.0,0.6958,CL
22,1479.3819,23.7146,59.4281,19384.5477,434.0,1438.191,0.0,0.712,CL
23,1542.9447,23.574,59.3222,20673.6181,442.0,1368.0905,0.0,0.732,CL
24,1610.5126,23.42,59.2073,21837.6884,452.5025,732.098,0.0,0.75,CL
25,1678.4271,23.2542,59.092,22867.8392,462.0704,543.252,0.0,0.7614,CL
26,1732.8442,23.1194,58.9964,23580.2764,472.0,966.7085,0.0,0.7728,CL
27,1799.392,22.9532,58.877,24456.5327,479.0653,1116.8342,0.0,0.7843,CL
28,1852.598,22.8216,58.7819,25416.9598,479.0,1172.4336,0.0,0.784,CL
29,1910.0955,22.6803,58.6793,26344.3467,479.7739,493.7186,0.0,0.78,CL
30,1981.8844,22.502,58.5484,27206.407,487.0,1000.0,0.0,0.784,CL
31,2039.8945,22.357,58.4412,28011.1809,490.4824,1008.794,0.0,0.784,CL
32,2125.0101,22.1423,58.281,29016.8342,497.6633,1165.8291,462.0,0.788,CL
33,2183.5729,21.9985,58.1722,30134.5477,489.0,1404.5226,462.0,0.7848,CL
34,2235.0905,21.8723,58.0766,30676.1307,491.0,750.0,462.0,0.784,CL
35,2286.6985,21.7481,57.9816,31172.4874,495.0,474.8744,462.0,0.78,CL
36,2342.2613,21.6115,57.8764,31875.0,494.7538,105.5276,113.7588,0.784,CR
37,2394.2161,21.4852,57.7786,32000.0,496.0,0.0,462.0,0.784,CR
38,2472.7739,21.2962,57.6311,32000.0,493.0,0.0,462.0,0.7818,CR
39,2528.5327,21.1624,57.5254,32000.0,491.0,0.0,462.0,0.7827,CR
40,2588.5126,21.0221,57.4142,32000.0,488.0,0.0,462.0,0.78,CR
41,2641.1005,20.9008,57.3172,32000.0,485.9749,0.0,462.0,0.784,CR
42,2691.6382,20.7832,57.2225,32025.0,482.0,0.0,462.0,0.78,CR
43,2746.8693,20.6589,57.1214,31975.0,480.0,-99.8744,123.0452,0.776,CR
44,2802.7638,20.5311,57.0171,31950.0,482.0,0.0,462.0,0.772,CR
45,2853.7688,20.4171,56.9237,31975.0,486.0,0.0,462.0,0.776,CR
46,2906.1859,20.2981,56.8252,32050.0,488.0,0.0,462.0,0.7892,CR
47,2957.4523,20.1815,56.728,32050.0,488.0,0.0,462.0,0.7886,CR
48,3012.0251,20.0593,56.6255,31975.0,485.995,0.0,462.0,0.784,CR
49,3064.2965,19.9424,56.5271,31975.0,485.0,0.0,65.005,0.784,CR
50,3119.1407,19.8224,56.4253,31975.0,483.0,0.0,462.0,0.78,CR
51,3173.5678,19.7026,56.3232,31975.0,481.4322,0.0,262.3417,0.784,CR
52,3226.2663,19.5888,56.2252,32000.0,479.5779,0.0,462.0,0.784,CR
53,3276.6583,19.478,56.1323,32000.0,474.7236,0.0,462.0,0.784,CR
54,3333.5226,19.353,56.0295,31975.0,474.0,0.0,462.0,0.78,CR
55,3384.9397,19.2419,55.9365,31975.0,474.0,0.0,462.0,0.784,CR
56,3435.5176,19.1327,55.8446,31975.0,474.0,0.0,462.0,0.78,CR
57,3486.0804,19.0237,55.7526,32000.0,475.6935,0.0,0.0,0.78,CR
58,3538.191,18.9096,55.6559,32000.0,478.4523,169.598,462.0,0.784,CR
59,3593.804,18.7909,55.5548,32050.0,478.598,0.0,0.0,0.788,CR
60,3645.2814,18.6798,55.4595,32050.0,477.0,0.0,118.402,0.788,CR
61,3697.2211,18.5694,55.3639,32025.0,474.8894,0.0,410.9246,0.78,CR
62,3748.8593,18.4631,55.2703,31975.0,476.9296,0.0,16.2513,0.78,CR
63,3803.2764,18.3678,55.1611,31975.0,487.0,0.0,0.0,0.78,CR
64,3855.0201,18.2807,55.0553,32000.0,487.0,0.0,462.0,0.78,CR
65,3906.5829,18.1951,54.9507,32000.0,488.0,0.0,462.0,0.784,CR
66,3958.5276,18.1084,54.8442,32025.0,488.0,0.0,0.0,0.784,CR
67,4016.9447,18.0122,54.7251,32025.0,486.0,0.0,462.0,0.784,CR
68,4067.8141,17.9283,54.621,32000.0,486.0,0.0,41.7889,0.784,CR
69,4124.6683,17.8362,54.5057,32000.0,486.0,0.0,462.0,0.78,CR
70,4175.196,17.7552,54.4039,32000.0,485.0,0.0,92.8643,0.78,CR
71,4225.3065,17.6736,54.3007,32000.0,486.0,0.0,0.0,0.784,CR
72,4278.0452,17.5899,54.1943,32000.0,487.0,0.0,462.0,0.782,CR
73,4330.4472,17.5051,54.0866,32000.0,486.0,0.0,0.0,0.7826,CR
74,4380.6482,17.4189,53.9863,32000.0,485.2161,0.0,0.0,0.784,CR
75,4431.3518,17.3318,53.8834,32025.0,487.0,0.0,462.0,0.788,CR
76,4484.6231,17.2432,53.7773,32001.8844,487.0,-277.3869,34.8241,0.7763,CR
77,4536.1156,17.1568,53.6734,31975.0,487.7789,0.0,0.0,0.7831,CR
78,4586.2663,17.0719,53.5711,31990.8291,490.0,364.8241,169.4774,0.78,CL
79,4636.9497,16.9869,53.4676,32000.0,491.0,0.0,0.0,0.78,CR
80,4689.3417,16.9,53.3611,32025.0,493.0,0.0,462.0,0.784,CR
81,4739.3719,16.8169,53.259,32025.0,494.0,0.0,371.4573,0.784,CR
82,4793.1508,16.7271,53.1478,32023.7437,493.0,212.3116,462.0,0.784,CR
83,4848.5226,16.6362,53.0347,32000.0,494.0,0.0,0.0,0.784,CR
84,4898.5176,16.5542,52.9322,32000.0,493.0,0.0,350.5628,0.78,CR
85,4951.0653,16.468,52.8239,31975.0,493.6131,-193.4673,0.0,0.7775,CR
86,5000.8693,16.3871,52.7214,32000.0,490.0,0.0,0.0,0.772,CR
87,5056.9648,16.2979,52.6081,32000.0,487.0,0.0,0.0,0.768,CR
88,5108.8794,16.2153,52.5027,32000.0,491.0,0.0,0.0,0.772,CR
89,5159.1809,16.1347,52.3993,32025.0,493.0302,0.0,0.0,0.772,CR
90,5217.0754,16.0418,52.279,32000.0,499.8844,0.0,405.0653,0.78,CR
