,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9558,60.3148,0.0,3.0,0.0,0.0,0.0,GND
1,55.9472,24.9547,60.315,0.0,0.3719,0.0,0.0,0.0,GND
2,143.1086,24.9546,60.315,0.0,0.0,0.0,0.0,0.0,GND
3,203.9484,24.9562,60.3157,0.0,0.9246,0.0,0.0,0.0,GND
4,252.4003,24.9556,60.3175,0.0,5.3618,0.0,0.0,0.0,GND
5,297.1615,24.9595,60.3196,0.0,10.3116,0.0,0.0,0.0,GND
6,340.3301,24.9553,60.322,0.0,13.8392,0.0,0.0,0.0,GND
7,384.3638,24.9515,60.3254,0.0,7.9397,0.0,0.0,0.0,GND
8,426.593,24.9484,60.3293,0.0,0.4523,0.0,0.5528,0.0009,GND
9,469.5058,24.9439,60.3311,0.0,3.8141,0.0,7.6281,0.0111,GND
10,517.7212,24.9188,60.3199,242.2111,145.3531,3155.5015,15.809,0.1753,CL
11,559.0073,24.8789,60.3024,2300.0,146.9973,180.9045,1.9899,0.0228,LVL
12,604.8108,24.8026,60.3023,3901.8844,213.3088,2080.5574,107.2563,0.1572,CL
13,655.2514,24.6926,60.2866,6516.5829,264.9984,4410.0847,195.196,0.3537,CL
14,709.226,24.5689,60.2612,10422.7387,266.1408,4034.8889,0.0,0.0,CL
15,759.6726,24.4516,60.2351,13317.2111,283.5948,2385.3696,98.7739,0.2077,CL
16,804.0259,24.3425,60.2058,15352.5126,310.0238,3477.4532,222.2412,0.5129,CL
17,848.4674,24.2276,60.1747,17650.8794,324.7801,2564.7664,158.7437,0.3799,CL
18,897.4647,24.0939,60.1384,19807.6633,344.4323,2390.3781,162.2714,0.405,CL
19,943.7785,23.9614,60.1022,21815.201,357.9383,2602.5042,218.7136,0.572,CL
20,990.7268,23.823,60.0649,23778.1407,368.7733,3622.5453,131.6985,0.3557,CL
21,1037.7638,23.6783,60.0271,25453.6432,382.0,4748.3966,234.0,0.656,CL
22,1083.8898,23.5307,59.9881,27040.9548,392.1178,4355.0439,191.6683,0.5537,CL
23,1135.2124,23.3668,59.9445,28544.7236,403.6783,1729.0421,104.6533,0.3131,CL
24,1181.1508,23.2138,59.9035,29828.7688,412.0,1372.198,0.0,0.716,CL
25,1225.0883,23.0658,59.8636,30917.5879,420.9973,1275.1086,69.3769,0.217,CL
26,1271.0396,22.9105,59.8214,32341.5829,419.453,1975.2029,77.608,0.2428,CL
27,1315.1617,22.7622,59.7809,33645.9799,416.5774,1545.4379,9.407,0.0296,CL
28,1365.7638,22.5934,59.7344,35269.0955,406.0,1818.4103,234.0,0.7256,CL
29,1413.5166,22.4414,59.6923,36485.804,401.1901,1271.0146,183.4372,0.5707,CL
30,1456.9196,22.2998,59.6528,37346.1055,402.0497,2655.3379,0.0,0.6146,CL
31,1502.8894,22.1526,59.6115,37998.6181,405.0,3421.9365,234.0,0.7379,CL
32,1549.1612,22.0049,59.5698,38607.5377,407.0374,143.3021,23.5176,0.0752,CL
33,1592.6863,21.8641,59.5298,39193.2161,406.982,1144.3161,170.5025,0.545,CL
34,1644.1709,21.6979,59.4822,39708.9196,409.3668,814.8654,83.4874,0.2683,CL
35,1687.0768,21.56,59.4425,40000.0,411.5396,0.0,3.5276,0.0113,CR
36,1733.4218,21.4093,59.3964,40000.0,423.7921,0.0,0.0,0.3018,CR
37,1777.2091,21.2646,59.3517,40000.0,425.2002,0.0,177.5578,0.5919,CR
38,1820.9703,21.1211,59.3071,40000.0,427.0194,0.0,203.4271,0.6781,CR
39,1867.8746,20.9661,59.2587,40000.0,427.2925,0.0,0.0,0.392,CR
40,1917.3475,20.8037,59.2077,40000.0,427.0463,0.0,0.0,0.682,CR
41,1964.7667,20.6508,59.1593,40000.0,427.8076,0.0,0.0,0.0,CR
42,2012.2864,20.4946,59.1095,40000.0,426.9728,0.0,0.0,0.4821,CR
43,2054.1858,20.3602,59.0664,40000.0,427.5923,0.0,0.0,0.0,CR
44,2103.9204,20.1979,59.0141,40000.0,430.0018,0.0,283.3568,0.5003,CR
45,2149.372,20.0499,58.966,40000.0,430.326,0.0,0.0,0.2077,CR
46,2194.5233,19.9038,58.9183,40000.0,429.5058,0.0,24.6935,0.0823,CR
47,2239.9149,19.7571,58.87,40000.0,428.3277,0.0,122.2915,0.4076,CR
48,2285.2768,19.6091,58.8211,40000.0,431.9973,0.0,377.0653,0.6624,CR
49,2329.3327,19.4687,58.7743,40000.0,431.2518,0.0,98.1709,0.1725,CR
