,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.955,60.3142,0.0,9.0,0.0,0.0,0.0,GND
1,53.5829,24.9543,60.3147,0.0,2.0,0.0,0.0,0.0,GND
2,96.2471,24.9538,60.3146,0.0,0.1106,0.0,0.0,0.0,GND
3,173.474,24.9537,60.3146,0.0,0.0,0.0,0.0,0.0,GND
4,217.26,24.9517,60.3157,0.0,12.4523,0.0,0.0,0.6119,GND
5,251.9258,24.956,60.3176,0.0,12.1256,0.0,0.0,0.0,GND
6,287.1525,24.9591,60.3199,0.0,2.6533,0.0,0.0,0.128,GND
7,321.7739,24.9543,60.3225,0.0,24.3065,0.0,0.0,0.7,GND
8,359.197,24.9508,60.3264,0.0,18.6935,0.0,0.0,0.5702,GND
9,393.7484,24.9488,60.3291,0.0,0.0,0.0,0.0,0.0,GND
10,428.9211,24.9466,60.3303,0.0,2.2111,0.0,0.0,0.2167,GND
11,462.608,24.9457,60.3308,0.0,1.0,0.0,0.0,0.784,GND
12,497.7021,24.9445,60.3313,0.0,3.3417,0.0,0.0,0.0,GND
13,531.6405,24.9442,60.3313,0.0,0.0,0.0,0.0,0.0,GND
14,578.7952,24.9216,60.3209,609.6734,154.011,2013.442,0.0,0.1202,CL
15,633.6305,24.859,60.3018,2668.593,164.0872,890.9725,0.0,0.0,CL
16,673.2089,24.7935,60.314,4091.3317,201.7681,2430.442,99.9397,0.1539,CL
17,721.6679,24.6864,60.31,6466.7085,258.5694,4123.8255,7.1156,0.0127,CL
18,762.118,24.5887,60.3018,9186.6834,266.748,3903.821,0.0,0.0,CL
19,801.1161,24.4911,60.2936,11255.0251,290.1135,1526.3855,5.9799,0.0115,CL
20,849.4458,24.3565,60.282,13732.2864,309.3274,3401.5742,0.0,0.2896,CL
21,890.8146,24.2399,60.272,16131.0302,312.6974,2699.2701,0.0,0.0434,CL
22,927.0237,24.1353,60.2628,17950.0,320.4869,881.9095,0.0,0.2164,CL
23,964.511,24.0227,60.2529,19630.5276,329.8847,2998.9297,0.0,0.5082,CL
