,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9684,60.3201,0.0,0.0,0.0,0.0,0.0,GND
1,71.3456,24.9688,60.3205,0.0,0.0,0.0,0.0,0.0,GND
2,115.6856,24.9696,60.3205,0.0,0.7789,0.0,0.0,0.0,GND
3,164.2506,24.9697,60.3204,0.0,0.0,0.0,0.0,0.0,GND
4,223.5994,24.9694,60.3207,0.0,3.9045,0.0,0.0,0.0,GND
5,269.5166,24.9667,60.323,0.0,8.2915,0.0,0.0,0.0,GND
6,315.2603,24.9629,60.3262,0.0,13.9296,0.0,9.2864,0.0159,GND
7,361.1621,24.9585,60.33,0.0,4.0704,0.0,2.2613,0.0045,GND
8,406.2312,24.9534,60.3319,0.0,14.1508,0.0,10.6131,0.0283,GND
9,452.0174,24.9459,60.3312,0.0,16.9146,0.0,11.9397,0.0239,GND
10,498.4598,24.9346,60.3269,-156.5327,98.2568,-2854.7927,1.2663,0.0131,CL
11,561.5289,24.8689,60.299,1503.392,155.1224,2513.7533,9.407,0.1975,CL
12,609.0888,24.8005,60.2771,2433.6683,210.662,2143.0861,3.9196,0.1084,CL
13,654.8662,24.72,60.258,4967.2111,209.9093,3285.1024,5.2462,0.1521,CL
14,704.2595,24.6551,60.218,6645.2261,254.2137,3274.9904,0.0,0.1682,CL
15,756.6834,24.5946,60.1617,9309.1709,270.3417,3570.0668,12.0,0.444,CL
16,804.6366,24.5363,60.1074,11059.6734,302.4122,1869.4722,0.0,0.0,CL
17,856.4456,24.4661,60.0418,13593.0905,308.0068,4108.9272,0.0,0.4573,CL
18,912.606,24.3906,59.9708,15975.2513,321.4654,1179.2496,0.0,0.0054,CL
19,962.5789,24.3199,59.904,18064.9497,330.4216,2204.0582,0.0,0.0567,CL
20,1011.1294,24.2495,59.8373,19843.3417,340.8642,1901.3819,0.0,0.4607,CL
21,1057.0053,24.1814,59.7724,21342.8392,353.1938,2262.5816,0.0,0.193,CL
22,1105.2935,24.0999,59.7036,23020.9799,361.1309,2820.7422,0.0,0.2697,CL
23,1151.6215,24.01,59.6394,24375.0,371.255,1150.1418,0.0,0.3473,CL
24,1199.837,23.9161,59.5716,25718.3417,380.1446,1336.7487,0.0,0.0,CL
25,1248.2362,23.8189,59.5011,26886.809,389.2362,708.5427,0.0,0.672,CL
26,1298.7403,23.7153,59.4255,27950.0,399.9146,970.446,0.0,0.0859,CL
27,1348.0376,23.6118,59.3496,28776.5075,412.8682,22.4838,0.0,0.0106,CR
28,1397.6213,23.5052,59.2709,29622.6131,422.8807,570.623,0.0,0.0676,CL
29,1443.6394,23.4158,59.1928,30369.8492,428.9807,825.9786,0.0,0.5717,CL
30,1489.8049,23.3321,59.111,31009.1709,438.5426,1188.3547,0.0,0.2317,CL
31,1535.4259,23.2481,59.0291,32003.6432,436.161,1804.4563,0.0,0.4193,CL
32,1588.3509,23.152,58.9352,32948.1156,437.2199,1085.6622,0.0,0.3936,CL
33,1633.6047,23.0699,58.8545,33858.794,433.2604,306.9448,0.0,0.4745,CL
