,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9712,60.3175,0.0,0.0,0.0,0.0,0.0,GND
1,43.8667,24.9718,60.3176,0.0,1.608,0.0,0.0,0.0,GND
2,79.4611,24.9725,60.3177,0.0,0.608,0.0,0.0,0.0,GND
3,114.7642,24.9725,60.3178,0.0,0.0,0.0,0.0,0.0,GND
4,160.39,24.9725,60.3178,0.0,0.0,0.0,0.0,0.0,GND
5,211.8315,24.9723,60.3179,0.0,0.0804,0.0,0.0,0.0,GND
6,247.996,24.9713,60.3189,0.0,1.7588,0.0,0.0,0.0,GND
7,284.5382,24.9694,60.3207,0.0,8.794,0.0,0.0,0.0,GND
8,320.1214,24.9668,60.3225,0.0,5.6784,0.0,0.0,0.0,GND
9,354.958,24.9635,60.3211,0.0,4.2513,0.0,0.0,0.0,GND
10,388.7205,24.9591,60.319,0.0,0.804,0.0,0.0,0.0,GND
11,424.7408,24.9539,60.3167,0.0,18.5729,0.0,0.0,0.0,GND
12,458.4393,24.9486,60.3143,0.0,9.7236,0.0,0.0,0.0,GND
13,497.6528,24.9446,60.3149,0.0,0.0,0.0,0.0,0.0,CL
14,539.5016,24.9515,60.3182,-51.2563,90.0438,-1075.6827,0.0,0.0,CL
15,599.0806,25.0058,60.343,1773.4925,137.9993,2826.6448,148.4724,0.1804,CL
16,638.7286,25.0528,60.3642,2664.8241,194.7286,2532.3586,208.0,0.264,CL
17,677.7337,25.11,60.3887,4233.4171,235.5124,2762.897,84.2412,0.1327,CL
18,724.2952,25.2032,60.3745,6947.2362,259.3299,3915.1337,144.5729,0.2258,CL
19,766.5296,25.18,60.3262,9276.005,293.2008,2704.5255,76.8342,0.1238,CL
20,806.1967,25.1062,60.2858,11110.0503,316.5344,307.5039,22.3518,0.0396,CL
21,854.6758,25.0058,60.2295,13401.8844,335.894,2870.314,245.8693,0.4599,CL
22,900.2893,24.9102,60.1756,15453.2663,353.7882,3511.303,191.3869,0.3718,CL
23,944.2072,24.8136,60.1209,17548.8693,361.6094,3501.8072,136.9045,0.2758,CL
24,981.8385,24.7297,60.0732,19289.8241,366.9832,3763.1303,195.5779,0.4052,CL
25,1028.3533,24.6258,60.0139,20882.5377,385.4607,1451.4746,27.9397,0.0603,CL
26,1066.8764,24.5339,59.9611,22095.2261,402.9884,1207.5992,26.5427,0.0581,CL
27,1107.0997,24.4344,59.9037,23331.2814,415.7503,1802.1045,0.0,0.0,CL
28,1146.5187,24.3322,59.8446,24451.2563,431.9685,1413.1763,142.4925,0.326,CL
29,1186.1995,24.2263,59.7829,25215.8291,454.5423,2554.3129,189.9899,0.4456,CL
30,1228.842,24.1132,59.7147,26421.1055,464.3882,-706.7243,0.0,0.0,CL
31,1281.9435,23.9797,59.6199,28146.2312,468.0344,3782.4726,257.0452,0.6361,CL
32,1321.771,23.8814,59.5496,29154.6482,473.079,4288.8505,202.5628,0.5159,CL
33,1362.1374,23.7799,59.4782,30086.6834,478.0666,-2218.612,129.9196,0.3365,CL
34,1399.4296,23.6766,59.4156,30858.6683,479.0478,989.5397,93.598,0.2465,CL
35,1441.2814,23.5532,59.3449,31785.5528,481.2814,1837.4617,278.0,0.744,CL
36,1481.7789,23.4353,59.276,32594.4724,485.0,1729.1855,276.1106,0.752,CL
37,1520.1932,23.3269,59.2121,33524.8744,481.9649,1476.4999,208.1508,0.5631,CL
38,1556.9933,23.2249,59.1517,34563.8191,473.7296,1132.2598,124.3317,0.3363,CL
39,1597.5227,23.1139,59.0857,35592.8392,466.3084,1738.6624,98.4724,0.2669,CL
40,1634.3454,23.0119,59.0247,36104.0201,468.1088,1460.7603,233.2965,0.6277,CL
41,1668.939,22.9171,58.9678,36699.1206,467.0126,850.7784,266.2915,0.7217,CL
42,1706.6876,22.8172,58.9075,37319.2211,464.3859,903.1116,64.2613,0.1748,CL
43,1743.2641,22.7199,58.8485,38210.6784,452.6165,-1223.2803,118.7437,0.3229,CL
44,1779.9121,22.6242,58.7901,38575.0,453.972,242.2061,104.0201,0.2819,CL
45,1818.7236,22.5199,58.7264,38754.5226,459.0,1856.2572,278.0,0.752,CL
46,1852.701,22.4349,58.674,38925.0,460.5386,0.0,4.1608,0.0113,CL
47,1889.8483,22.3341,58.6118,39175.0,461.8324,0.0,0.0,0.5933,CL
48,1924.1251,22.2457,58.557,39375.0,464.0371,159.8306,113.1558,0.3045,CL
49,1967.5879,22.1289,58.4841,39594.8492,465.0,1478.5776,277.206,0.7504,CL
