,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9575,60.3149,0.0,0.0,0.0,0.0,0.0,GND
1,97.4649,24.9575,60.3149,0.0,0.0,0.0,0.0,0.0,GND
2,176.5384,24.9575,60.3149,0.0,0.0,0.0,0.0,0.0,GND
3,242.0815,24.9575,60.3149,0.0,0.0,0.0,0.0,0.0,GND
4,309.3631,24.9575,60.315,0.0,0.0,0.0,0.0,0.0,GND
5,364.1688,24.9575,60.315,0.0,0.5377,0.0,0.0,0.0,GND
6,442.006,24.9574,60.3149,0.0,0.0,0.0,0.0,0.0,GND
7,507.0795,24.9574,60.3149,0.0,0.4472,0.0,0.0,0.0,GND
8,563.335,24.9575,60.315,0.0,0.0603,0.0,0.0,0.0,GND
9,623.2157,24.9573,60.3149,0.0,0.4322,0.0,0.0,0.0,GND
10,678.7828,24.957,60.3149,0.0,0.0754,0.0,0.0,0.0,GND
11,731.1658,24.9571,60.3149,0.0,1.0,0.0,0.0,0.0,GND
12,785.9927,24.9573,60.3149,0.0,0.0905,0.0,0.0,0.0,GND
13,837.7989,24.9574,60.315,0.0,0.0,0.0,0.0,0.0,GND
14,931.1422,24.9574,60.3149,0.0,0.0,0.0,0.0,0.0,GND
15,1029.8312,24.9574,60.3151,0.0,0.0,0.0,0.0,0.0,GND
16,1125.261,24.9575,60.3152,0.0,0.0,0.0,0.0,0.0,GND
17,1195.1171,24.9574,60.3151,0.0,0.0,0.0,0.0,0.0,GND
18,1315.0233,24.9575,60.3153,0.0,0.0,0.0,0.0,0.0,GND
19,1369.8605,24.9577,60.3151,0.0,0.0,0.0,0.0,0.0,GND
20,1433.265,24.9576,60.315,0.0,0.0,0.0,0.0,0.0,GND
21,1505.9146,24.9574,60.315,0.0,0.6583,0.0,0.0,0.0,GND
22,1588.7182,24.9575,60.315,0.0,0.0,0.0,0.0,0.0,GND
23,1657.8047,24.957,60.3153,0.0,0.9799,0.0,0.0,0.0,GND
24,1713.0707,24.9557,60.3155,0.0,0.8191,0.0,0.0,0.0,GND
25,1817.1081,24.9556,60.3155,0.0,0.0,0.0,0.0,0.0,GND
26,1909.1991,24.9566,60.3165,0.0,7.2362,0.0,0.0,0.0,GND
27,1962.3074,24.9575,60.3183,0.0,8.4422,0.0,0.0,0.0,GND
28,2017.4056,24.9594,60.3198,0.0,9.4673,0.0,0.0,0.0,GND
29,2071.8744,24.9538,60.3228,0.0,20.0,0.0,0.0,0.0,GND
30,2125.1909,24.95,60.3277,0.0,16.2513,0.0,0.0,0.0,GND
31,2180.9347,24.9454,60.331,0.0,15.0,0.0,0.0,0.0,GND
32,2235.698,24.9284,60.3241,425.0,120.3679,0.0,0.0,0.0,LVL
33,2306.1403,24.8469,60.2985,2593.7186,157.2428,1379.051,0.0,0.0583,CL
34,2366.5126,24.7565,60.2991,3956.407,176.5126,4516.1581,160.0,0.2861,CL
35,2424.4759,24.6488,60.2772,5001.3819,251.3835,2435.8054,122.2111,0.3086,CL
36,2482.9943,24.5378,60.2386,7633.9196,259.4926,3054.6092,116.5829,0.3119,CL
37,2543.0548,24.5549,60.1651,10247.3618,277.522,2704.3374,63.6784,0.0911,CL
38,2598.5729,24.5801,60.093,12664.3216,288.2864,3226.1259,298.5729,0.4691,CL
39,2650.6347,24.6052,60.0195,13814.6985,333.7252,1343.4346,262.0101,0.4129,CL
40,2706.9374,24.6365,59.9278,15030.1508,376.3831,2525.7301,261.2362,0.4135,CL
41,2762.7265,24.6582,59.8296,16675.0,393.429,319.5005,74.8543,0.1207,CL
42,2817.4404,24.611,59.7315,17625.0,391.0359,1025.1256,267.8995,0.4292,CL
43,2873.8695,24.618,59.6331,18000.0,395.0507,0.0,324.7035,0.5208,CR
44,2926.995,24.6833,59.5419,19091.4573,400.6683,829.1457,398.0,0.6413,CL
45,2982.96,24.6612,59.4387,20658.9196,414.9221,1686.5482,0.0,0.0,CL
46,3039.6985,24.6559,59.3283,22318.3417,423.3295,1583.6198,138.0,0.2386,CL
47,3100.7563,24.6495,59.2061,23642.7136,442.0131,1532.7836,340.0,0.598,CL
48,3157.5411,24.6437,59.0878,24634.0452,460.4304,1338.3504,144.0,0.2591,CL
49,3212.5509,24.638,58.9701,25890.201,468.0023,1138.2195,346.0,0.6364,CL
50,3268.3257,24.6323,58.8498,27428.2663,466.0249,1195.4256,150.0,0.2789,CL
51,3323.9401,24.6262,58.7296,28347.1106,476.9077,1305.7976,46.0,0.0874,CL
52,3383.5678,24.6199,58.5971,29498.995,480.608,734.9246,398.0,0.7704,CL
53,3435.9285,24.6144,58.4816,30797.4874,477.0027,1897.6741,358.0,0.6944,CL
54,3490.4929,24.6086,58.3609,32210.1759,479.0016,2025.4619,236.0,0.4649,CL
55,3545.6089,24.6029,58.2395,33320.7286,485.8341,652.2339,364.0,0.728,CL
56,3605.3563,24.597,58.1083,35800.0,460.9942,1040.8672,230.0,0.4531,CL
57,3664.3892,24.5913,57.9852,37348.2412,451.9791,605.7109,27.8593,0.0546,CL
58,3720.3026,24.5857,57.8669,38096.8593,458.0731,1292.8149,174.0,0.348,CL
59,3778.5525,24.5802,57.744,38797.2362,462.0242,568.6539,0.0,0.0,CL
60,3840.0659,24.5643,57.6117,39000.0,467.1963,0.0,180.0,0.3672,CR
61,3901.9249,24.5152,57.4806,39000.0,466.0281,0.0,0.0,0.7755,CR
62,3959.4679,24.4709,57.3592,39000.0,468.419,0.0,212.0,0.4304,CR
63,4013.8981,24.429,57.2442,39000.0,469.0195,0.0,388.0,0.7838,CR
64,4068.6406,24.3866,57.1276,39000.0,471.3632,0.0,206.0,0.4182,CR
65,4125.0851,24.3432,57.0072,39000.0,472.8631,0.0,4.0,0.0081,CR
66,4183.6014,24.2981,56.881,39000.0,474.3032,0.0,200.0,0.404,CR
67,4242.0201,24.2538,56.7557,39000.0,476.0,0.0,398.0,0.808,CR
68,4298.6059,24.2105,56.6331,39000.0,478.2893,0.0,194.0,0.3919,CR
69,4353.0603,24.169,56.5146,39000.0,479.0,0.0,398.0,0.812,CR
70,4412.3505,24.1243,56.3862,39000.0,480.256,0.0,210.0,0.4263,CR
71,4466.3168,24.0837,56.2687,39000.0,481.6181,0.0,14.0,0.0283,CR
