,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
1,110.086,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
2,209.477,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
3,319.547,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
4,419.617,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
5,510.125,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
6,590.242,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
7,684.992,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
8,781.047,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
9,911.367,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
10,1001.289,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
11,1101.523,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
12,1196.203,24.9562,60.3146,0.0,0.0,0.0,0.0,0.0,GND
13,1331.32,24.956,60.3147,0.0,0.0,0.0,0.0,0.0,GND
14,1381.813,24.9548,60.3151,0.0,0.0,0.0,0.0,0.0,GND
15,1441.914,24.9547,60.3151,0.0,0.0,0.0,0.0,0.0,GND
16,1532.906,24.9547,60.3151,0.0,0.0,0.0,0.0,0.0,GND
17,1620.0,24.9549,60.3152,0.0,3.0,0.0,0.0,0.0,GND
18,1663.0,24.9567,60.3162,0.0,6.0,0.0,0.0,0.0,GND
19,1703.063,24.9558,60.3175,0.0,0.0,0.0,0.0,0.0,GND
20,1744.516,24.9588,60.3189,0.0,0.0,0.0,0.0,0.0,GND
21,1784.602,24.9614,60.3201,0.0,0.0,0.0,0.0,0.0,GND
22,1828.023,24.9654,60.3219,0.0,0.0,0.0,0.0,0.0,GND
23,1870.594,24.9697,60.3239,0.0,0.0,0.0,0.0,0.0,GND
24,1912.359,24.9745,60.326,0.0,0.0,0.0,0.0,0.0,GND
25,1953.336,24.9793,60.3282,0.0,0.0,0.0,0.0,0.0,GND
26,1994.0,24.9808,60.3295,0.0,3.0,0.0,0.0,0.0,GND
27,2039.688,24.9808,60.3295,0.0,0.0,0.0,0.0,0.0,GND
28,2084.305,24.9785,60.3304,0.0,0.0,0.0,0.0,0.0,GND
29,2126.906,24.9656,60.3246,425.0,110.9619,0.0,0.0,0.0,LVL
30,2180.563,24.9122,60.2988,2425.0,138.8672,2926.2583,0.0,0.0,CL
31,2229.0,24.8836,60.2714,3825.0,147.876,724.4627,0.0,0.0,CL
32,2276.375,24.846,60.2358,4700.0,212.6953,1263.1579,0.0,0.0,CL
33,2320.227,24.8214,60.1919,6250.0,241.4795,0.0,0.0,0.0,LVL
34,2373.797,24.7659,60.1362,8425.0,255.3223,2188.8681,0.0,0.0,CL
35,2427.0,24.6997,60.0791,10300.0,278.0,2500.0,0.0,0.46,CL
36,2468.0,24.6324,60.0332,11225.0,312.0,3348.214,0.0,0.516,CL
37,2512.0,24.5492,59.9852,12975.0,319.0,2285.424,0.0,0.528,CL
38,2553.531,24.4662,59.9398,14800.0,320.3613,1959.5037,0.0,0.0,CL
39,2596.0,24.3724,59.8962,16425.0,325.0,3577.1068,0.0,0.564,CL
40,2637.641,24.2812,59.8538,17850.0,333.3252,1828.1535,0.0,0.0,CL
41,2678.563,24.1919,59.8093,19000.0,340.5762,1314.9244,0.0,0.0,CL
42,2723.0,24.1108,59.7506,20525.0,338.0,2500.0,0.0,0.62,CL
43,2767.109,24.0357,59.6953,22050.0,332.666,2705.1398,0.0,0.0,CL
44,2811.992,23.9681,59.6359,23400.0,333.1055,0.0,0.0,0.0,CL
45,2859.734,23.8998,59.5708,24650.0,337.2803,803.428,0.0,0.0,CL
46,2899.0,23.8454,59.5153,25600.0,343.0,1746.2166,0.0,0.68,CL
47,2943.0,23.7849,59.4513,26650.0,344.0,1972.819,0.0,0.688,CL
48,2987.0,23.7257,59.3886,27600.0,346.0,1000.0,0.0,0.704,CL
49,3027.617,23.6703,59.3306,28150.0,355.0781,414.7083,0.0,0.0,CL
50,3068.641,23.6062,59.2704,28575.0,366.0644,914.0768,0.0,0.0,CL
51,3109.0,23.541,59.2104,29275.0,369.0,3370.787,0.0,0.752,CL
52,3154.0,23.4671,59.1424,30150.0,370.0,1500.0,0.0,0.756,CL
53,3197.117,23.3976,59.0795,31075.0,367.8223,1093.0289,0.0,0.0,CL
54,3239.0,23.3245,59.0173,31600.0,371.0,533.4282,0.0,0.756,CL
55,3283.0,23.2464,58.9546,32000.0,373.0,0.0,0.0,0.76,CL
56,3327.0,23.1708,58.8897,31975.0,378.0,0.0,0.0,0.76,CL
57,3369.242,23.182,58.8143,31975.0,400.5615,0.0,0.0,0.0,CL
58,3416.0,23.2182,58.7295,32425.0,401.0,1215.2309,446.0,0.764,CL
59,3460.0,23.2517,58.6499,33000.0,402.0,0.0,440.0,0.76,CR
60,3512.0,23.292,58.5554,32975.0,403.0,0.0,438.0,0.756,CR
61,3569.078,23.3361,58.453,32975.0,402.7588,0.0,0.0,0.0,CR
62,3613.539,23.3708,58.3721,33000.0,403.6377,0.0,0.0,0.0,CR
63,3662.297,23.4438,58.2872,33000.0,424.0723,0.0,0.0,0.0,CR
64,3708.898,23.5324,58.2087,33000.0,427.3682,0.0,0.0,0.0,CR
65,3761.0,23.6389,58.12,33000.0,433.0,0.0,440.0,0.76,CR
66,3803.0,23.7222,58.0486,32975.0,434.0,-623.4414,442.0,0.764,CR
67,3851.648,23.8182,57.9673,32975.0,437.4756,0.0,0.0,0.0,CR
68,3900.0,23.9355,57.8906,33000.0,448.0,0.0,440.0,0.76,CR
69,3943.0,24.0672,57.833,33000.0,458.0,416.4353,446.0,0.768,CR
70,3982.0,24.1992,57.7884,32975.0,463.0,0.0,444.0,0.768,CR
71,4033.914,24.393,57.7522,33000.0,473.291,0.0,0.0,0.0,CR
72,4084.0,24.5932,57.7282,33000.0,470.0,0.0,444.0,0.764,CR
73,4134.086,24.79,57.7047,32975.0,469.1162,0.0,0.0,0.0,CR
74,4177.0,24.9577,57.6815,32975.0,464.0,0.0,442.0,0.764,CR
75,4223.0,25.1197,57.6364,32975.0,456.0,0.0,442.0,0.764,CR
76,4275.172,25.2578,57.5612,32975.0,437.2559,0.0,0.0,0.0,CR
77,4315.0,25.3184,57.4879,33000.0,425.0,0.0,438.0,0.756,CR
78,4360.0,25.3333,57.4016,33000.0,411.0,484.8093,436.0,0.752,CR
79,4406.961,25.2884,57.3176,33000.0,407.1533,0.0,0.0,0.0,CR
80,4450.0,25.2178,57.2459,32975.0,408.0,0.0,436.0,0.756,CR
81,4492.32,25.1569,57.1733,33000.0,410.669,0.0,0.0,0.0,CR
82,4540.844,25.0897,57.0887,32975.0,413.3057,0.0,0.0,0.0,CR
83,4595.0,25.0139,56.9934,32975.0,416.0,0.0,436.0,0.756,CR
84,4650.0,24.9373,56.8966,32975.0,418.1396,0.0,0.0,0.0,CR
85,4708.0,24.8562,56.792,33000.0,420.0,0.0,436.0,0.764,CR
86,4755.0,24.7917,56.7087,32975.0,420.0,0.0,436.0,0.764,CR
87,4796.586,24.7352,56.6353,32975.0,420.1172,0.0,0.0,0.0,CR
88,4839.0,24.6759,56.5577,32975.0,421.0,0.0,436.0,0.764,CR
89,4884.258,24.6155,56.4785,32975.0,421.2158,0.0,0.0,0.0,CR
90,4927.0,24.5568,56.4014,32975.0,421.0,0.0,436.0,0.76,CR
91,4969.781,24.4993,56.3253,32975.0,422.5342,0.0,0.0,0.0,CR
92,5016.0,24.4362,56.2414,32975.0,423.0,0.0,436.0,0.76,CR
93,5067.0,24.3672,56.1491,32975.0,424.0,0.0,436.0,0.76,CR
94,5127.148,24.2866,56.0411,32975.0,425.3906,0.0,0.0,0.0,CR
95,5170.914,24.2279,55.9617,32975.0,426.2695,0.0,0.0,0.0,CR
96,5221.008,24.161,55.8706,32975.0,427.1484,0.0,0.0,0.0,CR
97,5280.0,24.0812,55.7615,33000.0,429.0,0.0,0.0,0.76,CR
98,5327.0,24.0183,55.6759,32975.0,430.0,0.0,436.0,0.756,CR
99,5372.0,23.9585,55.5935,32975.0,432.0,0.0,436.0,0.756,CR
100,5416.0,23.8993,55.5118,32975.0,433.0,0.0,436.0,0.756,CR
101,5458.875,23.8426,55.4328,32975.0,435.9375,0.0,0.0,0.0,CR
102,5508.25,23.7767,55.3407,32975.0,438.1348,0.0,0.0,0.0,CR
103,5564.0,23.7014,55.2348,32975.0,440.0,0.0,0.0,0.764,CR
104,5615.0,23.6337,55.1393,32975.0,440.0,0.0,436.0,0.764,CR
105,5665.0,23.5665,55.044,32975.0,441.0,0.0,0.0,0.76,CR
106,5723.0,23.4906,54.9354,32975.0,442.0,0.0,0.0,0.76,CR
107,5780.0,23.4153,54.8274,33000.0,444.0,523.195,436.0,0.764,CR
108,5843.0,23.3315,54.7067,32975.0,445.0,0.0,436.0,0.764,CR
109,5895.609,23.2629,54.6068,32975.0,445.6055,0.0,0.0,0.0,CR
110,5936.164,23.21,54.5294,32975.0,446.4844,0.0,0.0,0.0,CR
111,5978.0,23.154,54.4474,32975.0,448.0,0.0,436.0,0.76,CR
112,6023.078,23.0963,54.3622,33000.0,450.6592,0.0,0.0,0.0,CR
113,6071.195,23.0583,54.2637,32975.0,459.668,0.0,0.0,0.0,CR
114,6126.0,23.0382,54.1471,33000.0,462.0,0.0,436.0,0.764,CR
115,6192.0,23.0271,54.0053,32975.0,464.0,-375.0,436.0,0.76,CR
116,6247.0,23.0178,53.888,32975.0,466.0,0.0,436.0,0.756,CR
117,6312.0,23.0048,53.7484,32975.0,468.0,0.0,436.0,0.76,CR
118,6370.0,22.993,53.6226,32975.0,471.0,0.0,436.0,0.76,CR
119,6436.0,22.9796,53.4791,32975.0,473.0,0.0,0.0,0.76,CR
120,6482.445,22.9694,53.3783,32975.0,474.8291,0.0,0.0,0.0,CR
121,6528.0,22.9588,53.2778,33000.0,476.0,250.0,0.0,0.768,CR
122,6571.844,22.9481,53.1823,32975.0,475.9277,0.0,0.0,0.0,CR
123,6620.0,22.936,53.0764,32975.0,476.0,0.0,436.0,0.76,CR
124,6676.0,22.9216,52.9536,33000.0,478.0,0.0,436.0,0.76,CR
125,6734.336,22.9063,52.8252,33000.0,479.2236,0.0,0.0,0.0,CR
126,6792.0,22.8905,52.697,32975.0,478.0,0.0,0.0,0.764,CR
127,6856.0,22.8725,52.5576,32975.0,476.0,0.0,0.0,0.76,CR
128,6915.0,22.8553,52.4286,32975.0,475.0,0.0,0.0,0.76,CR
129,6979.0,22.8356,52.2869,32975.0,475.0,0.0,0.0,0.752,CR
130,7032.0,22.8194,52.1717,33000.0,476.0,312.6954,0.0,0.756,CR
131,7079.0,22.8067,52.069,33000.0,477.0,300.0,442.0,0.756,CR
132,7120.539,22.862,51.9859,32975.0,472.8516,0.0,0.0,0.0,CR
133,7163.0,22.9496,51.9108,33000.0,473.0,0.0,446.0,0.764,CR
134,7227.0,23.0763,51.7945,33000.0,474.0,0.0,450.0,0.768,CR
135,7299.0,23.2171,51.6636,32975.0,471.0,0.0,448.0,0.768,CR
136,7349.508,23.3144,51.5733,32975.0,466.04,0.0,0.0,0.0,CR
137,7399.32,23.4101,51.4848,33000.0,462.9639,0.0,0.0,0.0,CR
138,7450.0,23.5414,51.4199,32975.0,442.0,0.0,448.0,0.768,CR
139,7510.0,23.7229,51.3772,33000.0,438.0,0.0,446.0,0.764,CR
140,7564.0,23.8857,51.3377,32975.0,436.0,0.0,448.0,0.764,CR
141,7612.0,24.0292,51.3024,32975.0,436.0,0.0,446.0,0.76,CR
142,7656.82,24.1621,51.2698,32975.0,435.9375,0.0,0.0,0.0,CR
143,7703.0,24.3005,51.2356,33000.0,434.0,0.0,442.0,0.756,CR
144,7765.68,24.4859,51.1893,32975.0,437.0361,0.0,0.0,0.0,CR
145,7824.0,24.6604,51.1455,32975.0,438.0,0.0,442.0,0.756,CR
146,7883.0,24.8382,51.1005,32975.0,441.0,-500.0,438.0,0.752,CR
147,7940.0,25.0095,51.0569,33000.0,449.0,0.0,442.0,0.756,CR
148,7988.0,25.1585,51.0186,32975.0,452.0,0.0,440.0,0.752,CR
