,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9563,60.3146,0.0,0.0,0.0,0.0,0.0,GND
1,50.7627,24.9556,60.3149,0.0,0.6633,0.0,0.0,0.0,GND
2,129.163,24.9555,60.3154,0.0,0.0,0.0,0.0,0.0,GND
3,236.9614,24.9553,60.3153,0.0,0.0,0.0,0.0,0.0,GND
4,298.298,24.9521,60.3148,0.0,7.9598,0.0,0.0,0.0,GND
5,344.8689,24.9476,60.3138,0.0,16.1005,0.0,0.0,0.0,GND
6,390.881,24.9432,60.3118,0.0,0.0,0.0,0.0,0.0,GND
7,434.8055,24.9384,60.3104,0.0,8.2161,0.0,0.0,0.0,GND
8,480.3001,24.9431,60.3143,0.0,18.0302,0.0,0.0,0.0,GND
9,541.0095,25.0054,60.343,1625.0,164.0014,2295.8019,168.2915,0.0,CL
10,592.6258,25.0739,60.3737,2778.8945,224.258,2954.177,178.3015,0.2746,CL
11,641.0778,25.1292,60.4151,4978.392,236.2418,2379.5659,101.9899,0.159,CL
12,687.0402,25.0619,60.4494,6559.6734,265.0402,693.4673,265.3869,0.4108,CL
13,733.1116,24.9484,60.4354,8378.1407,283.768,1389.0147,33.6683,0.0568,CL
14,775.8266,24.8285,60.4189,9242.8392,333.0077,1424.7106,25.5879,0.0493,CL
15,819.0878,24.696,60.4003,11077.5126,342.9953,2881.4832,84.8442,0.1722,CL
16,866.1195,24.5495,60.3797,12967.4623,354.419,2330.6674,0.0,0.0,CL
17,914.4277,24.3948,60.3577,15062.0603,357.2254,2325.0852,203.3568,0.4431,CL
18,959.7648,24.2496,60.3368,16751.5075,363.2239,1749.7758,5.3869,0.0121,CL
19,1003.598,24.1034,60.3156,18264.9497,370.799,1691.1518,268.0,0.6192,CL
20,1052.6248,23.9395,60.2933,19872.2362,376.1653,2183.6396,141.005,0.3698,CL
21,1096.6435,23.7865,60.2769,20967.8392,388.5892,1508.7173,95.6181,0.2341,CL
22,1141.9887,23.6255,60.2592,22335.1759,393.4041,1650.1963,36.3618,0.0912,CL
23,1185.9312,23.4651,60.2413,23372.8643,401.0564,1784.3862,245.1055,0.6256,CL
24,1229.7581,23.3041,60.2233,24459.6734,406.9796,3085.9996,185.8492,0.4882,CL
25,1277.9669,23.1272,60.2032,25561.809,412.0978,1085.4714,141.407,0.3757,CL
