,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9727,60.3159,0.0,0.0,0.0,0.0,0.0,GND
1,41.986,24.9731,60.316,0.0,2.3216,0.0,0.0,0.0,GND
2,67.4623,24.9737,60.3161,0.0,1.3568,0.0,0.0,0.0,GND
3,90.3216,24.9743,60.3159,0.0,3.0,0.0,0.0,0.0,GND
4,115.0955,24.9743,60.3159,0.0,0.9045,0.0,0.0,0.0,GND
5,186.3794,24.9743,60.3159,0.0,0.0,0.0,0.0,0.0,GND
6,222.6432,24.9748,60.3164,0.0,7.6432,0.0,0.0,0.0,GND
7,246.4171,24.9742,60.3175,0.0,16.0,0.0,0.0,0.0,GND
8,269.191,24.9723,60.3193,0.0,15.0,0.0,0.0,0.0,GND
9,293.9648,24.9704,60.3212,0.0,21.9648,0.0,0.0,0.0,GND
10,316.7387,24.9679,60.3236,0.0,27.0,0.0,0.0,0.0,GND
11,344.9469,24.9648,60.3264,0.0,12.8141,0.0,0.0,0.0,GND
12,370.2864,24.9621,60.3288,0.0,15.7136,0.0,0.0,0.0,GND
13,401.0398,24.9595,60.3292,0.0,0.5427,0.0,0.0,0.0,GND
14,427.8342,24.9577,60.3303,0.0,11.0,0.0,0.0,0.0,GND
15,451.608,24.9556,60.3296,0.0,14.0,0.0,0.0,0.0,GND
16,475.2925,24.9533,60.329,0.0,7.4171,0.0,0.0,0.0,GND
17,498.1558,24.9523,60.3295,0.0,1.0,0.0,0.0,0.0,GND
18,531.7241,24.9523,60.3295,0.0,0.0,0.0,0.0,0.0,GND
19,605.9298,24.9523,60.3296,0.0,0.0,0.0,0.0,0.0,GND
20,677.9713,24.9523,60.3296,0.0,0.0,0.0,0.0,0.0,GND
21,753.057,24.9523,60.3296,0.0,0.0,0.0,0.0,0.0,GND
22,828.001,24.9523,60.3296,0.0,0.0,0.0,0.0,0.0,GND
23,863.8446,24.9518,60.3298,0.0,3.995,0.0,0.0,0.0,GND
24,888.5729,24.9505,60.33,0.0,7.0,0.0,0.0,0.0,GND
25,911.4388,24.9491,60.3299,0.0,2.7739,0.0,0.0,0.0,GND
26,935.1206,24.9479,60.3296,0.0,7.0,0.0,0.0,0.0,GND
27,958.8945,24.9471,60.33,0.0,1.8945,0.0,0.0,0.0,GND
28,983.2139,24.9469,60.3301,0.0,0.3317,0.0,0.0,0.0,GND
29,1026.9431,24.9469,60.3301,0.0,0.0,0.0,0.0,0.0,GND
30,1081.2161,24.9467,60.3303,0.0,4.0,0.0,0.0,0.0,GND
31,1104.9899,24.9455,60.3309,0.0,12.0,0.0,0.0,0.0,GND
32,1130.7638,24.9441,60.3313,0.0,5.2362,0.0,0.0,0.0,GND
33,1156.1178,24.9438,60.3311,0.0,0.0,0.0,0.0,0.0,GND
34,1185.3116,24.9391,60.329,0.0,75.2462,0.0,0.0,0.108,GND
35,1235.2563,24.8925,60.3075,1583.5427,152.1709,2189.0363,0.0,0.2323,CL
36,1290.5635,24.8159,60.2824,3278.8945,208.5306,2715.5208,0.0,0.2922,CL
37,1341.9489,24.7163,60.2569,5610.804,250.4483,3965.9986,0.0,0.1526,CL
38,1391.3785,24.614,60.2285,8435.1759,280.4194,2880.1264,0.0,0.2656,CL
39,1441.2784,24.5577,60.1699,11118.0905,295.0168,1933.924,0.0,0.3768,CL
40,1487.983,24.5003,60.1108,13623.8693,304.9792,3819.0955,0.0,0.4583,CL
41,1526.6991,24.4513,60.0602,15336.4322,320.1577,2401.5791,0.0,0.3643,CL
42,1561.9338,24.4048,60.0117,16375.0,347.6954,520.5658,0.0,0.2734,CL
43,1599.2764,24.3498,59.9543,17406.9095,375.0,2608.8326,0.0,0.588,CL
44,1644.8793,24.2821,59.8829,19327.5126,385.4305,1640.8968,0.0,0.0306,CL
45,1678.8241,24.2295,59.8271,20695.603,391.0,2027.6382,0.0,0.624,CL
46,1712.6293,24.1781,59.7726,21939.9497,399.0978,972.8688,0.0,0.3827,CL
47,1757.7437,24.0939,59.6998,23577.8894,401.3719,2455.6027,0.0,0.66,CL
48,1801.8724,23.9987,59.6326,24960.9296,412.3646,1959.6351,0.0,0.0991,CL
49,1843.9196,23.9052,59.5656,26270.9799,419.9196,2758.794,0.0,0.696,CL
50,1891.3437,23.8009,59.4911,27602.0101,428.0084,1534.8745,0.0,0.4937,CL
51,1939.4173,23.6906,59.4133,28736.6834,436.3178,1190.6657,0.0,0.3402,CL
52,1989.7374,23.5714,59.3309,29881.0302,446.9422,1191.9119,0.0,0.1795,CL
53,2037.1838,23.4575,59.2509,30825.3769,456.8144,697.5075,0.0,0.0115,CL
54,2083.5036,23.345,59.1714,31809.1709,461.1362,1509.4606,0.0,0.6122,CL
55,2136.6884,23.2168,59.08,33328.1407,456.0,1441.8742,0.0,0.772,CL
56,2187.4707,23.0985,58.9952,35033.4171,442.0302,1080.6806,0.0,0.5015,CL
57,2237.6999,22.9801,58.9104,35505.5276,455.0478,1071.7952,0.0,0.0853,CL
58,2290.5675,22.8565,58.8206,36591.3317,453.085,1063.5755,0.0,0.6828,CL
59,2339.6306,22.7429,58.7379,37616.4573,445.5432,694.238,0.0,0.2624,CL
60,2389.9961,22.6263,58.6523,38010.804,448.1047,281.2326,0.0,0.4338,CL
61,2440.921,22.5114,58.5676,38000.0,448.1923,0.0,0.0,0.1582,CR
62,2489.9719,22.3989,58.4842,38000.0,441.0175,0.0,0.0,0.7486,CR
63,2540.397,22.2867,58.4004,38000.0,451.1594,0.0,0.0,0.1911,CR
64,2589.5168,22.175,58.3164,38000.0,461.0973,0.0,0.0,0.42,CR
65,2637.3728,22.0643,58.2326,38000.0,457.4823,0.0,0.0,0.24,CR
66,2689.0371,21.9473,58.1434,38000.0,454.0629,0.0,0.0,0.7323,CR
67,2740.7915,21.8322,58.0553,37975.0,455.9898,0.0,0.0,0.6692,CR
68,2793.4925,21.7121,57.963,37990.5779,457.0,233.6683,0.0,0.792,CR
69,2846.5383,21.5915,57.8696,38009.9246,459.1779,153.6716,0.0,0.48,CR
70,2898.3911,21.4756,57.7791,38020.7286,460.0934,-111.9622,0.0,0.66,CR
71,2949.1549,21.3623,57.6903,38025.0,461.1947,0.0,0.0,0.0438,CR
72,2995.1623,21.2618,57.6111,38000.0,462.0857,0.0,0.0,0.5691,CR
73,3048.3078,21.141,57.5148,37987.3116,464.9711,1181.9095,0.0,0.402,CR
74,3103.2289,21.0183,57.417,38006.6583,466.9405,-1712.4988,0.0,0.2109,CR
75,3156.1014,20.9012,57.3226,38050.0,464.0202,0.0,0.0,0.764,CR
76,3203.4422,20.7965,57.2381,38050.0,461.0,0.0,0.0,0.804,CR
77,3250.9117,20.6946,57.1549,38025.0,459.0036,0.0,0.0,0.468,CR
78,3304.9055,20.5782,57.0596,37975.0,457.4406,0.0,0.0,0.2851,CR
79,3357.0233,20.4657,56.9674,37975.0,458.0772,0.0,0.0,0.688,CR
80,3409.7286,20.352,56.8734,38025.0,456.0,0.0,0.0,0.8036,CR
81,3460.0503,20.248,56.7866,38000.0,455.0,0.0,0.0,0.796,CR
82,3508.4609,20.1461,56.7009,38000.0,453.5372,0.0,0.0,0.4298,CR
83,3564.9731,20.0292,56.6026,37975.0,453.9655,0.0,0.0,0.1822,CR
84,3615.0099,19.9245,56.5134,37975.0,457.0002,0.0,0.0,0.792,CR
85,3668.7272,19.8148,56.4204,38025.0,457.2012,0.0,0.0,0.62,CR
86,3713.1011,19.721,56.3399,38025.0,457.5031,0.0,0.0,0.3578,CR
87,3757.5745,19.6312,56.262,38025.0,456.8731,0.0,0.0,0.26,CR
88,3805.3087,19.533,56.1775,38022.4874,454.3549,-50.3856,0.0,0.08,CR
89,3854.6614,19.4292,56.0924,38000.0,451.9696,0.0,0.0,0.6925,CR
90,3905.9944,19.3225,56.0039,37975.0,454.0615,176.8225,0.0,0.516,CR
91,3958.1013,19.2136,55.9127,38000.0,453.1249,-518.4415,0.0,0.46,CR
92,3998.5205,19.1291,55.8417,38025.0,451.9956,0.0,0.0,0.64,CR
93,4046.3715,19.0321,55.7597,38000.0,451.3088,0.0,0.0,0.024,CR
94,4090.7437,18.9403,55.6819,37975.0,450.0,0.0,0.0,0.796,CR
95,4139.5528,18.8419,55.5981,38000.0,450.0,0.0,0.0,0.796,CR
96,4181.5237,18.7558,55.5244,38000.0,452.1856,0.0,0.0,0.5612,CR
