,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7355,41.259,0.0,0.0,0.0,0.0,0.0,GND
1,105.2513,28.7354,41.2593,0.0,0.0,0.0,0.0,0.0,GND
2,205.12,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
3,290.9587,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
4,355.6119,28.7355,41.2592,0.0,0.0,0.0,0.0,0.0,GND
5,441.0597,28.7355,41.259,0.0,0.0,0.0,0.0,0.0,GND
6,521.2335,28.7355,41.2592,0.0,0.0,0.0,0.0,0.0,GND
7,590.1494,28.7356,41.259,0.0,0.0,0.0,0.0,0.0,GND
8,659.2386,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
9,725.3745,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
10,809.2479,28.7355,41.2592,0.0,0.0,0.0,0.0,0.0,GND
11,875.5164,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
12,943.0415,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
13,1009.9779,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
14,1077.174,28.7355,41.2592,0.0,0.0,0.0,0.0,0.0,GND
15,1146.7658,28.7355,41.2592,0.0,0.0,0.0,0.0,0.0,GND
16,1224.5832,28.7356,41.2592,0.0,0.0,0.0,0.0,0.0,GND
17,1291.2884,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
18,1361.8945,28.7356,41.2592,0.0,0.0,0.0,0.0,0.0,GND
19,1431.7251,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
20,1503.2161,28.7356,41.2591,0.0,0.0,0.0,0.0,0.0,GND
21,1568.5567,28.7356,41.2591,0.0,0.0,0.0,0.0,0.0,GND
22,1632.3175,28.7355,41.2592,0.0,0.0,0.0,0.0,0.0,GND
23,1698.6861,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
24,1779.9107,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
25,1850.0302,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
26,1925.9255,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
27,2049.1215,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
28,2168.0922,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
29,2239.668,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
30,2308.1004,28.7354,41.2592,0.0,0.0,0.0,0.0,0.0,GND
31,2377.5917,28.7356,41.2592,0.0,0.0,0.0,0.0,0.0,GND
32,2444.1457,28.7348,41.2594,0.0,3.0,0.0,0.0,0.0,GND
33,2520.6332,28.7342,41.2593,0.0,0.0,0.0,0.0,0.0,GND
34,2632.4426,28.7342,41.2593,0.0,0.0,0.0,0.0,0.0,GND
35,2738.9367,28.7342,41.2593,0.0,0.0,0.0,0.0,0.0,GND
36,2825.7228,28.7345,41.26,0.0,3.3166,0.0,0.0,0.0,GND
37,2889.6464,28.735,41.2627,0.0,0.0,0.0,0.0,0.0,GND
38,2958.6382,28.7334,41.2658,0.0,10.0,0.0,0.0,0.0,GND
39,3026.1022,28.7299,41.2659,0.0,2.1608,0.0,0.0,0.0,GND
40,3095.9832,28.7295,41.2659,0.0,0.0,0.0,0.0,0.0,GND
41,3225.3114,28.7295,41.2659,0.0,0.0,0.0,0.0,0.0,GND
42,3362.471,28.7295,41.2659,0.0,0.0,0.0,0.0,0.0,GND
43,3443.5189,28.7263,41.2658,0.0,8.7437,0.0,0.0,0.0,GND
