,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7373,41.2673,0.0,0.0,0.0,0.0,0.0,GND
1,151.9812,28.7373,41.2673,0.0,0.0,0.0,0.0,0.0,GND
2,303.3689,28.7373,41.2673,0.0,0.0,0.0,0.0,0.0,GND
3,506.1375,28.7373,41.2673,0.0,0.0,0.0,0.0,0.0,GND
4,658.4535,28.7373,41.2673,0.0,0.0,0.0,0.0,0.0,GND
5,798.0126,28.7373,41.2673,0.0,0.0,0.0,0.0,0.0,GND
6,954.6046,28.7375,41.2673,0.0,0.9648,0.0,0.0,0.0,GND
7,1017.3084,28.7386,41.2672,0.0,0.8744,0.0,0.0,0.0,GND
8,1120.1618,28.7388,41.2671,0.0,0.0,0.0,0.0,0.0,GND
9,1308.4395,28.7388,41.2673,0.0,1.0352,0.0,0.0,0.0,GND
10,1370.9102,28.7381,41.2687,0.0,5.2161,0.0,0.0,0.0,GND
11,1432.5007,28.7341,41.2686,0.0,2.3065,0.0,0.0,0.0,GND
12,1493.2916,28.7305,41.2686,0.0,3.2111,0.0,0.0,0.0,GND
13,1555.2649,28.7299,41.2677,0.0,0.0,0.0,0.0,0.0,GND
14,1674.0828,28.7299,41.2677,0.0,0.0,0.0,0.0,0.0,GND
15,1806.5453,28.7299,41.2677,0.0,0.0,0.0,0.0,0.0,GND
16,1881.5842,28.7297,41.267,0.0,0.9548,0.0,0.0,0.0,GND
17,1998.6843,28.7294,41.2671,0.0,0.0,0.0,0.0,0.0,GND
18,2160.8692,28.7294,41.2671,0.0,0.0,0.0,0.0,0.0,GND
19,2269.1114,28.7294,41.2671,0.0,0.0,0.0,0.0,0.0,GND
20,2375.0159,28.7294,41.2671,0.0,0.0,0.0,0.0,0.0,GND
21,2572.9668,28.7294,41.2671,0.0,0.0,0.0,0.0,0.0,GND
22,2707.693,28.7294,41.2671,0.0,0.0,0.0,0.0,0.0,GND
23,2866.8825,28.7294,41.2671,0.0,0.0,0.0,0.0,0.0,GND
24,3010.3692,28.7294,41.2671,0.0,0.0,0.0,0.0,0.0,GND
25,3118.1606,28.7275,41.2671,0.0,6.0603,0.0,0.0,0.0,GND
26,3182.0104,28.7253,41.267,0.0,5.6382,0.0,0.0,0.0,GND
27,3252.6357,28.7248,41.2831,105.9045,153.2124,481.7782,0.0,0.0,CL
28,3375.2651,28.721,41.3909,3533.4171,244.8902,1003.077,0.0,0.0,CL
29,3485.0513,28.6424,41.5119,5416.3317,270.7285,1169.8696,0.0,0.0,CL
30,3587.452,28.5379,41.6188,9535.804,288.0241,3535.2956,173.8995,0.27,CL
31,3687.9849,28.3879,41.7212,12624.3719,349.0,2510.0503,347.9899,0.544,CL
32,3764.783,28.2647,41.8046,15572.7387,361.3885,555.45,139.0151,0.22,CL
33,3837.5576,28.1412,41.888,18126.8844,371.1289,2751.0406,287.5477,0.4613,CL
34,3911.1717,28.0193,41.9797,20446.1055,380.9667,2496.2768,327.5578,0.5335,CL
35,3988.7284,27.921,42.0964,22327.1357,395.1317,3026.0685,217.0854,0.356,CL
