,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.8221,41.3785,3550.0,245.0,19.9925,238.0,0.36,LVL
1,65.8318,28.8159,41.4595,6200.0,284.9391,594.5591,252.8543,0.3893,CL
2,135.8334,28.8045,41.5539,9829.7739,293.9943,2625.306,52.1005,0.0803,CL
3,196.9259,28.7502,41.6278,11548.6181,338.0671,2624.4291,91.7186,0.1422,CL
4,263.5901,28.6301,41.6633,15484.0452,315.2725,-283.5337,204.2211,0.3242,DE
5,317.191,28.5248,41.6937,16545.8543,364.0,866.8769,368.0,0.5862,CL
6,372.3719,28.4077,41.7278,18707.1608,375.4573,1613.0799,380.0,0.6098,CL
7,426.1889,28.2868,41.7629,20775.0,384.6084,1184.8163,143.799,0.2333,CL
8,480.1055,28.1667,41.7975,22502.6382,393.2764,1180.0363,400.0,0.6531,CL
9,535.3719,28.0415,41.8335,23704.6482,401.0,139.4472,407.6281,0.6713,CL
10,589.357,27.9113,41.8705,24102.3869,405.3577,1354.8685,39.3367,0.0649,CL
11,645.819,27.7777,41.9085,25750.0,411.5451,1854.4512,2.1106,0.0035,CL
12,690.9513,27.6716,41.9385,26877.1357,417.9932,-2195.8398,391.4372,0.6548,DE
13,748.7834,27.5282,41.9788,28336.809,423.8785,1920.4991,76.3317,0.1294,CL
14,799.4902,27.4074,42.0155,29600.0,426.2473,776.7288,325.7487,0.5517,CL
15,853.2251,27.2928,42.0823,30666.0804,437.0913,1736.9053,290.7337,0.4966,CL
16,909.7701,27.1701,42.1538,31713.8191,442.6912,2984.9246,253.1658,0.4356,CL
17,959.5086,27.0617,42.2166,32425.0,449.7637,389.5352,212.6633,0.368,CL
18,1005.4874,26.9605,42.2751,32843.593,459.3719,278.8945,464.0,0.804,CL
19,1058.6948,26.8377,42.3459,33646.1055,463.0517,1231.4855,336.3015,0.5835,CL
20,1110.1163,26.7209,42.4129,34629.7739,460.1044,1380.5079,375.397,0.6537,CL
21,1163.402,26.5996,42.4821,35402.5126,460.0,37.6884,462.0,0.808,CR
22,1224.0095,26.454,42.5489,36275.2513,451.0054,758.4151,453.397,0.7999,CL
23,1274.9686,26.3198,42.5867,36875.0,448.0548,46.2258,421.1759,0.7394,CL
24,1319.8465,26.1971,42.6164,37316.4573,449.2826,1116.9453,78.593,0.1381,CL
25,1373.0949,26.0548,42.6501,37968.4673,445.2849,497.2161,120.7236,0.2122,CL
26,1438.5796,25.8838,42.6906,38000.0,442.0316,0.0,298.191,0.5238,CR
27,1489.8737,25.7479,42.7226,38000.0,441.2876,0.0,256.5829,0.4507,CR
28,1533.3613,25.6325,42.7493,38000.0,442.042,0.0,245.0251,0.4304,CR
29,1581.4976,25.5047,42.7791,38000.0,443.3913,0.0,172.6131,0.303,CR
30,1631.1028,25.3733,42.8095,38000.0,447.0411,0.0,329.6683,0.5794,CR
31,1677.3542,25.2475,42.8385,38000.0,447.1154,0.0,90.5427,0.1591,CR
32,1729.2943,25.1082,42.8703,38000.0,446.4333,0.0,48.7538,0.0857,CR
33,1778.9311,24.9745,42.9006,38000.0,446.9099,0.0,6.9347,0.0122,CR
34,1822.8316,24.8593,42.9265,38000.0,447.0439,0.0,425.3266,0.7471,CR
35,1871.109,24.7272,42.9562,38000.0,447.1197,0.0,76.2814,0.134,CR
36,1918.1898,24.6005,42.9843,38000.0,447.597,0.0,117.8894,0.2071,CR
37,1970.9133,24.46,43.0155,38000.0,448.084,0.0,300.5025,0.5278,CR
38,2021.6884,24.324,43.0455,38000.0,447.4372,0.0,462.0,0.812,CR
39,2065.91,24.202,43.0722,38000.0,446.1396,0.0,218.2312,0.3817,CR
40,2109.8652,24.0831,43.0981,38000.0,446.1636,0.0,174.9146,0.3071,CR
41,2155.455,23.9617,43.1244,38000.0,447.298,0.0,325.9296,0.5725,CR
42,2200.8506,23.8364,43.1513,38000.0,446.9391,0.0,92.0603,0.1624,CR
43,2248.1987,23.7113,43.178,38000.0,447.0645,0.0,409.1457,0.7187,CR
44,2295.0804,23.5827,43.2053,38000.0,448.0,0.0,458.0,0.808,CR
45,2344.9296,23.4443,43.2346,38000.0,448.4294,0.0,32.3618,0.0568,CR
46,2393.5213,23.3144,43.2618,38000.0,449.0195,0.0,382.6734,0.6747,CR
47,2437.9274,23.1922,43.2872,38000.0,450.9696,0.0,342.9246,0.602,CR
48,2484.9749,23.0638,43.3138,38000.0,453.6583,0.0,455.3166,0.804,CR
49,2547.6119,22.8889,43.3498,38000.0,456.1608,0.0,260.0704,0.4588,CR
50,2592.6818,22.7636,43.3758,38000.0,455.8629,0.0,238.3116,0.4223,CR
51,2643.8133,22.6197,43.4096,38000.0,457.9102,0.0,0.0,0.0,CR
52,2691.2897,22.491,43.4391,38000.0,459.198,0.0,323.6181,0.5713,CR
53,2740.4154,22.3553,43.4698,38000.0,459.0924,0.0,363.6382,0.6415,CR
54,2787.7992,22.2196,43.5004,38000.0,459.2021,0.0,52.9347,0.0934,CR
55,2842.6439,22.0661,43.5346,38000.0,460.9867,0.0,11.608,0.0204,CR
56,2902.7387,21.9011,43.5713,38000.0,458.0,0.0,460.0,0.808,CR
57,2951.2722,21.7672,43.6008,38000.0,458.0545,0.0,386.6533,0.6788,CR
58,3002.9749,21.6214,43.6327,38000.0,460.1347,0.0,348.2412,0.609,CR
