,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7436,41.2636,0.0,0.0,0.0,0.0,0.0,GND
1,50.5762,28.7436,41.2636,0.0,0.0,0.0,0.0,0.0,GND
2,108.2054,28.7435,41.2635,0.0,0.0,0.0,0.0,0.0,GND
3,150.2686,28.7436,41.2636,0.0,0.0,0.0,0.0,0.0,GND
4,203.6837,28.7436,41.2636,0.0,0.0,0.0,0.0,0.0,GND
5,263.4271,28.7436,41.2637,0.0,0.0,0.0,0.0,0.0,GND
6,318.7483,28.7436,41.2636,0.0,0.0,0.0,0.0,0.0,GND
7,365.0704,28.7436,41.2636,0.0,0.0,0.0,0.0,0.0,GND
8,440.6834,28.7436,41.2636,0.0,0.0,0.0,0.0,0.0,GND
9,530.2015,28.7436,41.2637,0.0,0.0,0.0,0.0,0.0,GND
10,616.7085,28.7436,41.2637,0.0,0.0,0.0,0.0,0.0,GND
11,677.7638,28.7434,41.2633,0.0,0.0,0.0,0.0,0.0,GND
12,726.0251,28.7436,41.2636,0.0,0.0,0.0,0.0,0.0,GND
13,806.5872,28.7436,41.2636,0.0,0.0,0.0,0.0,0.0,GND
14,898.3568,28.7436,41.2636,0.0,0.0,0.0,0.0,0.0,GND
15,962.9194,28.744,41.2638,0.0,0.7688,0.0,0.0,0.0,GND
16,1039.5915,28.7448,41.2642,0.0,0.0,0.0,0.0,0.0,GND
17,1280.8558,28.7447,41.2661,0.0,0.0,0.0,0.0,0.0,GND
18,1344.2192,28.7453,41.2687,0.0,0.0,0.0,0.0,0.0,GND
19,1420.0322,28.7507,41.2688,0.0,0.0,0.0,0.0,0.0,GND
20,1467.9177,28.7536,41.2687,0.0,2.7337,0.0,0.0,0.0,GND
21,1518.0352,28.7538,41.2665,0.0,11.7588,0.0,0.0,0.0,GND
22,1570.5125,28.754,41.2642,0.0,1.407,0.0,0.0,0.0,GND
23,1616.0374,28.7558,41.2641,0.0,3.6633,0.0,0.0,0.0,GND
24,1660.026,28.7566,41.267,0.0,56.4271,0.0,0.0,0.0,GND
25,1718.1829,28.7587,41.3058,1564.0704,162.8459,2123.4826,176.2915,0.1128,CL
26,1787.5643,28.8071,41.3582,2880.5276,232.6437,2452.0831,237.0955,0.3174,CL
27,1879.3477,28.8148,41.4611,6569.598,264.9295,2408.238,267.8744,0.1097,CL
28,1932.1307,28.7452,41.503,8651.7588,292.4717,2707.8654,277.8894,0.2985,CL
29,1987.179,28.653,41.5365,10475.0,312.0011,1017.5879,300.2764,0.4269,CL
30,2040.5628,28.5547,41.5746,11376.8844,358.5419,1012.5628,312.6683,0.285,CL
31,2099.6194,28.4358,41.6192,13473.2412,370.2224,941.2043,272.809,0.0414,CL
32,2159.2597,28.3108,41.6658,15409.6734,381.3068,2692.87,345.3518,0.3998,CL
33,2214.2915,28.1912,41.7103,17195.4774,389.0,2476.3819,397.5276,0.628,CL
34,2267.6228,28.0766,41.7528,18465.7035,403.1624,-1415.9315,290.5075,0.1172,DE
35,2319.4191,27.9586,41.7963,19959.799,406.4433,2719.0171,354.1005,0.3971,CL
36,2366.0419,27.8511,41.8358,21150.3769,413.9995,1977.9805,419.6332,0.6697,CL
37,2412.0696,27.7453,41.8745,22207.4121,419.3878,1951.9231,357.5578,0.3907,CL
38,2457.4505,27.6409,41.9126,23217.4623,422.4537,1230.0736,290.1759,0.1061,CL
39,2500.31,27.5378,41.9501,24050.0,428.7995,820.6581,391.9246,0.5253,CL
40,2546.7303,27.4248,41.991,24809.1709,436.2585,2627.4756,387.3317,0.4975,CL
41,2592.3015,27.3123,42.0317,25705.0251,439.0,2048.4036,448.0,0.7364,CL
42,2645.9561,27.1893,42.0871,26775.8794,440.8898,717.5433,361.7889,0.3892,CL
43,2694.9536,27.0848,42.1541,27471.7337,447.0668,3943.7697,447.2613,0.7141,CL
44,2752.2301,26.9674,42.2316,28326.3819,450.6366,370.4457,334.2965,0.2716,CL
45,2814.2527,26.8224,42.3013,29269.2211,448.693,722.3676,311.4623,0.1803,CL
46,2868.5578,26.6865,42.3547,30229.6482,445.0,1008.794,462.0,0.78,CL
47,2925.5546,26.5476,42.409,31025.0,444.5706,767.8625,343.206,0.3112,CL
48,2976.0402,26.4221,42.4575,31776.005,442.0,2298.4366,459.9598,0.784,CL
49,3015.2782,26.3276,42.494,32307.7889,440.995,406.8107,349.3769,0.3428,CL
50,3070.4308,26.1924,42.5462,33039.0704,439.066,1070.0073,426.4573,0.6663,CL
51,3117.1576,26.0787,42.5898,33631.7839,435.983,1293.3267,401.2563,0.5683,CL
52,3168.6884,25.9541,42.6375,34000.0,435.0,0.0,453.3769,0.784,CR
53,3223.0089,25.8256,42.6864,34000.0,431.9843,0.0,284.7337,0.0823,CR
54,3286.0943,25.672,42.7445,34000.0,430.317,0.0,361.6834,0.4076,CR
55,3344.8191,25.53,42.798,34000.0,429.0,0.0,450.0,0.78,CR
56,3403.7136,25.3868,42.8517,34000.0,429.0,0.0,450.0,0.78,CR
57,3450.6043,25.2749,42.8933,34000.0,430.0011,0.0,408.1658,0.6005,CR
58,3494.434,25.1701,42.9323,34025.0,429.0241,0.0,416.2915,0.6343,CR
59,3545.0592,25.0496,42.9769,34025.0,428.4174,0.0,338.2965,0.3073,CR
60,3590.7814,24.9404,43.0172,34000.0,428.2409,0.0,269.6985,0.0196,CR
61,3637.6184,24.8266,43.059,34000.0,426.2729,0.0,347.6935,0.3449,CR
62,3682.8725,24.7148,43.0999,33975.0,426.0688,0.0,423.9698,0.6703,CR
63,3735.0865,24.5908,43.145,34000.0,425.1687,0.0,398.8693,0.5644,CR
64,3803.1019,24.4268,43.2045,33975.0,426.7087,0.0,393.2915,0.5381,CR
65,3867.8482,24.2719,43.2602,34000.0,428.6865,0.0,265.0,0.0,CR
66,3941.83,24.0899,43.3253,34011.809,429.1633,-172.2806,362.6131,0.4094,CR
67,4007.7348,23.9264,43.3834,33998.6181,431.03,295.4108,439.7739,0.7331,CL
68,4048.1601,23.8292,43.4179,34000.0,433.4724,0.0,331.9347,0.2822,CR
69,4090.9798,23.7234,43.4553,34025.0,434.4822,0.0,306.3467,0.1733,CR
70,4132.392,23.6177,43.4925,34025.0,436.0,0.0,452.0,0.784,CR
71,4172.418,23.5197,43.5268,34025.0,435.9617,0.0,337.3568,0.3018,CR
72,4222.0327,23.3931,43.5709,34000.0,436.0246,0.0,444.4221,0.7565,CR
73,4269.691,23.2757,43.6115,34000.0,438.2568,0.0,367.2613,0.4312,CR
74,4319.4573,23.149,43.6555,34000.0,439.1357,0.0,450.2714,0.78,CR
75,4382.6968,22.991,43.7098,34025.0,440.0807,0.0,318.1859,0.2206,CR
76,4467.88,22.7733,43.7839,33975.0,440.9973,0.0,392.8241,0.5392,CR
77,4515.0822,22.6512,43.8255,33975.0,442.9202,0.0,428.6181,0.6863,CR
78,4561.0653,22.5326,43.8656,33975.0,445.0,0.0,452.0,0.7781,CR
79,4634.9227,22.3417,43.9295,34048.7437,446.0023,925.681,444.5025,0.7446,CL
80,4701.9821,22.1703,43.9865,34050.0,443.8149,0.0,334.3317,0.2876,CR
81,4770.8861,21.9935,44.0449,34000.0,440.6048,0.0,305.407,0.1685,CR
82,4846.9505,21.7989,44.109,33975.0,438.2832,0.0,302.1859,0.156,CR
83,4978.6603,21.4607,44.2191,34000.0,436.144,17.9722,379.3467,0.4796,CR
84,5073.8137,21.2188,44.2968,34000.0,435.9045,0.0,255.6784,0.0,CR
85,5141.0845,21.0445,44.3524,34000.0,435.9717,0.0,366.3317,0.425,CR
86,5214.0057,20.8585,44.4112,34000.0,435.9457,0.0,289.6935,0.1019,CR
87,5300.9092,20.6344,44.4817,34017.8392,435.1986,-146.6376,318.5628,0.2223,CR
