,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7284,41.2271,2050.0,206.0,2.4295,174.0,0.3,LVL
1,87.5915,28.6358,41.1809,4314.0704,272.271,4853.6785,0.0,0.0,CL
2,195.409,28.553,41.2745,8745.8543,280.8801,3718.9815,41.6784,0.0641,CL
3,287.875,28.5664,41.4044,11135.1759,339.7458,1652.2856,0.0,0.0,CL
4,376.4333,28.4969,41.5273,14181.2814,359.3446,2765.4962,0.0,0.0,CL
5,464.2385,28.3468,41.6209,16870.3518,376.1724,694.5993,335.3568,0.5324,CL
6,553.1256,28.1846,41.7201,19542.2111,389.0,65.4145,401.1256,0.644,CR
7,634.3897,28.025,41.8172,21723.7437,402.9787,3075.6516,4.1608,0.0067,CL
8,706.2807,27.8854,41.9016,23314.5729,415.037,757.4647,176.8442,0.2886,CL
9,776.3457,27.7447,41.9903,24859.4221,424.803,3081.5857,67.608,0.1109,CL
10,847.3986,27.611,42.0883,26063.5678,437.1887,1104.917,323.5176,0.5334,CL
11,918.3123,27.4724,42.189,27975.0,442.1596,998.0021,319.9095,0.5336,CL
12,987.3769,27.3377,42.2865,29609.4221,447.1256,-5143.0924,464.0,0.7665,DE
13,1062.2424,27.1831,42.3978,30913.8191,460.9939,859.147,262.0101,0.4444,CL
14,1138.9529,27.0257,42.5106,32775.0,457.0095,91.0349,460.5528,0.7918,CR
15,1221.6281,26.8612,42.6297,35240.7035,437.0,-1210.2195,456.0,0.792,DE
16,1295.2838,26.7149,42.7368,36712.5628,432.5352,2604.9252,74.6231,0.1307,CL
17,1371.7207,26.5707,42.8434,37888.0653,431.0845,1022.9283,329.4573,0.5821,CL
18,1434.7538,26.4396,42.9217,37992.2111,435.6884,258.1658,460.0,0.8148,CR
19,1496.2312,26.2978,42.9868,38000.0,434.0,0.0,458.0,0.812,CR
20,1567.8309,26.1272,43.0643,38000.0,433.4017,0.0,210.3518,0.3713,CR
21,1635.4632,25.9673,43.1366,38000.0,435.2398,0.0,13.6884,0.0242,CR
22,1697.0062,25.8248,43.2006,38025.0,435.1678,2569.6665,181.8191,0.3224,CL
23,1763.9917,25.6703,43.2699,38000.0,433.0915,-62.4276,377.4472,0.6692,CR
24,1826.7892,25.5239,43.335,38000.0,431.1364,0.0,342.9246,0.608,CR
25,1889.7632,25.3735,43.4016,38000.0,432.2862,0.0,146.0101,0.2586,CR
26,1956.2705,25.2211,43.4688,38000.0,434.1581,0.0,409.6683,0.7263,CR
27,2019.2999,25.0679,43.5359,38000.0,435.0312,0.0,214.9749,0.3795,CR
28,2083.7122,24.9136,43.6032,38000.0,433.0778,0.0,18.4925,0.0326,CR
29,2147.1697,24.7683,43.6662,38015.3266,422.9048,-191.9954,283.2362,0.5003,CR
30,2210.6703,24.6337,43.7422,38000.0,427.1093,0.0,372.8442,0.661,CR
31,2277.767,24.4905,43.8299,38000.0,427.1126,0.0,110.4724,0.1959,CR
32,2344.7283,24.3513,43.9148,38000.0,427.5398,0.0,151.2362,0.268,CR
33,2424.2864,24.1869,44.0146,38000.0,433.0955,0.0,456.0,0.8044,CR
34,2486.81,24.051,44.0966,38000.0,431.2592,0.0,242.4925,0.4285,CR
35,2550.2348,23.9139,44.179,38000.0,430.2133,0.0,23.0151,0.0406,CR
36,2612.7153,23.7842,44.2565,38000.0,432.159,0.0,285.3869,0.5035,CR
37,2679.3952,23.6414,44.3415,38000.0,432.0827,0.0,371.4573,0.6529,CR
38,2743.928,23.5003,44.4249,38000.0,433.2313,0.0,105.407,0.1858,CR
39,2812.9385,23.3523,44.5121,38000.0,435.1702,0.0,302.8141,0.5345,CR
40,2883.6141,23.196,44.6036,38000.0,435.4555,0.0,39.6382,0.0697,CR
41,2949.7037,23.0548,44.6861,38000.0,429.3827,0.0,237.8291,0.4183,CR
42,3022.7793,22.8949,44.7786,38000.0,428.0257,0.0,28.1005,0.0492,CR
43,3089.8529,22.7518,44.8611,38000.0,427.094,0.0,168.7437,0.2964,CR
44,3152.6782,22.6174,44.9382,38000.0,428.1414,0.0,366.8141,0.6415,CR
45,3216.2125,22.4794,45.017,38000.0,430.1954,0.0,359.8492,0.6293,CR
46,3277.8533,22.3423,45.0952,38000.0,430.1456,0.0,163.2161,0.2856,CR
47,3341.0712,22.2019,45.1743,38000.0,430.4108,0.0,35.2764,0.0615,CR
48,3409.0787,22.0552,45.2568,38000.0,429.0627,0.0,232.1608,0.406,CR
49,3474.3753,21.9086,45.339,38000.0,431.3005,0.0,32.9246,0.0574,CR
50,3540.9651,21.7633,45.4199,38000.0,425.3926,0.0,166.9749,0.2911,CR
51,3613.4623,21.6036,45.5084,38000.0,425.134,0.0,101.1256,0.1763,CR
52,3678.946,21.46,45.5875,38000.0,420.6125,0.0,97.5075,0.1705,CR
53,3744.6306,21.3172,45.6656,37984.0452,421.8389,-5.2276,169.3266,0.2938,CR
54,3807.2179,21.1833,45.7387,38000.0,419.9789,0.0,428.0804,0.7515,CR
55,3872.993,21.0368,45.8182,38000.0,421.1063,0.0,235.4975,0.4121,CR
56,3943.8197,20.8826,45.8995,38000.0,413.0599,0.0,426.6935,0.7467,CR
57,4016.4199,20.71,45.9712,38000.0,411.9956,0.0,301.809,0.5278,CR
58,4086.8693,20.5466,46.0385,38000.0,411.0,0.0,462.4523,0.8089,CR
59,4156.4806,20.3818,46.1061,38000.0,410.267,0.0,369.1357,0.6456,CR
60,4219.7814,20.2299,46.168,38000.0,412.4061,0.0,171.799,0.3019,CR
61,4283.0315,20.0823,46.2278,38000.0,413.9981,0.0,436.4623,0.7633,CR
62,4346.2397,19.9296,46.2893,38000.0,416.5663,0.0,221.9095,0.3879,CR
63,4411.5531,19.7692,46.3536,38000.0,418.7988,0.0,0.0,0.0,CR
64,4475.8575,19.617,46.4143,38000.0,421.2946,0.0,307.7789,0.5386,CR
65,4547.0205,19.4402,46.4844,38000.0,422.5758,0.0,108.6432,0.1899,CR
66,4615.1723,19.2718,46.5507,38000.0,426.5736,0.0,88.2211,0.1535,CR
67,4682.7006,19.1023,46.6171,38000.0,429.01,0.0,0.0,0.0,CR
68,4755.4725,18.9198,46.688,38000.0,428.4457,0.0,21.1658,0.0369,CR
69,4825.9891,18.7464,46.755,38000.0,426.4387,0.0,245.8794,0.4284,CR
70,4894.7731,18.5774,46.8198,38000.0,424.0735,0.0,415.5678,0.7268,CR
71,4958.7402,18.415,46.8818,38000.0,426.1598,0.0,312.4422,0.5468,CR
72,5028.6018,18.2364,46.9496,38000.0,428.1862,0.0,114.2513,0.2009,CR
73,5091.9892,18.0757,47.0101,38000.0,427.3016,0.0,83.5779,0.1462,CR
74,5163.2329,17.8959,47.0774,38000.0,428.1502,0.0,181.0854,0.3167,CR
75,5230.1316,17.7297,47.1392,38000.0,430.0311,0.0,445.7487,0.7796,CR
76,5305.3869,17.5354,47.211,38000.0,432.0,0.0,462.9246,0.808,CR
77,5378.4748,17.341,47.2822,38000.0,435.5279,0.0,51.0754,0.0893,CR
78,5451.8934,17.15,47.3518,38000.0,438.2423,0.0,146.8945,0.2558,CR
79,5534.7906,16.9345,47.4297,38000.0,439.0598,0.0,345.0854,0.6009,CR
80,5612.7306,16.7247,47.5047,38000.0,437.7474,0.0,79.6181,0.1387,CR
81,5694.9729,16.5078,47.5767,38000.0,436.1515,0.0,276.2714,0.4808,CR
82,5766.3157,16.3121,47.6415,38000.0,439.0133,0.0,11.6583,0.0203,CR
83,5853.3568,16.0826,47.7168,38000.0,443.0,0.0,466.0,0.808,CR
84,5920.1052,15.893,47.7786,38000.0,446.2327,0.0,56.201,0.0979,CR
85,6004.1665,15.662,47.8531,38000.0,449.2363,0.0,141.005,0.2465,CR
86,6076.1122,15.4603,47.9178,38000.0,453.7007,0.0,125.1759,0.2173,CR
87,6148.2265,15.2566,47.9826,38000.0,451.2672,0.0,75.5779,0.1312,CR
88,6224.3518,15.0495,48.0478,38000.0,448.5879,0.0,467.1759,0.8104,CR
89,6301.0556,14.833,48.1155,38000.0,449.0151,0.0,453.0653,0.7879,CR
90,6386.3266,14.5922,48.1901,38000.0,452.0,0.0,466.8844,0.808,CR
