,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
1,69.4307,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
2,136.0208,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
3,212.995,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
4,305.9184,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
5,399.4328,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
6,475.1589,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
7,539.3216,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
8,601.2005,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
9,656.3863,28.7349,41.2576,0.0,0.0,0.0,0.0,0.0,GND
10,710.7317,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
11,774.8489,28.7348,41.2575,0.0,0.0,0.0,0.0,0.0,GND
12,842.2663,28.7349,41.2576,0.0,0.0,0.0,0.0,0.0,GND
13,923.4336,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
14,978.2155,28.7348,41.2576,0.0,0.0,0.0,0.0,0.0,GND
15,1026.9799,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
16,1102.5875,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
17,1181.5239,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
18,1241.9698,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
19,1323.0772,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
20,1408.6332,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
21,1467.0646,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
22,1517.4877,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
23,1583.1992,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
24,1634.1737,28.7349,41.2576,0.0,0.0,0.0,0.0,0.0,GND
25,1692.9749,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
26,1743.7079,28.7348,41.2577,0.0,0.0,0.0,0.0,0.0,GND
27,1798.2656,28.7341,41.2577,0.0,2.4271,0.0,0.0,0.0,GND
28,1846.9832,28.7337,41.2579,0.0,0.0,0.0,0.0,0.0,GND
29,1916.6181,28.7337,41.2579,0.0,0.0,0.0,0.0,0.0,GND
30,1997.9923,28.7336,41.2578,0.0,1.9799,0.0,0.0,0.0,GND
31,2046.124,28.7337,41.2566,0.0,6.6935,0.0,0.0,0.0,GND
32,2094.7024,28.7313,41.2556,0.0,4.2965,0.0,0.0,0.0,GND
33,2144.3932,28.731,41.2533,0.0,8.6784,0.0,0.0,0.0,GND
34,2195.6415,28.7267,41.2533,0.0,0.8291,0.0,0.0,0.0,GND
35,2248.2588,28.7222,41.2539,0.0,9.4975,0.0,0.0,0.0,GND
36,2296.2965,28.7221,41.2572,0.0,6.1809,0.0,0.0,0.0,GND
37,2343.5604,28.7227,41.2607,0.0,2.3317,0.0,0.0,0.0,GND
38,2395.3448,28.7229,41.2659,0.0,21.9849,0.0,0.0,0.0,GND
39,2445.6347,28.7228,41.2715,0.0,6.5779,0.0,0.0,0.0,GND
40,2494.1845,28.7227,41.2759,0.0,12.4121,0.0,0.0,0.0,GND
41,2544.0544,28.7226,41.2808,0.0,2.0101,0.0,0.0,0.0,GND
42,2592.0031,28.7225,41.2858,0.0,3.9045,0.0,0.0,0.0,GND
43,2640.3568,28.7224,41.2911,0.0,19.0955,0.0,0.0,0.0,GND
44,2688.527,28.7224,41.2942,0.0,2.8141,0.0,0.0,0.0,GND
45,2736.9548,28.7239,41.2948,0.0,8.0,0.0,0.0,0.0,GND
46,2786.8944,28.7246,41.2945,0.0,0.0,0.0,0.0,0.0,GND
47,2848.6068,28.7246,41.2944,0.0,4.6583,0.0,0.0,0.0,GND
48,2910.8245,28.7254,41.2612,1258.794,154.98,4763.413,126.995,0.1944,CL
49,2974.5346,28.7265,41.2072,2631.2814,215.819,74.6749,0.0,0.0,LVL
50,3038.9225,28.6862,41.1464,5115.8291,245.068,2034.4688,164.0201,0.2652,CL
51,3102.8764,28.6087,41.1124,8193.7186,236.5044,3085.7678,100.1005,0.1702,CL
52,3164.2293,28.516,41.0969,10588.6935,260.6925,2060.2985,36.4824,0.0675,CL
53,3221.3467,28.4217,41.0807,12683.6683,284.1156,2163.3166,240.2312,0.4885,CL
54,3281.8799,28.3161,41.0621,14691.8342,305.6159,1169.1108,91.6583,0.2032,CL
55,3339.104,28.2083,41.043,16450.0,324.7835,527.6382,84.4221,0.1928,CL
56,3409.7585,28.0645,41.0175,18291.4573,359.5478,1182.8086,20.6734,0.053,CL
57,3470.1767,27.9279,40.9929,19795.4774,382.0587,1354.1903,329.2764,0.5341,CL
