,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7255,41.2393,2550.0,166.0,19.7177,196.0,0.296,LVL
1,167.6704,28.5799,41.2442,9305.7789,286.3037,2904.1003,0.0,0.0,CL
2,263.5557,28.4884,41.3642,12458.6683,341.7441,1799.9643,153.005,0.2423,CL
3,395.9343,28.3394,41.5541,17067.0854,377.064,1620.2744,0.0,0.0,CL
4,519.5655,28.1896,41.7448,21148.1156,389.6243,1766.8205,47.3869,0.0777,CL
5,631.6242,28.0504,41.9205,24381.5327,401.6138,1543.0164,0.0,0.0,CL
6,738.668,27.9458,42.1079,26808.6683,423.7365,1260.1154,290.8945,0.4875,CL
7,810.4061,27.8996,42.2486,28158.9196,439.3043,654.6079,241.005,0.4075,CL
8,894.8344,27.8477,42.4168,30075.0,440.0863,1543.1753,102.6332,0.1757,CL
9,972.6769,27.7996,42.5715,31875.7538,435.9281,1447.4961,4.4221,0.0076,CL
10,1085.4177,27.7319,42.789,34164.4472,427.6372,1475.3946,91.598,0.1612,CL
11,1159.2709,27.687,42.9322,35114.196,432.0874,955.7937,247.5779,0.4384,CL
12,1245.7587,27.6346,43.0984,36000.0,424.3622,70.9455,286.1307,0.5069,CR
13,1343.4334,27.5747,43.2862,36000.0,422.9769,0.0,54.7739,0.097,CR
14,1417.1307,27.53,43.4269,36000.0,422.8807,0.0,41.8191,0.0741,CR
15,1538.1005,27.4572,43.6537,36000.0,421.0,0.0,435.3668,0.772,CR
16,1644.9907,27.3913,43.8578,36000.0,420.1558,0.0,234.4322,0.4172,CR
17,1786.8593,27.2569,44.1101,36000.0,414.0,0.0,435.5176,0.771,CR
18,1887.4616,27.1482,44.2887,36025.0,414.6115,0.0,8.8442,0.0157,CR
19,1980.5165,27.0486,44.4509,36000.0,411.9644,0.0,87.6382,0.1552,CR
20,2160.5966,26.8551,44.7647,36025.0,413.0363,0.0,255.4271,0.4508,CR
21,2274.4096,26.7325,44.9613,36000.0,409.0467,0.0,281.7286,0.4991,CR
22,2462.737,26.5274,45.2869,35975.0,405.5147,0.0,0.0,0.0,CR
23,2569.8519,26.4124,45.4677,36000.0,406.061,0.0,400.5829,0.7097,CR
24,2713.7607,26.2524,45.7165,35967.3367,409.2449,409.6892,133.6482,0.2366,CL
