,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7412,41.2666,0.0,2.0,0.0,0.0,0.0,GND
1,77.6583,28.7403,41.2664,0.0,1.0,0.0,0.0,0.0,GND
2,142.2915,28.7402,41.2657,0.0,1.3417,0.0,0.0,0.0,GND
3,297.4975,28.7402,41.2657,0.0,0.0,0.0,0.0,0.0,GND
4,395.2161,28.7402,41.2662,0.0,6.3166,0.0,0.0,0.0,GND
5,464.4372,28.7395,41.2687,0.0,11.0,0.0,0.0,0.0,GND
6,515.8995,28.7356,41.2686,0.0,10.0503,0.0,0.0,0.0,GND
7,565.608,28.7317,41.2686,0.0,10.196,0.0,0.0,0.0,GND
8,618.5327,28.7311,41.2668,0.0,9.0,0.0,0.0,0.0,GND
9,668.8492,28.7299,41.2659,0.0,4.0,0.0,0.0,0.0,GND
10,719.8744,28.7277,41.2659,0.0,9.0,0.0,0.0,0.0,GND
11,772.4824,28.7252,41.2667,0.0,11.1206,0.0,0.0,0.0121,GND
12,932.3417,28.7196,41.3904,3614.6985,250.8945,2179.8603,257.2965,0.3942,CL
13,1009.1156,28.6304,41.4562,6666.8342,276.0,2305.2764,272.4422,0.4209,CL
14,1075.4724,28.539,41.5112,9343.2161,287.0,2797.3199,289.5678,0.4471,CL
15,1131.6231,28.458,41.5605,10704.6482,327.6231,827.8894,323.7487,0.5017,CL
16,1197.598,28.3496,41.6258,13673.2412,346.2663,3116.8342,348.0,0.5451,CL
17,1255.3819,28.2515,41.6846,16444.0955,356.0955,2660.804,360.0,0.572,CL
18,1307.6231,28.161,41.7387,18758.0402,365.0,2722.6131,373.8492,0.6,CL
19,1358.2613,28.07,41.793,20875.3769,373.7538,2098.4925,384.0,0.624,CL
20,1413.1658,27.9688,41.8531,22843.7186,387.5829,2093.593,393.1658,0.644,CL
21,1465.2362,27.8697,41.9119,24691.206,397.4121,2000.0,406.0,0.6696,CL
22,1514.4472,27.7735,41.9704,26292.2111,408.2412,2698.4925,414.4824,0.692,CL
23,1567.2111,27.6764,42.0401,27930.2764,419.0704,2197.2362,424.1407,0.712,CL
24,1619.598,27.5773,42.1124,29464.9497,428.8995,1530.1508,434.0,0.7356,CL
25,1670.6432,27.4794,42.1836,30816.0804,438.7286,1500.0,442.0,0.752,CL
26,1725.7889,27.37,42.2628,32183.6683,449.5578,1446.2312,452.0,0.776,CL
27,1777.1608,27.2656,42.3381,33369.3467,458.3869,1306.5327,460.0,0.796,CL
28,1828.6482,27.1588,42.4148,34416.206,468.0,1108.0402,468.0,0.812,CL
29,1882.2714,27.0454,42.4961,35480.6533,476.0,1011.3065,478.2714,0.8324,CL
30,1938.2462,26.9236,42.5828,36612.4372,480.0,1062.8141,482.0,0.832,CL
31,1990.1106,26.8125,42.6618,37902.7638,474.2965,1588.9447,482.0,0.836,CL
32,2045.1307,26.6939,42.7456,38928.2663,473.0,1500.0,482.804,0.84,CL
33,2101.4472,26.5748,42.8295,40009.0452,465.6382,518.593,482.0,0.836,CR
34,2151.7638,26.4686,42.904,40000.0,462.0,0.0,480.0,0.828,CR
35,2215.0804,26.3348,42.9975,40000.0,464.0,0.0,480.0,0.828,CR
36,2269.397,26.2193,43.0779,40000.0,465.0,0.0,480.0,0.832,CR
37,2326.0352,26.099,43.1613,40000.0,466.0,0.0,480.0,0.8293,CR
38,2377.5377,25.9876,43.2381,40000.0,468.5075,0.0,480.0,0.832,CR
39,2427.3568,25.8809,43.3115,40000.0,468.0,0.0,480.0,0.832,CR
40,2480.6633,25.7646,43.3911,40000.0,469.0,0.0,0.0,0.0,CR
41,2535.9749,25.6438,43.4736,40000.0,469.0,0.0,480.0,0.832,CR
42,2590.593,25.5258,43.5537,40000.0,469.0,0.0,482.0,0.836,CR
43,2645.2261,25.406,43.6346,40000.0,466.6533,0.0,480.0,0.832,CR
44,2697.9296,25.2872,43.7077,40000.0,466.4824,0.0,480.0,0.832,CR
45,2752.9347,25.1615,43.784,40000.0,466.3116,0.0,480.0,0.832,CR
46,2807.5628,25.0379,43.8597,40000.0,467.0,0.0,480.0,0.832,CR
47,2870.7889,24.893,43.9483,40000.0,467.0,0.0,480.0,0.832,CR
48,2933.196,24.7492,44.0354,40000.0,467.0,0.0,480.0,0.832,CR
49,2989.8844,24.6193,44.1138,40000.0,467.0,0.0,480.0,0.832,CR
50,3041.2864,24.5021,44.1842,40000.0,467.0,0.0,479.0854,0.832,CR
51,3100.1457,24.3639,44.2667,40000.0,467.0,0.0,480.0,0.832,CR
52,3151.4623,24.246,44.3368,40000.0,469.0,0.0,480.0,0.832,CR
53,3211.6683,24.1055,44.4201,40000.0,468.0,0.0,480.0,0.832,CR
54,3276.4171,23.9545,44.5091,40000.0,469.0,0.0,480.0,0.832,CR
