,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7336,41.2695,0.0,13.0,0.0,0.0,0.0,GND
1,83.2563,28.7299,41.2685,0.0,6.0,0.0,0.0,0.0,GND
2,162.5126,28.7282,41.267,0.0,9.2563,0.0,0.0,0.0,GND
3,348.6533,28.7251,41.2687,0.0,35.0553,0.0,0.0,0.0,GND
4,545.0503,28.6411,41.3815,4489.6985,266.0,2744.5262,255.8995,0.412,CL
5,848.4925,28.3109,41.0921,14667.5879,348.0,2939.6985,253.0704,0.5848,CL
6,927.8844,28.169,41.0194,17294.2211,358.8844,2851.3999,250.4623,0.6235,CL
7,1014.4925,28.013,40.9379,20137.3116,361.0,1613.0653,254.0,0.648,CL
8,1085.5628,27.8802,40.8686,21676.2563,381.0,1346.2312,332.4523,0.6741,CL
9,1156.6332,27.7394,40.8007,23315.8291,386.6734,1247.4874,369.8191,0.7,CL
10,1227.4221,27.573,40.803,24910.5528,390.8593,1500.0,436.0,0.7166,CL
11,1297.9095,27.4095,40.8374,26271.608,396.0,2204.7739,446.0,0.74,CL
12,1370.3065,27.243,40.8719,27938.4422,392.0,1057.7889,452.0,0.756,CL
13,1442.3317,27.0754,40.9064,28979.1457,398.5829,812.5628,460.0,0.776,CL
14,1518.5729,26.891,40.9211,29999.6231,404.397,873.5343,464.0,0.7936,CL
15,1592.0553,26.7101,40.9106,31015.8291,407.0,781.6583,466.1106,0.808,CL
16,1667.1256,26.5245,40.8995,32352.5126,402.9749,1492.4623,473.7487,0.812,CL
17,1750.3568,26.3229,40.887,33945.9799,397.0,475.5025,469.0352,0.812,CL
18,1821.6131,26.1487,40.8736,34990.3266,395.3467,1500.0,466.6131,0.8134,CL
19,1897.3367,25.97,40.8554,36000.0,395.0,0.0,464.0,0.816,CR
20,1971.8442,25.7926,40.8344,36000.0,394.0,0.0,466.0,0.816,CR
21,2056.2864,25.5933,40.8098,36154.7739,394.0,638.191,464.0,0.816,CL
22,2141.8191,25.3895,40.7844,37297.7387,397.9095,720.9261,460.0,0.808,CL
23,2213.8945,25.2153,40.7624,37968.0905,402.0,409.5477,466.0,0.816,CL
24,2285.6131,25.0428,40.7404,38000.0,401.0,0.0,462.0,0.812,CR
25,2356.1106,24.873,40.7184,38000.0,401.6482,0.0,462.0,0.812,CR
26,2427.8291,24.7003,40.6957,38000.0,401.1658,0.0,463.6683,0.8127,CR
27,2502.9397,24.5195,40.6718,38000.0,403.0,0.0,464.0,0.812,CR
