,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7294,41.2935,0.0,15.0,0.0,0.0,0.0,GND
1,84.1567,28.7271,41.2948,0.0,0.0,0.0,0.0,0.0,GND
2,154.0146,28.7247,41.2942,0.0,0.0,0.0,0.0,0.0,GND
3,248.8542,28.7251,41.2654,991.0804,160.5402,1849.4951,63.5075,0.097,CL
4,329.4693,28.7249,41.1991,2954.7739,214.2152,1173.4698,44.3015,0.071,CL
5,381.6306,28.6605,41.1805,4797.7387,249.1699,2956.0829,0.0,0.0,CL
6,434.9117,28.5791,41.1889,7025.1256,271.5932,2298.5973,80.7739,0.1237,CL
7,476.5025,28.5514,41.2393,8879.2714,306.8342,2738.7265,286.0,0.44,CL
8,528.6893,28.5299,41.3088,10728.6432,305.2443,2594.5307,186.6633,0.2917,CL
9,576.8209,28.4707,41.3586,13023.2412,301.8407,1790.2994,21.5276,0.0335,CL
10,628.718,28.4074,41.4145,15122.7387,307.0929,2493.7362,150.8543,0.2368,CL
11,681.5275,28.3417,41.473,16928.7688,319.0419,63.4842,8.191,0.013,LVL
12,728.4059,28.2812,41.5263,18553.6432,324.6142,2031.9086,191.3367,0.3048,CL
13,767.0011,28.2304,41.5711,19784.0452,331.2331,1689.9155,41.005,0.0656,CL
14,804.6734,28.1783,41.6168,20383.4171,353.005,1064.6623,363.3367,0.5827,CL
15,841.0676,28.1249,41.6634,20850.0,375.9422,391.9598,302.593,0.486,CL
16,880.7289,28.0627,41.7178,21319.0955,398.3828,1189.3127,311.6382,0.5041,CL
17,917.8492,28.0021,41.7706,22057.7889,408.3247,3224.6444,131.4774,0.2119,CL
18,957.745,27.9362,41.8282,22975.0,411.8484,258.119,60.2211,0.0974,CL
19,995.3037,27.873,41.8831,23720.3518,416.3343,2067.3938,256.1608,0.4174,CL
20,1035.9464,27.8042,41.9429,24297.7387,426.0475,1006.053,19.809,0.0324,CL
21,1075.7653,27.7281,41.9967,25200.6281,418.9227,1678.025,219.0955,0.3598,CL
22,1118.3556,27.6431,42.0461,26452.5126,409.4279,34.0302,0.0,0.0,CR
23,1167.794,27.5423,42.1049,27229.8995,416.0,899.4975,430.0,0.712,CL
24,1212.4316,27.4509,42.158,27832.2864,423.7283,1048.1105,63.5377,0.1055,CL
25,1248.7989,27.3744,42.2023,28442.3367,424.8503,1797.3663,303.7387,0.5048,CL
26,1291.8063,27.2849,42.254,29012.0603,428.9289,250.3003,106.6131,0.1785,CL
27,1328.4213,27.2072,42.2988,29464.4472,433.0171,863.178,351.8693,0.5901,CL
