,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7414,41.2647,0.0,0.0,0.0,0.0,0.152,GND
1,62.3174,28.7408,41.2647,0.0,1.0553,0.0,0.0,0.0,GND
2,109.4138,28.7403,41.2647,0.0,0.0553,0.0,0.0,0.0084,GND
3,207.137,28.7402,41.2646,0.0,0.0,0.0,0.0,0.0,GND
4,388.6813,28.7402,41.2666,0.0,9.7839,0.0,88.9447,0.1352,GND
5,438.2692,28.7402,41.2693,0.0,8.2965,0.0,63.8191,0.097,GND
6,487.1709,28.7374,41.2704,0.0,12.8342,0.0,100.0,0.152,GND
7,538.2261,28.7332,41.2704,0.0,15.3065,0.0,100.0,0.152,GND
8,583.5025,28.731,41.2726,0.0,16.3568,0.0,77.8894,0.1184,GND
9,630.4905,28.7299,41.2761,0.0,3.0151,0.0,25.1256,0.0382,GND
10,677.0688,28.7297,41.2808,0.0,7.4623,0.0,27.6382,0.042,GND
11,724.799,28.7296,41.2871,0.0,5.4874,0.0,19.598,0.0298,GND
12,771.3417,28.7294,41.2934,0.0,25.3317,0.0,100.0,0.152,GND
13,823.011,28.7263,41.2948,0.0,14.608,0.0,85.9296,0.1306,GND
14,870.006,28.7246,41.2943,0.0,2.7085,0.0,38.6935,0.0588,GND
15,957.4284,28.7258,41.2419,2008.5427,179.956,1605.8727,0.0,0.0,CL
16,1030.39,28.6879,41.1815,5027.8894,245.9082,2283.4434,108.7839,0.1804,CL
17,1198.3028,28.5458,41.3316,12554.5226,368.863,1775.029,10.7337,0.0169,CL
18,1260.1434,28.4603,41.4125,15162.9397,370.459,572.4835,0.0,0.0,CL
19,1315.9246,28.3694,41.4861,17621.8593,385.9749,2545.8608,392.0,0.6359,CL
20,1365.7889,28.2886,41.5522,19878.2663,387.0,3832.3965,404.0,0.656,CL
21,1416.9491,28.2066,41.619,21770.9799,390.0365,4524.0135,380.7136,0.6253,CL
22,1476.4021,28.1094,41.698,23514.196,404.5939,1032.9298,0.0,0.0,CL
23,1538.7286,27.9996,41.7872,25343.2161,418.0,1500.0,440.0,0.736,CL
24,1593.9994,27.9039,41.8646,26850.5025,418.5299,-6.4615,150.8342,0.2532,CR
25,1648.9984,27.8078,41.9419,28554.7739,414.3271,-625.4022,84.0201,0.1428,DE
26,1705.2081,27.7075,42.0173,30296.1055,402.7032,1149.1213,121.005,0.2082,CL
27,1753.9138,27.6203,42.0811,31350.0,405.8756,630.2846,108.3417,0.1871,CL
28,1799.0413,27.5389,42.1403,32291.9598,408.7612,402.0498,100.402,0.1746,CL
29,1845.5388,27.4537,42.2023,33192.4623,412.605,814.7923,135.0754,0.2364,CL
30,1898.8918,27.3556,42.2729,34121.3568,413.5254,608.8249,0.0,0.0,CL
31,1954.9296,27.2504,42.349,35216.0804,407.3568,1031.3904,444.0,0.784,CL
32,2003.3304,27.1612,42.413,35627.8894,417.1063,650.2537,396.2211,0.7005,CL
33,2056.2468,27.0635,42.4832,36000.0,413.4881,0.0,264.5729,0.4656,CR
34,2113.0584,26.9569,42.559,36000.0,410.0006,0.0,417.2261,0.7254,CR
35,2162.598,26.8643,42.625,36000.0,416.5327,0.0,448.0,0.7821,CR
