,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7495,41.2653,0.0,0.0,0.0,0.0,0.0,GND
1,187.2945,28.7495,41.2653,0.0,0.0,0.0,0.0,0.0,GND
2,322.5591,28.7495,41.2653,0.0,0.0,0.0,0.0,0.0,GND
3,703.0716,28.7495,41.2653,0.0,0.0,0.0,0.0,0.0,GND
4,931.777,28.7504,41.2651,0.0,2.7588,0.0,0.0,0.1398,GND
5,1191.7839,28.7508,41.2648,0.0,0.0,0.0,0.0,0.0,GND
6,1279.7588,28.7531,41.2661,0.0,8.1206,0.0,100.0,0.152,GND
7,1319.8593,28.7538,41.268,0.0,15.0,0.0,100.0,0.152,GND
8,1364.026,28.7537,41.2715,0.0,3.0553,0.0,16.0804,0.0244,GND
9,1403.7806,28.7536,41.2757,0.0,4.7035,0.0,18.0905,0.0275,GND
10,1439.799,28.7535,41.28,0.0,22.201,0.0,100.0,0.152,GND
11,1482.5966,28.7535,41.2844,0.0,4.201,0.0,22.1106,0.0867,GND
12,1521.7353,28.7534,41.2883,0.0,5.0653,0.0,24.1206,0.0367,GND
13,1560.7387,28.7547,41.2897,0.0,9.7387,0.0,100.0,0.152,GND
14,1598.7186,28.7562,41.2891,0.0,8.0,0.0,100.0,0.152,GND
15,1683.6985,28.765,41.2433,1967.4623,169.0,1273.8693,192.0,0.2948,CL
16,1777.6784,28.8508,41.1819,5333.9196,280.0,3047.3708,261.3568,0.404,CL
17,1880.2448,28.9415,41.2795,10125.0,304.8823,1335.6686,99.0955,0.1545,CL
18,1964.2764,28.8137,41.3534,13597.8643,339.6382,3523.2631,349.2764,0.552,CL
19,2057.2025,28.645,41.4322,18329.5226,382.7515,2398.4469,0.0,0.0,CL
20,2135.5328,28.5182,41.5403,21985.0503,404.1775,336.845,159.196,0.2605,CL
21,2224.5779,28.3664,41.6693,24918.3417,422.0,3550.2513,412.0,0.6903,CL
22,2317.5578,28.2048,41.8087,28488.9447,432.5578,1721.1055,430.0,0.732,CL
23,2392.0754,28.073,41.9212,30826.8844,438.5377,2193.4673,440.1508,0.764,CL
24,2447.2551,27.9807,42.0081,32527.6382,446.9633,1287.8881,230.8442,0.4058,CL
25,2508.2567,27.9139,42.1249,34537.5628,447.7273,-692.4155,224.1206,0.394,CL
26,2573.4774,27.8441,42.2511,36086.9347,440.0,1500.0,441.0452,0.784,CL
27,2632.4573,27.7837,42.3611,37186.4322,443.0,1252.4365,440.9146,0.7778,CL
28,2683.8328,27.7315,42.4575,37885.9296,444.8461,2208.0103,193.2362,0.341,CL
29,2746.1272,27.6665,42.577,38000.0,444.0281,0.0,258.8141,0.457,CR
30,2808.5879,27.6018,42.697,38000.0,444.397,0.0,441.206,0.776,CR
31,2868.3769,27.5389,42.8118,38000.0,446.0,0.0,438.7538,0.7695,CR
32,2920.3568,27.4842,42.9114,38000.0,452.0,0.0,440.7136,0.7734,CR
33,2994.8395,27.405,43.0549,38000.0,457.8952,0.0,150.1608,0.2626,CR
34,3062.5941,27.3333,43.1847,38000.0,438.8592,0.0,138.6633,0.2431,CR
35,3125.2965,27.2657,43.3057,38000.0,444.0,0.0,446.0,0.784,CR
36,3187.2764,27.2,43.4238,38000.0,444.0,0.0,432.5528,0.7611,CR
37,3255.5126,27.1264,43.5543,38000.0,446.0,0.0,438.0,0.773,CR
38,3343.8697,27.033,43.7203,38000.0,445.1268,0.0,103.9196,0.1833,CR
39,3415.7462,26.9554,43.8567,38000.0,443.32,0.0,95.0754,0.1677,CR
40,3490.7884,26.8748,44.0022,38000.0,448.1336,0.0,352.1608,0.6207,CR
41,3569.8435,26.8363,44.162,38000.0,453.2573,0.0,0.0,0.0,CR
42,3638.1449,26.8046,44.3068,38000.0,453.9245,0.0,369.7688,0.6517,CR
43,3705.3413,26.7747,44.443,38000.0,455.4262,0.0,59.1558,0.1042,CR
44,3767.1084,26.7465,44.574,38000.0,456.9274,0.0,385.608,0.6757,CR
45,3855.2864,26.7058,44.7592,38000.0,459.0,0.0,439.809,0.768,CR
46,3940.0913,26.6662,44.9367,38000.0,460.0247,0.0,408.6834,0.7175,CR
47,3997.1425,26.6397,45.0562,38000.0,459.0369,0.0,417.5678,0.7331,CR
48,4064.0704,26.6076,45.1967,38000.0,457.0,0.0,442.0,0.772,CR
49,4130.7994,26.5769,45.3331,38000.0,454.3584,0.0,6.6332,0.0116,CR
50,4210.9698,26.5012,45.4946,38000.0,449.0,0.0,442.0101,0.776,CR
51,4293.9362,26.4222,45.6554,38000.0,445.0207,0.0,428.9447,0.7487,CR
52,4360.9095,26.3561,45.7875,38000.0,445.0,0.0,440.0,0.768,CR
53,4426.9347,26.2924,45.9152,38000.0,445.9347,0.0,436.0,0.7637,CR
54,4486.4783,26.2359,46.0282,38000.0,447.3322,0.0,37.2462,0.0649,CR
55,4543.7889,26.1775,46.1436,38000.0,450.0,0.0,440.0,0.768,CR
56,4590.8744,26.131,46.235,38000.0,452.0,0.0,442.0,0.776,CR
57,4638.7085,26.083,46.3296,38000.0,452.0,0.0,444.0,0.776,CR
58,4687.8342,26.0335,46.4263,38000.0,452.0,0.0,442.0,0.772,CR
59,4727.8141,25.9926,46.5064,38000.0,453.0,0.0,444.0,0.776,CR
60,4775.5879,25.9444,46.6004,38000.0,451.0,0.0,444.0,0.78,CR
61,4819.7739,25.8997,46.6877,38000.0,450.0,0.0,442.0,0.772,CR
62,4876.7538,25.8422,46.7983,38000.0,449.0,0.0,438.0,0.764,CR
63,4929.5797,25.7895,46.9006,38000.0,448.1815,0.0,321.3467,0.5605,CR
64,4979.7136,25.7377,46.9993,38000.0,448.0,0.0,437.4271,0.764,CR
65,5030.0804,25.686,47.0974,38000.0,450.0,0.0,437.3869,0.7628,CR
66,5088.5636,25.6259,47.2113,38000.0,452.208,0.0,296.2814,0.5171,CR
67,5139.2195,25.5742,47.3098,38000.0,453.0498,0.0,151.1759,0.2649,CR
68,5193.6332,25.5161,47.4199,38000.0,456.0,0.0,438.7337,0.768,CR
69,5264.1582,25.4421,47.5581,38000.0,458.6013,0.0,170.2513,0.2987,CR
70,5329.1859,25.3715,47.6902,38000.0,460.0,0.0,440.0,0.7696,CR
71,5386.1692,25.3115,47.8017,38000.0,459.3792,0.0,250.9146,0.4377,CR
72,5451.1055,25.2398,47.9333,38000.0,463.0,0.0,442.0,0.772,CR
73,5510.9089,25.1753,48.0522,38000.0,462.9831,0.0,234.3719,0.4091,CR
74,5555.5126,25.1256,48.1435,38000.0,463.0,0.0,440.0,0.768,CR
75,5598.6193,25.0785,48.2292,38000.0,463.2047,0.0,215.6985,0.3762,CR
76,5646.4724,25.0251,48.3261,38000.0,463.0,0.0,440.0,0.768,CR
77,5698.1519,24.9684,48.4286,38000.0,463.2818,0.0,238.8141,0.4163,CR
78,5754.8643,24.9041,48.5443,38000.0,463.0,0.0,438.0,0.764,CR
