,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7249,41.3509,2475.0,223.0,2.8564,222.0,0.328,LVL
1,85.4144,28.6433,41.4189,5528.6432,263.1827,2101.12,114.4724,0.176,CL
2,161.6387,28.5317,41.4698,8689.5729,284.0475,3018.8691,242.6131,0.3759,CL
3,239.0437,28.4094,41.5245,10717.9648,332.513,660.4117,93.9899,0.1463,CL
4,299.4273,28.2967,41.5749,12401.005,363.4001,1685.1015,0.0,0.0,CL
5,352.4573,28.1872,41.6168,14308.0402,372.8643,2488.4817,372.0,0.5875,CL
6,411.1248,28.0654,41.6627,16143.7186,384.978,1686.891,167.8794,0.2658,CL
7,462.5124,27.9607,41.7096,17651.2563,395.7504,21.3957,3.9196,0.0063,CR
8,521.3818,27.837,41.7696,19343.7186,404.1731,3404.1311,166.8342,0.2686,CL
9,578.6036,27.7146,41.8284,20857.7889,411.1196,1705.9948,344.4422,0.5606,CL
10,634.8027,27.5923,41.887,22104.6482,419.7337,4634.5327,303.1156,0.4955,CL
11,688.5702,27.4719,41.9362,23297.6131,419.6214,662.8158,127.2362,0.2098,CL
12,745.6643,27.3319,41.9824,24340.5779,427.9758,1472.5574,375.9799,0.6226,CL
13,799.3417,27.2003,42.026,25322.3618,432.0,2914.9321,436.0,0.724,CL
14,854.0466,27.0648,42.0706,26175.0,438.0027,1284.2719,431.1558,0.7212,CL
15,903.1723,26.944,42.1103,26825.0,444.9682,465.2421,180.7236,0.3028,CL
16,951.9796,26.8212,42.1505,27612.4372,447.4863,854.7442,74.6231,0.126,CL
17,1011.2986,26.6687,42.2,28725.0,446.6824,376.6671,118.1106,0.1996,CL
18,1058.8279,26.5476,42.2391,29500.0,447.5526,751.0279,140.201,0.238,CL
19,1109.8986,26.4176,42.2811,30250.0,449.1071,135.6336,51.7789,0.0883,CR
20,1165.3178,26.273,42.3272,31138.5678,450.1005,-98.2261,242.0503,0.4146,CR
21,1213.6966,26.1506,42.3663,31877.2613,449.5436,611.3273,13.3869,0.0232,CL
22,1265.1355,26.0166,42.4088,32725.0,447.881,546.3095,175.4673,0.3049,CL
23,1318.195,25.8825,42.4511,33729.397,442.2499,57.1408,77.3869,0.1351,CL
24,1367.158,25.7569,42.4905,34000.0,445.4533,0.0,112.0603,0.196,CR
25,1417.6934,25.6256,42.5316,34000.0,445.1241,0.0,302.5628,0.5264,CR
26,1466.678,25.5023,42.5698,34000.0,445.345,0.0,47.0653,0.0823,CR
27,1515.8388,25.3742,42.6094,34000.0,445.6728,0.0,208.4322,0.3627,CR
28,1570.6664,25.2344,42.6525,34000.0,446.3088,0.0,0.0,0.0,CR
29,1624.6193,25.0925,42.6959,34000.0,447.3106,0.0,273.4271,0.4782,CR
30,1676.597,24.9558,42.7374,34000.0,449.1042,0.0,361.4472,0.6317,CR
31,1733.1776,24.8111,42.7815,34000.0,449.4253,0.0,107.5779,0.1881,CR
