,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
1,77.0428,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
2,154.0727,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
3,231.6582,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
4,302.5377,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
5,369.6154,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
6,435.4225,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
7,503.8921,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
8,600.019,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
9,678.2871,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
10,774.1477,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
11,877.365,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
12,979.5488,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
13,1057.3699,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
14,1134.5238,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
15,1202.893,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
16,1292.0431,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
17,1365.0017,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
18,1433.041,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
19,1502.1721,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
20,1572.899,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
21,1643.6865,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
22,1714.7305,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
23,1783.3521,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
24,1857.0495,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
25,1922.6298,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
26,1988.0363,28.7344,41.2675,0.0,0.0,0.0,0.0,0.0,GND
27,2062.2721,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
28,2131.1482,28.7345,41.2675,0.0,0.0,0.0,0.0,0.0,GND
29,2201.8873,28.7344,41.2681,0.0,2.7889,0.0,0.0,0.0,GND
30,2261.5534,28.735,41.2686,0.0,0.3065,0.0,0.0,0.0,GND
