,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7312,41.2686,0.0,13.0,0.0,0.0,0.0,GND
1,61.3837,28.7299,41.2674,0.0,4.4322,0.0,0.0,0.0,GND
2,122.4329,28.7269,41.2671,0.0,3.7286,0.0,0.0,0.0,GND
3,184.5642,28.725,41.2726,0.0,80.9548,0.0,68.3618,0.0,LVL
4,291.1111,28.7254,41.3567,2313.3166,223.9475,850.364,102.8141,0.157,CL
5,361.6266,28.6799,41.4274,5029.0201,273.8146,405.2143,0.0,0.0,CL
6,430.8241,28.5849,41.4851,6309.9246,282.1584,4205.5994,218.9246,0.3388,CL
7,496.7286,28.4889,41.5436,7907.4121,328.2965,1362.0255,324.8643,0.5057,CL
8,573.4232,28.3664,41.6171,11106.5327,352.1978,232.3413,22.603,0.0355,CL
9,632.9388,28.2618,41.6797,13800.0,367.1139,1147.8714,107.9397,0.1701,CL
10,707.995,28.1208,41.7637,16399.8744,397.0,2168.3417,388.0,0.62,CL
11,780.5833,27.9808,41.8467,18775.0,409.7622,212.4147,14.2111,0.0229,LVL
12,856.392,27.8275,41.9372,21759.799,415.0,2627.7973,404.0,0.664,CL
13,934.1289,27.6836,42.0358,25017.3367,405.8731,1514.5602,87.8392,0.1461,CL
14,998.9555,27.5638,42.1226,26721.608,415.098,4028.8562,331.8995,0.5566,CL
15,1054.5661,27.4598,42.1981,27987.4372,424.9757,1367.7026,202.0101,0.3417,CL
16,1126.248,27.3233,42.2969,29778.2663,426.9907,1785.8626,361.6482,0.6155,CL
17,1188.7638,27.2034,42.3833,31344.0955,424.0,3314.8337,420.0,0.72,CL
18,1258.555,27.0722,42.4774,33065.0754,415.0252,930.8344,253.2663,0.4342,CL
19,1324.3029,26.9509,42.5638,33950.7538,420.8133,11.8641,12.8442,0.0222,CR
20,1387.1289,26.8284,42.6508,34000.0,445.3029,0.0,0.0,0.0,CR
21,1459.1585,26.6799,42.7559,34007.4121,454.7286,110.1074,136.3819,0.2348,CR
22,1523.6482,26.5447,42.8521,34000.0,456.0,0.0,460.0,0.788,CR
23,1581.9213,26.4299,42.9406,34000.0,456.643,0.0,258.8945,0.4435,CR
24,1640.7441,26.3136,43.0285,34000.0,457.3785,0.0,89.7588,0.1544,CR
25,1698.3704,26.197,43.1158,34000.0,458.6542,0.0,78.593,0.1353,CR
26,1760.3869,26.0687,43.2117,34000.0,458.0,0.0,460.0,0.788,CR
27,1820.7844,25.949,43.3007,34000.0,457.4258,0.0,44.1106,0.0756,CR
28,1880.0743,25.8277,43.3905,34000.0,456.4312,0.0,124.8241,0.2138,CR
29,1939.9497,25.7053,43.4807,34000.0,455.0989,0.0,292.2915,0.5029,CR
30,1997.9931,25.5861,43.5682,34000.0,456.003,0.0,457.6884,0.788,CR
31,2058.9339,25.4612,43.6594,34000.0,457.175,0.0,288.9447,0.4975,CR
32,2116.0452,25.3427,43.7456,34000.0,456.0,0.0,460.0,0.792,CR
33,2172.3408,25.2301,43.8273,34000.0,454.5494,0.0,48.5427,0.0836,CR
34,2229.2779,25.1123,43.9123,34000.0,453.5039,0.0,218.2312,0.3741,CR
35,2290.0905,24.986,44.003,34000.0,450.0353,0.0,387.7085,0.6646,CR
36,2359.2581,24.8464,44.1027,34000.0,447.4629,0.0,94.7739,0.1632,CR
37,2433.9904,24.6936,44.2113,34000.0,444.4162,0.0,196.4824,0.3383,CR
38,2498.6918,24.563,44.3037,34000.0,441.8177,0.0,27.7387,0.0478,CR
39,2561.9185,24.4322,44.3956,34000.0,441.9602,0.0,317.608,0.5465,CR
40,2629.5436,24.2956,44.4913,34000.0,442.3564,0.0,149.598,0.2574,CR
41,2705.7836,24.1404,44.5995,34000.0,442.508,0.0,18.4121,0.0317,CR
42,2777.6137,23.9929,44.7018,34000.0,442.5293,0.0,0.0,0.0,CR
43,2844.6821,23.8533,44.798,34000.0,444.0521,0.0,103.5678,0.1782,CR
44,2902.7076,23.731,44.8819,34000.0,445.0543,0.0,391.8392,0.6771,CR
45,2968.2754,23.5945,44.9751,34000.0,448.1229,0.0,226.5327,0.39,CR
46,3027.2513,23.4687,45.0606,34000.0,447.0,0.0,458.0,0.788,CR
47,3088.535,23.3418,45.1464,34000.0,446.2008,0.0,109.9899,0.1901,CR
48,3148.1237,23.2146,45.2321,34000.0,448.0949,0.0,277.2663,0.4791,CR
49,3205.6008,23.0936,45.3131,34000.0,448.4252,0.0,11.5578,0.0199,CR
50,3267.0078,22.9625,45.4006,34000.0,444.0444,0.0,156.5025,0.2693,CR
51,3327.0924,22.835,45.4852,34000.0,444.6705,0.0,133.4874,0.2308,CR
52,3387.6787,22.7067,45.5699,34000.0,442.6926,0.0,34.5226,0.0597,CR
53,3448.3921,22.5765,45.6554,34000.0,442.0501,0.0,203.4171,0.3502,CR
54,3511.2735,22.4433,45.7426,34000.0,440.6242,0.0,87.0754,0.1505,CR
55,3575.2868,22.3056,45.8324,34000.0,442.0158,0.0,377.4472,0.6494,CR
56,3632.4573,22.1821,45.9124,34000.0,441.0,0.0,456.0,0.7902,CR
57,3695.2869,22.0461,46.0001,34000.0,440.0698,0.0,416.5729,0.7204,CR
58,3750.8856,21.9281,46.0759,34000.0,440.7547,0.0,328.5226,0.5673,CR
59,3827.7536,21.7636,46.1808,34000.0,440.4962,0.0,162.6935,0.2811,CR
60,3892.9923,21.6206,46.2717,34000.0,439.0046,0.0,451.4171,0.7801,CR
61,3966.6131,21.4628,46.3713,34000.0,438.5477,0.0,282.8945,0.491,CR
62,4036.7851,21.311,46.4666,34000.0,440.0835,0.0,116.3518,0.2019,CR
63,4096.8765,21.1913,46.5606,34000.0,440.1096,0.0,405.5879,0.7009,CR
64,4159.493,21.0777,46.6592,34000.0,441.4154,0.0,238.3116,0.4118,CR
65,4227.2178,20.9511,46.7688,34000.0,440.9986,0.0,384.9648,0.6652,CR
66,4309.5226,20.7981,46.9004,34000.0,443.0,0.0,455.5779,0.7872,CR
67,4384.6762,20.6594,47.0189,34000.0,443.2651,0.0,263.5176,0.4577,CR
68,4444.2911,20.5466,47.1148,34000.0,441.036,0.0,430.794,0.7444,CR
69,4521.6056,20.4026,47.2367,34000.0,438.1789,0.0,312.5528,0.5397,CR
70,4584.9266,20.2855,47.3351,34000.0,440.1752,0.0,0.0,0.0,CR
71,4653.9664,20.1524,47.4465,34000.0,442.0041,0.0,435.3769,0.7524,CR
72,4718.0047,20.0318,47.547,34000.0,442.4404,0.0,187.8995,0.3247,CR
73,4783.7445,19.9067,47.6506,34000.0,443.1468,0.0,100.3819,0.1733,CR
74,4850.326,19.7769,47.7575,34000.0,444.1059,0.0,387.8392,0.6732,CR
75,4923.5484,19.6357,47.8731,34000.0,446.0219,0.0,233.7286,0.4039,CR
76,4979.1286,19.5282,47.9606,34000.0,446.0449,0.0,0.0,0.0,CR
77,5049.0151,19.3865,48.0725,34000.0,445.7538,0.0,456.0,0.788,CR
78,5125.5477,19.201,48.1708,34000.0,445.0,0.0,454.0,0.7865,CR
79,5191.1809,19.0381,48.2487,34000.0,444.0,0.0,455.9598,0.788,CR
80,5264.6533,18.8542,48.336,34000.0,442.6533,0.0,453.3065,0.784,CR
81,5328.6923,18.6958,48.4105,34000.0,444.8049,0.0,129.4673,0.2246,CR
82,5397.0517,18.5238,48.4911,34000.0,444.9506,0.0,36.5025,0.063,CR
83,5471.6263,18.3333,48.5797,34000.0,446.2677,0.0,202.1508,0.3506,CR
84,5529.5008,18.187,48.6474,34000.0,444.4126,0.0,84.7839,0.1465,CR
85,5595.2764,18.0172,48.7254,34000.0,441.8191,0.0,456.0,0.788,CR
86,5666.9259,17.8336,48.8045,34000.0,440.8748,0.0,206.2312,0.3564,CR
87,5738.2563,17.6343,48.8714,34000.0,442.0854,0.0,454.0,0.784,CR
88,5806.45,17.4482,48.9338,34000.0,444.019,0.0,327.6784,0.5663,CR
89,5875.0088,17.2598,48.9964,34000.0,443.1885,0.0,0.0,0.0,CR
90,5947.9246,17.0532,49.0645,34000.0,441.0,0.0,454.0,0.7879,CR
91,6022.3404,16.848,49.1316,34000.0,440.2946,0.0,280.6131,0.4846,CR
92,6084.005,16.6751,49.1877,34000.0,441.0,0.0,454.0,0.784,CR
93,6155.8844,16.4742,49.2524,34000.0,442.0,0.0,455.7688,0.788,CR
94,6221.4471,16.293,49.3103,34000.0,441.3138,0.0,233.9497,0.4058,CR
