,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7478,41.2761,0.0,10.0,0.0,0.0,0.152,GND
1,42.2362,28.7449,41.276,0.0,12.0,0.0,0.0,0.152,GND
2,89.9683,28.7414,41.276,0.0,9.0653,0.0,0.0,0.0,GND
3,152.1099,28.7364,41.2759,0.0,0.0,0.0,0.0,0.0,GND
4,241.8487,28.73,41.276,0.0,0.0,0.0,0.0,0.0,GND
5,301.7227,28.7297,41.2802,0.0,0.0,0.0,0.0,0.0,GND
6,379.9047,28.7295,41.2882,0.0,0.0,0.0,0.0,0.0,GND
7,475.7608,28.7295,41.2901,0.0,0.0,0.0,0.0,0.0,GND
8,567.1378,28.7295,41.2916,0.0,0.0,0.0,0.0,0.0,GND
9,697.6089,28.7294,41.2918,0.0,0.0,0.0,0.0,0.0,GND
10,831.7792,28.7294,41.2927,0.0,0.0,0.0,0.0,0.0,GND
11,932.4891,28.7294,41.294,0.0,0.0,0.0,0.0,0.0,GND
12,1023.9531,28.7273,41.2948,0.0,0.0,0.0,0.0,0.0,GND
13,1109.0692,28.7254,41.2948,0.0,0.0,0.0,0.0,0.0,GND
14,1196.2739,28.7249,41.2808,25.0,128.7697,0.0,0.0,0.0,LVL
15,1276.5427,28.7265,41.2169,2109.0452,197.5427,1657.6391,214.3618,0.3247,CL
16,1325.3719,28.692,41.1812,3319.4724,226.593,1277.6382,220.0,0.3704,CL
17,1550.0201,28.5372,41.357,11191.4573,342.0201,-6504.4166,355.9497,0.5519,CL
18,1631.0758,28.4344,41.4998,15054.2714,372.1439,612.4603,0.0,0.0,CL
19,1686.7943,28.3661,41.5828,17716.4573,380.6518,1844.9346,66.6332,0.1052,CL
20,1737.1056,28.3002,41.6589,19993.9698,386.1204,1450.3338,303.5176,0.4856,CL
21,1790.2568,28.2305,41.7392,21971.9849,398.6686,2254.238,142.1608,0.2302,CL
22,1839.3428,28.1469,41.8024,23708.1658,395.9507,1579.7265,27.6985,0.0452,CL
23,1880.3671,28.0582,41.8418,24948.8693,406.3731,2076.8995,204.3216,0.3342,CL
24,1939.8065,27.9096,41.863,26586.1809,408.7958,3885.6186,389.5779,0.6511,CL
25,1985.8866,27.7949,41.8669,27755.1508,416.8806,1134.9091,132.0603,0.2255,CL
26,2030.9571,27.6761,41.8705,28864.196,423.769,1651.9911,311.1156,0.5452,CL
27,2068.8141,27.5786,41.8733,29734.4221,430.1964,226.1307,52.7638,0.097,CR
28,2112.3695,27.4655,41.8952,30625.0,445.0893,693.4673,216.3618,0.3643,CL
29,2155.8492,27.3742,41.9565,31322.4874,445.0,1577.073,466.0,0.7882,CL
30,2194.3228,27.2974,42.0092,32043.0905,442.3505,1857.8944,296.1206,0.5029,CL
31,2231.8836,27.2218,42.0614,32960.4271,440.0254,1810.2823,357.5276,0.6129,CL
32,2280.3882,27.1259,42.1256,33973.2412,435.2529,1153.976,0.0,0.0,CL
33,2323.888,27.0361,42.1849,34959.799,434.3372,1567.0844,272.6834,0.4688,CL
34,2370.9183,26.9437,42.2461,35951.005,432.6416,-1700.8964,0.0,0.0,CL
35,2408.4618,26.867,42.2968,36675.0,431.1364,577.8894,258.8945,0.4508,CL
36,2448.4067,26.7852,42.3509,37337.5628,429.2759,1049.1249,375.3769,0.654,CL
37,2493.8553,26.697,42.409,38006.1558,426.2032,88.5299,110.804,0.193,CR
38,2535.6332,26.6112,42.4652,38016.4573,427.0,246.8593,450.0,0.788,CR
39,2576.0176,26.5301,42.5179,38000.0,429.0707,0.0,420.201,0.7363,CR
40,2617.6368,26.4365,42.5566,38000.0,412.4179,0.0,232.9146,0.4058,CR
41,2654.8104,26.3471,42.5796,38000.0,412.5783,0.0,47.4874,0.0827,CR
42,2692.8155,26.2539,42.6032,38000.0,412.1436,0.0,137.9397,0.2403,CR
43,2728.8982,26.1655,42.6256,38000.0,411.2358,0.0,124.9447,0.2184,CR
44,2769.392,26.0653,42.6507,38000.0,412.0,0.0,446.0,0.78,CR
45,2809.2563,25.9663,42.6755,38000.0,410.0,0.0,443.0854,0.776,CR
46,2846.9201,25.8762,42.6979,38000.0,410.0203,0.0,425.8291,0.7447,CR
47,2889.4673,25.7721,42.7237,38000.0,407.6332,0.0,444.0,0.7775,CR
48,2935.4746,25.664,42.7503,38005.5276,406.7272,-261.9013,97.7286,0.1707,CR
49,2979.534,25.5563,42.7768,38000.0,410.1989,0.0,85.1658,0.1489,CR
50,3026.4121,25.4382,42.8059,38000.0,414.0,0.0,452.0,0.788,CR
51,3068.8464,25.3373,42.8306,38000.0,413.286,0.0,6.8141,0.0119,CR
52,3108.4139,25.2373,42.8548,38000.0,412.2761,0.0,257.7889,0.4514,CR
53,3146.5176,25.1419,42.8778,38000.0,411.0,0.0,450.0,0.788,CR
54,3189.2131,25.038,42.9025,38000.0,411.0824,0.0,335.4372,0.587,CR
55,3224.9973,24.9519,42.9231,38000.0,409.266,0.0,297.1658,0.52,CR
56,3261.2261,24.8622,42.9446,38000.0,406.0754,0.0,446.0,0.78,CR
57,3299.1061,24.7716,42.9661,38000.0,403.2142,0.0,216.4221,0.3802,CR
58,3339.6634,24.6744,42.989,38000.0,405.4563,0.0,45.2261,0.0792,CR
59,3380.8907,24.5722,43.0132,38000.0,407.0478,0.0,311.1759,0.5452,CR
60,3422.3119,24.4721,43.0366,38000.0,404.4154,0.0,123.8191,0.2167,CR
61,3463.6629,24.3723,43.0597,37978.392,403.0357,131.5563,60.7839,0.1064,CR
62,3509.6432,24.2579,43.0865,38025.0,400.5477,0.0,443.0955,0.7742,CR
