,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7434,41.2667,0.0,0.0,0.0,0.0,0.0,GND
1,101.8543,28.7434,41.2665,0.0,1.0,0.0,0.0,0.0,GND
2,171.0382,28.7434,41.2665,0.0,0.0,0.0,0.0,0.0,GND
3,285.1003,28.7436,41.2666,0.0,0.2814,0.0,0.0,0.0,GND
4,344.4308,28.7443,41.2668,0.0,0.2915,0.0,0.0,0.0,GND
5,402.4042,28.7447,41.2667,0.0,0.4322,0.0,0.0,0.0,GND
6,510.5364,28.7447,41.2667,0.0,0.0,0.0,0.0,0.0,GND
7,594.6624,28.7447,41.267,0.0,0.0,0.0,0.0,0.0,GND
8,657.9983,28.7464,41.2688,0.0,8.5025,0.0,0.0,0.0,GND
9,722.6839,28.7524,41.2688,0.0,5.0653,0.0,0.0,0.0,GND
10,781.6966,28.7538,41.2676,0.0,0.9497,0.0,0.0,0.0,GND
11,842.397,28.7538,41.2649,0.0,11.0,0.0,0.0,0.0,GND
12,900.1499,28.7547,41.2641,0.0,0.4372,0.0,0.0,0.0,GND
13,962.8291,28.7557,41.2641,0.0,8.0,0.0,0.0,0.0,GND
14,1021.9808,28.7567,41.2647,0.0,0.9899,0.0,0.0,0.0,GND
15,1099.5176,28.7567,41.2647,0.0,0.0,0.0,0.0,0.0,GND
16,1172.6683,28.7566,41.2662,0.0,42.6734,0.0,28.3618,0.0,GND
17,1271.1154,28.7763,41.3215,2025.0,181.4459,705.966,163.4372,0.2191,CL
18,1341.1852,28.8224,41.3769,4976.6332,210.7915,2535.3606,35.5176,0.0548,CL
19,1411.1706,28.8364,41.4398,8089.4472,232.6441,2648.0465,0.0,0.0,CL
20,1485.2098,28.7499,41.5009,10725.0,282.6312,728.6432,208.392,0.3323,CL
21,1565.9548,28.6631,41.601,13073.4925,341.9849,2066.4863,350.0,0.556,CL
22,1628.4925,28.6087,41.694,15707.1608,354.6985,1885.9296,366.794,0.5896,CL
23,1692.1933,28.5176,41.7681,18325.0,356.435,1763.8191,224.593,0.3645,CL
24,1755.5955,28.3945,41.8193,20662.5628,362.9898,2022.8415,49.4975,0.0809,CL
25,1826.5653,28.2514,41.879,22612.9397,382.644,1607.1259,340.7136,0.5606,CL
26,1887.8783,28.1241,41.9332,24555.2764,385.2773,1322.4015,231.0553,0.3847,CL
27,1951.0748,28.0513,42.0313,26225.0,392.115,1100.5025,312.5427,0.5253,CL
28,2008.9865,27.9947,42.1293,27499.4975,401.0044,2200.2272,421.3568,0.7134,CL
29,2073.9989,27.9298,42.2411,28477.0101,418.6689,955.4816,307.8995,0.5243,CL
30,2137.8358,27.8641,42.3544,29930.5276,419.3277,1272.9246,0.0,0.0,CL
31,2205.9041,27.7827,42.4721,31375.0,419.7892,1096.2772,55.9598,0.095,CL
32,2268.7181,27.6874,42.5741,32200.1256,431.4355,1896.5657,78.2714,0.1327,CL
33,2331.6432,27.5932,42.6767,34179.7739,417.0,2335.6822,464.9045,0.792,CL
34,2401.85,27.4919,42.7863,36025.0,409.8449,573.4208,120.201,0.2038,CL
35,2484.501,27.372,42.9173,37398.7437,416.7755,633.4466,11.5578,0.0197,CL
36,2546.1935,27.2821,43.0165,38675.0,412.4451,467.3367,143.3166,0.2443,CL
37,2615.6361,27.2022,43.1334,39880.1508,409.8666,900.9224,180.9045,0.3087,CL
38,2686.0669,27.151,43.264,40000.0,429.4213,0.0,53.8593,0.0925,CR
39,2754.777,27.0986,43.3978,40000.0,439.1525,0.0,396.3317,0.6799,CR
40,2820.5569,27.0483,43.5258,40000.0,433.3385,0.0,260.5025,0.445,CR
41,2887.7688,26.9973,43.655,40000.0,430.0,0.0,474.0,0.809,CR
42,2956.895,26.9454,43.7861,40000.0,427.0244,0.0,457.7688,0.7836,CR
43,3025.0354,26.8938,43.9154,40000.0,428.2173,0.0,322.5729,0.5522,CR
44,3097.1992,26.8533,44.056,40000.0,430.4004,0.0,187.3769,0.3192,CR
45,3168.7129,26.8231,44.1966,40000.0,430.8966,0.0,52.6231,0.0902,CR
46,3244.6482,26.791,44.3458,40000.0,426.0,0.0,474.0,0.8127,CR
47,3312.7851,26.7622,44.4781,40000.0,424.9737,0.0,219.1357,0.3772,CR
48,3377.3621,26.7351,44.6028,40000.0,424.9634,0.0,118.593,0.204,CR
49,3441.9175,26.7077,44.7284,40000.0,424.0025,0.0,459.2563,0.7873,CR
50,3510.2388,26.6787,44.8601,40000.0,422.7089,0.0,322.9146,0.5536,CR
51,3577.1101,26.6504,44.989,40000.0,419.9598,0.0,286.995,0.4913,CR
52,3647.1261,26.6206,45.1234,40000.0,420.9996,0.0,423.9799,0.7263,CR
53,3727.6012,26.5862,45.2779,40000.0,420.9968,0.0,85.0251,0.1462,CR
54,3792.0653,26.5582,45.4029,40000.0,423.0,0.0,470.0,0.808,CR
55,3855.7387,26.5305,45.5256,40000.0,426.0,0.0,476.0,0.816,CR
56,3917.8904,26.5029,45.6478,40000.0,423.0519,0.0,456.8643,0.787,CR
57,3978.1171,26.4768,45.7626,40000.0,422.9914,0.0,317.8291,0.5468,CR
58,4040.1597,26.4496,45.8821,40000.0,420.7454,0.0,184.1809,0.3157,CR
59,4105.8477,26.4209,46.0077,40000.0,419.0167,0.0,47.6382,0.082,CR
60,4169.801,26.3929,46.1297,40000.0,416.132,0.0,87.3869,0.1502,CR
61,4235.6119,26.3639,46.2555,40000.0,420.1778,0.0,222.0101,0.3817,CR
62,4299.2412,26.3354,46.3782,40000.0,423.0,0.0,472.0,0.812,CR
63,4366.9753,26.3049,46.5093,40000.0,425.0177,0.0,450.6533,0.7753,CR
64,4430.5984,26.2759,46.6328,40000.0,426.4538,0.0,318.1307,0.5454,CR
65,4489.8214,26.249,46.7475,40000.0,420.2082,0.0,183.3166,0.3147,CR
66,4551.1783,26.2217,46.8635,40000.0,413.0292,0.0,426.9347,0.7345,CR
67,4613.4838,26.1936,46.9816,40000.0,413.0584,0.0,383.4874,0.6602,CR
68,4675.0863,26.1661,47.0972,40000.0,414.2113,0.0,228.191,0.3934,CR
69,4739.572,26.137,47.2185,40000.0,411.0775,0.0,360.5226,0.6202,CR
70,4803.3135,26.1083,47.3376,40000.0,410.4266,0.0,23.8191,0.041,CR
71,4872.9899,26.0768,47.4681,40000.0,409.0,0.0,472.0,0.812,CR
72,4932.588,26.05,47.5789,40000.0,409.2185,0.0,177.8894,0.306,CR
73,4995.1223,26.0211,47.6967,40000.0,408.0427,0.0,432.9447,0.7458,CR
74,5051.608,25.9954,47.8015,40000.0,406.0,0.0,470.0,0.812,CR
75,5113.7226,25.9535,47.9138,40000.0,408.9571,0.0,245.3367,0.4224,CR
