,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7375,41.2664,0.0,0.0,0.0,0.0,0.0,GND
1,38.8852,28.7375,41.2664,0.0,0.0,0.0,0.0,0.0,GND
2,90.5407,28.7375,41.2664,0.0,0.0,0.0,0.0,0.0,GND
3,139.7582,28.7376,41.2663,0.0,0.8995,0.0,0.0,0.0,GND
4,181.6633,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
5,235.2698,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
6,306.995,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
7,360.1608,28.7376,41.2663,0.0,0.5678,0.0,0.0,0.0,GND
8,408.1179,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
9,457.8033,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
10,504.6295,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
11,560.6962,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
12,623.4643,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
13,675.316,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
14,724.5113,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
15,792.4874,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
16,847.1477,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
17,906.2351,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
18,959.9698,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
19,1011.0377,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
20,1051.2026,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
21,1097.5215,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
22,1144.729,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
23,1195.0907,28.7376,41.2664,0.0,0.0,0.0,0.0,0.0,GND
24,1241.2366,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
25,1299.1457,28.7376,41.2663,0.0,0.8291,0.0,0.0,0.0,GND
26,1345.6213,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
27,1404.1417,28.7376,41.2663,0.0,0.0,0.0,0.0,0.0,GND
28,1441.9555,28.7376,41.2664,0.0,0.0,0.0,0.0,0.0,GND
29,1493.373,28.7376,41.2664,0.0,0.0,0.0,0.0,0.0,GND
30,1540.9916,28.7376,41.2665,0.0,0.0,0.0,0.0,0.0,GND
31,1587.9422,28.7376,41.2665,0.0,0.0,0.0,0.0,0.0,GND
32,1647.5022,28.7376,41.2665,0.0,0.0,0.0,0.0,0.0,GND
33,1721.6743,28.7376,41.2665,0.0,0.0,0.0,0.0,0.0,GND
34,1787.9397,28.7375,41.2665,0.0,0.0,0.0,0.0,0.0,GND
35,1854.3641,28.7376,41.2665,0.0,0.0,0.0,0.0,0.0,GND
36,1946.3595,28.7376,41.2665,0.0,0.0,0.0,0.0,0.0,GND
37,2037.9325,28.7375,41.2664,0.0,0.0,0.0,0.0,0.0,GND
38,2176.7836,28.7377,41.2664,0.0,0.0,0.0,0.0,0.0,GND
39,2245.8923,28.7384,41.2665,0.0,0.0,0.0,0.0,0.0,GND
40,2319.7488,28.7388,41.2662,0.0,0.0,0.0,0.0,0.0,GND
41,2468.4432,28.7388,41.2665,0.0,0.0,0.0,0.0,0.0,GND
42,2542.6967,28.7387,41.2699,0.0,0.0,0.0,0.0,0.0,GND
43,2595.353,28.7351,41.2704,0.0,3.392,0.0,0.0,0.0,GND
44,2630.8597,28.7311,41.2703,0.0,2.5327,0.0,0.0,0.0,GND
45,2662.6619,28.7298,41.271,0.0,6.0905,0.0,0.0,0.0,GND
46,2707.2282,28.7298,41.275,0.0,0.0,0.0,0.0,0.0,GND
47,2763.2216,28.7296,41.2819,0.0,15.9347,0.0,0.0,0.0,GND
48,2796.8576,28.7296,41.2858,0.0,17.6332,0.0,0.0,0.0,GND
49,2828.9508,28.7295,41.2892,0.0,0.6281,0.0,0.0,0.0,GND
50,2862.6332,28.7294,41.2936,0.0,23.3417,0.0,0.0,0.0,GND
51,2900.255,28.7281,41.2948,0.0,7.0854,0.0,0.0,0.0,GND
52,2931.1918,28.7262,41.2948,0.0,0.9799,0.0,0.0,0.0,GND
53,2967.4401,28.7246,41.2946,0.0,0.0,0.0,0.0,0.0,GND
54,3035.9548,28.7246,41.2944,0.0,1.0,0.0,0.0,0.0,GND
55,3091.4089,28.7248,41.2817,320.603,130.8091,273.7942,0.0,0.0,CL
56,3147.509,28.726,41.2411,1995.7286,167.7022,1470.4233,0.0,0.0,CL
57,3197.3681,28.716,41.1966,3659.0452,211.0937,2966.0804,214.6533,0.3493,CL
58,3248.8751,28.6506,41.1812,6453.2663,236.2391,2803.7899,170.7739,0.3039,CL
59,3299.9059,28.5771,41.2001,8733.9196,279.3324,3324.7923,181.3869,0.2804,CL
60,3345.983,28.5549,41.2596,10848.4925,316.9852,5269.8151,289.0653,0.4514,CL
61,3397.372,28.5967,41.328,13146.3568,312.778,2614.4872,0.0,0.0,CL
62,3437.5607,28.6338,41.3856,14731.407,342.9982,2346.0807,307.2312,0.3629,CL
63,3477.9808,28.6706,41.4437,16197.2362,355.5709,960.3724,306.4372,0.0562,CL
64,3514.3143,28.706,41.4992,17591.4573,362.5748,-1499.5725,312.8392,0.2718,CL
65,3548.6231,28.7411,41.5539,18382.7889,387.3116,2186.0036,350.3116,0.5652,CL
66,3583.0585,28.7781,41.6111,19018.3417,414.4105,416.9794,356.2814,0.4765,CL
67,3617.6893,28.8169,41.6711,20100.0,428.1043,1749.1609,354.1206,0.3675,CL
68,3659.1395,28.866,41.7468,21626.3819,433.0409,3868.7483,396.6382,0.6197,CL
69,3694.8463,28.9076,41.8107,22687.6884,440.7919,2230.9766,374.5327,0.4626,CL
70,3739.9121,28.962,41.8941,24008.0402,449.2509,2254.2564,377.5879,0.464,CL
71,3780.1482,29.0107,41.969,25098.8693,461.4065,746.6743,310.1106,0.0315,CL
72,3817.2864,29.058,42.0416,26139.6985,467.4691,1413.0183,354.0352,0.2934,CL
73,3856.2125,29.1091,42.1196,27194.4724,476.1298,1428.2315,403.9196,0.567,CL
74,3888.6018,29.1378,42.1846,28025.0,470.1835,411.4691,324.0905,0.1078,CL
75,3929.4623,29.1426,42.2748,29198.7437,465.4874,2462.4019,446.0,0.76,CL
76,3965.7236,29.1455,42.3532,30168.0905,477.3618,2703.0756,446.2412,0.768,CL
77,4010.5915,29.1698,42.4517,31093.8442,502.7998,859.9216,341.196,0.1921,CL
78,4048.4415,29.1987,42.5385,32275.0,505.0586,2060.7238,396.3467,0.4806,CL
79,4088.0407,29.2291,42.6297,33200.5025,512.0169,2274.4724,449.0452,0.7722,CL
80,4124.7307,29.2571,42.7126,34298.995,512.6934,2411.3249,355.2764,0.2732,CL
81,4160.2595,29.285,42.7955,35125.0,512.2411,1024.9139,409.8945,0.5651,CL
82,4193.7588,29.311,42.8732,35720.9799,514.0,1158.8897,452.0,0.796,CL
83,4231.4548,29.3401,42.96,35988.8191,514.4647,680.1851,388.4673,0.4422,CL
84,4267.6885,29.3682,43.0425,35975.0,504.1732,0.0,419.7839,0.6382,CR
