,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.6954,41.4323,4800.0,261.0,-32.0767,0.0,0.0,LVL
1,74.3367,28.6409,41.515,8447.3618,270.7789,2500.0,276.0,0.4302,CL
2,135.6734,28.5887,41.5849,10552.8894,301.5578,1560.7246,276.0,0.432,CL
3,194.0415,28.5028,41.643,12583.6683,332.1955,2566.2614,120.5327,0.1885,CL
4,253.2745,28.4007,41.691,15311.5578,330.0796,2706.9738,325.4673,0.5024,CL
5,307.7889,28.296,41.7256,17389.4472,344.0,2909.8712,386.0,0.612,CL
6,360.8187,28.1913,41.7598,19266.8342,354.0651,2421.0755,268.0,0.431,CL
7,421.5405,28.08,41.8165,21361.3065,373.1427,1389.3001,401.7387,0.3593,CL
8,482.4737,27.98,41.8909,23434.6734,376.1719,482.468,399.0,0.0,CL
9,539.0326,27.8839,41.9614,25025.5025,383.0087,1494.2247,427.7085,0.6969,CL
10,596.2828,27.7859,42.0332,26523.6181,389.1214,2106.3508,431.3467,0.5775,CL
11,663.6683,27.6718,42.1167,28742.5879,379.0161,1983.5498,421.9045,0.3284,CL
12,717.2193,27.5822,42.1818,29983.6683,378.4443,950.2894,418.0704,0.2677,CL
13,771.4675,27.4944,42.2523,30950.0,389.2443,942.8884,406.9146,0.099,CL
14,826.473,27.4134,42.3298,32322.6131,382.0945,544.002,404.8241,0.0752,CL
15,880.7337,27.3315,42.4063,32817.0854,393.0,463.7407,468.0,0.8053,CL
16,931.7947,27.2523,42.4801,33300.0,400.2596,806.5327,437.1759,0.4345,CL
17,995.0736,27.1533,42.573,34275.0,400.2944,1138.191,443.7688,0.604,CL
18,1053.0603,27.0495,42.6453,34900.5025,397.0201,500.0,452.0804,0.784,CL
19,1112.4645,26.9389,42.7196,35514.9497,402.1525,899.7691,446.1407,0.6328,CL
20,1171.7337,26.8281,42.7936,36200.0,402.0,300.1497,454.0,0.788,CL
21,1228.2119,26.7225,42.8638,36725.0,403.1491,321.608,434.3769,0.5094,CL
22,1281.3837,26.622,42.9306,37306.7839,402.0135,1236.1649,448.2663,0.688,CL
23,1337.3942,26.5182,42.9992,37922.8643,396.3537,299.0087,403.6985,0.0677,CL
24,1391.7739,26.4158,43.0666,38000.0,402.0,0.0,455.3869,0.796,CR
25,1443.4171,26.3168,43.1317,38000.0,410.0,0.0,458.2211,0.8004,CR
26,1497.7538,26.2105,43.2012,38000.0,413.0,0.0,457.0151,0.801,CR
27,1553.2418,26.1037,43.271,38000.0,414.8183,0.0,401.0201,0.0246,CR
28,1604.7896,26.0024,43.3368,38000.0,412.1654,0.0,453.206,0.6602,CR
29,1664.3518,25.8852,43.4123,38000.0,414.5879,0.0,468.0,0.8136,CR
30,1718.8342,25.7784,43.4814,38000.0,407.6332,0.0,468.0,0.8189,CR
31,1776.4649,25.6684,43.552,38000.0,404.4413,0.0,409.0553,0.1189,CR
32,1829.6985,25.5643,43.6186,38000.0,406.0,0.0,470.0,0.816,CR
33,1883.9621,25.4594,43.6854,38000.0,407.2624,0.0,420.6432,0.2419,CR
34,1940.2598,25.3493,43.7551,38000.0,407.1931,0.0,433.2513,0.3917,CR
35,1995.8114,25.2404,43.8241,38000.0,408.1861,0.0,418.598,0.2143,CR
36,2046.1206,25.1413,43.8865,38000.0,409.0,0.0,470.0,0.812,CR
37,2099.4573,25.0354,43.9531,38000.0,401.1809,0.0,468.3618,0.8047,CR
38,2151.794,24.9321,44.0123,38000.0,395.0,0.0,466.0,0.8,CR
39,2206.6858,24.8212,44.0729,38000.0,396.7548,0.0,424.2513,0.3015,CR
40,2266.746,24.6997,44.139,38000.0,396.9729,0.0,457.2513,0.6788,CR
41,2330.8115,24.569,44.21,38000.0,396.8375,0.0,403.3769,0.0523,CR
42,2388.2793,24.4516,44.2732,38000.0,393.5924,0.0,446.809,0.5737,CR
43,2446.4623,24.3336,44.3367,38000.0,389.5075,0.0,467.0151,0.808,CR
44,2509.8586,24.2069,44.4047,38000.0,386.1354,0.0,443.4472,0.58,CR
45,2565.1508,24.0963,44.4636,38000.0,389.0,0.0,460.0,0.796,CR
46,2619.9706,23.984,44.5231,38000.0,391.2071,0.0,449.5779,0.6766,CR
47,2670.8716,23.8826,44.5769,38000.0,389.3168,0.0,399.0,0.0,CR
48,2727.7739,23.7673,44.6377,37984.6734,388.0,290.201,470.0,0.812,CL
49,2781.3317,23.6597,44.6941,38000.0,384.0,0.0,458.0,0.792,CR
50,2850.3618,23.52,44.7672,38000.0,389.1282,0.0,402.593,0.0442,CR
51,2905.851,23.4068,44.8261,38000.0,387.0437,0.0,443.1407,0.576,CR
52,2960.8458,23.2954,44.8839,38000.0,388.2371,0.0,428.6482,0.398,CR
53,3019.8442,23.1738,44.9468,38000.0,395.0,0.0,458.5628,0.7949,CR
54,3073.195,23.0616,45.0044,38000.0,397.9955,0.0,460.0804,0.7518,CR
55,3127.2588,22.9479,45.0627,38000.0,399.3885,0.0,409.1307,0.1286,CR
56,3180.3425,22.8352,45.1202,38000.0,400.2113,0.0,422.2965,0.304,CR
57,3230.794,22.7276,45.175,38000.0,402.0,0.0,462.4121,0.804,CR
58,3284.2278,22.6135,45.2327,38000.0,402.0821,0.0,409.3769,0.14,CR
59,3332.9852,22.5075,45.2862,38000.0,404.9682,0.0,457.2412,0.7638,CR
60,3401.3786,22.3609,45.3598,38000.0,406.5237,0.0,415.7789,0.2141,CR
61,3456.8703,22.24,45.4202,38000.0,406.348,0.0,431.2915,0.4121,CR
62,3511.5398,22.1209,45.4794,38000.0,405.0512,0.0,443.6382,0.5725,CR
63,3566.0995,22.0019,45.5385,38000.0,400.0704,0.0,455.7085,0.7549,CR
64,3618.9635,21.8895,45.594,38000.0,398.0549,0.0,450.804,0.6828,CR
65,3672.7136,21.7736,45.651,38000.0,397.4429,0.0,420.9397,0.2975,CR
66,3722.5214,21.6669,45.7032,38000.0,398.2377,0.0,433.9849,0.4815,CR
67,3775.1519,21.5536,45.7584,38000.0,397.9388,0.0,409.598,0.1487,CR
68,3829.928,21.4346,45.8163,38000.0,397.9974,0.0,453.995,0.7719,CR
69,3891.8362,21.3013,45.8806,38000.0,396.451,0.0,413.0955,0.205,CR
70,3947.3716,21.1812,45.9385,38000.0,396.9092,0.0,425.2563,0.3819,CR
71,4012.1635,21.041,46.0057,38000.0,399.0071,0.0,437.4171,0.5588,CR
72,4065.184,20.925,46.0611,38000.0,399.0725,0.0,449.5779,0.7357,CR
73,4118.4669,20.8075,46.1169,38000.0,400.0172,0.0,444.5427,0.6874,CR
74,4174.5278,20.6843,46.1751,38000.0,400.6824,0.0,434.1005,0.5106,CR
75,4224.6683,20.5696,46.2248,38000.0,403.0,0.0,453.1658,0.7983,CR
76,4278.9984,20.4467,46.2779,38000.0,404.592,0.0,409.7789,0.1568,CR
77,4330.9882,20.3268,46.3298,38000.0,406.0124,0.0,452.6181,0.7799,CR
78,4385.2901,20.2007,46.3842,38000.0,407.0378,0.0,438.9497,0.603,CR
79,4445.792,20.0626,46.4433,38000.0,406.3336,0.0,428.2965,0.424,CR
80,4512.4309,19.907,46.5097,38000.0,409.2461,0.0,435.4874,0.5508,CR
81,4575.6332,19.7582,46.5729,38000.0,412.0,0.0,452.0,0.8,CR
82,4635.2501,19.6178,46.6321,38000.0,414.5425,0.0,405.9246,0.1045,CR
83,4690.4281,19.4866,46.6872,38000.0,415.326,0.0,416.9397,0.2814,CR
84,4742.0678,19.3635,46.7387,38000.0,417.0175,0.0,429.3618,0.456,CR
85,4794.9071,19.2365,46.7915,38000.0,419.3636,0.0,409.5075,0.164,CR
86,4845.1156,19.1151,46.8419,38000.0,421.6454,0.0,399.7688,0.0121,CR
87,4897.0553,18.9882,46.8942,38000.0,424.0,0.0,452.0,0.804,CR
88,4950.6927,18.8562,46.9483,38000.0,424.5758,0.0,427.7638,0.4342,CR
89,5011.2763,18.7065,47.0094,38000.0,425.9454,0.0,433.598,0.5427,CR
90,5072.0173,18.5555,47.0708,38000.0,426.0713,0.0,446.6734,0.7196,CR
91,5132.591,18.4061,47.1312,38000.0,428.4105,0.0,405.392,0.0965,CR
92,5190.7129,18.261,47.1895,38000.0,428.018,0.0,416.4271,0.2734,CR
93,5249.8948,18.1121,47.2489,38000.0,431.0583,0.0,421.2965,0.3497,CR
94,5304.9514,17.9727,47.3044,38000.0,432.6752,0.0,410.0201,0.172,CR
95,5360.5262,17.8313,47.3602,38000.0,435.9328,0.0,399.2563,0.004,CR
96,5412.2637,17.6982,47.4126,38000.0,439.0106,0.0,410.5327,0.18,CR
97,5465.0818,17.5603,47.4666,38000.0,441.3595,0.0,421.809,0.3578,CR
98,5520.8854,17.4144,47.5234,38000.0,442.9791,0.0,415.9146,0.2653,CR
99,5588.4422,17.2351,47.5927,38000.0,446.0,0.0,450.0,0.7964,CR
100,5656.1137,17.0567,47.6613,38000.0,450.3909,0.0,404.8593,0.0884,CR
