,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
1,170.8618,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
2,304.9041,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
3,419.3396,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
4,592.5499,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
5,759.9116,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
6,895.6668,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
7,1042.7982,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
8,1260.5008,28.7353,41.2573,0.0,0.0,0.0,0.0,0.0,GND
9,1400.7056,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
10,1517.2206,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
11,1630.5309,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
12,1728.7623,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
13,1863.8241,28.7352,41.2573,0.0,0.0,0.0,0.0,0.0,GND
14,1958.9344,28.7347,41.2573,0.0,1.3065,0.0,0.0,0.0,GND
15,2038.752,28.7337,41.2573,0.0,1.4573,0.0,0.0,0.0,GND
16,2117.3532,28.7336,41.2571,0.0,0.0,0.0,0.0,0.0,GND
17,2223.8812,28.7336,41.2571,0.0,0.0,0.0,0.0,0.0,GND
18,2310.1517,28.7314,41.2558,0.0,0.0,0.0,0.0,0.0,GND
19,2388.5535,28.7281,41.2533,0.0,3.5879,0.0,0.0,0.0,GND
20,2467.6376,28.7221,41.2557,0.0,6.1508,0.0,0.0,0.0,GND
21,2548.9794,28.7236,41.262,0.0,0.3015,0.0,0.0,0.0,GND
22,2644.7395,28.7243,41.2957,1175.2513,150.2113,1844.3335,0.0,0.0,CL
23,2749.9579,28.6909,41.3821,3900.0,263.5018,337.6256,203.8191,0.3104,CL
24,2878.205,28.4755,41.3378,9550.0,293.646,2463.9113,279.3467,0.0736,CL
25,2968.5867,28.3058,41.2925,12004.7739,349.2504,1816.5877,282.0,0.0,CL
26,3065.2398,28.1058,41.2383,15498.2412,366.4684,5536.8433,280.8744,0.0391,CL
27,3150.9505,27.9203,41.1917,18206.1558,378.4054,627.9297,277.0151,0.1844,CL
28,3236.7668,27.7242,41.1571,20284.6734,398.8725,863.9706,270.9045,0.4383,CL
29,3318.0701,27.5266,41.1216,22076.8844,416.095,1046.1987,267.206,0.6066,CL
30,3403.5575,27.311,41.0823,24009.2965,424.9373,950.2842,273.3166,0.369,CL
31,3485.5176,27.1014,41.0436,25595.9799,433.0,570.1636,266.0,0.7034,CL
32,3562.8844,26.8988,41.0058,26911.0553,441.6633,165.8291,303.1457,0.7178,CR
33,3642.3021,26.6893,40.9663,28315.0754,448.0961,1576.9219,378.4824,0.4462,CL
34,3724.0617,26.4694,40.9319,29724.6231,446.6935,1388.5792,284.3518,0.0111,CL
35,3802.4673,26.2567,40.9201,31002.5126,449.528,412.6884,379.5075,0.4685,CL
36,3881.7428,26.0367,40.9067,31950.0,458.2618,188.4422,323.7085,0.192,CR
37,3965.0301,25.8069,40.8923,32000.0,452.2319,0.0,279.9095,0.0998,CR
38,4048.3373,25.5811,40.8777,32000.0,445.3103,0.0,274.201,0.3666,CR
39,4127.5859,25.3643,40.8634,32919.7236,449.5014,1619.0173,299.3065,0.0806,CL
40,4207.4428,25.1487,40.8486,34000.0,440.9368,398.0298,397.7789,0.5557,CL
41,4286.7065,24.9365,40.8339,34000.0,444.3234,0.0,388.6432,0.5029,CR
42,4370.1206,24.7125,40.8178,34025.0,446.0,0.0,448.0,0.7718,CR
43,4452.1806,24.4898,40.8012,34000.0,444.0284,0.0,272.7538,0.4461,CR
44,4534.9618,24.2678,40.7843,34000.0,442.0176,0.0,417.0754,0.6207,CR
