,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
1,36.8824,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
2,69.6023,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
3,102.6208,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
4,135.0451,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
5,165.6659,28.7356,41.2647,0.0,0.0,0.0,0.0,0.0,GND
6,200.0839,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
7,239.8948,28.7359,41.2645,0.0,0.0,0.0,0.0,0.0,GND
8,282.3869,28.7358,41.2646,0.0,0.0,0.0,0.0,0.0,GND
9,313.1446,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
10,346.332,28.7356,41.2647,0.0,0.0,0.0,0.0,0.0,GND
11,379.4676,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
12,415.7739,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
13,457.6812,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
14,496.6221,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
15,537.3782,28.7358,41.2646,0.0,0.0,0.0,0.0,0.0,GND
16,567.527,28.7359,41.2645,0.0,0.0,0.0,0.0,0.0,GND
17,601.7313,28.7359,41.2645,0.0,0.0,0.0,0.0,0.0,GND
18,635.0525,28.7357,41.2647,0.0,0.0,0.0,0.0,0.0,GND
19,671.5395,28.7359,41.2645,0.0,0.0,0.0,0.0,0.0,GND
20,704.0925,28.7358,41.2646,0.0,0.0,0.0,0.0,0.0,GND
21,734.8952,28.7359,41.2645,0.0,0.0,0.0,0.0,0.0,GND
22,771.5084,28.7359,41.2645,0.0,0.0,0.0,0.0,0.0,GND
23,806.572,28.7359,41.2645,0.0,0.0,0.0,0.0,0.0,GND
24,839.6684,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
25,875.9372,28.7357,41.2647,0.0,0.0,0.0,0.0,0.0,GND
26,915.22,28.7358,41.2646,0.0,0.0,0.0,0.0,0.0,GND
27,945.5905,28.7359,41.2645,0.0,0.0,0.0,0.0,0.0,GND
28,979.7706,28.7358,41.2645,0.0,0.0,0.0,0.0,0.0,GND
29,1013.5799,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
30,1052.3727,28.7356,41.2647,0.0,0.0,0.0,0.0,0.0,GND
31,1100.3501,28.7358,41.2646,0.0,0.0,0.0,0.0,0.0,GND
32,1153.6959,28.7356,41.2647,0.0,0.0,0.0,0.0,0.0,GND
33,1192.431,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
34,1268.2359,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
35,1339.9259,28.7357,41.2647,0.0,0.0,0.0,0.0,0.0,GND
36,1384.2468,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
37,1420.7257,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
38,1450.9799,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
39,1493.7254,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
40,1525.816,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
41,1578.8215,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
42,1635.7085,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
43,1699.2846,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
44,1766.1584,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
45,1839.5025,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
46,1895.5403,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
47,1929.0895,28.7357,41.2646,0.0,0.0,0.0,0.0,0.0,GND
48,1966.0973,28.7356,41.2646,0.0,0.7739,0.0,0.0,0.0,GND
49,2021.9723,28.735,41.2644,0.0,0.0,0.0,0.0,0.0,GND
50,2089.8646,28.7342,41.2644,0.0,0.0,0.0,0.0,0.0,GND
51,2145.3949,28.7342,41.2644,0.0,0.0,0.0,0.0,0.0,GND
52,2180.7485,28.7342,41.2644,0.0,0.0,0.0,0.0,0.0,GND
53,2233.7524,28.7342,41.2644,0.0,0.0,0.0,0.0,0.0,GND
54,2297.3173,28.7342,41.2644,0.0,0.0,0.0,0.0,0.0,GND
55,2347.8845,28.734,41.2648,0.0,3.392,0.0,0.0,0.0,GND
56,2379.4508,28.7336,41.2656,0.0,1.6533,0.0,0.0,0.0,GND
57,2410.4866,28.7322,41.2659,0.0,6.3518,0.0,0.0,0.0,GND
58,2445.0553,28.7306,41.2659,0.0,7.0,0.0,0.0,0.0,GND
59,2480.6877,28.7291,41.2659,0.0,7.2764,0.0,0.0,0.0,GND
60,2522.6551,28.7272,41.2658,0.0,0.0,0.0,0.0,0.0,GND
61,2556.0279,28.7258,41.2658,0.0,6.8241,0.0,0.0,0.0,GND
62,2586.1008,28.7251,41.2662,0.0,3.4975,0.0,0.0,0.0,CL
63,2616.1961,28.7251,41.2697,49.2462,11.3772,681.4515,0.0,0.0,CL
64,2686.5218,28.7238,41.3169,2109.9246,164.3419,1508.5835,162.0,0.0,CL
65,2724.2505,28.7251,41.3504,2913.4422,215.2525,1937.5345,162.0,0.0,CL
66,2779.0865,28.6875,41.4016,4986.0553,274.3499,2139.8673,261.4874,0.0759,CL
67,2820.5544,28.6251,41.4283,7149.3719,279.183,4297.9765,272.5628,0.2688,CL
68,2854.7889,28.5733,41.4514,8691.206,288.0,2741.7762,288.0,0.4437,CL
69,2898.1632,28.5067,41.4813,10436.5578,301.3796,1732.3211,279.4774,0.2358,CL
70,2937.135,28.4391,41.5118,11278.392,341.0305,2859.9393,334.4724,0.5041,CL
71,2976.1719,28.3677,41.5438,12885.3015,349.2322,2647.3055,314.2714,0.328,CL
72,3014.4824,28.2959,41.5757,14516.0804,353.1608,2799.5494,356.0,0.5922,CL
73,3047.281,28.2316,41.6003,15732.0352,360.2526,-2053.2327,289.2663,0.1621,CL
74,3082.1411,28.1616,41.6268,16888.8191,369.5787,698.5221,291.5075,0.1636,CL
75,3115.5725,28.0927,41.653,18083.4171,372.9794,2159.5059,356.7638,0.5005,CL
76,3148.5774,28.0243,41.6793,19084.799,381.0036,1949.8116,308.603,0.2414,CL
77,3184.9121,27.9512,41.7149,20294.9749,384.9649,3325.8601,383.4673,0.5964,CL
78,3219.6897,27.8823,41.7483,21362.6884,387.3033,1777.4883,326.9749,0.3152,CL
79,3252.1623,27.8161,41.7801,22154.8995,394.0841,1534.9941,392.7236,0.6094,CL
80,3285.9993,27.7465,41.8134,22971.7337,400.6697,675.8304,260.0,0.0,CL
81,3322.1782,27.6707,41.8498,23893.0905,403.8832,315.0732,287.4975,0.1216,CL
82,3356.9389,27.5958,41.8846,24668.4673,409.0342,5117.615,376.7136,0.5082,CL
83,3389.1166,27.5245,41.9143,25389.8241,410.1983,1107.5873,373.9698,0.4868,CL
84,3420.8519,27.4529,41.9441,25996.3568,415.0733,1407.7374,401.809,0.598,CL
85,3454.5934,27.3766,41.9764,26620.603,421.27,2055.7168,359.9497,0.4186,CL
86,3489.7806,27.2978,42.0097,27323.4925,424.0701,1044.9912,265.2462,0.0217,CL
87,3520.9645,27.2257,42.04,28013.191,424.8497,1237.8208,344.0804,0.3439,CL
88,3552.0794,27.1519,42.0709,28475.0,430.9713,914.5729,426.4523,0.6768,CL
89,3582.3767,27.0825,42.1001,29082.1608,431.3492,2194.6573,325.6482,0.2654,CL
90,3611.6587,27.0142,42.1287,29525.1256,435.9375,286.7677,260.0,0.0,CL
91,3646.5654,26.9318,42.1632,30293.9698,434.4698,927.1668,305.8291,0.1824,CL
92,3676.9744,26.8601,42.193,30890.8291,435.0186,1758.5258,388.4824,0.5194,CL
93,3709.7936,26.7826,42.2252,31543.7186,434.667,1009.4487,283.6181,0.0955,CL
94,3742.1608,26.7044,42.2575,32268.2161,432.0,2291.244,446.0,0.76,CL
95,3777.688,26.623,42.2912,32974.7487,430.885,2144.1201,261.8291,0.0076,CL
96,3812.2438,26.5408,42.325,33538.6935,431.3449,782.7979,359.6884,0.4163,CL
97,3844.3693,26.4654,42.3559,33975.0,429.0133,0.0,422.794,0.6798,CR
98,3877.5127,26.3886,42.3874,34000.0,425.1134,0.0,319.2563,0.2545,CR
99,3908.5528,26.3158,42.417,34000.0,425.135,0.0,398.6432,0.5888,CR
100,3944.1364,26.2331,42.4507,34000.0,425.135,0.0,398.6432,0.592,CR
101,3976.0309,26.1591,42.4807,34000.0,426.3245,0.0,320.603,0.2559,CR
102,4010.4043,26.0789,42.5133,34025.0,427.7224,0.0,278.995,0.0806,CR
103,4052.375,25.9798,42.5534,34036.3065,427.2017,594.5591,342.3116,0.3455,CR
104,4089.1232,25.8943,42.5878,34025.0,426.7019,0.0,261.809,0.0076,CR
105,4124.3077,25.8115,42.621,34010.804,426.1165,-531.6846,363.3467,0.4338,CR
106,4161.8645,25.7239,42.6561,34025.0,424.4474,0.0,282.8643,0.096,CR
107,4195.9537,25.6441,42.688,34000.0,423.0612,0.0,383.0151,0.5194,CR
108,4228.5729,25.5676,42.7185,34000.0,421.1051,0.0,396.5829,0.5767,CR
109,4260.8949,25.4922,42.7484,33975.0,420.9992,0.0,402.2211,0.6072,CR
110,4293.4906,25.4162,42.7785,33975.0,420.9986,0.0,373.206,0.4863,CR
111,4337.2292,25.3154,42.8181,33975.0,420.3081,0.0,275.0352,0.0646,CR
112,4372.4317,25.2327,42.8507,33950.0,420.1591,0.0,353.9196,0.3989,CR
113,4409.0064,25.148,42.884,34000.0,420.0102,0.0,432.6332,0.7371,CR
114,4440.842,25.0739,42.9129,34000.0,421.1269,0.0,334.995,0.3148,CR
115,4476.7286,24.9884,42.9463,34000.0,420.0,0.0,440.0,0.7606,CR
116,4543.1106,24.8347,43.0061,34000.0,414.0,0.0,440.0,0.7588,CR
117,4612.6131,24.6754,43.0676,33993.4673,409.0,-39.196,436.0,0.752,CR
118,4676.2764,24.5296,43.1235,33975.0,405.0,0.0,436.0,0.752,CR
119,4734.5075,24.3981,43.1739,33950.0,406.0,0.0,434.0,0.752,CR
120,4791.804,24.2661,43.2242,33973.3668,408.0,442.8392,434.0,0.752,CR
