,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,28.7246,41.2959,0.0,52.0,0.0,100.0,0.0,GND
1,70.397,28.7258,41.2461,1582.4121,176.6985,1775.1256,171.397,0.2588,CL
2,144.7839,28.6928,41.1826,3239.5729,256.7839,1602.3156,214.0,0.388,CL
3,216.0955,28.5792,41.1857,6622.2362,266.3015,3047.7387,278.0,0.428,CL
4,286.5879,28.5537,41.2651,9859.5477,266.9899,1948.4925,290.392,0.4432,CL
5,344.9899,28.5567,41.3443,11062.1859,318.995,1686.5578,341.005,0.526,CL
6,383.794,28.5658,41.4024,12319.8492,333.397,1801.5075,350.794,0.5456,CL
7,428.1859,28.5706,41.472,14019.4724,336.2965,2144.4724,358.593,0.5612,CL
8,488.5678,28.5683,41.5684,15944.0955,350.196,2104.2898,370.392,0.5808,CL
9,535.9548,28.5379,41.6388,17381.0302,349.0,1882.1608,380.0,0.6,CL
10,588.995,28.4321,41.6768,18674.8744,365.0,1497.4874,388.0,0.616,CL
11,633.3668,28.3401,41.7078,19859.1709,370.7889,1500.0,395.7889,0.6276,CL
12,669.9698,28.2627,41.7329,20929.397,371.794,1261.809,400.0,0.636,CL
13,709.3869,28.18,41.7596,21884.6734,375.0,1500.0,404.6131,0.652,CL
14,744.593,28.104,41.7841,22714.8241,378.0,1347.3618,410.0,0.66,CL
15,785.4623,28.0152,41.8127,23474.6231,386.0,929.8995,415.0151,0.672,CL
16,823.7839,27.9299,41.8401,24144.598,391.392,1500.0,421.2161,0.684,CL
17,862.0402,27.8445,41.8674,24911.4322,394.2915,1109.3862,424.5829,0.692,CL
18,899.7638,27.7591,41.8946,25534.5477,400.0,1053.392,430.0,0.7,CL
19,939.2714,27.6684,41.9234,26256.7839,404.0905,1158.9196,434.0,0.712,CL
20,975.9598,27.584,41.9501,26899.4975,408.0,753.7688,436.0,0.72,CL
21,1009.6683,27.5044,41.9752,27469.4724,411.0,988.9447,439.5578,0.7271,CL
22,1046.9447,27.4173,42.006,27934.1709,417.0,947.4874,444.0,0.736,CL
23,1080.0653,27.3423,42.0374,28359.4221,420.6884,922.1106,446.0,0.74,CL
24,1117.9397,27.2551,42.0731,28908.794,426.0,1014.5729,450.0,0.7504,CL
25,1153.4372,27.1722,42.1069,29349.3719,430.4874,676.8844,452.9749,0.756,CL
26,1188.9347,27.0886,42.1411,29809.6734,435.0,422.6131,454.0,0.76,CL
27,1223.8593,27.0037,42.1758,30146.4824,443.0,1500.0,460.0,0.768,CL
28,1259.9296,26.9182,42.2106,30738.9447,439.0,777.8894,454.0,0.7633,CL
29,1295.4271,26.8325,42.2455,31254.2714,441.0,965.8291,456.0,0.768,CL
30,1333.9698,26.7394,42.2832,31749.6231,443.0,752.2613,458.0,0.772,CL
31,1369.6533,26.6523,42.3184,32222.1106,444.0,557.7889,460.2312,0.78,CL
32,1410.1357,26.5534,42.3582,32908.794,444.0,989.9497,460.0,0.78,CL
33,1450.7337,26.4539,42.398,33559.1709,444.0,829.1457,458.0,0.78,CL
34,1485.1658,26.3699,42.4314,34000.0,444.0,104.2714,456.0,0.78,CL
35,1525.4472,26.2741,42.4698,34000.0,437.0,0.0,448.0,0.764,CR
36,1565.1457,26.1785,42.5078,34000.0,431.0,0.0,444.0,0.76,CR
37,1599.8141,26.0964,42.5403,34000.0,434.2814,0.0,445.4372,0.76,CR
38,1640.5427,25.9982,42.5791,34004.5226,441.0,90.4523,447.6382,0.7673,CR
39,1678.402,25.9054,42.6155,34050.0,446.0,0.0,454.1608,0.7763,CR
40,1714.9196,25.8162,42.6505,34000.0,434.0201,0.0,446.0402,0.7602,CR
41,1751.2764,25.7283,42.6848,34000.0,442.7588,0.0,449.7588,0.768,CR
42,1784.3367,25.6459,42.7169,34000.0,444.2211,0.0,452.0,0.772,CR
43,1821.392,25.5542,42.7525,34000.0,445.0,0.0,452.0,0.772,CR
44,1857.1558,25.4661,42.7867,34000.0,443.0,0.0,448.0,0.768,CR
45,1892.8643,25.3777,42.8207,34011.9347,443.0,119.3467,451.0452,0.7701,CR
46,1927.1307,25.293,42.8535,34025.0,442.0,0.0,450.7538,0.772,CR
47,1963.1055,25.2048,42.8873,34000.0,443.0,0.0,448.5528,0.768,CR
