,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8988,50.3526,0.0,0.0,0.0,0.0,0.0,GND
1,39.9781,30.8994,50.3526,0.0,1.5377,0.0,0.0,0.0,GND
2,71.0159,30.9,50.3526,0.0,2.9246,0.0,0.0,0.0,GND
3,103.8994,30.9003,50.3528,0.0,0.0,0.0,0.0,0.0,GND
4,183.5125,30.9003,50.3528,0.0,0.0,0.0,0.0,0.0,GND
5,233.812,30.9003,50.3527,0.0,2.2513,0.0,0.0,0.0,GND
6,265.0206,30.9013,50.3518,0.0,12.9447,0.0,0.0,0.0,GND
7,295.501,30.9027,50.3534,0.0,9.995,0.0,0.0,0.0,GND
8,329.6555,30.9029,50.3567,0.0,2.6131,0.0,0.0,0.0,GND
9,359.211,30.9033,50.3602,0.0,8.5829,0.0,0.0,0.0,GND
10,392.2961,30.9062,50.3602,0.0,2.2613,0.0,0.0,0.0,GND
11,428.737,30.9057,50.3501,234.0452,130.2092,-1316.7626,0.0,0.0,LVL
12,468.4077,30.9029,50.3222,2015.0754,164.2734,1297.6884,0.0,0.0458,LVL
13,503.9899,30.8998,50.2898,3682.9146,214.3166,3677.5432,0.0,0.3545,CL
14,544.8171,30.932,50.2527,5930.5276,268.7478,2703.3452,48.8945,0.0753,CL
15,603.0724,31.0353,50.2808,10019.2211,315.3735,2188.5116,201.0251,0.3112,CL
16,639.0089,31.0223,50.3307,11490.201,335.7686,1923.6571,64.3216,0.1037,CL
17,676.8543,30.9438,50.3552,14099.8744,317.9603,3698.4932,95.6683,0.1501,CL
18,716.265,30.8547,50.3695,16214.5729,327.7,1059.0418,80.0503,0.1266,CL
19,752.632,30.7708,50.3827,18317.3367,327.9392,2800.3724,94.0704,0.1505,CL
20,786.4086,30.6907,50.3953,19731.5327,342.9171,-3187.3525,93.9698,0.1508,CL
21,820.6457,30.6059,50.4085,21370.4774,347.1954,3819.0955,290.2513,0.4705,CL
22,862.2029,30.5032,50.4245,23143.0905,352.3042,1606.0411,282.2111,0.4602,CL
23,901.1558,30.4064,50.4394,24773.6181,356.5779,2944.933,396.0,0.656,CL
24,942.8568,30.3028,50.4554,26270.2261,359.9277,937.9038,121.809,0.2014,CL
25,988.4422,30.1831,50.4736,28151.7588,358.0,2872.3377,402.3719,0.676,CL
26,1029.3271,30.0815,50.4889,29849.4975,354.0651,2381.865,274.7337,0.466,CL
27,1064.5176,29.9907,50.5026,30295.9799,373.8392,1326.3875,427.0352,0.7261,CL
28,1104.1467,29.8883,50.518,32014.3216,361.3092,2853.3568,147.7387,0.2561,CL
29,1144.5662,29.79,50.5326,33921.608,343.7537,791.2333,54.5427,0.0944,CL
30,1179.1307,29.7008,50.5457,34428.2663,357.0,3799.4901,412.0,0.7175,CL
31,1213.848,29.6139,50.5586,35197.2362,361.8906,1016.052,371.7889,0.6511,CL
32,1246.9926,29.5295,50.5709,35885.0503,365.0746,1458.0166,252.3518,0.4449,CL
