,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8988,50.3519,0.0,0.0,0.0,0.0,0.0,GND
1,70.6935,30.8988,50.3519,0.0,0.0,0.0,0.0,0.0,GND
2,110.5435,30.8996,50.3518,0.0,0.6935,0.0,0.0,0.0,GND
3,146.8462,30.9002,50.3519,0.0,0.3467,0.0,0.0,0.0,GND
4,185.2529,30.9002,50.352,0.0,0.0,0.0,0.0,0.0,GND
5,243.0676,30.9002,50.352,0.0,0.0,0.0,0.0,0.0,GND
6,330.7739,30.9002,50.352,0.0,0.0,0.0,0.0,0.0,GND
7,372.2694,30.9001,50.3505,0.0,2.2915,0.0,0.0,0.0,GND
8,404.6985,30.9008,50.3489,0.0,13.0,0.0,0.0,0.0,GND
9,438.4987,30.9023,50.3478,0.0,0.5628,0.0,0.0,0.0,GND
10,474.3323,30.9021,50.3448,0.0,19.4171,0.0,0.0,0.0,GND
11,508.1332,30.9018,50.3407,0.0,7.0553,0.0,0.0,0.0,GND
12,541.2424,30.9015,50.3368,0.0,14.7136,0.0,0.0,0.0,GND
13,575.5075,30.9013,50.3336,0.0,13.995,0.0,0.0,0.0,GND
14,610.0773,30.9042,50.3333,0.0,4.201,0.0,0.0,0.0,GND
15,644.201,30.9045,50.3338,0.0,0.0,0.0,0.0,0.0,GND
16,703.5902,30.9045,50.3338,0.0,0.0,0.0,0.0,0.0,GND
17,750.6536,30.9056,50.3495,125.8794,153.325,-336.1756,0.0,0.0,DE
18,798.3216,30.9093,50.3882,1533.0402,189.3216,1135.6119,194.1608,0.2853,CL
19,837.9799,30.9128,50.4279,2559.2965,226.392,3057.8115,236.0,0.3608,CL
20,882.2337,30.8978,50.4727,4025.0,243.6939,1290.8291,177.6181,0.2644,CL
21,920.5501,30.8767,50.5147,5603.392,251.0576,1961.7807,113.6181,0.176,CL
22,959.8353,30.8516,50.5592,7031.407,259.8302,403.5226,148.7035,0.2323,CL
23,1004.087,30.7991,50.6009,8932.2864,260.5964,2619.6812,189.5879,0.2923,CL
24,1043.3216,30.7307,50.61,10683.0402,254.3216,1613.0653,287.7387,0.4662,CL
25,1081.4472,30.6518,50.6107,11291.7085,302.3367,911.0553,287.1156,0.5431,CL
26,1118.1992,30.5696,50.6109,12675.8794,315.972,2543.4095,1.4472,0.0029,CL
27,1165.2931,30.4584,50.6109,14934.0452,322.9998,2861.5299,246.2312,0.5276,CL
28,1205.4724,30.3631,50.6109,16742.7136,332.0,3073.7043,289.5276,0.616,CL
29,1239.6024,30.281,50.6109,18135.1759,339.234,2131.0079,102.0101,0.2251,CL
30,1278.5365,30.1837,50.6109,19698.3668,346.9758,2419.7556,154.4724,0.3516,CL
31,1312.5437,30.0976,50.6109,21268.7186,344.9878,3382.4531,169.0452,0.3987,CL
32,1346.6645,30.0129,50.6107,22877.3869,339.942,2223.5391,87.4372,0.2098,CL
33,1384.2723,29.92,50.6104,24417.4623,337.7845,2183.8883,236.0804,0.5764,CL
34,1424.9044,29.8211,50.6101,25623.2412,342.9995,1154.7157,260.3015,0.6731,CL
35,1466.1809,29.7167,50.6098,26705.6533,350.0,2078.0638,288.0,0.748,CL
36,1512.1709,29.5979,50.6092,27850.0,356.8323,1258.794,241.6884,0.6411,CL
37,1554.8291,29.4864,50.6084,28788.8191,362.0,1434.3767,290.0,0.7771,CL
38,1602.4899,29.362,50.6075,29809.799,363.1728,1382.4121,176.3317,0.4743,CL
39,1647.4306,29.2454,50.5976,30863.0653,360.4015,1215.603,137.8894,0.3841,CL
40,1692.1156,29.1318,50.5823,31952.8894,360.0,1311.5578,290.0,0.78,CL
41,1731.4139,29.0298,50.5754,32886.9347,358.8622,1549.7865,73.1658,0.2049,CL
42,1768.0426,28.9355,50.5689,33721.3568,357.0475,801.212,42.2613,0.1125,CL
43,1801.9771,28.848,50.5627,34349.2462,358.0047,1947.1271,281.2563,0.7526,CL
44,1838.3417,28.7533,50.556,34956.407,359.0,96.1055,280.8543,0.78,CL
45,1877.4412,28.652,50.5487,35555.0251,359.0508,536.8586,230.1106,0.6168,CL
46,1919.2663,28.544,50.5407,36025.0,363.0,256.2814,286.8342,0.776,CL
47,1967.2965,28.4173,50.5313,36000.0,368.0,0.0,290.0,0.784,CR
48,2016.7667,28.2867,50.5215,36000.0,367.7694,0.0,158.8442,0.4294,CR
49,2052.0714,28.1929,50.5142,36000.0,366.5395,0.0,192.3618,0.52,CR
50,2096.5905,28.0763,50.5054,36000.0,365.1382,0.0,225.8794,0.6107,CR
51,2133.7716,27.9782,50.4976,36000.0,365.0891,0.0,259.397,0.7013,CR
52,2180.0081,27.8567,50.488,36000.0,364.0075,0.0,287.0854,0.7722,CR
53,2223.418,27.744,50.479,36000.0,363.7583,0.0,35.1759,0.098,CR
54,2267.8557,27.6277,50.4697,36000.0,364.5661,0.0,69.9497,0.1881,CR
55,2308.3429,27.5219,50.4611,36000.0,364.9878,0.0,180.1005,0.5043,CR
