,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8984,50.3491,0.0,0.0,0.0,0.0,0.0,GND
1,53.7739,30.8984,50.3491,0.0,0.0,0.0,0.0,0.0,GND
2,104.6126,30.8989,50.3491,0.0,0.2714,0.0,0.0,0.0,GND
3,144.0069,30.8998,50.3491,0.0,0.407,0.0,0.0,0.0,GND
4,183.3272,30.9,50.3488,0.0,0.8191,0.0,0.0,0.0,GND
5,239.8693,30.9,50.3488,0.0,0.0,0.0,0.0,0.0,GND
6,315.3719,30.9,50.3489,0.0,0.0,0.0,0.0,0.0,GND
7,357.5821,30.9014,50.3489,0.0,6.8342,0.0,0.0,0.0,GND
8,396.2195,30.9025,50.3507,0.0,5.7889,0.0,0.0,0.0,GND
9,436.0646,30.9027,50.3529,0.0,1.6281,0.0,0.0,0.0,GND
10,474.152,30.9027,50.3532,0.0,1.6432,0.0,0.0,0.0,GND
11,510.8458,30.9038,50.353,0.0,2.0101,0.0,0.0,0.0,GND
12,561.2181,30.9039,50.3529,0.0,0.0,0.0,0.0,0.0,GND
13,616.9366,30.9046,50.3521,0.0,7.6432,0.0,0.0,0.0,GND
14,656.2836,30.9057,50.3499,0.0,23.4271,0.0,0.0,0.0,GND
15,707.49,30.9032,50.3188,1422.3618,162.0509,2972.3027,0.0,0.0,CL
16,751.5376,30.8997,50.2811,2745.7286,209.9503,2448.4893,0.0,0.0,CL
17,805.4113,30.9291,50.236,5365.4523,225.6667,720.86,0.0,0.0,CL
18,843.3443,30.9889,50.2476,7338.9447,253.2275,3319.9011,0.0,0.0,CL
19,880.5628,31.0074,50.2901,9478.1407,259.1407,5470.1967,0.0,0.0,CL
20,918.3133,31.017,50.3353,11439.3216,269.2255,2817.0493,0.0,0.0,CL
21,959.6362,31.0285,50.3883,13325.0,288.9434,2811.2937,13.2663,0.0209,CL
22,998.6319,31.0353,50.441,15150.3769,297.5072,2859.2312,1.3668,0.0022,CL
23,1042.6318,30.9679,50.4777,16448.995,305.1922,571.274,12.3819,0.0174,CL
24,1082.7364,30.8709,50.4772,17041.4573,356.7645,1973.6233,26.3116,0.0478,CL
25,1124.8816,30.7591,50.477,18693.4673,370.8432,3057.7725,267.7588,0.539,CL
26,1168.015,30.6422,50.4767,20486.809,377.9421,2044.4246,54.1709,0.1119,CL
27,1212.807,30.5185,50.4764,22233.4171,385.6541,1952.9978,68.1005,0.1459,CL
28,1253.2612,30.4043,50.476,23561.6834,394.8889,1766.2573,82.0302,0.1811,CL
29,1293.3697,30.288,50.4755,24851.6332,402.9933,2009.7225,187.2563,0.4792,CL
30,1341.9296,30.1444,50.4747,26373.2412,410.0,1607.0352,308.0,0.7186,CL
31,1391.8211,29.9948,50.4736,27764.9497,419.6054,2654.2303,184.1809,0.4401,CL
32,1436.6063,29.8574,50.4725,28952.6382,426.9606,1241.4983,137.7487,0.3381,CL
33,1475.7095,29.7352,50.4714,29937.6884,432.9296,1319.6926,133.9497,0.3782,CL
34,1516.2357,29.6091,50.4701,31169.3467,430.5399,2219.3243,165.608,0.4151,CL
35,1561.8321,29.4681,50.4683,32491.7085,428.0159,-2438.7454,128.4623,0.322,DE
36,1600.2085,29.348,50.4667,33268.593,430.0018,1271.0845,193.4673,0.4899,DE
37,1644.2331,29.2128,50.4636,34098.995,423.9872,1650.7823,100.603,0.2548,CL
38,1689.9674,29.0782,50.4472,35507.0352,410.4807,1673.0015,86.6734,0.2161,CL
39,1729.0883,28.9653,50.4317,36317.7136,407.6206,278.8075,72.7437,0.1795,CL
40,1770.6445,28.8437,50.4157,36804.7739,414.0352,691.6527,249.1859,0.6246,CL
41,1812.7965,28.7252,50.3923,37439.5729,406.4221,-4892.4623,44.8844,0.1143,DE
42,1851.1924,28.6217,50.3635,38000.0,401.9879,0.0,277.0452,0.7052,DE
43,1901.0185,28.4913,50.3262,38000.0,400.1153,0.0,17.0251,0.0427,CR
44,1942.0503,28.3831,50.2951,38000.0,401.0,0.0,307.6382,0.772,CR
45,1986.9123,28.2637,50.261,38000.0,401.0155,0.0,297.1658,0.7526,CR
46,2027.5621,28.1576,50.2306,38000.0,401.8091,0.0,24.7638,0.0621,CR
47,2067.7261,28.0502,50.1998,38000.0,402.0401,0.0,269.3065,0.682,CR
48,2106.7277,27.9469,50.1699,38000.0,402.0546,0.0,255.3769,0.6467,CR
49,2148.6533,27.8383,50.1384,38000.0,401.6898,0.0,66.5528,0.1685,CR
50,2198.9548,27.7052,50.0996,38000.0,401.7387,0.0,308.0,0.78,CR
51,2246.0804,27.5823,50.0634,38000.0,401.0,0.0,294.5126,0.78,CR
52,2286.3405,27.478,50.0327,38000.0,399.9656,0.0,199.6583,0.503,CR
53,2327.8326,27.3686,50.0005,38000.0,399.2791,0.0,122.2714,0.3096,CR
54,2372.6734,27.2525,49.966,38000.0,397.0,0.0,308.0,0.772,CR
55,2408.8129,27.1593,49.9381,38000.0,397.3614,0.0,150.1307,0.3783,CR
56,2453.3367,27.0441,49.9035,38000.0,396.0,0.0,308.0,0.7701,CR
57,2499.2643,26.9267,49.8679,38000.0,397.7026,0.0,130.0101,0.3259,CR
58,2542.9364,26.8137,49.834,38000.0,399.2884,0.0,116.0804,0.291,CR
59,2585.3266,26.7046,49.8011,38000.0,400.3317,0.0,308.0,0.7747,CR
60,2624.0844,26.6041,49.7702,38000.0,402.3847,0.0,88.2211,0.2234,CR
61,2664.2072,26.4987,49.7378,38000.0,403.1008,0.0,233.7085,0.5888,CR
62,2707.9437,26.3865,49.7031,38000.0,404.2387,0.0,60.3618,0.1521,CR
63,2752.603,26.2697,49.6669,38000.0,405.0,0.0,308.0,0.78,CR
64,2796.5322,26.1563,49.6317,38000.0,406.0489,0.0,32.5025,0.0827,CR
65,2840.2337,26.0426,49.5962,38000.0,406.0033,0.0,289.4271,0.7367,CR
66,2880.2068,25.939,49.5637,38000.0,406.0539,0.0,4.6432,0.0118,CR
67,2919.7359,25.8363,49.5314,38000.0,405.6268,0.0,9.2864,0.0238,CR
68,2959.1715,25.7346,49.4993,38000.0,403.1833,0.0,23.2161,0.0591,CR
69,3003.5176,25.6208,49.463,38000.0,400.0,0.0,308.0,0.78,CR
70,3054.5025,25.4914,49.4217,38000.0,400.0,0.0,308.0,0.776,CR
71,3095.6522,25.3867,49.388,38000.0,398.1696,0.0,208.2814,0.6122,CR
72,3138.841,25.2778,49.353,38000.0,398.2709,0.0,78.9347,0.1968,CR
73,3178.0955,25.1785,49.3209,38000.0,398.6985,0.0,308.0,0.7676,CR
74,3226.6131,25.0544,49.2808,38000.0,405.0,0.0,308.0,0.7746,CR
75,3273.4581,24.9347,49.2416,38000.0,406.0333,0.0,120.7236,0.3026,CR
76,3314.3265,24.8294,49.2068,38000.0,406.216,0.0,0.0,0.4345,CR
77,3357.7901,24.7192,49.1705,38000.0,406.0264,0.0,0.0,0.3996,CR
78,3400.0926,24.61,49.1344,38000.0,390.4043,0.0,0.0,0.4073,CR
79,3447.3904,24.4896,49.0944,38000.0,407.347,0.0,151.2362,0.4423,CR
80,3496.9095,24.363,49.0524,38000.0,409.0,0.0,0.0,0.776,CR
81,3552.0201,24.2204,49.0044,38000.0,411.0,0.0,264.0,0.776,CR
82,3620.5237,24.0457,48.9452,38000.0,411.2237,0.0,0.0,0.5527,CR
83,3667.7387,23.9242,48.9041,38000.0,411.0,0.0,0.0,0.774,CR
84,3715.206,23.8017,48.8622,38000.0,411.799,0.0,0.0,0.776,CR
85,3778.4673,23.641,48.8067,38000.0,412.0,0.0,0.0,0.772,CR
86,3838.5528,23.4883,48.7542,38000.0,413.1106,0.0,29.1859,0.772,CR
87,3896.196,23.3431,48.7038,38000.0,415.0,0.0,0.0,0.772,CR
88,3940.0603,23.2269,48.6631,38000.0,416.0,0.0,0.0,0.772,CR
89,3982.9874,23.1176,48.6248,38000.0,417.0176,0.0,0.0,0.7565,CR
90,4032.6322,22.9897,48.5796,38000.0,418.1298,0.0,0.0,0.0546,CR
91,4086.7553,22.8496,48.53,38000.0,419.8866,0.0,0.0,0.6863,CR
92,4150.5176,22.6868,48.4722,38000.0,420.0,0.0,42.4523,0.776,CR
93,4202.9698,22.5515,48.4237,38000.0,419.0,0.0,264.0,0.772,CR
94,4249.3458,22.4329,48.3811,38000.0,419.5074,0.0,0.0,0.195,CR
