,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.9014,50.3504,0.0,0.0,0.0,0.0,0.0,GND
1,74.4064,30.9014,50.3504,0.0,0.0,0.0,0.0,0.0,GND
2,133.7314,30.9014,50.3504,0.0,0.0,0.0,0.0,0.0,GND
3,182.8761,30.9006,50.3505,0.0,1.2663,0.0,0.0,0.0,GND
4,224.8987,30.9,50.3502,0.0,0.8744,0.0,0.0,0.0,GND
5,268.6208,30.9,50.3501,0.0,0.0,0.0,0.0,0.0,GND
6,329.0718,30.9,50.3501,0.0,0.0,0.0,0.0,0.0,GND
7,389.7757,30.9,50.3501,0.0,0.0,0.0,0.0,0.0,GND
8,441.8587,30.9001,50.3514,0.0,6.995,0.0,0.0,0.0,GND
9,485.3342,30.9025,50.3513,0.0,9.5377,0.0,0.0,0.0,GND
10,530.4083,30.9023,50.3484,0.0,5.6985,0.0,0.0,0.0,GND
11,573.0565,30.9021,50.3456,0.0,8.2161,0.0,0.0,0.0,GND
12,618.3723,30.9019,50.3421,0.0,11.0151,0.0,0.0,0.0,GND
13,662.6809,30.9016,50.3388,0.0,3.5879,0.0,0.0,0.0,GND
14,706.1206,30.9013,50.3346,0.0,20.9095,0.0,0.0,0.0,GND
15,760.696,30.9042,50.333,0.0,7.1156,0.0,0.0,0.0,GND
16,807.6425,30.905,50.3407,112.3116,72.7173,1356.1468,0.0,0.0,CL
17,856.0448,30.908,50.3761,1135.804,170.721,1497.0214,107.0151,0.1581,CL
18,898.9347,30.9115,50.4148,2198.3668,216.8693,2831.6583,218.0,0.328,CL
19,953.2143,30.9152,50.472,4608.1658,236.6689,2093.6084,162.9548,0.2478,CL
20,1002.5578,30.9064,50.5262,6952.8894,247.3719,3591.5912,255.1156,0.396,CL
21,1054.1357,30.8145,50.5456,9180.6533,283.0905,4698.4252,276.0,0.444,CL
22,1099.809,30.7162,50.5524,10672.6131,323.7136,777.4692,276.0,0.5,CL
23,1143.4558,30.6073,50.56,12363.191,356.135,2082.7756,61.8794,0.1332,CL
24,1189.2285,30.4861,50.5685,14659.0452,372.7048,4354.1081,171.9799,0.3689,CL
25,1231.4472,30.3723,50.5763,16997.3618,378.0,3089.5035,276.0,0.616,CL
26,1283.3374,30.2274,50.586,19434.799,393.031,2882.5813,172.4724,0.4239,CL
27,1330.322,30.0923,50.595,21410.0503,406.1877,2111.8504,220.5226,0.5305,CL
28,1370.6949,29.9725,50.6027,23056.0302,415.12,2724.3666,16.6432,0.0417,CL
29,1414.2433,29.8406,50.6112,24772.9899,422.0871,1242.603,22.191,0.0572,CL
30,1457.2642,29.7084,50.6196,26297.3618,428.7849,2152.0415,214.9749,0.5702,CL
31,1501.3668,29.5706,50.6281,27706.9095,435.5799,1817.6597,176.1407,0.4799,CL
32,1556.4377,29.395,50.6387,29237.3116,444.4755,1566.0494,137.3065,0.3841,CL
33,1604.9394,29.2384,50.6479,30721.3568,446.3905,1713.2627,0.0,0.0,CL
34,1652.8484,29.0838,50.6568,31930.402,446.552,886.6722,59.6382,0.1694,CL
35,1696.6852,28.9448,50.6733,32051.8844,442.6926,854.7684,34.6734,0.0588,CL
36,1738.5991,28.8141,50.6952,32848.3668,444.203,2335.2761,30.1809,0.0515,CL
37,1781.8552,28.6796,50.7175,34464.6985,430.1821,3770.7831,360.4623,0.6193,CL
38,1831.3065,28.5327,50.7419,35907.6633,424.0,1711.4052,446.0,0.772,CL
39,1877.6689,28.394,50.7647,36850.0,425.2002,487.4372,217.397,0.3783,CL
40,1922.0516,28.2593,50.7865,37559.2965,427.0552,1210.9131,282.6633,0.4925,CL
41,1967.0744,28.125,50.8082,38000.0,421.9711,0.0,344.4422,0.6028,CL
42,2017.4523,27.9748,50.8322,38000.0,422.0,0.0,446.0,0.7804,CR
43,2064.9996,27.8322,50.8555,38000.0,424.0147,0.0,423.5879,0.7408,CR
44,2116.4085,27.6785,50.8794,38000.0,426.0403,0.0,85.9296,0.1505,CR
45,2162.9557,27.5373,50.9011,38000.0,428.0183,0.0,149.9095,0.2627,CR
46,2207.3149,27.4014,50.9218,38000.0,428.0144,0.0,213.5075,0.3741,CR
47,2248.9093,27.2755,50.9411,38000.0,427.4951,0.0,174.8945,0.3065,CR
48,2290.4925,27.1493,50.9602,38000.0,426.0,0.0,456.0,0.796,CR
49,2334.2391,27.0172,50.9803,38000.0,425.0412,0.0,404.3015,0.7084,CR
50,2380.7464,26.8771,51.001,38000.0,423.2217,0.0,16.0402,0.028,CR
51,2428.5726,26.7361,51.0221,38000.0,408.1216,0.0,364.2613,0.6395,CR
52,2473.5596,26.6042,51.0415,38000.0,406.1564,0.0,300.7035,0.5276,CR
53,2517.4782,26.4776,51.0598,38000.0,405.0804,0.0,238.794,0.4168,CR
54,2560.4721,26.354,51.0775,38000.0,404.5717,0.0,176.8844,0.3104,CR
55,2605.0818,26.2233,51.0961,38000.0,404.1924,0.0,325.0251,0.5703,CR
56,2657.603,26.0716,51.1177,38000.0,403.0,0.0,440.0,0.772,CR
57,2709.9196,25.9204,51.1387,38000.0,404.0,0.0,440.0,0.768,CR
58,2753.3568,25.7943,51.1563,38000.0,403.0,0.0,441.6784,0.772,CR
59,2797.1497,25.6678,51.1738,38000.0,403.0598,0.0,308.7337,0.542,CR
60,2839.2881,25.5465,51.1904,38000.0,401.933,0.0,195.4573,0.3414,CR
61,2883.0759,25.4214,51.2073,38000.0,400.7812,0.0,0.0,0.0,CR
62,2930.1055,25.2853,51.2256,38000.0,400.0,0.0,440.0,0.772,CR
63,2978.3996,25.1461,51.2442,38000.0,399.0926,0.0,378.5729,0.6638,CR
64,3020.9901,25.0227,51.2604,38000.0,407.0019,0.0,443.7588,0.7761,CR
65,3067.5086,24.8869,51.2782,38000.0,404.0659,0.0,64.7035,0.1131,CR
66,3111.8878,24.7575,51.2948,38000.0,402.0711,0.0,126.0302,0.2211,CR
67,3158.1097,24.6245,51.3117,38000.0,399.6826,0.0,0.0,0.0,CR
68,3206.8643,24.4829,51.3297,38000.0,399.0,0.0,439.1357,0.768,CR
69,3256.3134,24.3413,51.3476,38000.0,397.4996,0.0,128.2412,0.225,CR
70,3306.0472,24.198,51.3655,38000.0,397.0732,0.0,373.6683,0.6522,CR
71,3349.0386,24.0745,51.3806,38000.0,396.0017,0.0,435.5779,0.7603,CR
72,3395.4327,23.9415,51.3967,38000.0,395.9542,0.0,57.4874,0.1009,CR
73,3442.9998,23.8052,51.4131,38000.0,395.0498,0.0,119.397,0.2095,CR
74,3492.7028,23.6633,51.43,38000.0,393.309,0.0,258.6935,0.4539,CR
75,3543.3417,23.5175,51.4473,38000.0,393.0,0.0,438.0,0.768,CR
76,3590.9196,23.3809,51.4633,38000.0,393.0,0.0,440.0,0.768,CR
77,3637.3938,23.2685,51.5038,38000.0,390.0389,0.0,365.3668,0.6406,CR
78,3686.4437,23.1687,51.5661,38000.0,388.6788,0.0,11.1055,0.0195,CR
79,3737.8997,23.0632,51.6311,38000.0,388.0328,0.0,50.8543,0.0892,CR
80,3791.9749,22.9512,51.7003,38000.0,387.2563,0.0,440.0,0.772,CR
81,3845.9472,22.8422,51.7674,38000.0,386.2853,0.0,265.3266,0.4655,CR
82,3894.8197,22.7419,51.8287,38000.0,386.0275,0.0,236.5829,0.4151,CR
83,3939.9873,22.6486,51.8855,38000.0,385.0581,0.0,298.4925,0.5237,CR
84,3988.4678,22.5527,51.9465,38025.0,387.1479,0.0,360.402,0.6323,CR
85,4036.2092,22.5358,52.0327,38000.0,416.0419,0.0,422.3116,0.741,CR
86,4084.4219,22.5554,52.1242,38000.0,416.3435,0.0,44.2211,0.0776,CR
87,4133.6343,22.5758,52.2187,38000.0,416.1451,0.0,332.3518,0.5828,CR
88,4182.7918,22.5965,52.3122,38000.0,417.4328,0.0,166.5126,0.2918,CR
89,4229.0734,22.6163,52.4011,38000.0,419.3542,0.0,209.0955,0.3647,CR
90,4278.9686,22.6375,52.4968,38000.0,421.4347,0.0,148.8141,0.2599,CR
91,4338.6834,22.6632,52.6119,38000.0,422.6062,0.0,86.6231,0.1513,CR
92,4390.1658,22.6858,52.7115,38000.0,422.0,0.0,444.0,0.78,CR
93,4440.7791,22.7078,52.8092,38000.0,420.0663,0.0,406.0704,0.7134,CR
94,4492.0955,22.7302,52.9078,38000.0,418.0,0.0,440.0,0.772,CR
95,4539.9769,22.7511,52.9997,38000.0,417.2569,0.0,278.593,0.4863,CR
96,4587.2848,22.7717,53.0898,38000.0,417.3448,0.0,222.3015,0.3898,CR
97,4631.4174,22.7909,53.1735,38000.0,417.4539,0.0,154.7739,0.2702,CR
98,4678.5623,22.8118,53.2643,38000.0,417.9831,0.0,347.1357,0.6059,CR
99,4720.6204,22.8303,53.3439,38000.0,417.9256,0.0,30.9548,0.054,CR
100,4763.9016,22.85,53.428,38000.0,419.0013,0.0,412.7638,0.7214,CR
101,4809.7029,22.8701,53.5144,38000.0,417.9368,0.0,93.2864,0.1638,CR
102,4854.9322,22.8902,53.6006,38000.0,417.0266,0.0,154.7739,0.2716,CR
103,4902.4441,22.9116,53.6918,38000.0,417.0208,0.0,216.6834,0.3802,CR
104,4950.9688,22.9334,53.7835,38000.0,415.9789,0.0,278.593,0.4888,CR
