,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8947,50.3363,0.0,6.0,0.0,0.0,0.0,GND
1,133.1969,30.8988,50.335,0.0,0.0,0.0,0.0,0.0,GND
2,267.4696,30.8988,50.335,0.0,0.0,0.0,0.0,0.0,GND
3,436.4949,30.8988,50.335,0.0,0.0,0.0,0.0,0.0,GND
4,659.5746,30.8988,50.335,0.0,0.0,0.0,0.0,0.0,GND
5,753.3214,30.9013,50.3354,0.0,0.0,0.0,0.0,0.0,GND
6,837.0037,30.9018,50.341,0.0,0.0,0.0,0.0,0.0,GND
7,934.1966,30.9024,50.3488,0.0,0.0,0.0,0.0,0.0,GND
8,1028.8379,30.9031,50.3587,0.0,0.0,0.0,0.0,0.0,GND
9,1131.3915,30.9043,50.3608,0.0,0.0,0.0,0.0,0.0,GND
10,1257.1186,30.9042,50.3296,1153.1407,157.102,4290.8371,0.0,0.234,CL
11,1304.0865,30.9014,50.2892,2375.0,209.0948,1417.0854,0.0,0.1587,CL
12,1356.6586,30.8859,50.2397,4825.7538,215.0185,2919.9902,0.0,0.0106,CL
13,1399.9444,30.8228,50.2391,6500.0,230.1448,350.5025,113.0955,0.1776,CL
14,1453.061,30.7323,50.2623,8427.6382,263.9962,2869.9804,266.2915,0.4245,CL
15,1498.4953,30.6506,50.2824,10440.3266,273.0748,2005.0171,130.3719,0.209,CL
16,1545.0845,30.5582,50.305,11651.005,306.9983,1862.1146,310.9749,0.4991,CL
17,1592.3229,30.458,50.3293,13131.407,324.3727,1173.012,0.0,0.0,CL
18,1635.0299,30.3647,50.3519,14802.2613,325.8611,1577.2522,15.8291,0.0255,CL
19,1680.5618,30.2625,50.3765,16427.3869,330.4107,2591.0568,197.1859,0.3221,CL
20,1725.0008,30.1619,50.4006,17875.0,336.0091,1662.0603,349.5075,0.5698,CL
21,1769.2111,30.0595,50.425,19194.0955,342.5528,2367.4924,375.1055,0.6182,CL
22,1819.1062,29.943,50.4527,20651.3819,349.0809,2168.7679,362.7739,0.6008,CL
23,1867.6283,29.8254,50.4745,21930.7789,354.9374,1078.8954,217.5377,0.3659,CL
24,1913.1474,29.7103,50.4931,23051.5075,361.0006,1344.5531,370.2412,0.624,CL
25,1954.6884,29.6046,50.5102,24017.2111,365.0,2670.9034,404.0,0.68,CL
26,2008.1337,29.4651,50.5326,25226.6332,371.928,1449.8801,385.0854,0.6505,CL
27,2055.2139,29.3414,50.5523,26081.7839,378.5375,974.0874,236.2211,0.402,CL
28,2097.1264,29.2279,50.5702,27025.0,379.002,1840.2803,394.1709,0.6731,CL
29,2138.1635,29.12,50.5872,27839.3216,379.0926,909.3313,181.9598,0.3127,CL
30,2179.1384,29.0079,50.6047,28325.0,386.9954,693.4673,397.5879,0.6842,CL
31,2224.1229,28.8854,50.6236,28839.4472,393.5235,633.8375,250.804,0.4323,CL
32,2268.0716,28.7613,50.6427,29975.0,390.1425,2069.0955,400.9447,0.6952,CL
33,2315.7033,28.6314,50.6625,30968.7186,393.2212,843.7168,252.9849,0.4384,CL
34,2359.0708,28.511,50.6807,31877.1357,394.5752,1045.5995,37.0754,0.0642,CL
35,2400.1071,28.3963,50.6979,33000.0,388.151,824.1206,178.0101,0.3082,CL
36,2447.5427,28.2661,50.7173,34011.3065,385.0,1722.8844,430.0,0.748,CL
37,2497.7437,28.1297,50.7374,35088.9447,379.407,1277.6382,430.0,0.748,CL
38,2543.3819,28.0078,50.7553,35807.1608,379.0,107.4121,430.0,0.752,CR
39,2594.1075,27.8694,50.7754,35989.9497,392.9151,383.8306,176.8844,0.3104,CR
40,2637.0723,27.7472,50.793,36000.0,400.0564,0.0,401.1759,0.7052,CR
41,2674.603,27.6411,50.8082,36000.0,394.2467,0.0,173.8794,0.3049,CR
42,2717.2611,27.522,50.8251,35977.6382,393.2778,51.6954,46.4322,0.081,CR
