,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8988,50.3526,0.0,0.0,0.0,0.0,0.0,GND
1,57.0461,30.8996,50.3526,0.0,1.6432,0.0,0.0,0.0,GND
2,103.9351,30.9002,50.3523,0.0,0.9045,0.0,0.0,0.0,GND
3,192.2843,30.9002,50.3523,0.0,0.0,0.0,0.0,0.0,GND
4,279.2537,30.9002,50.3523,0.0,0.0,0.0,0.0,0.0,GND
5,327.6266,30.9004,50.354,0.0,7.3869,0.0,0.0,0.0,GND
6,378.6465,30.903,50.3541,0.0,3.1508,0.0,0.0,0.0,GND
7,427.4418,30.9053,50.3513,0.0,12.5126,0.0,0.0,0.0,CL
8,478.3317,30.9043,50.3308,911.809,135.0504,3137.5927,0.0,0.0,CL
9,535.1171,30.8966,50.2871,3703.5176,194.0168,3916.1631,0.0,0.0,CL
10,583.2412,30.8289,50.2826,6491.4573,253.984,5226.4757,131.7588,0.2024,CL
11,639.9066,30.7624,50.3362,10898.7437,266.5653,3266.7553,7.4874,0.0117,CL
12,688.7019,30.7022,50.3862,14099.7487,292.3108,3465.8975,136.6834,0.2136,CL
13,742.6552,30.6203,50.4366,17897.8643,292.8814,4311.0008,293.7186,0.4714,CL
14,790.4613,30.5288,50.469,20658.2915,309.5616,2916.9426,233.9196,0.3689,CL
15,841.3761,30.4305,50.5057,23622.9899,316.6191,2583.0641,78.6533,0.1271,CL
16,895.7415,30.3202,50.5468,26272.2362,330.4947,2467.5771,90.6935,0.1512,CL
17,948.7538,30.2061,50.5888,28411.0553,346.3769,3262.714,396.0,0.668,CL
18,1000.4556,30.0922,50.6306,30217.5879,358.6509,1620.6829,57.407,0.0979,CL
19,1051.2879,29.9761,50.6736,32004.6482,366.0221,1429.565,170.1407,0.2914,CL
20,1103.0304,29.8538,50.7181,33575.0,373.0242,1718.593,408.6432,0.7065,CL
21,1147.1588,29.7501,50.7564,34887.0603,374.7602,1425.6599,212.9246,0.3721,CL
22,1194.865,29.6387,50.7979,36344.9749,370.0783,2120.7638,402.6935,0.7104,CL
23,1243.449,29.526,50.8392,37660.0503,367.2422,1440.4396,253.5477,0.4497,CL
24,1290.3568,29.409,50.8658,38000.0,367.9741,0.0,363.9196,0.6458,CR
25,1336.1136,29.2862,50.8784,38000.0,373.0967,0.0,296.804,0.527,CR
26,1382.4706,29.1616,50.8909,38000.0,372.1053,0.0,324.7638,0.5767,CR
27,1430.2275,29.0338,50.9035,38000.0,373.0666,0.0,339.2462,0.6028,CR
28,1476.8188,28.9084,50.9157,38025.0,373.2092,232.5162,144.1005,0.2572,CR
29,1527.4623,28.7721,50.9288,38000.0,373.0,0.0,428.0,0.76,CR
30,1575.4327,28.642,50.9413,38025.0,373.0543,0.0,186.6935,0.3302,CR
31,1622.0603,28.5173,50.953,38000.5025,371.0,10.0503,430.0,0.764,CR
32,1671.2475,28.3847,50.9651,37975.0,371.3672,0.0,225.8291,0.3989,CR
33,1718.6231,28.2568,50.9769,37975.0,371.0,0.0,427.8492,0.7557,CR
34,1763.0451,28.1381,50.9876,38000.0,372.2473,0.0,267.9397,0.4736,CR
35,1809.4874,28.0107,50.999,38000.0,372.0,0.0,432.0,0.764,CR
36,1857.4507,27.8839,51.0102,38025.0,370.3298,0.0,121.5678,0.2161,CR
37,1903.2898,27.7611,51.0209,38025.0,369.2644,0.0,115.0553,0.2035,CR
38,1951.1104,27.6334,51.0318,38000.0,367.0303,0.0,350.0503,0.6219,CR
39,1998.3556,27.5066,51.0426,37975.0,367.059,0.0,274.4221,0.485,CR
40,2049.5365,27.3714,51.0539,37975.0,366.9485,0.0,38.8945,0.0687,CR
41,2101.1709,27.2334,51.0653,38000.0,368.0,0.0,430.0,0.76,CR
42,2153.9849,27.0916,51.0768,38000.0,369.0,0.0,428.0101,0.76,CR
43,2201.5594,26.9637,51.087,38000.0,370.3752,0.0,192.3116,0.3399,CR
44,2246.8933,26.8405,51.0968,38000.0,372.088,0.0,384.9849,0.6836,CR
45,2294.9086,26.7106,51.107,38025.0,373.4893,251.9725,151.2563,0.2687,CR
46,2342.7366,26.5808,51.1169,38025.0,373.1049,0.0,347.3367,0.6143,CR
47,2390.8129,26.4496,51.1268,38025.0,372.1119,0.0,321.2864,0.5682,CR
48,2437.6627,26.3231,51.1361,38000.0,371.2394,0.0,125.3266,0.2215,CR
49,2483.4824,26.1984,51.1452,38000.0,371.0,0.0,430.0,0.76,CR
