,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.9016,50.353,0.0,0.0,0.0,0.0,0.0,GND
1,111.8908,30.9013,50.353,0.0,0.3166,0.0,0.0,0.0,GND
2,159.7475,30.9007,50.3529,0.0,0.4221,0.0,0.0,0.0,GND
3,203.5407,30.9011,50.3527,0.0,0.6332,0.0,0.0,0.0,GND
4,246.6826,30.9012,50.3527,0.0,0.0,0.0,0.0,0.0,GND
5,305.6382,30.9012,50.3527,0.0,0.0,0.0,0.0,0.0,GND
6,393.5327,30.9007,50.3527,0.0,4.6332,0.0,0.0,0.0,GND
7,435.1139,30.9003,50.3537,0.0,7.3869,0.0,0.0,0.0,GND
8,473.4048,30.9025,50.3547,0.0,1.8693,0.0,0.0,0.0,GND
9,510.9608,30.903,50.357,0.0,14.2462,0.0,0.0,0.0,GND
10,552.0937,30.9032,50.3595,0.0,11.3367,0.0,0.0,0.0,GND
11,592.4284,30.9052,50.3608,0.0,10.0704,0.0,0.0,0.0,GND
12,635.1726,30.9064,50.36,0.0,0.0,0.0,0.0,0.0,GND
13,677.5433,30.9061,50.3544,102.2613,32.3561,1250.6479,0.0,0.0,CL
14,737.939,30.9031,50.3106,1559.6734,174.0886,-867.0363,0.0,0.0,CL
15,779.8945,30.8991,50.2704,2229.1457,228.1725,1789.3313,0.0,0.1552,CL
16,830.0543,30.8558,50.2302,3992.2111,241.1788,1245.6562,0.0,0.1209,CL
17,887.3094,30.7559,50.2116,5909.5477,265.9556,1182.5992,0.0,0.3525,CL
18,939.598,30.6446,50.2024,7184.9246,308.8995,2459.1545,0.0,0.5112,CL
19,995.0239,30.52,50.1922,9425.7538,317.0036,4352.2506,0.0,0.5333,CL
20,1047.1883,30.401,50.1826,11602.7638,323.0241,2765.7164,0.0,0.4945,CL
21,1099.1385,30.2824,50.1695,13819.598,325.0897,1905.3522,0.0,0.4515,CL
22,1140.608,30.1851,50.1507,15298.2412,339.6432,5289.9497,0.0,0.5933,CL
23,1189.7085,30.0694,50.1287,17474.7487,340.0,3476.7588,0.0,0.62,CL
24,1237.598,29.9557,50.107,19189.9497,347.5327,3664.1383,0.0,0.6341,CL
25,1281.3964,29.8523,50.0872,20565.9548,355.4705,1447.4042,0.0,0.2359,CL
26,1331.2312,29.7269,50.063,22180.7789,362.0,2177.5175,0.0,0.68,CL
27,1373.6722,29.6233,50.043,23425.0,366.4279,440.157,0.0,0.1049,CL
28,1423.8643,29.4922,50.0175,24671.608,376.9548,1514.4899,0.0,0.704,CL
29,1481.2412,29.3416,49.9878,25806.0302,390.0,1500.0,0.0,0.736,CL
30,1538.2274,29.1908,49.958,27141.5829,393.2416,-961.7837,0.0,0.124,CL
31,1586.0286,29.0605,49.932,28102.1357,399.2884,862.6271,0.0,0.2051,CL
32,1629.8393,28.9383,49.9074,28850.0,406.1034,1107.8705,0.0,0.4786,CL
33,1673.9648,28.8137,49.8823,29599.1206,410.0,2218.0972,0.0,0.78,CL
34,1716.9231,28.6971,49.8585,30514.6985,407.4777,1025.2937,0.0,0.3214,CL
35,1767.7524,28.5544,49.8294,31486.6834,406.9796,1274.1954,0.0,0.5409,CL
36,1809.7119,28.4402,49.8059,32230.0251,406.2192,-974.0231,0.0,0.1576,CL
37,1854.449,28.3168,49.7803,32797.6131,411.4001,875.5745,0.0,0.0741,CL
38,1894.7498,28.2037,49.7567,33225.5025,415.0729,557.7916,0.0,0.0079,CL
39,1936.3225,28.0858,49.732,33777.8894,417.0363,636.5418,0.0,0.0911,CL
40,1981.8844,27.9538,49.7042,34000.0,415.0,0.0,0.0,0.7871,CR
41,2041.6533,27.7858,49.6686,34000.0,416.0,0.0,0.0,0.784,CR
42,2099.6939,27.6251,49.6341,34000.0,415.9673,0.0,0.0,0.3388,CR
43,2151.1508,27.4775,49.6023,34000.0,416.0,0.0,0.0,0.788,CR
44,2194.3014,27.3593,49.5765,34000.0,417.4504,0.0,0.0,0.2826,CR
45,2236.7447,27.2389,49.5501,34000.0,416.0959,0.0,0.0,0.59,CR
46,2279.6983,27.118,49.5236,34000.0,415.0733,0.0,0.0,0.6697,CR
47,2323.2123,26.9998,49.4976,34000.0,413.7152,0.0,0.0,0.0315,CR
48,2368.3943,26.8749,49.4699,34000.0,412.1935,0.0,0.0,0.0507,CR
49,2410.4156,26.758,49.4437,34000.0,414.3352,0.0,0.0,0.1333,CR
50,2453.3222,26.6395,49.4169,34000.0,415.5029,0.0,0.0,0.0,CR
51,2493.5097,26.5245,49.391,34000.0,415.276,0.0,0.0,0.4846,CR
52,2544.9246,26.3804,49.3582,34000.0,418.0,0.0,0.0,0.788,CR
53,2607.3719,26.2054,49.3181,34000.0,418.0,0.0,0.0,0.788,CR
54,2668.8281,26.035,49.2787,34000.0,419.9691,0.0,0.0,0.5504,CR
55,2715.4534,25.906,49.2487,34000.0,420.066,0.0,0.0,0.6304,CR
56,2756.5477,25.7914,49.2218,34000.0,420.0,0.0,0.0,0.7876,CR
57,2805.0603,25.654,49.1894,34000.0,421.0,0.0,0.0,0.784,CR
58,2850.9317,25.5293,49.1599,34000.0,420.9966,0.0,0.0,0.0946,CR
59,2892.9045,25.4093,49.1313,34000.0,420.0,0.0,0.0,0.7809,CR
60,2935.1206,25.2941,49.1038,34000.0,420.9974,0.0,0.0,0.26,CR
61,2976.3758,25.1795,49.0763,34000.0,421.9296,0.0,0.0,0.3428,CR
62,3017.3991,25.0657,49.0487,34000.0,421.9322,0.0,0.0,0.3585,CR
63,3059.5523,24.9473,49.0198,34000.0,422.3463,0.0,0.0,0.2758,CR
64,3111.7688,24.7998,48.9838,34000.0,422.7538,0.0,0.0,0.784,CR
65,3172.4372,24.6321,48.9424,34000.0,423.0,0.0,0.0,0.784,CR
66,3235.8945,24.456,48.8985,34000.0,424.0,0.0,0.0,0.784,CR
67,3281.199,24.3289,48.8668,34000.0,424.0824,0.0,0.0,0.7288,CR
68,3327.6995,24.2029,48.8354,34000.0,425.6789,0.0,0.0,0.1379,CR
69,3369.5924,24.0858,48.8056,34000.0,425.4386,0.0,0.0,0.2206,CR
70,3414.5056,23.9606,48.7736,34000.0,426.2743,0.0,0.0,0.0,CR
71,3458.7005,23.8373,48.7421,34000.0,426.3491,0.0,0.0,0.3979,CR
72,3503.5616,23.7123,48.71,34000.0,426.9713,0.0,0.0,0.4688,CR
73,3547.1106,23.5902,48.6785,34000.0,428.0,0.0,0.0,0.0,CR
74,3592.4017,23.4635,48.6455,34000.0,428.1311,0.0,0.0,0.6343,CR
75,3646.7437,23.3138,48.6064,34000.0,430.0,0.0,0.0,0.788,CR
76,3719.247,23.1143,48.5538,34000.0,430.0048,0.0,0.0,0.0158,CR
77,3779.4122,22.9446,48.5088,34000.0,430.0834,0.0,0.0,0.689,CR
78,3833.9246,22.7919,48.468,34000.0,430.0,0.0,0.0,0.784,CR
79,3877.5182,22.6723,48.4359,34000.0,430.1496,0.0,0.0,0.5227,CR
80,3927.3395,22.535,48.3987,34000.0,430.2478,0.0,0.0,0.3485,CR
81,3968.7915,22.4203,48.3675,34000.0,430.0027,0.0,0.0,0.3546,CR
82,4015.3145,22.2909,48.3323,34000.0,430.3064,0.0,0.0,0.5122,CR
83,4060.7286,22.1632,48.3011,34000.0,430.1072,0.0,0.0,0.5949,CR
84,4103.5048,22.0467,48.2725,34000.0,430.1941,0.0,0.0,0.1064,CR
85,4157.9698,21.8916,48.2334,34000.0,429.0,0.0,0.0,0.788,CR
86,4232.3015,21.6858,48.1812,34000.0,429.0,0.0,0.0,0.784,CR
87,4305.1809,21.4844,48.1299,34000.0,430.0,0.0,0.0,0.78,CR
88,4360.5818,21.3333,48.091,34000.0,429.5331,0.0,0.0,0.2234,CR
89,4410.0119,21.1955,48.0553,34000.0,431.0629,0.0,0.0,0.3073,CR
90,4466.8696,21.0377,48.0142,34000.0,433.1496,0.0,0.0,0.0,CR
91,4506.809,20.9249,47.9847,34000.0,433.0,0.0,0.0,0.788,CR
92,4553.2237,20.7984,47.9513,34000.0,433.9716,0.0,0.0,0.2297,CR
93,4598.4059,20.6735,47.9182,34000.0,433.9674,0.0,0.0,0.1465,CR
94,4644.9102,20.541,47.883,34000.0,433.0418,0.0,0.0,0.7283,CR
95,4697.0503,20.3975,47.8446,34000.0,432.0,0.0,0.0,0.7841,CR
96,4780.6533,20.1659,47.7821,34000.0,431.8693,0.0,0.0,0.788,CR
97,4858.9447,19.9517,47.7237,34000.0,429.0,0.0,0.0,0.7871,CR
98,4941.6834,19.7291,47.6624,34000.0,426.0,0.0,0.0,0.78,CR
99,5022.2362,19.5122,47.6021,34000.0,425.0,0.0,0.0,0.78,CR
100,5072.5699,19.3792,47.565,34000.0,424.2829,0.0,0.0,0.3488,CR
101,5123.391,19.2433,47.5267,34000.0,425.8881,0.0,0.0,0.2665,CR
102,5171.3302,19.113,47.4899,34000.0,428.0065,0.0,0.0,0.5988,CR
