,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8988,50.3504,0.0,0.0,0.0,0.0,0.0,GND
1,48.3526,30.8988,50.3504,0.0,0.0,0.0,0.0,0.0,GND
2,90.3212,30.8991,50.3504,0.0,0.4724,0.0,0.0,0.0,GND
3,125.4303,30.8997,50.3504,0.0,1.7085,0.0,0.0,0.0,GND
4,166.0071,30.9001,50.3506,0.0,0.5276,0.0,0.0,0.0,GND
5,246.5477,30.9001,50.3506,0.0,0.0,0.0,0.0,0.0,GND
6,315.0201,30.9,50.3503,0.0,2.0402,0.0,0.0,0.0,GND
7,352.9683,30.901,50.3488,0.0,3.9196,0.0,0.0,0.0,GND
8,389.7898,30.9011,50.3468,0.0,0.7186,0.0,0.0,0.0,GND
9,425.8479,30.9009,50.3438,0.0,9.1809,0.0,0.0,0.0,GND
10,462.2976,30.9006,50.34,0.0,3.9799,0.0,0.0,0.0,GND
11,497.2539,30.9004,50.3368,0.0,2.6131,0.0,0.0,0.0,GND
12,531.8403,30.9014,50.3354,0.0,6.995,0.0,0.0,0.0,GND
13,566.9874,30.9011,50.3318,0.0,25.0854,0.0,0.0,0.0,GND
14,603.5256,30.9008,50.3272,0.0,16.9849,0.0,0.0,0.0,GND
15,642.2833,30.9009,50.3249,0.0,2.9146,0.0,0.0,0.0,GND
16,680.1226,30.9023,50.3244,0.0,7.1156,0.0,0.0,0.676,GND
17,717.4774,30.9039,50.3256,0.0,17.4623,0.0,0.0,0.76,GND
18,760.7781,30.9053,50.3454,121.8593,165.8673,742.6714,0.0,0.6645,CL
19,808.6868,30.908,50.3837,1431.407,196.2359,1246.3357,153.206,0.1993,CL
20,847.5782,30.911,50.4217,2768.0905,215.0717,-846.8837,83.2161,0.123,CL
21,886.0994,30.8986,50.461,4402.0101,233.0468,6252.5633,229.2965,0.3567,CL
22,925.5662,30.8351,50.4779,5405.402,270.9617,220.7878,106.9347,0.1672,CL
23,968.2023,30.751,50.485,6980.402,284.3872,-4314.5834,61.3668,0.0959,CL
24,1004.4975,30.6679,50.4915,7587.4372,329.6633,1380.5902,310.0,0.5,CL
25,1046.5581,30.5638,50.4885,8804.7739,353.6926,3363.7996,169.799,0.298,CL
26,1089.8593,30.4482,50.4846,10641.206,362.0,3744.5968,310.0,0.532,CL
27,1142.9784,30.3118,50.48,12981.1558,368.643,2140.7797,96.5829,0.1819,CL
28,1185.2843,30.1977,50.4761,14917.3367,375.3555,1808.9605,95.0251,0.1864,CL
29,1224.0877,30.089,50.4724,16625.0,384.0393,2496.4824,286.6332,0.577,CL
30,1274.343,29.9483,50.4673,18550.0,397.2219,1085.4271,168.2412,0.3517,CL
31,1325.0423,29.8014,50.4617,20375.0,409.4786,361.809,49.8492,0.1074,CL
32,1363.0505,29.6874,50.4574,21697.1106,416.0051,1928.5276,68.5427,0.153,CL
33,1406.6943,29.5531,50.4521,23125.3769,424.8934,1375.0724,186.9347,0.4245,CL
34,1448.2538,29.4258,50.447,24200.0,436.8041,22.6131,4.6734,0.0109,CL
35,1489.0631,29.2929,50.4414,25293.3417,445.3027,1909.1315,196.2814,0.4685,CL
36,1535.1304,29.1437,50.435,26612.3116,450.0,1247.8076,232.1106,0.575,CL
37,1578.2274,29.0063,50.4288,27838.0653,450.0,1049.4399,40.5025,0.1014,CL
38,1613.9284,28.8894,50.4235,28928.1407,446.4733,2125.3769,158.8945,0.4101,CL
39,1658.1172,28.7535,50.4171,31094.7236,419.0166,1596.2485,32.7136,0.0827,CL
40,1702.2482,28.6217,50.4109,32463.8191,409.2121,798.0228,85.6784,0.2112,CL
41,1744.1955,28.4968,50.4049,33258.5427,412.1363,-2789.1118,105.9296,0.2652,CL
42,1783.2206,28.3824,50.3992,33926.005,414.1772,761.798,12.4623,0.0312,CL
43,1833.6884,28.2273,50.3912,34646.1055,420.0,663.3166,310.0,0.7777,CL
44,1874.0117,28.1086,50.3849,35210.3015,422.3144,729.3067,0.0,0.0,CL
45,1915.523,27.9817,50.3782,35884.2965,421.3546,1309.5342,57.6382,0.145,CL
46,1955.1322,27.8601,50.3716,36439.196,422.2309,640.8408,176.0302,0.4429,CL
47,1998.8492,27.7235,50.3639,37047.4874,421.0503,1048.7335,310.0,0.784,CL
48,2036.995,27.6106,50.3575,37616.5829,418.6683,1222.7806,310.0,0.7787,CL
49,2073.2146,27.5023,50.3513,38007.1608,416.8859,-390.3544,221.206,0.548,CL
50,2111.0544,27.386,50.3445,38000.0,422.9765,0.0,280.402,0.6983,CR
51,2148.5294,27.2746,50.3378,38000.0,427.3855,0.0,162.0101,0.4055,CR
52,2185.0672,27.1635,50.3309,38000.0,428.5899,0.0,43.6181,0.1092,CR
53,2221.688,27.0503,50.3241,38000.0,428.6877,0.0,74.7739,0.1872,CR
54,2257.8307,26.9383,50.3171,38025.0,428.5647,498.9644,116.8342,0.297,CR
55,2293.689,26.8294,50.3104,38000.0,430.0005,0.0,0.0,0.0,CR
56,2335.7989,26.6988,50.3017,38000.0,426.1652,0.0,119.9497,0.3049,CR
57,2377.5377,26.5695,50.2932,38000.0,422.0,0.0,310.0,0.78,CR
58,2421.0344,26.4413,50.2848,38000.0,421.9297,0.0,46.7337,0.1176,CR
59,2461.598,26.3153,50.2763,38000.0,421.0,0.0,310.0,0.776,CR
60,2498.0073,26.2091,50.2692,38000.0,421.1974,0.0,26.4824,0.0659,CR
61,2537.1859,26.087,50.2606,38000.0,422.0,0.0,310.0,0.772,CR
