,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8993,50.3543,0.0,2.0,0.0,0.0,0.0,GND
1,62.4521,30.9002,50.3541,0.0,0.0201,0.0,0.0,0.0,GND
2,111.9397,30.9003,50.3539,0.0,0.0,0.0,0.0,0.0,GND
3,187.845,30.9003,50.3539,0.0,0.0,0.0,0.0,0.0,GND
4,269.6643,30.9006,50.3544,0.0,0.402,0.0,0.0,0.0,GND
5,317.8944,30.9029,50.3558,0.0,11.397,0.0,0.0,0.0,GND
6,367.9694,30.9031,50.359,0.0,14.0955,0.0,0.0,0.0,GND
7,417.7047,30.9035,50.3605,0.0,0.0,0.0,0.0,0.0,GND
8,537.598,30.9035,50.3605,0.0,0.0,0.0,0.0,0.0,GND
9,600.7364,30.9065,50.3602,0.0,4.5477,0.0,0.0,0.0,GND
10,665.2528,30.9065,50.36,0.0,0.0,0.0,0.0,0.0,GND
11,732.9102,30.9045,50.3287,1869.4724,165.0016,3702.2683,0.0,0.2455,CL
12,788.5176,30.8997,50.2774,3715.9548,224.7588,1249.6159,0.0,0.344,CL
13,846.555,30.8401,50.2473,5948.8693,203.8729,2985.7964,0.0,0.3234,CL
14,902.5889,30.7506,50.2413,8421.8593,236.1217,3528.9384,245.7588,0.3815,CL
15,959.5678,30.6534,50.2596,10813.6935,269.564,1438.9794,271.7588,0.4246,CL
16,1008.4194,30.5513,50.278,12108.9196,320.6484,2470.1238,59.1759,0.092,CL
17,1075.5141,30.3991,50.3055,15670.1005,326.0502,3061.1919,323.3668,0.5141,CL
18,1135.0955,30.2613,50.3302,18097.8643,341.6382,2140.6579,398.5528,0.644,CL
19,1188.3301,30.1313,50.3534,19826.1307,357.6518,1729.7148,339.799,0.5502,CL
20,1240.4111,30.0011,50.3766,21879.8995,362.7768,1917.9499,340.3719,0.5561,CL
21,1296.2877,29.858,50.4016,23898.6181,367.9625,2142.851,345.5578,0.568,CL
22,1350.4886,29.7183,50.426,25558.4171,374.8859,1598.0289,99.0553,0.1654,CL
23,1404.684,29.5753,50.4506,27088.4422,381.0014,1950.6705,352.1307,0.5905,CL
24,1456.5289,29.4361,50.4745,28556.9095,380.2426,2104.6013,349.0452,0.5888,CL
25,1512.0264,29.2895,50.4994,30293.593,375.184,1449.1814,341.4271,0.584,CL
26,1573.3202,29.1295,50.5264,31923.8693,373.0707,1803.0266,119.6784,0.2059,CL
27,1640.9384,28.9559,50.5554,33918.2161,358.4592,5138.4662,327.8894,0.5683,CL
28,1698.4253,28.8124,50.5792,35210.9296,353.2302,1088.0421,124.3819,0.2184,CL
29,1748.1119,28.6892,50.5993,35992.7136,353.93,807.5537,314.593,0.5527,CL
30,1800.6961,28.558,50.6206,36000.0,355.987,0.0,311.5276,0.5448,CR
31,1855.7538,28.4201,50.6428,36000.0,355.0,0.0,444.0,0.78,CR
32,1907.716,28.2896,50.6636,36000.0,356.1982,0.0,301.206,0.5291,CR
33,1963.7148,28.1477,50.6863,36000.0,357.2371,0.0,296.7437,0.5213,CR
34,2020.5168,28.005,50.7089,36000.0,357.1692,0.0,293.598,0.5135,CR
35,2078.6539,27.8585,50.7316,36000.0,358.1,0.0,156.8844,0.2744,CR
36,2137.5986,27.7091,50.7548,36000.0,358.0985,0.0,161.3668,0.2822,CR
37,2199.1407,27.5525,50.7788,36000.0,357.0,0.0,446.0,0.784,CR
38,2252.3973,27.4183,50.7992,36000.0,355.2816,0.0,275.6683,0.4821,CR
39,2306.625,27.2821,50.8197,36000.0,354.0781,0.0,269.9698,0.4743,CR
40,2358.285,27.1518,50.8391,36000.0,353.1288,0.0,265.5075,0.4664,CR
41,2411.3518,27.0193,50.8587,36000.0,352.0,0.0,442.0,0.776,CR
42,2462.1558,26.8907,50.8777,36000.0,351.0,0.0,444.0,0.7777,CR
43,2514.7035,26.7599,50.8967,36000.0,351.0,0.0,444.0,0.78,CR
44,2565.6734,26.6321,50.9152,36000.0,350.0,0.0,444.0,0.78,CR
45,2620.403,26.4967,50.9346,36000.0,350.2098,0.0,242.1005,0.425,CR
46,2671.8303,26.3676,50.9529,36000.0,351.1585,0.0,238.7337,0.4172,CR
47,2728.3689,26.2256,50.9727,36000.0,351.0581,0.0,234.2714,0.4116,CR
48,2791.0502,26.0689,50.9947,36000.0,352.001,0.0,214.191,0.3763,CR
49,2842.8193,25.9388,51.0125,36000.0,352.001,0.0,225.3467,0.3959,CR
50,2894.9322,25.8072,51.0306,36000.0,352.3322,0.0,220.8844,0.388,CR
51,2947.5464,25.674,51.0486,36000.0,352.8263,0.0,216.4221,0.3802,CR
52,3001.8853,25.5366,51.067,36000.0,353.3971,0.0,212.9146,0.3724,CR
53,3057.9894,25.395,51.0858,36000.0,353.2524,0.0,236.5025,0.4155,CR
54,3108.9109,25.265,51.1029,36000.0,353.1465,0.0,242.0503,0.4233,CR
55,3159.5103,25.1366,51.1197,36000.0,353.045,0.0,246.5327,0.4312,CR
56,3217.0376,24.9908,51.1385,36000.0,353.044,0.0,249.8894,0.439,CR
57,3272.891,24.85,51.1564,36000.0,352.0008,0.0,254.3518,0.4468,CR
58,3339.1877,24.682,51.1777,36000.0,351.456,0.0,185.1859,0.3237,CR
59,3394.758,24.5417,51.1952,36000.0,350.9265,0.0,179.9095,0.3159,CR
60,3446.6149,24.4101,51.2114,36000.0,351.3392,0.0,175.4673,0.3065,CR
61,3502.3241,24.267,51.2289,36000.0,353.1239,0.0,270.9749,0.4757,CR
62,3565.9011,24.1052,51.2485,36000.0,355.1123,0.0,276.6633,0.486,CR
63,3622.3736,23.96,51.2659,36000.0,355.4163,0.0,162.8744,0.2861,CR
64,3678.0704,23.8168,51.2828,36000.0,356.0,0.0,444.0,0.78,CR
65,3739.3722,23.6594,51.3013,36000.0,355.6252,0.0,153.9497,0.2705,CR
66,3809.7417,23.4803,51.3293,36000.0,356.9448,0.0,294.5126,0.5174,CR
67,3886.8169,23.2821,51.3606,36000.0,358.3998,0.0,145.6784,0.2548,CR
68,3957.6332,23.0993,51.3894,36000.0,357.0,0.0,446.0,0.784,CR
69,4036.8392,22.8978,51.4205,36000.0,354.6935,0.0,442.0,0.776,CR
70,4091.901,22.7592,51.4418,36000.0,353.0298,0.0,310.9548,0.5459,CR
71,4152.0353,22.6064,51.465,36000.0,352.6286,0.0,126.0302,0.2211,CR
72,4207.6586,22.4655,51.4862,36000.0,352.1827,0.0,316.9447,0.5586,CR
73,4267.9743,22.3115,51.509,36000.0,355.3797,0.0,117.1859,0.2056,CR
74,4345.5126,22.1117,51.5384,36000.0,358.0,0.0,442.0,0.776,CR
75,4432.9849,21.8841,51.5716,36000.0,360.0,0.0,444.0,0.78,CR
76,4533.1809,21.6255,51.6086,36000.0,359.0,0.0,444.0,0.78,CR
77,4595.9027,21.462,51.6315,36000.0,359.1566,0.0,343.598,0.6005,CR
78,4657.4879,21.2999,51.6542,36000.0,359.1496,0.0,346.4925,0.6083,CR
79,4714.68,21.1524,51.6746,36000.0,359.2008,0.0,90.6533,0.1591,CR
80,4772.118,21.0027,51.6948,36000.0,360.0258,0.0,353.7688,0.6207,CR
81,4829.5578,20.8513,51.7154,36000.0,363.0,0.0,442.0,0.776,CR
82,4895.5276,20.6778,51.7386,36000.0,364.0,0.0,444.0,0.7793,CR
83,4981.2596,20.4501,51.7687,36000.0,364.4391,0.0,73.6281,0.1287,CR
84,5047.9347,20.2717,51.7919,36000.0,365.0,0.0,444.0,0.78,CR
85,5125.5089,20.0649,51.8184,36000.0,365.0591,0.0,379.2965,0.6663,CR
86,5182.0077,19.9157,51.8373,36000.0,364.0751,0.0,59.9698,0.1053,CR
87,5245.5025,19.7468,51.8583,36000.0,365.0,0.0,440.0,0.772,CR
88,5298.6935,19.6029,51.8762,36000.0,364.0,0.0,440.0,0.772,CR
89,5367.6332,19.4186,51.8987,36000.0,365.0,0.0,442.0,0.776,CR
90,5442.4461,19.2177,51.9229,36000.0,367.0365,0.0,399.799,0.7019,CR
91,5527.4425,18.9906,51.9497,36000.0,367.1492,0.0,37.9296,0.0666,CR
92,5601.0024,18.7928,51.9727,36000.0,365.1716,0.0,33.3166,0.0585,CR
93,5680.0067,18.5793,51.9972,36000.0,365.0121,0.0,414.995,0.729,CR
94,5734.8267,18.4337,52.0138,36000.0,363.6117,0.0,24.4322,0.0429,CR
95,5796.082,18.2689,52.032,36000.0,363.0193,0.0,418.191,0.7371,CR
96,5852.5545,18.1188,52.0485,36000.0,362.7686,0.0,0.0,0.0,CR
97,5921.0917,17.9346,52.0686,36000.0,362.0083,0.0,426.995,0.7487,CR
98,6003.1759,17.7157,52.0921,36000.0,362.9734,0.0,6.6332,0.0116,CR
99,6077.0151,17.5169,52.1129,36000.0,363.0,0.0,438.0,0.772,CR
100,6152.1473,17.3145,52.1337,36000.0,365.8455,0.0,2.2111,0.0039,CR
101,6222.9698,17.1219,52.1533,36000.0,366.0,0.0,440.0,0.776,CR
102,6285.038,16.9535,52.1699,36000.0,367.3732,0.0,11.1055,0.0195,CR
103,6343.0126,16.7954,52.1856,36000.0,368.2525,0.0,15.5477,0.0273,CR
104,6408.6834,16.6137,52.2031,36000.0,368.0,0.0,444.0,0.78,CR
105,6467.975,16.4535,52.2184,36000.0,367.0697,0.0,417.5678,0.7331,CR
106,6548.6734,16.2327,52.2391,36000.0,366.0,0.0,440.0,0.776,CR
107,6662.2167,15.9248,52.2671,36000.0,365.7057,0.0,33.1658,0.0582,CR
108,6738.6583,15.7172,52.2857,36000.0,363.0,0.0,438.0,0.768,CR
109,6810.7136,15.5206,52.3028,36000.0,364.0,0.0,436.0,0.768,CR
110,6889.6208,15.3067,52.321,36000.0,367.3424,0.0,46.2211,0.081,CR
111,6960.7643,15.1092,52.3378,36000.0,369.0416,0.0,389.1457,0.6828,CR
112,7037.995,14.8955,52.3551,36000.0,370.0,0.0,440.0,0.772,CR
113,7134.7286,14.6291,52.3761,36593.2161,371.0,1377.8894,442.0,0.776,CR
