,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8986,50.3499,0.0,1.0,0.0,0.0,0.0,GND
1,42.7725,30.8992,50.3499,0.0,0.0503,0.0,0.0,0.0,GND
2,75.927,30.8997,50.3499,0.0,1.8995,0.0,0.0,0.0,GND
3,110.8287,30.9,50.35,0.0,0.9246,0.0,0.0,0.0,GND
4,151.4849,30.9,50.3501,0.0,0.0,0.0,0.0,0.0,GND
5,221.4092,30.9,50.3501,0.0,0.0,0.0,0.0,0.0,GND
6,266.6539,30.9,50.3497,0.0,1.206,0.0,0.0,0.0,GND
7,302.9794,30.9022,50.3486,0.0,9.8894,0.0,0.0,0.0,GND
8,339.7236,30.9021,50.3459,0.0,15.9799,0.0,0.0,0.0,GND
9,374.9769,30.9019,50.3424,0.0,17.0251,0.0,0.0,0.0,GND
10,410.3462,30.9016,50.3384,0.0,17.2211,0.0,0.0,0.0,GND
11,446.6846,30.9013,50.3347,0.0,15.9196,0.0,0.0,0.0,GND
12,481.7669,30.903,50.3332,0.0,7.6834,0.0,0.0,0.0,GND
13,519.2598,30.9046,50.3347,0.0,35.6884,0.0,0.0,0.0,GND
14,568.1395,30.9075,50.3665,2235.6784,165.6833,3243.092,120.5729,0.0,CL
15,607.1313,30.9095,50.3994,3852.8894,197.0357,3028.0691,140.8241,0.2119,CL
16,651.2149,30.881,50.4299,5804.8995,219.5844,1314.3804,153.0854,0.2392,CL
17,689.8146,30.8156,50.4362,7839.3216,241.2747,2206.0461,121.3065,0.1896,CL
18,730.6633,30.7462,50.4448,10538.6935,232.9508,2602.9705,132.9648,0.2062,CL
19,769.7655,30.6736,50.4535,11390.3266,286.3529,1515.6992,181.8693,0.2822,CL
20,808.684,30.5913,50.463,13199.8744,302.7828,2772.9693,181.9095,0.2874,CL
21,853.4171,30.4941,50.474,15607.6633,305.0,3954.0136,374.0,0.596,CL
22,891.2831,30.4108,50.4836,17333.5427,315.3744,2471.9567,169.9497,0.2719,CL
23,934.3253,30.3082,50.4761,19188.3166,351.7472,2670.1092,160.402,0.2685,CL
24,971.3565,30.2182,50.4557,20609.9246,360.1396,1869.1453,231.5578,0.3956,CL
25,1009.1454,30.1238,50.4344,22175.0,364.8239,942.2111,238.6935,0.4221,CL
26,1052.6501,30.0157,50.4101,23792.3367,372.0752,2051.7178,249.5477,0.4468,CL
27,1091.608,29.9151,50.3873,24898.2412,383.6432,1613.0286,383.3568,0.7053,CL
28,1134.7576,29.8007,50.3613,26097.2362,393.0512,1734.3967,113.8492,0.2147,CL
29,1169.9981,29.7062,50.3398,27006.7839,399.9288,968.6193,104.201,0.1997,CL
30,1204.9849,29.6094,50.3177,27849.6231,408.0,1433.992,380.4925,0.752,CL
31,1239.8844,29.5123,50.2952,28727.6382,412.2211,3088.1235,384.0,0.764,CL
32,1280.3767,29.3974,50.2687,29679.8995,418.1996,1057.4726,308.7437,0.6239,CL
33,1318.9148,29.2897,50.2435,30829.8995,416.1344,292.511,65.608,0.1319,CL
34,1359.7286,29.1738,50.2164,31868.2161,415.0,2435.5599,380.5829,0.776,CL
35,1400.2026,29.061,50.1899,32931.0302,414.0753,1811.8472,337.6884,0.6859,CL
36,1437.2615,28.9578,50.1654,33829.7739,414.5644,1147.1527,36.6633,0.0741,CL
37,1471.3304,28.8623,50.1427,34532.0352,416.6296,1511.3358,26.7337,0.0549,CL
38,1509.7105,28.7545,50.117,35252.2613,417.2489,851.7829,17.2764,0.0353,CL
39,1552.0733,28.6338,50.0881,36000.0,417.9851,734.9246,376.2814,0.7722,CL
40,1591.6376,28.5249,50.062,36000.0,414.1836,0.0,1.9296,0.0039,CR
41,1627.8825,28.4235,50.0375,36000.0,413.0026,0.0,370.4824,0.7526,CR
42,1665.1993,28.321,50.0125,36000.0,412.666,0.0,21.2261,0.0429,CR
43,1702.4485,28.2181,49.9873,36000.0,412.877,0.0,30.8744,0.0621,CR
44,1739.6488,28.114,49.9617,36000.0,412.9859,0.0,341.6884,0.6905,CR
45,1773.8494,28.0204,49.9386,36000.0,413.2657,0.0,50.1709,0.1003,CR
46,1810.2246,27.9199,49.9137,36000.0,415.7956,0.0,59.5075,0.1196,CR
47,1853.311,27.7997,49.8838,36000.0,418.8343,0.0,69.4673,0.1397,CR
48,1893.0234,27.6882,49.8557,36000.0,421.5203,0.0,79.1156,0.1607,CR
49,1933.5141,27.574,49.827,36000.0,422.9939,0.0,292.1608,0.5997,CR
50,1969.0345,27.4745,49.8019,36000.0,424.2172,0.0,97.8995,0.1999,CR
51,2007.7825,27.3651,49.7741,36000.0,425.1718,0.0,274.5025,0.5605,CR
52,2043.6935,27.2632,49.7481,36000.0,426.15,0.0,266.2915,0.5437,CR
