,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8986,50.3519,0.0,0.0,0.0,0.0,0.0,GND
1,56.7198,30.8987,50.3519,0.0,0.0,0.0,0.0,0.0,GND
2,101.9648,30.8996,50.3518,0.0,2.8945,0.0,0.0,0.0,GND
3,148.2764,30.9002,50.352,0.0,0.0,0.0,0.0,0.0,GND
4,200.6433,30.9002,50.352,0.0,0.0,0.0,0.0,0.0,GND
5,250.2769,30.9002,50.352,0.0,0.0,0.0,0.0,0.0,GND
6,300.5519,30.9002,50.352,0.0,0.0,0.0,0.0,0.0,GND
7,357.6846,30.9002,50.352,0.0,0.0,0.0,0.0,0.0,GND
8,414.0075,30.9001,50.3516,0.0,0.5628,0.0,0.0,0.0,GND
9,465.1746,30.9,50.3494,0.0,3.7588,0.0,0.0,0.0,GND
10,514.2965,30.9023,50.3479,0.0,11.8241,0.0,0.0,0.0,GND
11,555.9196,30.9021,50.3448,0.0,20.3065,0.0,0.0,0.0,GND
12,602.3635,30.9017,50.3398,0.0,18.9347,0.0,0.0,0.0,GND
13,655.1378,30.9013,50.3343,0.0,13.1156,0.0,0.0,0.0,GND
14,697.6796,30.9036,50.3332,0.0,2.2161,0.0,0.0,0.0,GND
15,742.1438,30.9046,50.3356,0.0,34.3719,0.0,0.0,0.0,GND
16,792.7289,30.9069,50.3666,1335.9296,148.0688,2141.1652,44.4623,0.0675,CL
17,835.6784,30.8874,50.3937,2695.1005,189.3423,1921.9538,155.005,0.2397,CL
18,882.3793,30.8135,50.3938,3692.0854,235.9907,2321.9474,65.2161,0.1165,CL
19,932.6151,30.728,50.3921,6858.1658,239.0521,3618.1605,34.1608,0.0643,CL
20,979.3626,30.6455,50.3894,9382.4121,253.0897,1628.6953,72.4623,0.1449,CL
21,1031.5226,30.5366,50.3858,10834.799,315.9146,2233.4171,206.0,0.521,CL
22,1075.2685,30.4313,50.3821,12500.0,345.2515,870.603,79.7085,0.2213,CL
23,1119.0634,30.32,50.3781,14875.0,348.0464,3383.5011,186.3317,0.5174,CL
24,1161.6248,30.2123,50.3742,16940.5779,352.6501,3835.1525,119.0452,0.3629,CL
25,1206.2671,30.0981,50.37,19235.5528,349.9617,4358.0817,193.5779,0.6052,CL
26,1253.5925,29.9798,50.3654,21281.407,352.2018,2657.5316,111.799,0.3625,CL
27,1298.0082,29.8663,50.361,23025.0,355.013,1949.7487,200.8241,0.6668,CL
28,1346.1574,29.7417,50.356,24763.0653,358.7999,2233.2255,104.5528,0.3512,CL
29,1390.9838,29.6248,50.3511,26024.4975,367.9982,1858.3834,203.9296,0.7207,CL
30,1435.3212,29.5061,50.3461,27175.0,375.346,914.7152,108.6935,0.3926,CL
31,1479.3201,29.3862,50.341,28246.608,380.7506,1802.0193,9.3166,0.0344,CL
32,1522.2697,29.2677,50.3357,29175.0,385.3672,562.8141,115.9397,0.4345,CL
33,1565.8273,29.1441,50.3301,30045.9799,390.9031,1284.3547,189.4372,0.721,CL
34,1613.2156,29.0114,50.3239,30955.1508,393.5799,1489.1076,82.8141,0.3184,CL
35,1656.4047,28.89,50.3181,31994.2211,389.1201,1226.5356,23.809,0.0915,CL
36,1699.6163,28.7697,50.3123,32968.3417,384.9857,3820.2572,130.4322,0.5015,CL
37,1744.4199,28.6465,50.3061,33921.2312,379.9212,1009.2913,31.0553,0.1188,CL
38,1787.0003,28.5286,50.3002,34416.5829,385.0599,1019.8593,137.6784,0.5293,CL
39,1830.7501,28.4074,50.2939,34875.0,389.0661,105.0055,167.6985,0.6415,CR
40,1875.1044,28.2832,50.2872,35850.0,381.0669,1176.7132,144.9246,0.5516,CL
41,1918.9016,28.1623,50.2808,36294.4724,384.0181,2708.0716,160.4523,0.6107,CL
42,1963.3449,28.0404,50.2741,36850.0,382.0847,907.2381,152.1709,0.5762,CL
43,2006.3813,27.9228,50.2676,37293.593,383.0521,610.7835,153.206,0.5742,CL
44,2051.1361,27.7993,50.2606,37625.0,386.0632,290.201,0.0,0.6005,CL
45,2099.9095,27.6635,50.2528,37992.7136,389.4076,594.2673,0.0,0.2273,CL
46,2144.3326,27.5389,50.2452,38000.0,391.4472,0.0,39.3367,0.1497,CR
47,2189.0201,27.4132,50.2376,38000.0,387.0,0.0,206.0,0.78,CR
48,2231.3377,27.2966,50.2304,38000.0,388.5878,0.0,32.0905,0.1215,CR
49,2274.6184,27.176,50.2228,38000.0,390.43,0.0,74.5327,0.2837,CR
