,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.9062,50.3566,0.0,57.0,0.0,0.0,0.0,CL
1,48.6583,30.904,50.3248,1037.1859,176.0854,2611.7159,0.0,0.276,CL
2,91.0436,30.898,50.2907,2540.8291,176.5266,1935.3722,0.0,0.0,CL
3,129.8698,30.8519,50.2836,3793.593,193.0358,2658.8073,144.2814,0.2172,CL
4,167.9749,30.8,50.3031,4524.3719,236.9497,1476.991,239.2663,0.3599,CL
5,206.2915,30.7386,50.3252,5421.608,273.7186,3127.6573,274.2915,0.4143,CL
6,242.8196,30.6743,50.3465,7025.0,274.9374,1451.7451,137.4573,0.2086,CL
7,283.7413,30.6006,50.3707,8595.1005,284.3078,2149.0042,171.0251,0.2607,CL
8,325.2633,30.5237,50.3973,10173.7437,292.1615,1321.5427,93.7085,0.1444,CL
9,363.997,30.4471,50.4244,10936.5578,326.4743,994.6728,252.1809,0.3906,CL
10,407.0171,30.3446,50.4373,11850.0,352.0003,1708.5427,305.8291,0.4716,CL
11,450.1121,30.2334,50.4474,13626.5075,357.9696,1928.0534,345.809,0.5375,CL
12,493.9497,30.1183,50.4578,15223.1156,370.0,2256.3207,381.8995,0.5999,CL
13,536.5636,30.0062,50.4677,16644.4724,382.3989,1683.6573,42.8945,0.0672,CL
14,578.236,29.8907,50.4779,18205.402,388.3832,2142.208,78.392,0.1239,CL
15,614.4107,29.7877,50.4868,19496.8593,393.5587,2280.4696,288.8744,0.4599,CL
16,650.9769,29.6838,50.4958,20563.3166,401.7947,1816.5127,259.598,0.4154,CL
17,692.7192,29.5616,50.5062,21588.6935,415.2755,1325.9881,189.0452,0.3021,CL
18,732.4189,29.4414,50.5163,22686.5578,422.247,1790.2357,230.1307,0.3699,CL
19,771.4417,29.3222,50.5262,23659.4221,430.1675,1439.3641,267.9397,0.4337,CL
20,810.1344,29.2011,50.536,24596.8593,437.4727,947.1361,127.6583,0.2075,CL
21,848.8241,29.0777,50.5458,25575.7538,441.206,1873.1415,446.0,0.728,CL
22,887.1545,28.9555,50.5555,26525.0,445.0465,1447.4347,395.7286,0.6472,CL
23,932.1055,28.8116,50.5667,27527.6382,449.0,1534.5756,456.0,0.752,CL
