,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8987,50.3532,0.0,0.0,0.0,0.0,0.0,GND
1,42.7425,30.899,50.3532,0.0,0.2714,0.0,0.0,0.0,GND
2,68.0418,30.8994,50.3532,0.0,1.4573,0.0,0.0,0.0,GND
3,96.9748,30.8999,50.3532,0.0,1.1859,0.0,0.0,0.0,GND
4,122.8291,30.9002,50.3529,0.0,2.0,0.0,0.0,0.0,GND
5,151.9132,30.9002,50.3529,0.0,0.3216,0.0,0.0,0.0,GND
6,179.2525,30.9003,50.3531,0.0,0.0,0.0,0.0,0.0,GND
7,212.055,30.9003,50.3531,0.0,0.0,0.0,0.0,0.0,GND
8,246.5729,30.9003,50.353,0.0,0.0,0.0,0.0,0.0,GND
9,307.2152,30.9003,50.3532,0.0,0.6633,0.0,0.0,0.0,GND
10,333.0634,30.9003,50.354,0.0,3.2161,0.0,0.0,0.0,GND
11,358.3213,30.9012,50.3546,0.0,5.9095,0.0,0.0,0.0,GND
12,387.4874,30.9029,50.3553,0.0,10.3719,0.0,0.0,0.0,GND
13,413.0019,30.903,50.3569,0.0,12.9849,0.0,0.0,0.0,GND
14,438.402,30.9032,50.3594,0.0,20.397,0.0,0.0,0.0,GND
15,465.8975,30.9043,50.3609,0.0,13.5075,0.0,0.0,0.0,GND
16,493.3166,30.9063,50.3601,0.0,12.0,0.0,0.0,0.0,GND
17,518.7531,30.9064,50.3593,0.0,2.1457,0.0,0.0,0.0,GND
18,543.3245,30.9061,50.3554,0.0,45.7387,0.0,0.0,0.0,LVL
19,570.1921,30.905,50.3399,-43.3417,157.7296,-264.56,0.0,0.103,LVL
20,605.3245,30.9023,50.3128,1292.8392,161.5418,1778.0294,0.0,0.1798,CL
21,633.3675,30.8995,50.289,1928.7688,200.0589,1791.245,0.0,0.2684,CL
22,668.9907,30.8967,50.2565,3678.0151,208.2457,1041.1281,0.0,0.0052,CL
23,703.4941,30.8923,50.2166,5110.804,253.232,3178.1136,0.0,0.3553,CL
24,736.1553,30.8875,50.1787,6974.3719,263.4997,3024.0453,0.0,0.1097,CL
25,772.0402,30.8821,50.1327,9107.4121,273.2161,4176.0666,0.0,0.4384,CL
26,804.1738,30.8775,50.092,10422.2362,293.9499,-649.4929,0.0,0.2286,CL
27,839.3467,30.8716,50.0392,12109.1709,320.3367,3650.5025,0.0,0.52,CL
28,878.804,30.8648,49.9798,14160.1759,333.201,2625.0,0.0,0.5408,CL
29,910.0791,30.8594,49.9313,15675.0,343.057,3530.0295,0.0,0.5197,CL
30,940.7889,30.8537,49.8807,17016.206,356.9296,3455.8887,0.0,0.5717,CL
31,968.2645,30.8487,49.8347,18158.794,368.7574,1231.3868,0.0,0.4637,CL
32,997.2793,30.8432,49.7857,19357.2864,378.9346,2872.8961,0.0,0.3976,CL
33,1025.3173,30.8377,49.736,20590.3266,386.4462,3543.3085,0.0,0.3198,CL
34,1058.8706,30.831,49.6753,21919.3467,395.3665,2675.4385,0.0,0.385,CL
35,1090.6771,30.8245,49.616,23137.5628,404.989,3438.9479,0.0,0.4822,CL
36,1121.3205,30.8181,49.558,24305.7789,410.9871,2336.0945,0.0,0.5873,CL
37,1148.781,30.8127,49.5077,25301.005,413.9856,-3628.1536,0.0,0.0136,DE
38,1179.8007,30.8061,49.4481,26421.1055,417.9324,1086.6569,0.0,0.1072,DE
39,1211.4931,30.7994,49.386,27445.8543,422.9813,1980.7081,0.0,0.2029,CL
40,1237.4563,30.7937,49.3342,28192.9648,429.5328,2494.9469,0.0,0.4079,CL
41,1267.9204,30.7872,49.2743,29079.6482,433.4828,-1880.5506,0.0,0.3165,CL
42,1295.206,30.781,49.2176,29847.6131,437.3015,2747.7906,0.0,0.732,CL
43,1321.3952,30.7753,49.1646,30429.1457,444.0112,2338.7687,0.0,0.6206,CL
44,1354.0464,30.7681,49.0979,31350.0,446.0014,1818.4673,0.0,0.741,CL
45,1391.6834,30.7596,49.0196,32269.7236,448.8945,1052.7638,0.0,0.7676,CL
46,1424.567,30.7525,48.9534,32793.9698,455.5232,1060.0624,0.0,0.1872,CL
47,1452.4925,30.7459,48.8917,33271.7337,463.6231,1659.1857,0.0,0.7905,CL
48,1482.2096,30.7393,48.8293,33825.0,466.0195,576.6332,0.0,0.4121,CL
49,1520.2202,30.7307,48.7483,34951.3819,459.7179,2011.095,0.0,0.2814,CL
50,1548.0491,30.7245,48.6892,35669.598,455.9854,-251.9647,0.0,0.624,CL
51,1574.2412,30.7186,48.6341,36306.0302,452.0,1913.1916,0.0,0.796,CL
52,1601.9162,30.7117,48.5762,36947.2362,448.0863,1902.8853,0.0,0.7444,CL
53,1628.8837,30.6961,48.5211,37295.2261,448.8972,1992.7223,0.0,0.6408,CL
54,1659.9665,30.678,48.4581,37700.5025,450.9604,957.6962,0.0,0.536,CL
55,1693.1549,30.659,48.3908,38201.8844,449.7671,1101.0423,0.0,0.4302,CL
56,1730.7574,30.6376,48.3152,38820.1005,446.421,758.9195,0.0,0.3184,CL
57,1759.6104,30.621,48.2569,39000.0,448.9276,0.0,0.0,0.212,CR
58,1788.3958,30.6044,48.1981,39000.0,451.6588,0.0,0.0,0.1045,CR
59,1813.9979,30.589,48.1437,39000.0,452.0043,0.0,0.0,0.796,CR
60,1838.7186,30.5746,48.0926,39000.0,452.0,0.0,0.0,0.8,CR
61,1868.8945,30.5573,48.0307,39000.0,453.0,0.0,0.0,0.8,CR
62,1896.9344,30.5412,47.9735,39000.0,453.303,0.0,0.0,0.4704,CR
63,1922.9999,30.5264,47.9203,39000.0,453.3326,0.0,0.0,0.436,CR
64,1951.2663,30.5098,47.8601,39000.0,454.0,0.0,0.0,0.796,CR
65,1985.5427,30.4902,47.7896,39000.0,455.0,0.0,0.0,0.8,CR
66,2026.0951,30.467,47.7064,39000.0,456.0268,0.0,0.0,0.7638,CR
67,2055.8264,30.4507,47.6469,39000.0,456.5383,0.0,0.0,0.0724,CR
68,2084.3518,30.4343,47.5872,39000.0,455.3816,0.0,0.0,0.1809,CR
69,2112.5528,30.4178,47.5271,39000.0,455.0,0.0,0.0,0.8,CR
70,2140.3911,30.4022,47.4705,39000.0,455.3547,0.0,0.0,0.4,CR
71,2170.4127,30.3851,47.408,39000.0,455.1809,0.0,0.0,0.5065,CR
72,2200.2073,30.3686,47.3476,39000.0,456.455,0.0,0.0,0.1849,CR
73,2226.4845,30.3539,47.2936,39000.0,456.5353,0.0,0.0,0.0764,CR
74,2253.9045,30.338,47.2351,39000.0,455.0198,0.0,0.0,0.7678,CR
75,2280.4724,30.3228,47.1788,39000.0,455.0,0.0,0.0,0.796,CR
76,2307.3769,30.3079,47.1237,39000.0,455.0,0.0,0.0,0.796,CR
77,2335.87,30.2925,47.0664,39000.0,456.3271,0.0,0.0,0.356,CR
78,2361.0347,30.2785,47.0143,39000.0,457.2744,0.0,0.0,0.332,CR
79,2389.3011,30.2624,46.9542,39000.0,457.1325,0.0,0.0,0.5749,CR
80,2418.057,30.2462,46.8939,39000.0,457.0686,0.0,0.0,0.6834,CR
81,2446.0236,30.2305,46.8347,39000.0,457.0047,0.0,0.0,0.792,CR
82,2473.7114,30.2153,46.7782,39000.0,457.0591,0.0,0.0,0.6995,CR
83,2500.6347,30.2005,46.7231,39000.0,457.123,0.0,0.0,0.591,CR
84,2529.3549,30.1847,46.6635,39000.0,456.1477,0.0,0.0,0.4824,CR
85,2567.8693,30.1633,46.5828,39000.0,455.0,0.0,0.0,0.796,CR
86,2602.3266,30.1441,46.5103,39000.0,454.0,0.0,0.0,0.796,CR
87,2636.1731,30.1258,46.441,39000.0,454.0343,0.0,0.0,0.64,CR
88,2670.0212,30.1076,46.3717,39000.0,455.0165,0.0,0.0,0.748,CR
