,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.9015,50.3527,0.0,0.0,0.0,0.0,0.0,GND
1,78.7588,30.9006,50.3527,0.0,3.0,0.0,0.0,0.0,GND
2,122.5779,30.9002,50.3529,0.0,0.0,0.0,0.0,0.0,GND
3,213.5096,30.9002,50.3528,0.0,2.4573,0.0,0.0,0.0,GND
4,257.8576,30.9016,50.3519,0.0,2.8945,0.0,0.0,0.0,GND
5,301.6349,30.9024,50.3491,0.0,11.8744,0.0,0.0,0.0,GND
6,345.191,30.9021,50.3455,0.0,19.0,0.0,0.0,0.0,GND
7,390.3934,30.9018,50.3408,0.0,13.8693,0.0,0.0,0.0,GND
8,435.6755,30.9014,50.3359,0.0,8.6834,0.0,0.0,0.0,GND
9,479.8679,30.9029,50.3332,0.0,7.598,0.0,0.0,0.0,GND
10,524.0699,30.9045,50.3334,0.0,0.0,0.0,0.0,0.0,GND
11,575.6726,30.9046,50.3352,159.9246,54.7849,0.0,0.0,0.0,LVL
12,629.3156,30.9079,50.3689,1334.5477,165.729,1527.0191,0.0,0.0,CL
13,675.5641,30.9146,50.4107,2748.6181,205.8651,2571.3464,47.5377,0.0726,CL
14,728.7666,30.8854,50.4514,5286.6834,207.0815,2125.4669,35.206,0.0548,CL
15,778.1507,30.8061,50.4568,6875.0,246.8715,904.5226,233.3668,0.3618,CL
16,822.1407,30.7247,50.4655,8357.0352,268.0352,3534.9978,284.0704,0.436,CL
17,866.9641,30.6386,50.4744,10398.7437,270.0121,2108.5328,284.6633,0.4406,CL
18,916.137,30.5394,50.4847,11868.593,291.5278,1370.7312,26.8241,0.0417,CL
19,962.5309,30.4377,50.4952,13039.0704,317.7037,1367.6689,293.8693,0.4613,CL
20,1013.7638,30.316,50.5075,14443.3417,336.4121,2698.4925,352.0,0.5552,CL
21,1062.1387,30.2013,50.5197,16341.7085,331.7677,1990.3202,262.6533,0.4167,CL
22,1111.8571,30.0848,50.537,17850.5025,336.5662,1588.6266,119.5477,0.1894,CL
23,1160.9812,29.9663,50.5546,19170.9799,346.0268,1047.776,229.2864,0.3678,CL
24,1206.3886,29.8545,50.571,20513.8191,350.9568,1370.9052,211.1558,0.3383,CL
25,1252.7699,29.7373,50.5881,21711.9347,357.8596,2297.194,192.8643,0.3086,CL
26,1296.7002,29.6256,50.6043,22932.4121,359.3262,2047.5683,171.1357,0.2783,CL
27,1343.2324,29.5069,50.6214,23984.2965,364.9056,1734.2859,252.5126,0.4121,CL
28,1391.3116,29.3807,50.6394,25050.0,369.2492,1308.8255,282.2613,0.4626,CL
29,1438.1415,29.2584,50.6568,26081.2814,371.9441,1418.1655,309.9799,0.5121,CL
30,1487.1193,29.1276,50.6751,26875.0,380.1501,852.0252,339.799,0.5599,CL
31,1531.2215,29.007,50.692,27453.2663,388.1197,642.0738,368.603,0.612,CL
32,1591.9136,28.8376,50.7153,28353.5176,395.6764,583.8964,30.392,0.0504,CL
33,1651.0201,28.6702,50.7381,29275.2513,398.0,1180.4639,436.0,0.728,CL
34,1696.8995,28.5384,50.7559,30023.7437,397.0,712.3116,441.8995,0.74,CL
35,1746.2449,28.4024,50.774,31158.4171,386.3025,1306.9429,0.0,0.0,CL
36,1793.7251,28.2713,50.7914,31895.7286,385.86,772.9761,361.5075,0.6103,CL
37,1841.0182,28.1417,50.8084,32444.2211,387.6284,541.3801,100.7839,0.1711,CL
38,1888.7343,28.0091,50.8256,33060.4271,387.5791,696.5522,126.4925,0.2157,CL
39,1933.1867,27.8852,50.8416,33582.4121,388.2449,841.1434,281.3367,0.4797,CL
40,1976.7638,27.7635,50.8571,34089.6985,387.4121,2375.083,432.0,0.74,CL
41,2024.3062,27.634,50.8735,34764.5729,384.3018,895.6681,0.0,0.0,CL
42,2072.7086,27.501,50.8902,35361.6834,382.0488,538.3765,227.9799,0.392,CL
43,2131.0352,27.3411,50.9099,36000.0,379.407,444.7236,426.0,0.736,CL
44,2183.7337,27.1952,50.9279,36000.0,390.3467,0.0,434.6935,0.752,CR
45,2232.5436,27.0587,50.9444,36000.0,395.2713,0.0,313.9698,0.5423,CR
46,2279.4398,26.9249,50.9604,36000.0,392.1473,0.0,340.5025,0.5881,CR
47,2326.0985,26.7939,50.976,36000.0,393.9585,0.0,367.0352,0.634,CR
48,2374.5276,26.6543,50.9924,36000.0,395.0,0.0,440.0,0.76,CR
49,2424.9262,26.5133,51.0088,36000.0,394.4359,0.0,19.809,0.0342,CR
50,2470.9418,26.3812,51.024,36000.0,395.0209,0.0,433.3668,0.7485,CR
51,2516.7739,26.2494,51.039,36000.0,397.0,0.0,438.1508,0.76,CR
52,2562.9756,26.1181,51.0537,36000.0,396.9764,0.0,380.3015,0.6569,CR
53,2610.971,25.9807,51.069,36000.0,395.1426,0.0,353.7688,0.6111,CR
54,2673.9749,25.7999,51.0889,36000.0,395.0,0.0,440.0,0.76,CR
55,2730.3026,25.6398,51.1063,36000.0,394.1991,0.0,300.7035,0.5194,CR
56,2777.1758,25.5054,51.1206,36000.0,396.1457,0.0,275.4171,0.4761,CR
57,2825.2513,25.3692,51.135,36000.0,393.0,0.0,440.0,0.76,CR
58,2868.5075,25.244,51.1481,36000.0,395.0,0.0,440.0,0.76,CR
59,2918.7562,25.1018,51.1629,36000.0,395.0381,0.0,194.5729,0.3361,CR
60,2966.9128,24.9642,51.1769,36000.0,394.9064,0.0,167.2764,0.2903,CR
61,3015.1936,24.825,51.1909,36000.0,396.9441,0.0,298.4925,0.5156,CR
62,3063.9472,24.6845,51.2049,36000.0,397.1842,0.0,326.5025,0.5644,CR
63,3111.804,24.5473,51.2184,36000.0,396.0,0.0,440.0,0.76,CR
64,3161.8382,24.4034,51.2324,36000.0,396.3323,0.0,61.9095,0.1069,CR
65,3219.3216,24.2368,51.2484,36000.0,396.0804,0.0,440.0,0.76,CR
66,3283.0804,24.0526,51.2657,36000.0,397.0,0.0,440.0,0.76,CR
67,3329.8794,23.9167,51.2783,36000.0,398.0,0.0,440.0,0.76,CR
68,3378.9254,23.7753,51.2912,36000.0,397.9924,0.0,395.7789,0.6836,CR
69,3426.5364,23.6372,51.3051,36000.0,396.0269,0.0,369.2462,0.6378,CR
70,3483.7727,23.4767,51.33,36000.0,395.2244,0.0,97.2864,0.168,CR
71,3530.1668,23.3451,51.3509,36000.0,393.2729,0.0,316.1809,0.5461,CR
72,3578.5356,23.2095,51.3723,36000.0,394.2149,0.0,289.6482,0.5003,CR
73,3623.0843,23.083,51.392,36000.0,395.3037,0.0,176.8844,0.3055,CR
74,3668.6131,22.9534,51.4121,36000.0,394.5377,0.0,438.0,0.76,CR
75,3719.4736,22.8108,51.434,36000.0,396.0797,0.0,229.9497,0.3972,CR
76,3780.2513,22.6374,51.4604,36000.0,395.0,0.0,440.0,0.76,CR
77,3836.0871,22.4784,51.4844,36000.0,396.938,0.0,281.7286,0.4888,CR
78,3888.5103,22.3289,51.5066,36000.0,398.4108,0.0,130.4523,0.2253,CR
79,3944.7085,22.168,51.5303,36000.0,398.2782,0.0,103.9196,0.1795,CR
80,4003.4634,21.9989,51.5551,36000.0,399.5574,0.0,77.3869,0.1337,CR
81,4070.5512,21.8054,51.583,36000.0,399.2432,0.0,0.0,0.0,CR
82,4121.0777,21.6592,51.6039,36000.0,396.0457,0.0,413.7889,0.7142,CR
83,4167.9174,21.5251,51.6228,36000.0,400.5587,0.0,2.2111,0.0038,CR
84,4214.0879,21.3917,51.6415,36000.0,399.4327,0.0,28.7437,0.0496,CR
85,4270.4975,21.2263,51.6645,36000.0,402.0,0.0,440.0,0.76,CR
86,4333.9898,21.0405,51.6899,36000.0,400.0636,0.0,359.8191,0.6187,CR
87,4392.9796,20.8715,51.7128,36000.0,400.092,0.0,108.3417,0.1862,CR
88,4445.4458,20.7184,51.7334,36000.0,400.5418,0.0,135.4874,0.233,CR
89,4498.6849,20.5631,51.7539,36000.0,401.8753,0.0,278.593,0.4812,CR
90,4558.2158,20.3896,51.7766,36000.0,402.1364,0.0,252.0603,0.4354,CR
91,4611.5628,20.2314,51.7972,36000.0,402.0,0.0,440.0,0.76,CR
92,4670.8163,20.0585,51.8193,36000.0,403.0897,0.0,241.005,0.4163,CR
93,4723.45,19.9031,51.8389,36000.0,405.0689,0.0,267.5377,0.4621,CR
94,4775.995,19.7469,51.8584,36000.0,406.3317,0.0,440.0,0.76,CR
