,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8984,50.3492,0.0,0.0,0.0,0.0,0.0,GND
1,73.1174,30.8997,50.3491,0.0,1.7688,0.0,0.0,0.0,GND
2,134.4117,30.9,50.3489,0.0,0.7688,0.0,0.0,0.0,GND
3,222.3265,30.9,50.3489,0.0,0.0,0.0,0.0,0.0,GND
4,302.8492,30.9025,50.3508,0.0,17.4623,0.0,0.0,0.0,GND
5,369.9616,30.9029,50.3562,0.0,7.1759,0.0,0.0,0.0,GND
6,430.9258,30.9033,50.3602,0.0,4.1608,0.0,0.0,0.0,GND
7,510.3137,30.9034,50.3604,0.0,0.0,0.0,0.0,0.0,GND
8,588.8222,30.9063,50.3603,0.0,4.6231,0.0,0.0,0.0,GND
9,693.7684,30.9064,50.36,0.0,0.0,0.0,0.0,0.0,GND
10,788.4673,30.9035,50.3253,1715.5779,155.3116,2604.9146,0.0,0.256,CL
11,871.013,30.8761,50.2555,4586.0553,218.1862,1824.1972,0.0,0.0977,CL
12,953.8304,30.7537,50.2998,8096.7337,275.3121,2191.5124,109.1156,0.1703,CL
13,1027.203,30.6189,50.3426,10925.1256,315.1302,941.0348,164.8241,0.2573,CL
14,1106.217,30.4352,50.3901,13940.4523,355.9734,1473.3788,145.1256,0.2291,CL
15,1182.763,30.2496,50.4388,17080.0251,374.0375,1941.9882,103.3367,0.1651,CL
16,1263.5477,30.0321,50.4639,19934.9246,381.0,2391.6132,404.0,0.668,CL
17,1339.8945,29.8182,50.4635,22422.3618,395.9648,1588.9474,404.0,0.7077,CL
18,1417.3216,29.6083,50.4251,24733.0402,394.0804,1500.0,404.0,0.7283,CL
19,1496.1393,29.3965,50.3736,26820.1005,402.1056,1194.5805,324.8241,0.6175,CL
20,1569.913,29.1961,50.324,28496.7337,409.3926,937.9105,125.8693,0.2443,CL
21,1641.5574,28.9992,50.2749,30450.0,401.282,1580.17,231.4372,0.4537,CL
22,1714.7806,28.807,50.2265,32438.5678,390.008,1035.6362,184.7437,0.3512,CL
23,1782.2238,28.6274,50.1808,33025.0,406.3253,169.5544,138.0503,0.2665,CR
24,1852.7561,28.4345,50.1317,34000.0,411.9902,139.3861,91.3568,0.1782,CR
25,1922.529,28.2456,50.0829,34000.0,406.2441,0.0,44.6633,0.0853,CR
26,2009.0201,28.0094,50.0215,34000.0,402.0,0.0,403.9899,0.768,CR
27,2093.0961,27.7859,49.9627,34000.0,400.0942,0.0,355.2764,0.6719,CR
28,2159.7053,27.6113,49.9162,34000.0,401.1686,0.0,95.4171,0.1814,CR
29,2226.5542,27.433,49.8688,34000.0,401.1431,0.0,142.1106,0.273,CR
30,2290.785,27.2642,49.8233,34000.0,396.7912,0.0,188.804,0.3589,CR
31,2356.2668,27.0929,49.777,34000.0,393.9874,0.0,235.4975,0.4523,CR
32,2423.4925,26.9203,49.73,34000.0,387.8724,0.0,121.809,0.2352,CR
33,2500.2563,26.7258,49.6759,34000.0,381.0,0.0,404.0,0.7695,CR
34,2584.8846,26.5134,49.6173,34000.0,380.985,0.0,373.7186,0.7103,CR
35,2659.2261,26.328,49.5654,34000.0,382.0,0.0,404.0,0.768,CR
36,2729.1282,26.1557,49.5168,34000.0,381.1423,0.0,339.0352,0.6479,CR
37,2793.7155,25.9978,49.4719,34000.0,379.0205,0.0,111.6583,0.2112,CR
38,2859.2351,25.8359,49.4255,34000.0,381.4044,0.0,0.0,0.301,CR
39,2929.0766,25.6627,49.3758,34000.0,380.0625,0.0,205.0452,0.3918,CR
40,3006.2462,25.4716,49.3201,34000.0,379.3769,0.0,404.0,0.7615,CR
41,3093.8776,25.2583,49.2578,34000.0,384.7455,0.0,0.0,0.2007,CR
42,3184.4171,25.0317,49.1904,34000.0,382.1457,0.0,58.8744,0.7686,CR
43,3259.8794,24.8479,49.1361,34000.0,380.9698,0.0,404.0,0.7641,CR
44,3333.2376,24.6678,49.0819,34000.0,385.1281,0.0,0.0,0.6951,CR
45,3393.7665,24.5199,49.0374,34000.0,388.0042,0.0,0.0,0.1544,CR
46,3460.7617,24.352,48.9862,34000.0,388.0813,0.0,0.0,0.5303,CR
47,3530.5645,24.1822,48.9343,33985.804,384.92,151.1404,0.0,0.3302,CR
