,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,30.8873,50.3373,0.0,8.0,0.0,0.0,0.0,GND
1,32.1677,30.8869,50.3362,0.0,4.0201,0.0,0.0,0.0,GND
2,57.1417,30.885,50.3362,0.0,2.5477,0.0,0.0,0.0,GND
3,81.9438,30.8838,50.3353,0.0,11.1156,0.0,0.0,0.0,GND
4,118.9359,30.8836,50.3321,0.0,8.6231,0.0,0.0,0.0,GND
5,146.9601,30.8834,50.329,0.0,20.7889,0.0,0.0,0.0,GND
6,186.3518,30.8824,50.3266,0.0,4.5327,0.0,0.0,0.0,GND
7,213.8489,30.8806,50.3275,0.0,2.7889,0.0,0.0,0.0,GND
8,238.8111,30.88,50.3307,0.0,11.4523,0.0,0.0,0.0,GND
9,268.215,30.8802,50.3482,559.5477,151.5998,3165.533,92.7136,0.1434,CL
10,295.9334,30.8697,50.3679,1871.9849,174.9539,2706.5941,166.5829,0.2548,CL
11,322.9447,30.8487,50.3881,2897.2362,212.8214,3000.0,119.0452,0.1849,CL
12,352.4288,30.8034,50.3891,4546.9849,226.1333,3634.0862,174.7136,0.2769,CL
13,379.1145,30.7617,50.3789,5975.0,239.3306,565.3266,47.9397,0.0805,CL
14,404.9906,30.7176,50.3677,7296.4824,262.4583,3377.6643,130.6533,0.2437,CL
15,435.9065,30.6617,50.3526,9068.9698,276.9758,3847.1478,205.608,0.4112,CL
16,467.4656,30.6028,50.3359,10889.196,285.366,2551.2931,91.6181,0.1902,CL
17,498.4665,30.5395,50.3254,12474.8744,297.3032,2880.3361,176.8442,0.3837,CL
18,526.4731,30.4799,50.3165,13877.7638,307.8071,3078.6111,50.0704,0.1115,CL
19,554.8136,30.4166,50.3069,15111.1809,323.0212,2386.8387,76.7035,0.1809,CL
20,579.8449,30.3568,50.2977,16141.9598,336.9229,2984.6043,199.6382,0.4953,CL
21,604.4881,30.2995,50.289,17113.9447,344.4934,2027.062,93.7487,0.2335,CL
22,629.4868,30.2383,50.2797,18044.4724,352.3429,1630.3169,33.0251,0.0879,CL
23,655.4113,30.1739,50.27,19050.3769,355.1274,2457.7809,159.799,0.4402,CL
24,681.9972,30.107,50.2598,19992.5879,358.7367,2020.5633,74.5729,0.2096,CL
25,708.3952,30.0401,50.2496,20848.7437,363.8739,1070.2935,10.6533,0.0304,CL
26,738.6115,29.9629,50.2377,21863.6935,364.9845,1907.043,116.1206,0.3374,CL
27,772.3302,29.875,50.2242,22982.2864,366.8637,1912.0193,181.1055,0.5262,CL
28,798.5254,29.8089,50.214,23855.7789,366.2981,2141.9541,157.6683,0.4641,CL
29,825.4287,29.7401,50.2033,24667.7136,368.1723,656.1224,72.4422,0.216,CL
30,850.8992,29.6737,50.193,25396.9849,369.0217,1794.7786,199.2161,0.6014,CL
31,882.1508,29.5926,50.1803,26203.7688,373.0,1633.4015,210.1508,0.648,CL
32,908.1971,29.524,50.1696,26853.392,375.0994,1436.5496,183.2362,0.567,CL
33,934.0345,29.4568,50.159,27480.0251,378.3269,1590.088,56.4623,0.1768,CL
34,961.0573,29.3852,50.1477,28174.8744,379.9692,2489.3445,141.6884,0.4438,CL
35,990.1503,29.3082,50.1354,28896.4824,379.9138,1324.7744,14.9146,0.047,CL
36,1018.83,29.2307,50.123,29614.5729,381.1066,1520.2344,111.8593,0.3546,CL
37,1044.0452,29.1649,50.1125,30240.7035,382.2835,208.3155,26.6332,0.0849,CL
38,1073.7418,29.0853,50.0996,30979.2714,382.2346,1438.4163,58.593,0.1879,CL
39,1102.73,29.0074,50.087,31483.0402,387.7271,1603.1697,66.8945,0.2238,CL
40,1128.8258,28.9369,50.0755,31900.0,393.0835,97.707,17.0452,0.0563,CL
41,1155.4612,28.8633,50.0635,32350.0,395.9727,482.4121,102.2714,0.3396,CL
42,1180.6297,28.7943,50.0522,32780.7789,397.3505,129.3782,24.0402,0.0818,CL
43,1207.9441,28.7182,50.0397,33225.0,399.0696,225.8335,151.2764,0.5052,CL
44,1235.4212,28.6406,50.0267,33682.7889,400.1749,1034.1054,143.196,0.4902,CL
45,1261.0087,28.571,50.0152,33975.0,403.58,0.0,19.1759,0.0644,CR
46,1296.5226,28.4691,49.9981,34000.0,413.5075,0.0,209.9698,0.732,CR
47,1328.4221,28.3763,49.9825,34000.0,418.0,0.0,212.0,0.744,CR
48,1357.1875,28.294,49.9686,34000.0,418.562,0.0,62.8543,0.2206,CR
49,1383.9564,28.2152,49.9553,34000.0,419.2043,0.0,148.0804,0.5197,CR
50,1410.8579,28.1388,49.9422,34000.0,417.8275,0.0,21.3065,0.0744,CR
51,1435.894,28.0657,49.9296,34000.0,415.4688,0.0,106.5327,0.3719,CR
52,1462.9503,27.9891,49.9165,34000.0,414.8587,0.0,20.2412,0.0703,CR
53,1490.2538,27.9109,49.9029,34000.0,414.8916,0.0,64.9849,0.2244,CR
54,1517.1658,27.8322,49.8893,34000.0,414.7085,0.0,212.0,0.732,CR
55,1545.5918,27.7523,49.8753,34000.0,414.1642,0.0,23.4372,0.0809,CR
56,1573.8134,27.6718,49.8612,34000.0,414.2072,0.0,103.3367,0.3588,CR
57,1603.4345,27.5872,49.8463,34000.0,414.3698,0.0,18.1106,0.0629,CR
58,1631.6315,27.5066,49.8321,34000.0,413.1663,0.0,144.8844,0.503,CR
59,1659.2288,27.4278,49.8181,34000.0,412.1819,0.0,152.3417,0.5289,CR
60,1684.2884,27.3574,49.8056,34000.0,411.675,0.0,0.0,0.0,CR
61,1710.4363,27.2829,49.7922,34000.0,410.4644,0.0,101.206,0.3514,CR
62,1736.5164,27.2097,49.7791,34000.0,410.009,0.0,15.9799,0.0555,CR
63,1765.3305,27.1279,49.7643,34000.0,410.0066,0.0,69.2462,0.2391,CR
64,1792.5343,27.051,49.7503,34000.0,410.0623,0.0,154.4724,0.5363,CR
