,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4504,51.4683,0.0,0.0,0.0,0.0,0.0,GND
1,149.0746,-0.4504,51.4684,0.0,0.0,0.0,0.0,0.0,GND
2,221.0932,-0.4504,51.4678,0.0,0.0,0.0,0.0,0.0,GND
3,411.569,-0.4507,51.4675,0.0,0.0,0.0,0.0,0.0,GND
4,513.7607,-0.4486,51.4675,0.0,4.4623,0.0,0.0,0.0,GND
5,577.3819,-0.4446,51.4667,0.0,0.3166,0.0,0.0,0.0,GND
6,623.3144,-0.4427,51.4667,0.0,1.1156,0.0,0.0,0.0,GND
7,673.9599,-0.4413,51.4667,0.0,5.0955,0.0,0.0,0.0,GND
8,737.0503,-0.4362,51.4665,0.0,9.7437,0.0,0.0,0.0,GND
9,785.3452,-0.4363,51.4649,0.0,5.3065,0.0,0.0,0.0,GND
10,880.6628,-0.4486,51.4649,-200.0,90.9668,-1807.482,0.0,0.0,DE
11,960.4322,-0.542,51.4753,2047.7387,203.3869,2181.5651,194.5427,0.3051,CL
12,1009.8311,-0.6165,51.4997,4263.4422,242.9766,3970.0708,228.1809,0.3502,CL
13,1062.4686,-0.6512,51.5513,7071.8593,268.047,4325.2627,80.4422,0.1247,CL
14,1118.6411,-0.5628,51.6007,9936.9347,299.9654,2704.8104,0.0,0.0,CL
15,1184.1616,-0.4401,51.6619,12935.5528,330.0727,3096.9807,293.3869,0.4615,CL
16,1241.1681,-0.3264,51.7146,15850.0,338.0816,1462.3116,165.7286,0.2632,CL
17,1303.5821,-0.1975,51.7734,18597.9899,348.9317,2390.6207,28.4623,0.0453,CL
18,1367.6204,-0.0588,51.8368,20315.8291,364.2437,1458.5104,247.799,0.3986,CL
19,1460.603,0.1471,51.9306,23408.4171,376.9347,2096.9545,383.4673,0.6269,CL
20,1553.0912,0.3677,52.023,26500.0,395.0405,1718.593,345.4372,0.574,CL
21,1605.4937,0.521,52.0464,27777.3869,411.0594,1655.1592,185.4271,0.3093,CL
22,1659.246,0.683,52.0698,29023.8693,418.7627,1142.6673,18.8141,0.0317,CL
23,1710.0854,0.8412,52.0925,30177.1357,424.0,542.7136,422.0,0.7146,CL
24,1762.7111,1.0065,52.116,31063.4422,435.9348,2030.1508,332.1407,0.5628,CL
25,1813.7127,1.1688,52.1387,32129.397,439.0113,1071.2201,77.0352,0.1316,CL
26,1865.8307,1.3377,52.1622,33000.0,443.2619,482.3655,258.8141,0.443,CL
27,1918.9406,1.5134,52.1862,33798.995,448.0046,1004.3454,445.4774,0.7642,CL
28,1987.3132,1.7361,52.2162,35250.0,439.0054,603.0151,267.7387,0.4655,CL
29,2032.778,1.8813,52.2356,35975.0,435.9878,339.0655,355.3769,0.6207,CL
30,2079.2111,2.0303,52.2554,36530.2764,436.0,316.5829,442.0,0.7752,CL
31,2122.4827,2.1691,52.2734,37000.0,433.865,0.0,168.804,0.2964,CR
32,2167.0206,2.3129,52.2919,37000.0,434.01,0.0,428.9447,0.7526,CR
33,2207.8643,2.4419,52.3085,37000.0,434.0,0.0,438.0,0.772,CR
34,2251.8459,2.5826,52.3264,37000.0,436.8459,0.0,70.7538,0.1241,CR
35,2299.8754,2.7379,52.3458,37000.0,437.5241,0.0,108.3417,0.1911,CR
36,2338.6131,2.8646,52.3616,37000.0,437.0,0.0,440.0,0.776,CR
37,2386.8987,3.0191,52.381,37000.0,436.7672,0.0,26.5327,0.0468,CR
38,2434.3898,3.1616,52.4172,37000.0,423.1038,0.0,205.6281,0.3627,CR
39,2482.8046,3.2782,52.4764,37021.8593,410.1945,843.4455,386.4724,0.682,CL
40,2534.5081,3.3849,52.5498,37000.0,408.1946,0.0,317.6181,0.5605,CR
41,2593.4376,3.5049,52.6322,36975.0,406.5647,0.0,302.9146,0.5342,CR
42,2639.0462,3.5995,52.6969,37000.0,406.0472,0.0,399.799,0.7019,CR
43,2706.5025,3.7377,52.7911,37000.0,405.0,0.0,440.0,0.776,CR
44,2762.6276,3.8518,52.8683,37000.0,404.996,0.0,398.3819,0.7058,CR
45,2814.5923,3.9589,52.9406,37000.0,405.4205,0.0,139.9296,0.2469,CR
46,2861.633,4.0564,53.0061,37000.0,405.17,-247.9503,318.392,0.5615,DE
47,2909.0021,4.1555,53.0724,37000.0,405.0804,0.0,382.5126,0.6746,CR
48,2960.6451,4.2622,53.1434,37000.0,404.7363,0.0,0.0,0.0,CR
