,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4411,51.4776,0.0,90.0,0.0,0.0,0.0,LVL
1,91.8575,-0.5397,51.4767,3855.1508,159.8197,636.0918,0.0,0.1984,CL
2,159.9128,-0.6389,51.5068,4390.4523,247.9105,1710.9508,106.392,0.162,CL
3,283.8258,-0.5258,51.6344,9453.5176,317.2951,2815.6355,0.0,0.0,CL
4,345.9352,-0.4134,51.7021,10975.0,376.4428,0.0,273.1256,0.4287,LVL
5,443.0956,-0.1903,51.8014,13176.5075,387.5854,2878.9415,180.6834,0.2863,CL
6,557.4781,0.1208,51.8975,19671.3568,430.3463,2687.8782,75.2362,0.1214,CL
7,645.1831,0.3747,51.9733,23211.0553,460.0605,1290.0008,371.7889,0.6155,CL
8,752.766,0.7344,52.0544,27491.206,482.2141,2275.8584,258.6935,0.4327,CL
9,824.9459,0.9963,52.0946,30246.3568,501.1401,2858.951,131.7588,0.2246,CL
10,891.0302,1.2378,52.1307,32251.1307,522.0,1303.1523,472.0,0.8121,CL
11,969.6332,1.5404,52.175,34840.8291,521.6834,1089.9497,476.0,0.8347,CL
12,1033.3189,1.7858,52.2102,35465.4523,516.2209,1796.7745,181.7889,0.3147,CL
13,1103.7588,2.0492,52.2486,35997.9899,513.0,459.799,472.0,0.832,CL
14,1166.6534,2.2726,52.3082,36575.0,509.304,914.5532,103.4774,0.1831,CL
15,1230.0452,2.482,52.3805,36975.0,509.4685,0.0,245.6281,0.4348,CR
16,1300.0433,2.7191,52.4618,36975.0,511.9694,0.0,82.6633,0.1463,CR
17,1375.3769,2.9666,52.5463,37000.0,512.0,0.0,472.0,0.836,CR
18,1451.2814,3.2309,52.6339,36975.0,512.0,0.0,470.0,0.836,CR
19,1521.1859,3.4713,52.7121,37000.0,512.0,0.0,470.0,0.832,CR
20,1591.0905,3.7099,52.789,37000.0,513.0302,0.0,468.0,0.8319,CR
