,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4545,51.4685,0.0,0.0,0.0,0.0,0.0,GND
1,61.901,-0.4545,51.4679,0.0,0.0,0.0,0.0,0.0,GND
2,118.9749,-0.4544,51.4675,0.0,0.9749,0.0,0.0,0.0,GND
3,250.946,-0.4537,51.4675,0.0,0.0,0.0,0.0,0.0,GND
4,511.9656,-0.4538,51.4675,0.0,0.0,0.0,0.0,0.0,GND
5,616.0341,-0.4629,51.4666,0.0,6.7538,0.0,0.0,0.0,GND
6,678.3328,-0.4701,51.4666,0.0,1.4322,0.0,0.0,0.0,GND
7,719.2864,-0.4758,51.4666,0.0,8.8191,0.0,0.0,0.0,GND
8,759.6985,-0.4796,51.4665,0.0,3.201,0.0,0.0,0.0,GND
9,853.9897,-0.4813,51.4665,0.0,5.4171,0.0,0.0,0.0,GND
10,902.6534,-0.4865,51.4665,0.0,0.8794,0.0,0.0,0.0,GND
11,1022.6057,-0.4877,51.4659,0.0,1.9146,0.0,0.0,0.0,GND
12,1094.1129,-0.4858,51.4648,0.0,3.1658,0.0,0.0,0.0,GND
13,1172.0565,-0.408,51.4665,1350.2513,162.3659,1070.8799,61.9497,0.097,CL
14,1247.2683,-0.3182,51.5146,3495.603,244.2769,1330.8746,46.4322,0.0696,CL
15,1336.3116,-0.1506,51.5199,7256.1558,271.0,4272.4135,278.1307,0.4295,CL
16,1459.2533,0.113,51.5324,11304.8995,339.5603,780.9034,0.0,0.0,CL
17,1575.8593,0.3784,51.6169,16103.6432,353.2864,3041.9572,376.0,0.6,CL
18,1676.8317,0.5791,51.7246,19325.0,365.9938,678.392,88.191,0.1429,CL
19,1768.3144,0.7233,51.8604,21743.4673,390.7425,1516.3098,299.9095,0.4905,CL
20,1846.3698,0.8504,51.9806,23674.8744,403.909,1025.2279,312.9749,0.5211,CL
21,1906.0923,0.9478,52.0729,25050.0,411.0775,924.2231,323.8593,0.5408,CL
22,1957.4472,1.0384,52.1583,26061.1809,420.0,2429.2612,432.0,0.7077,CL
23,2058.6332,1.2169,52.3252,27835.5528,436.0,1534.0481,444.0,0.756,CL
24,2124.3085,1.335,52.4348,28817.4623,445.5764,317.0162,134.4724,0.2291,CL
25,2189.3036,1.4571,52.547,30354.6482,439.1251,170.7866,369.5879,0.635,CR
26,2260.0888,1.5864,52.6657,31416.8342,443.1269,588.0388,147.6382,0.2548,CL
27,2321.3216,1.7032,52.7718,32562.0603,440.0,5396.9849,452.0,0.784,CL
28,2380.3598,1.8111,52.8694,33607.4121,436.5191,1320.988,290.4121,0.5056,CL
29,2432.407,1.9093,52.9582,34403.392,435.0,1752.6766,442.0,0.7725,CL
30,2502.5847,2.0381,53.0734,35000.0,432.4902,0.0,276.6633,0.4835,CR
31,2554.6364,2.1336,53.1585,35000.0,435.6384,0.0,49.0854,0.0862,CR
32,2621.0843,2.2587,53.2696,35000.0,433.9761,0.0,178.4925,0.3136,CR
33,2690.2563,2.3903,53.3851,34975.0,432.0,0.0,443.8291,0.7797,CR
34,2752.8467,2.5074,53.4875,34975.0,430.9504,0.0,253.206,0.4445,CR
35,2811.8695,2.6173,53.5829,34975.0,431.5102,0.0,26.6533,0.0468,CR
36,2879.8161,2.7465,53.6944,35000.0,432.6416,0.0,0.0,0.0,CR
37,2933.0525,2.852,53.785,35025.0,433.0029,0.0,430.3116,0.7564,CR
38,2988.5717,2.9562,53.874,35050.0,430.9445,0.0,234.1307,0.4097,CR
39,3047.019,3.0707,53.9713,35025.0,428.0003,0.0,439.5377,0.7722,CR
40,3099.7736,3.1689,54.0544,35000.0,426.2434,0.0,223.1156,0.392,CR
41,3164.9909,3.2954,54.1607,34975.0,425.0026,0.0,433.3668,0.7604,CR
42,3219.6863,3.3989,54.247,34963.191,424.6569,-487.6412,232.1608,0.4073,DE
43,3278.9969,3.515,54.3435,35000.0,425.0157,0.0,424.2312,0.7448,CR
44,3333.4472,3.6219,54.4319,35000.0,426.0,0.0,442.0,0.776,CR
45,3379.4534,3.712,54.5018,35000.0,431.3021,0.0,28.8744,0.051,CR
46,3418.7049,3.8282,54.5476,35025.0,442.1307,0.0,255.4271,0.4508,CR
47,3480.848,4.0102,54.617,35000.0,442.0479,0.0,402.0201,0.7094,CR
48,3537.5736,4.178,54.6805,35025.0,443.2493,0.0,266.5327,0.4704,CR
49,3579.8844,4.3046,54.7281,35000.0,443.0,0.0,440.0,0.776,CR
50,3622.4269,4.4286,54.7744,35000.0,444.0251,0.0,276.3819,0.4874,CR
51,3682.7186,4.6115,54.8424,35000.0,445.0,0.0,444.0,0.784,CR
52,3751.8929,4.8148,54.9171,35050.0,441.2813,0.0,153.9497,0.2718,CR
53,3809.5612,4.9851,54.9795,35000.0,439.0137,-99.1801,0.0,0.0,CR
54,3866.6025,5.1557,55.0415,34975.0,435.6595,0.0,140.2211,0.2483,CR
55,3919.4271,5.3148,55.0991,34950.0,435.0,0.0,436.0,0.772,CR
56,3983.1954,5.5006,55.1656,35000.0,434.8146,0.0,0.0,0.0,CR
57,4052.8208,5.7087,55.2396,35025.0,432.6752,0.0,95.0754,0.1685,CR
58,4121.4761,5.9126,55.3115,35006.7839,430.9153,566.1128,119.9397,0.2117,CL
59,4190.233,6.1162,55.3825,35000.0,428.9289,0.0,106.1307,0.1872,CR
60,4269.0133,6.3495,55.4636,34975.0,427.6894,0.0,108.3417,0.1911,CR
61,4336.8283,6.5521,55.5329,35000.0,427.2701,0.0,117.7186,0.2077,CR
62,4387.2211,6.7037,55.5849,35000.0,427.0,0.0,440.0,0.776,CR
63,4444.499,6.8746,55.6427,35000.0,428.7165,0.0,314.593,0.5555,CR
