,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4389,51.4688,0.0,0.0,0.0,0.0,0.0,GND
1,76.9095,-0.4389,51.4688,0.0,0.0,0.0,0.0,0.0,GND
2,202.6382,-0.4389,51.4688,0.0,0.0,0.0,0.0,0.0,GND
3,350.7286,-0.4389,51.4688,0.0,0.0,0.0,0.0,0.0,GND
4,494.6382,-0.4389,51.4688,0.0,0.0,0.0,0.0,0.0,GND
5,566.4623,-0.4394,51.4688,0.0,3.0,0.0,0.0,0.0,GND
6,630.6231,-0.4405,51.4689,0.0,2.7085,0.0,0.0,0.0,GND
7,887.3467,-0.4405,51.4668,0.0,8.0,0.0,0.0,0.0,GND
8,972.2764,-0.436,51.4663,0.0,1.9447,0.0,0.0,0.0,GND
9,1411.9347,-0.4362,51.465,0.0,9.2513,0.0,0.0,0.0,GND
10,1514.2764,-0.4965,51.4644,1447.8643,130.3618,2269.3826,0.0,0.2287,CL
11,1582.0101,-0.5285,51.4371,3425.1256,174.2161,1006.8198,164.8141,0.2305,CL
12,1650.6633,-0.4688,51.3735,4522.8643,283.9146,1015.7035,260.3317,0.4047,CL
13,1717.6834,-0.3971,51.297,5620.603,290.0352,840.9548,268.0,0.4199,CL
14,1770.3467,-0.3372,51.2366,5775.0,290.0,0.0,267.3065,0.416,LVL
15,1841.9296,-0.1862,51.2162,8771.4824,311.1859,3203.5176,270.3417,0.4429,CL
16,1896.5528,-0.0587,51.2169,11133.2915,336.6633,1433.6683,313.7889,0.4925,CL
17,1960.4623,0.1123,51.2291,13460.4271,380.4925,2995.4774,355.9698,0.562,CL
18,2024.4975,0.2947,51.2409,15662.4372,401.8744,1594.2211,374.2513,0.6,CL
19,2093.0251,0.5067,51.2534,17250.6281,435.2563,1500.0,406.0,0.652,CL
20,2153.9146,0.7009,51.2658,19613.8191,443.0,2090.4523,413.4472,0.6683,CL
21,2204.1005,0.8665,51.2761,21202.5126,457.0402,1793.9698,424.0402,0.692,CL
22,2253.206,1.0352,51.287,22945.3518,460.598,4994.9749,427.196,0.7024,CL
23,2303.5678,1.2003,51.2762,25169.598,457.7839,876.0469,419.5678,0.696,CL
24,2373.4975,1.4379,51.2477,26837.4372,476.1658,1360.9715,432.0,0.7247,CL
25,2447.191,1.6928,51.2098,28377.3869,494.5477,919.598,449.0955,0.76,CL
26,2497.3668,1.8679,51.1763,29882.4121,491.0,1654.9414,446.0,0.7637,CL
27,2564.8693,2.1077,51.13,31113.9447,517.3116,1127.0639,467.7387,0.8035,CL
28,2628.1608,2.3362,51.0851,33361.6834,508.3065,1633.1658,471.2261,0.8212,CL
29,2702.2261,2.601,51.0326,34605.6533,511.0754,1037.6884,470.0,0.82,CL
30,2754.7437,2.7873,50.9952,34986.4322,503.8844,114.3216,463.598,0.8112,CL
31,2803.5176,2.9502,50.9622,35000.0,473.1608,-80.402,428.0,0.748,CR
32,2849.6633,3.1026,50.9313,35000.0,474.0,194.7236,426.0,0.744,CR
33,2916.4121,3.3247,50.8856,35000.0,473.397,0.0,426.0,0.744,CR
34,2977.8191,3.5272,50.8435,35000.0,479.0,0.0,429.9698,0.7519,CR
35,3044.1357,3.7464,50.7974,35000.0,477.6332,0.0,430.0,0.7535,CR
36,3123.7387,4.0094,50.7415,35000.0,479.0,0.0,426.0,0.744,CR
37,3175.8291,4.1812,50.7046,35000.0,480.0,0.0,426.2613,0.748,CR
38,3253.6131,4.4371,50.6487,35000.0,479.5126,0.0,426.0,0.748,CR
39,3314.6834,4.633,50.5939,35000.0,480.0,0.0,426.0,0.744,CR
40,3388.3819,4.8659,50.527,35000.0,480.0,0.0,426.0,0.7469,CR
41,3457.9749,5.0873,50.4627,35000.0,480.6583,0.0,424.0,0.744,CR
42,3519.2412,5.2807,50.4062,35000.0,477.9598,0.0,424.0,0.744,CR
43,3613.2663,5.5753,50.3191,35000.0,477.0,0.0,426.0,0.744,CR
44,3727.0603,5.9301,50.2127,35000.0,480.804,0.0,424.0,0.744,CR
45,3806.5578,6.1787,50.1372,35000.0,481.0,0.0,422.0,0.74,CR
46,3868.8392,6.3739,50.0775,35000.0,482.0,0.0,422.8643,0.74,CR
47,3933.2462,6.5748,50.0155,35000.0,481.0,0.0,422.0,0.74,CR
48,4060.3116,6.9715,49.8915,35000.0,484.6683,0.0,424.6633,0.7413,CR
49,4155.1407,7.2644,49.7986,35000.0,481.0,0.0,426.0,0.7451,CR
50,4217.191,7.4556,49.7375,34975.0,483.0,-193.8263,416.0,0.7444,CR
51,4295.4322,7.6954,49.6601,35000.0,479.0,0.0,424.0,0.74,CR
52,4348.8593,7.8574,49.6074,35000.0,479.8593,0.0,424.0,0.744,CR
53,4451.4121,8.1701,49.5046,35000.0,478.4824,0.0,422.0,0.74,CR
54,4520.8693,8.3811,49.4347,35000.0,479.0,0.0,424.0,0.744,CR
55,4613.0151,8.6562,49.3424,35000.0,477.995,0.0,422.0,0.736,CR
56,4666.3216,8.8174,49.288,35000.0,478.0,0.0,422.0,0.74,CR
57,4717.0754,8.9682,49.2367,35000.0,479.0,0.0,424.0,0.74,CR
58,4781.603,9.1639,49.1697,35000.0,480.0,0.0,424.0,0.74,CR
59,4830.0653,9.3081,49.1201,35000.0,480.0,0.0,424.0,0.744,CR
60,4894.402,9.5,49.0534,35000.0,476.0,0.0,422.0,0.736,CR
