,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4504,51.4683,0.0,0.0,0.0,0.0,0.0,GND
1,325.0673,-0.4505,51.4675,0.0,0.0,0.0,0.0,0.0,GND
2,392.31,-0.4443,51.4675,0.0,14.201,0.0,0.0,0.0,GND
3,443.3166,-0.4383,51.4677,0.0,15.0,0.0,0.0,0.0,GND
4,499.603,-0.4375,51.4726,0.0,8.4422,0.0,0.0,0.0,GND
5,554.1106,-0.4366,51.4745,0.0,1.5276,0.0,0.0,0.0,GND
6,653.5327,-0.4338,51.4773,0.0,15.6332,0.0,0.0,0.0,GND
7,725.4651,-0.4903,51.4772,1173.8693,159.7601,2576.4887,0.0,0.1862,CL
8,772.2507,-0.5469,51.4776,3100.0,170.4287,406.9105,27.1055,0.0405,CL
9,825.6985,-0.6214,51.5011,4608.6683,236.0503,3311.0194,239.8995,0.3638,CL
10,888.1625,-0.6483,51.5557,7687.4372,241.7158,3305.0438,13.4874,0.0206,CL
11,940.5766,-0.5861,51.6029,10016.0804,262.3395,1804.1677,218.191,0.3357,CL
12,1004.5327,-0.4802,51.6551,11838.3166,313.0653,1338.4928,302.1307,0.4712,CL
13,1046.3194,-0.3889,51.6868,12650.0,355.2742,1256.2814,219.8492,0.3417,CL
14,1109.7739,-0.2388,51.7391,15140.9548,365.4774,2400.0,363.9095,0.5718,CL
15,1193.4908,-0.0291,51.801,17591.5829,385.7499,1745.2501,222.6734,0.3521,CL
16,1246.0504,0.1199,51.8212,19464.3216,388.4794,2483.1053,120.8844,0.1919,CL
17,1297.5868,0.2669,51.8409,21134.5477,395.5776,1405.6887,82.0,0.131,CL
18,1366.8673,0.4709,51.8679,23544.9749,413.5769,2220.9771,374.191,0.6081,CL
19,1416.3723,0.6215,51.8876,25200.5025,421.8807,11.4164,2.1407,0.0035,CR
20,1457.3112,0.749,51.9041,26461.0553,428.9166,1585.0025,47.9799,0.0792,CL
21,1499.6482,0.8831,51.9214,27691.206,434.0,1464.2751,440.0,0.7289,CL
22,1549.0021,1.0409,51.9414,28899.1206,441.1666,986.5981,145.3668,0.2418,CL
23,1596.3836,1.194,51.9608,30350.0,438.1514,1075.8016,256.6432,0.4308,CL
24,1653.196,1.364,52.0058,32168.2161,432.4673,1457.9146,442.0,0.752,CL
25,1716.8291,1.5502,52.0612,33686.6834,432.3618,1116.8342,440.0,0.752,CL
26,1784.8303,1.746,52.1196,35487.1859,424.544,1297.6757,110.7136,0.1907,CL
27,1841.5477,1.9145,52.1578,36346.2312,423.0,543.7647,430.0,0.7474,CL
28,1910.9612,2.1356,52.1717,37000.0,430.9947,-6.0891,418.191,0.7294,CR
29,1958.2412,2.2893,52.1825,37000.0,427.9397,0.0,437.8794,0.76,CR
30,2004.9012,2.4359,52.1925,37000.0,428.3894,0.0,72.3015,0.1267,CR
31,2053.2416,2.5902,52.2028,37000.0,427.07,0.0,0.0,0.0,CR
32,2097.8709,2.7333,52.2121,37000.0,428.154,0.0,164.3216,0.2864,CR
33,2158.3417,2.9273,52.2245,37000.0,429.0,0.0,438.0,0.76,CR
34,2243.5364,3.2006,52.2414,37000.0,428.0113,0.0,256.3417,0.4468,CR
35,2318.2708,3.4393,52.2556,37000.0,428.9713,0.0,302.3518,0.527,CR
36,2376.196,3.6279,52.2665,37000.0,430.0,0.0,438.0,0.76,CR
37,2447.8796,3.8573,52.2794,37000.0,431.4911,0.0,41.8191,0.0726,CR
38,2499.0461,4.0259,52.2886,37000.0,432.0064,0.0,433.598,0.7524,CR
39,2542.0767,4.1641,52.2959,37000.0,432.0488,0.0,387.3769,0.6722,CR
40,2588.1504,4.3123,52.3035,37000.0,433.0665,0.0,341.1558,0.592,CR
41,2674.6533,4.5947,52.3176,37000.0,433.0,0.0,438.0,0.76,CR
42,2773.2864,4.9153,52.3327,37000.0,433.9103,0.0,189.2864,0.3284,CR
43,2884.1407,5.2787,52.3489,37000.0,435.0,0.0,438.0,0.76,CR
44,2969.4273,5.5569,52.3604,37000.0,434.5396,0.0,156.2714,0.2712,CR
45,3027.949,5.75,52.3681,37000.0,435.1803,0.0,327.9497,0.569,CR
46,3083.0678,5.929,52.3749,37000.0,435.6132,0.0,63.8291,0.1108,CR
47,3135.9438,6.104,52.3813,37000.0,435.0289,0.0,420.392,0.7294,CR
48,3181.0898,6.2527,52.3865,37000.0,435.0469,0.0,409.3869,0.7104,CR
49,3240.196,6.4452,52.393,37000.0,436.0,0.0,438.0,0.76,CR
50,3314.5926,6.6888,52.4007,37000.0,436.4318,0.0,121.0553,0.2101,CR
51,3383.0553,6.9157,52.4075,37000.0,438.0,0.0,438.0,0.76,CR
52,3465.4623,7.1885,52.4139,37000.0,438.0,0.0,438.0,0.76,CR
53,3536.9648,7.426,52.414,37000.0,439.0,0.0,438.0,0.76,CR
54,3600.3334,7.6356,52.414,37000.0,439.9676,0.0,305.9397,0.5309,CR
55,3653.8975,7.8139,52.4138,37000.0,439.9789,0.0,352.1608,0.6111,CR
56,3716.9514,8.0213,52.4132,37000.0,440.9912,0.0,0.0,0.0,CR
57,3786.0905,8.2536,52.4121,37000.0,442.0,0.0,438.0,0.76,CR
58,3852.7303,8.476,52.4107,37000.0,441.9843,0.0,385.1759,0.6683,CR
59,3912.9045,8.6779,52.409,37000.0,445.0,0.0,438.0,0.76,CR
60,3969.5773,8.8663,52.4071,37000.0,446.03,0.0,145.2663,0.2521,CR
61,4024.1399,9.0511,52.4049,37000.0,446.0196,0.0,246.5126,0.4277,CR
62,4100.6281,9.3092,52.4014,37000.0,447.0,0.0,438.0,0.76,CR
63,4160.365,9.51,52.3983,37000.0,447.3597,0.0,283.9296,0.4927,CR
64,4214.3748,9.6928,52.3952,37000.0,448.0055,0.0,330.1508,0.5729,CR
65,4279.2965,9.9129,52.3911,37000.0,450.0,0.0,438.0,0.76,CR
66,4375.8241,10.2412,52.3841,37000.0,451.0,0.0,438.0,0.76,CR
67,4468.4338,10.5554,52.3766,37000.0,453.2751,0.0,30.8141,0.0535,CR
68,4518.235,10.7253,52.3722,37000.0,453.2959,0.0,0.0,0.0,CR
69,4579.3737,10.9364,52.3664,37000.0,454.111,0.0,314.7437,0.5461,CR
70,4639.9347,11.1444,52.3603,37000.0,455.0,0.0,438.0,0.76,CR
71,4727.4472,11.4437,52.3509,37000.0,456.0,0.0,438.0,0.76,CR
72,4809.1859,11.7265,52.3413,37000.0,457.0,0.0,440.0,0.7624,CR
73,4896.407,12.0244,52.3305,37000.0,456.0,0.0,438.0,0.76,CR
74,4975.2969,12.2952,52.3199,37000.0,458.6384,0.0,83.6382,0.1451,CR
75,5022.695,12.4611,52.3132,37000.0,459.9904,0.0,402.4121,0.6951,CR
76,5068.0295,12.6171,52.3067,37000.0,462.0017,0.0,429.196,0.7447,CR
77,5112.373,12.7714,52.2999,37000.0,462.0107,0.0,382.9749,0.6645,CR
78,5160.9246,12.9404,52.2924,37000.0,463.0,0.0,438.0,0.76,CR
79,5226.8854,13.1681,52.2818,37000.0,465.2526,0.0,147.4673,0.2559,CR
80,5317.3266,13.4857,52.2663,37000.0,467.0,0.0,440.0,0.76,CR
81,5376.6432,13.6942,52.2556,37000.0,466.5477,0.0,438.0,0.76,CR
82,5452.6533,13.9602,52.2415,37000.0,469.0,0.0,438.0,0.76,CR
83,5503.3915,14.1387,52.2317,37000.0,470.9044,0.0,106.1307,0.1833,CR
84,5559.9364,14.3384,52.2203,37000.0,468.986,0.0,380.3015,0.6569,CR
85,5610.9531,14.5164,52.21,37000.0,468.0005,0.0,424.794,0.7371,CR
86,5652.5409,14.6616,52.2013,37000.0,468.2194,0.0,33.1658,0.0573,CR
87,5704.3168,14.8421,52.1903,37000.0,465.132,0.0,79.598,0.1375,CR
88,5776.4322,15.0942,52.1744,37000.0,466.0,0.0,439.4271,0.76,CR
89,5871.7839,15.4262,52.1527,37000.0,467.0,0.0,440.0,0.76,CR
90,5948.4874,15.6937,52.1345,37000.0,463.4975,0.0,438.0,0.76,CR
91,6009.7668,15.9053,52.1196,37000.0,466.9511,0.0,173.8794,0.3017,CR
92,6054.5427,16.0631,52.1083,37000.0,467.0,0.0,439.4171,0.76,CR
93,6093.6281,16.1989,52.0984,37000.0,465.0,0.0,438.3719,0.76,CR
94,6134.2692,16.3368,52.0881,37000.0,465.3502,0.0,35.2161,0.0611,CR
95,6173.4772,16.4718,52.0779,37000.0,463.1539,0.0,11.0553,0.0191,CR
96,6214.6821,16.6139,52.067,37000.0,462.4559,0.0,57.2261,0.0993,CR
97,6260.7085,16.7737,52.0545,37000.0,459.7638,0.0,438.0,0.76,CR
98,6319.392,16.9743,52.0386,37000.0,458.0,0.0,438.0,0.76,CR
99,6379.5779,17.179,52.0219,37000.0,460.1055,0.0,440.0,0.764,CR
100,6440.6583,17.3871,52.0047,37000.0,459.0,0.0,438.0,0.76,CR
101,6490.3501,17.554,51.9905,37000.0,460.2154,0.0,149.6683,0.2597,CR
102,6538.9225,17.7218,51.9761,37000.0,460.0773,0.0,334.5528,0.5805,CR
103,6578.7986,17.8553,51.9644,37000.0,461.3109,0.0,0.0,0.0,CR
104,6621.2053,17.9998,51.9515,37000.0,461.6455,0.0,0.0,0.0,CR
105,6668.6565,18.1628,51.9368,37000.0,463.8554,0.0,35.2161,0.0611,CR
106,6717.6695,18.3312,51.9214,37000.0,464.9523,0.0,81.4372,0.1413,CR
107,6761.9762,18.4833,51.9072,37000.0,465.1142,0.0,127.6583,0.2215,CR
108,6819.886,18.6824,51.8884,37000.0,467.2161,0.0,173.8794,0.3017,CR
109,6880.0151,18.8908,51.8683,37000.0,467.0,0.0,440.0,0.762,CR
110,6946.2376,19.1176,51.846,37000.0,468.2653,0.0,266.3216,0.4621,CR
111,7017.8731,19.3654,51.8211,37000.0,469.9965,0.0,125.4573,0.2177,CR
112,7075.901,19.5657,51.8006,37000.0,471.0567,0.0,358.7638,0.6225,CR
113,7126.6985,19.7443,51.7819,37000.0,470.0,0.0,438.0,0.76,CR
114,7177.7043,19.9175,51.7636,37000.0,469.5389,0.0,13.206,0.0229,CR
115,7217.6361,20.0552,51.7489,37000.0,469.6702,0.0,59.4271,0.1031,CR
116,7263.4824,20.2126,51.7317,37000.0,468.0,0.0,438.0,0.76,CR
117,7317.3817,20.3973,51.7114,37000.0,468.0115,0.0,151.1759,0.2635,CR
118,7374.6181,20.5942,51.6894,37000.0,467.0,0.0,436.0,0.76,CR
119,7437.3467,20.81,51.6649,37000.0,470.0,0.0,437.1156,0.76,CR
120,7509.6533,21.0597,51.636,37000.0,475.0,0.0,438.0,0.76,CR
121,7560.3393,21.2333,51.6155,37000.0,475.2065,0.0,101.2462,0.1757,CR
122,7622.995,21.4505,51.5896,37000.0,476.0,0.0,436.0,0.76,CR
123,7671.8995,21.6199,51.569,37000.0,477.9799,0.0,438.0,0.76,CR
124,7714.4044,21.7672,51.5509,37000.0,479.0003,0.0,400.5829,0.6951,CR
125,7757.1983,21.9167,51.5324,37000.0,480.083,0.0,83.6382,0.1451,CR
126,7801.6531,22.0721,51.5129,37000.0,481.2961,0.0,129.8593,0.2253,CR
127,7855.206,22.2582,51.4892,37000.0,479.0,0.0,438.0,0.76,CR
128,7905.5377,22.4325,51.4668,37000.0,477.0,0.0,436.9849,0.76,CR
129,7955.7009,22.6067,51.4441,37000.0,478.0484,0.0,267.2965,0.4659,CR
130,8014.8744,22.8127,51.4169,37000.0,480.0,0.0,438.0,0.76,CR
131,8068.5518,22.9982,51.3921,37000.0,480.4467,0.0,77.0352,0.1337,CR
132,8119.7186,23.1741,51.3682,37000.0,479.9296,0.0,438.0,0.76,CR
133,8170.9402,23.3524,51.3437,37000.0,480.0989,0.0,15.3367,0.0266,CR
134,8219.4221,23.5223,51.3201,37000.0,482.0,0.0,438.0,0.76,CR
135,8277.9756,23.7234,51.2917,37000.0,482.0604,0.0,107.8492,0.1871,CR
136,8325.4219,23.8882,51.2678,37000.0,482.1943,0.0,154.0704,0.2673,CR
137,8377.3719,24.0683,51.2414,37000.0,483.0,0.0,438.9146,0.764,CR
138,8430.3307,24.2508,51.2143,37000.0,481.9389,0.0,245.3869,0.4255,CR
139,8486.6734,24.4466,51.1849,37000.0,486.0,0.0,438.0,0.76,CR
140,8537.8693,24.6246,51.1579,37000.0,487.0,0.0,438.0,0.76,CR
141,8595.8144,24.8272,51.1268,37000.0,487.2281,0.0,386.9347,0.6719,CR
142,8639.9092,24.9777,51.1034,37000.0,486.251,0.0,6.603,0.0115,CR
143,8679.1307,25.1133,51.0821,37000.0,484.045,0.0,398.3819,0.6913,CR
144,8716.878,25.2431,51.0617,37000.0,483.1244,0.0,86.2312,0.1497,CR
145,8760.1894,25.391,51.0381,37000.0,479.1999,0.0,304.5427,0.5281,CR
146,8808.0352,25.5548,51.0118,37000.0,479.0,0.0,437.1859,0.76,CR
147,8857.0754,25.7214,50.9847,37000.0,481.0,0.0,438.0,0.76,CR
148,8909.8784,25.9012,50.9552,37000.0,481.396,0.0,166.5126,0.2903,CR
