,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4847,51.4739,0.0,9.0,0.0,0.0,0.0,GND
1,19.2513,-0.4847,51.4737,0.0,9.0,0.0,0.0,0.0,GND
2,32.9045,-0.4847,51.4735,0.0,9.0,0.0,0.0,0.0,GND
3,52.3568,-0.4847,51.4733,0.0,1.6985,0.0,0.0,0.0,GND
4,67.0101,-0.4848,51.4733,0.0,0.0,0.0,0.0,0.0,GND
5,92.5578,-0.4848,51.4733,0.0,0.0,0.0,0.0,0.0,GND
6,158.5377,-0.4848,51.4733,0.0,0.0,0.0,0.0,0.0,GND
7,193.8693,-0.4848,51.4733,0.0,0.0,0.0,0.0,0.0,GND
8,238.8141,-0.4847,51.4732,0.0,10.608,0.0,0.0,0.0,GND
9,259.6633,-0.4843,51.4729,0.0,16.3568,0.0,0.0,0.0,GND
10,296.0101,-0.4836,51.4719,0.0,23.5025,0.0,0.0,0.0,GND
11,306.7638,-0.4836,51.4714,0.0,25.0,0.0,0.0,0.0,GND
12,316.6181,-0.4836,51.471,0.0,25.603,0.0,0.0,0.0,GND
13,327.5729,-0.4836,51.4704,0.0,26.6533,0.0,0.0,0.0,GND
14,345.3317,-0.4836,51.4695,0.0,27.0,0.0,0.0,0.0,GND
15,433.1005,-0.4836,51.4678,0.0,20.7387,0.0,0.0,0.0,GND
16,464.2161,-0.4841,51.4674,0.0,21.0,0.0,0.0,0.0,GND
17,497.5628,-0.4864,51.4674,0.0,13.4372,0.0,0.0,0.0,GND
18,519.804,-0.4865,51.4674,0.0,1.2412,0.0,0.0,0.0,GND
19,810.3065,-0.4876,51.465,0.0,15.4975,0.0,0.0,0.0,GND
20,864.0603,-0.4763,51.4648,0.0,100.1759,0.0,0.0,0.0,LVL
21,882.2764,-0.4588,51.4648,0.0,143.0,0.0,0.0,0.0,LVL
22,893.5276,-0.4475,51.4649,2.6382,145.1055,31.6583,0.0,0.0,LVL
23,905.1809,-0.4346,51.465,301.2563,147.2211,2206.8198,0.0,0.0374,CL
24,924.0302,-0.4147,51.4657,995.603,148.4422,1239.6985,158.8844,0.2408,CL
25,934.2814,-0.4044,51.4693,1200.6281,159.794,1200.0,160.6131,0.2502,CL
26,943.8392,-0.3949,51.4744,1405.6533,172.4523,1346.7337,176.0,0.268,CL
27,954.4271,-0.3842,51.4801,1669.598,186.4271,1826.7588,176.0,0.292,CL
28,964.0352,-0.3731,51.4859,1986.0553,198.4422,1977.8894,210.4422,0.3209,CL
29,974.8291,-0.3612,51.4922,2330.0251,210.7437,2150.1256,225.4874,0.336,CL
30,985.0302,-0.3487,51.499,2713.8191,222.5377,2317.2111,240.0302,0.3721,CL
31,998.3467,-0.3325,51.5076,3080.7789,244.5779,1304.0201,256.2312,0.3965,CL
32,1011.8643,-0.3119,51.5177,3386.809,248.1759,1516.0176,260.7839,0.4024,CL
33,1020.9749,-0.2981,51.5225,3640.8291,248.6583,1829.1457,257.3668,0.3947,CL
34,1031.6683,-0.2797,51.5281,4097.9899,256.5427,2625.0,269.9196,0.4142,CL
35,1045.5528,-0.2634,51.5389,5004.397,257.2412,4672.649,274.0,0.423,CL
36,1053.4271,-0.2551,51.5493,5792.7136,248.3819,6071.608,266.7638,0.416,CL
37,1063.0151,-0.2483,51.5586,6372.2362,249.7186,3324.8385,265.407,0.408,CL
38,1074.1859,-0.2393,51.5705,7027.5126,255.5477,3522.6131,273.4573,0.412,CL
39,1080.8794,-0.2335,51.5781,7441.9598,258.9196,3979.8995,274.0804,0.424,CL
40,1092.0201,-0.2255,51.5885,8026.7588,261.0101,2428.6432,277.9598,0.4359,CL
41,1097.3015,-0.2203,51.5954,8446.1055,262.0603,4481.9095,284.0,0.4362,CL
42,1105.6633,-0.2127,51.6057,9013.6935,264.0,3944.7236,288.2211,0.4409,CL
43,1115.6432,-0.2055,51.6155,9557.1608,264.0,3000.0,290.0,0.448,CL
44,1122.8442,-0.2003,51.6226,9948.8693,265.2111,3474.8744,290.0,0.448,CL
45,1132.3518,-0.1917,51.6343,10453.392,270.6131,2184.6734,296.6131,0.4551,CL
46,1142.804,-0.1824,51.6468,10779.5226,282.804,2428.8107,299.6382,0.464,CL
47,1150.7236,-0.1744,51.657,10984.0452,294.4472,3143.2161,316.3417,0.4923,CL
