,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.486,51.4727,0.0,0.0,0.0,0.0,0.0,GND
1,67.2261,-0.4855,51.4727,0.0,2.0,0.0,0.0,0.0,GND
2,88.4523,-0.4851,51.4727,0.0,2.0,0.0,0.0,0.0,GND
3,110.6784,-0.4848,51.4727,0.0,2.0,0.0,0.0,0.0,GND
4,130.9262,-0.4847,51.4727,0.0,0.9045,0.0,0.0,0.0,GND
5,147.1307,-0.4847,51.4728,0.0,1.0,0.0,0.0,0.0,GND
6,161.3568,-0.4847,51.4728,0.0,0.0,0.0,0.0,0.0,GND
7,205.9146,-0.4847,51.4728,0.0,0.0,0.0,0.0,0.0,GND
8,296.0905,-0.4847,51.4728,0.0,0.0,0.0,0.0,0.0,GND
9,361.0352,-0.4847,51.4731,0.0,4.0352,0.0,0.0,0.0,GND
10,377.2613,-0.4847,51.4736,0.0,8.0,0.0,0.0,0.0,GND
11,397.4874,-0.4848,51.4745,0.0,11.4874,0.0,0.0,0.0,GND
12,419.4271,-0.4848,51.4753,0.0,5.0,0.0,0.0,0.0,GND
13,435.9397,-0.4843,51.4758,0.0,9.0,0.0,0.0,0.0,GND
14,456.1658,-0.4827,51.4758,0.0,13.0,0.0,0.0,0.0,GND
15,473.392,-0.4807,51.4758,0.0,15.0,0.0,0.0,0.0,GND
16,501.6181,-0.4769,51.4758,0.0,20.0,0.0,0.0,0.0,GND
17,538.8442,-0.4719,51.4758,0.0,18.0,0.0,0.0,0.0,GND
18,561.0704,-0.4686,51.4759,0.0,15.0,0.0,0.0,0.0,GND
19,580.2965,-0.4664,51.4759,0.0,15.0,0.0,0.0,0.0,GND
20,607.0452,-0.4628,51.476,0.0,20.5226,0.0,0.0,0.0,GND
21,652.2462,-0.4544,51.476,0.0,24.7487,0.0,0.0,0.0,GND
22,681.9749,-0.4488,51.476,0.0,23.0,0.0,0.0,0.0,GND
23,730.402,-0.4422,51.4759,0.0,13.0,0.0,0.0,0.0,GND
24,776.1166,-0.4375,51.476,0.0,0.0,0.0,0.0,0.0,GND
25,816.6533,-0.4342,51.4767,0.0,11.0,0.0,0.0,0.0,GND
26,873.9963,-0.4399,51.4777,0.0,61.5578,0.0,0.0,0.0,GND
27,929.0375,-0.4935,51.4778,2390.8291,141.7053,1249.703,0.0,0.0308,CL
28,971.4378,-0.549,51.4785,3900.0,196.996,1754.397,163.0754,0.2486,CL
29,1004.6734,-0.5997,51.4936,4755.7789,223.4422,1778.8945,266.8844,0.4142,CL
30,1039.8699,-0.6476,51.5133,5589.196,240.7238,4205.0984,213.2261,0.3292,CL
31,1080.0302,-0.6618,51.5606,6275.5025,289.0503,1000.0,272.0,0.424,CL
32,1112.7085,-0.6085,51.5912,6705.9045,317.7638,118.0905,273.5276,0.4271,CL
33,1154.3869,-0.5221,51.6204,6725.0,317.4623,0.0,276.0,0.4298,LVL
34,1193.6884,-0.436,51.6494,6725.0,349.0,0.0,304.0,0.472,LVL
35,1238.7437,-0.3405,51.687,6725.0,358.0,0.0,309.6583,0.484,LVL
36,1273.5628,-0.2574,51.7197,6725.0,373.1407,0.0,328.5628,0.5131,CL
37,1312.1005,-0.161,51.7426,7395.8543,372.0,2341.7085,334.0,0.52,CL
38,1351.7789,-0.0542,51.7495,9603.7688,381.1859,4622.8846,347.1859,0.5447,CL
39,1393.066,0.0609,51.7709,12041.206,390.0146,1368.9226,0.0,0.0,CL
40,1426.1809,0.157,51.792,13584.0452,405.0452,4432.1608,367.8191,0.5798,CL
41,1463.0854,0.2641,51.8156,15067.8392,425.0,2657.0352,372.0,0.572,CL
42,1500.998,0.376,51.8401,16986.6834,429.7258,2115.0993,191.0352,0.3065,CL
43,1540.4472,0.4978,51.8665,18872.3618,436.0,2689.0704,389.4472,0.6309,CL
44,1577.7752,0.6109,51.8908,20146.2312,450.8347,1588.2802,19.8995,0.0326,CL
45,1614.5276,0.7315,51.9166,21717.5879,455.1759,2000.0,404.0,0.664,CL
46,1653.402,0.8611,51.9443,23030.1508,468.0,2706.0302,411.5879,0.6808,CL
47,1695.8844,0.9986,51.9735,24247.1106,482.6281,1500.0,419.2563,0.7,CL
48,1738.8155,1.1498,52.0054,25417.7136,493.6078,2150.4025,363.9196,0.6117,CL
49,1782.3216,1.3016,52.0372,26789.0704,499.9196,1590.4523,440.0,0.7366,CL
50,1823.5534,1.4452,52.0669,28205.6533,496.4036,-256.3899,136.1005,0.2317,CR
51,1862.598,1.588,52.0964,28914.9497,507.4673,1266.3317,452.0,0.7741,CL
52,1894.0352,1.7021,52.1197,30138.8191,498.0,2430.9045,456.0,0.783,CL
53,1923.9698,1.8078,52.1412,31373.8693,486.0151,2252.4475,450.0,0.776,CL
54,1954.2374,1.9133,52.1626,31819.7236,492.3178,310.3015,356.603,0.6122,CL
55,1991.8744,2.0466,52.1894,32475.0,498.4372,211.0553,448.8744,0.78,CL
56,2022.4765,2.1559,52.2113,33033.1658,501.1401,1279.7104,299.8191,0.52,CL
57,2048.1118,2.2436,52.2288,33500.0,499.4157,0.0,49.3065,0.0853,CL
58,2086.582,2.382,52.2562,34473.1156,497.1397,2165.524,52.2412,0.0906,CL
59,2137.3668,2.5649,52.2922,35767.0854,486.0,1089.679,445.3166,0.7774,CL
60,2173.5809,2.6811,52.3252,36050.0,490.1192,134.7135,192.7437,0.3405,CR
61,2230.7638,2.8558,52.4006,36944.8492,485.206,404.5226,446.0,0.7832,CL
62,2296.1809,3.0505,52.4856,36621.9849,486.9799,-1098.9681,447.9196,0.7839,DE
63,2368.4623,3.2674,52.5793,35538.0653,481.0151,-909.8318,444.0,0.78,DE
64,2444.1516,3.4859,52.6732,35000.0,472.6098,0.0,228.995,0.4031,CR
65,2483.191,3.6026,52.7232,35000.0,473.3015,0.0,435.206,0.7664,CR
66,2559.9246,3.8305,52.8197,35000.0,469.0,0.0,440.1508,0.776,CR
67,2628.8654,4.026,52.9017,35025.0,460.4644,0.0,65.7286,0.1158,CR
68,2688.2102,4.1992,52.9742,34975.0,454.3143,0.0,270.4322,0.4761,CR
69,2739.4121,4.3468,53.0355,34950.0,452.0,0.0,430.794,0.76,CR
70,2796.1727,4.5086,53.1022,34995.7286,454.6713,116.2897,361.5075,0.6401,CR
71,2889.1658,4.7783,53.2126,35000.0,455.0,0.0,436.1106,0.772,CR
72,2950.5628,4.9547,53.284,35025.0,455.0,0.0,438.0,0.772,CR
73,3030.5075,5.1893,53.3783,35000.0,456.0,0.0,435.0151,0.766,CR
74,3092.201,5.3688,53.4499,35000.0,455.0,0.0,436.0,0.772,CR
75,3122.7401,5.4555,53.4843,35000.0,456.3571,0.0,17.5276,0.0309,CR
76,3188.1156,5.6513,53.5616,35000.0,454.0,0.0,437.2563,0.7713,CR
77,3266.7677,5.8788,53.6505,35000.0,452.8564,0.0,0.0,0.0,CR
78,3314.381,6.0204,53.7055,34975.0,452.4063,0.0,157.7487,0.2764,CR
79,3380.4054,6.2149,53.7806,34975.0,453.7713,0.0,59.1558,0.1037,CR
80,3510.8703,6.6036,53.9288,35000.0,455.7389,0.0,39.4372,0.0695,CR
81,3619.1748,6.9327,54.0523,35025.0,455.3648,0.0,297.9698,0.5249,CR
82,3684.3364,7.1267,54.1245,35000.0,454.2141,0.0,199.3769,0.3512,CR
83,3788.1349,7.4395,54.2395,35000.0,452.6367,0.0,0.0,0.0,CR
84,3854.2446,7.6396,54.3124,35025.0,450.8745,0.0,2.2111,0.0039,CR
85,3932.6425,7.8785,54.3987,35025.0,446.0585,0.0,339.598,0.6013,CR
86,4067.7474,8.2647,54.5527,34975.0,436.0869,0.0,193.206,0.3417,CR
87,4155.2464,8.493,54.6686,34950.0,436.2538,0.0,141.1055,0.2495,CR
88,4213.4199,8.6443,54.7448,35000.0,438.5742,0.0,0.0,0.0,CR
89,4268.8063,8.7908,54.8184,35025.0,439.5359,0.0,0.0,0.0,CR
90,4331.3421,8.9571,54.9014,35041.206,439.2213,-109.1063,0.0,0.0,CR
91,4393.0347,9.1214,54.9826,35000.0,437.7538,-92.8396,0.0,0.0,CR
92,4432.9663,9.2297,55.0359,35000.0,438.0264,0.0,348.9447,0.6175,CR
93,4484.1283,9.3653,55.1023,34975.0,439.0133,0.0,13.0251,0.023,CR
94,4566.7688,9.5909,55.2119,35000.0,440.0,0.0,434.0,0.768,CR
95,4667.749,9.8655,55.3441,35000.0,442.5289,0.0,209.3668,0.3705,CR
96,4734.4224,10.0507,55.4323,35000.0,443.8916,0.0,307.5075,0.5442,CR
97,4776.3517,10.164,55.4859,35000.0,445.1552,0.0,28.2211,0.0499,CR
98,4850.4913,10.3736,55.5846,35025.0,448.1096,0.0,364.2111,0.6479,CR
99,4895.8805,10.5014,55.6442,35050.0,448.1485,0.0,168.7035,0.2987,CR
100,4955.8968,10.6701,55.7225,35025.0,445.2365,0.0,168.7035,0.2987,CR
101,4997.3281,10.7857,55.776,35000.0,443.8722,0.0,69.4673,0.1229,CR
102,5050.6135,10.9395,55.8468,34973.3668,444.0618,-10.4345,401.9095,0.7104,CR
103,5103.956,11.0904,55.9156,34950.0,446.3333,0.0,304.6734,0.5385,CR
104,5147.5176,11.2145,55.9719,34975.0,450.0,0.0,432.0,0.764,CR
105,5187.7186,11.332,56.0248,35000.0,453.0,0.0,434.0,0.768,CR
106,5213.9698,11.4085,56.0592,35025.0,455.0,0.0,434.0,0.768,CR
107,5268.196,11.5694,56.1311,35050.0,456.0,603.0151,436.0,0.772,CL
108,5298.4221,11.657,56.1701,35050.0,456.0,0.0,434.0,0.768,CR
109,5338.4417,11.7749,56.2224,35025.0,456.9337,0.0,280.0402,0.4978,CR
110,5361.8403,11.842,56.252,35000.0,457.6037,0.0,54.5226,0.0965,CL
111,5399.5253,11.9535,56.3012,35022.4874,457.0312,1170.8155,0.0,0.0,CL
112,5434.5047,12.0579,56.3468,35000.0,457.0312,0.0,0.0,0.0,CR
113,5461.6583,12.1444,56.3847,35000.0,457.0,0.0,432.0,0.764,CR
114,5501.2763,12.2602,56.4349,34975.0,457.883,0.0,334.9246,0.5951,CR
115,5532.023,12.3501,56.4738,34975.1256,457.9106,2.5193,2.1709,0.0038,CR
116,5561.9496,12.4403,56.5126,34975.0,458.7891,0.0,0.0,0.0,CR
117,5609.6211,12.5843,56.5745,34975.0,458.1299,0.0,0.0,0.0,CR
118,5653.4171,12.7231,56.6336,34982.9146,461.0,-205.0251,430.0,0.764,CR
119,5685.723,12.8216,56.6754,35000.0,461.9878,0.0,394.7437,0.6985,CR
120,5722.1357,12.9328,56.7225,35025.0,462.0,0.0,432.0,0.768,CR
121,5743.5058,12.9968,56.7495,35025.0,462.0307,0.0,276.9749,0.4901,CR
122,5778.3848,13.1021,56.7934,35025.0,463.623,0.0,0.0,0.0,DE
123,5810.0941,13.2013,56.8349,35004.6482,463.1495,-908.5606,80.3216,0.1421,DE
124,5850.5152,13.3258,56.8867,35000.0,462.5033,0.0,17.3668,0.0309,CR
125,5900.9076,13.484,56.952,35000.0,461.9011,0.0,115.0553,0.2045,CR
126,5956.2924,13.6577,57.0234,35012.6884,460.3891,104.9153,212.7437,0.3782,CR
127,5987.9274,13.7552,57.0632,35000.0,459.9684,0.0,308.995,0.549,CR
128,6020.9922,13.8607,57.1061,34975.0,460.0059,0.0,408.1206,0.7218,CR
129,6060.3417,13.9835,57.1558,34979.2714,459.0,-274.8789,430.0,0.764,CR
130,6088.4675,14.0698,57.1905,35000.0,459.2703,0.0,170.7035,0.3033,CR
131,6120.711,14.1699,57.2306,34975.0,459.4162,0.0,162.0603,0.2879,CR
132,6184.8492,14.3764,57.3131,35000.0,460.0,0.0,430.0,0.764,CR
133,6224.2261,14.5019,57.3627,35000.0,460.0,0.0,430.0,0.764,CR
134,6272.8037,14.6516,57.4217,35000.0,460.075,0.0,129.0452,0.2291,CR
135,6316.5829,14.794,57.4774,35000.0,461.0,0.0,431.0553,0.764,CR
136,6362.3056,14.9395,57.534,35000.0,460.1347,0.0,324.1206,0.5729,CR
137,6403.4423,15.0688,57.584,35000.0,461.4258,0.0,0.0,0.0,CR
138,6441.7774,15.195,57.6326,34975.0,463.1284,0.0,339.8191,0.6034,CR
139,6494.4252,15.3664,57.6981,35000.0,467.1549,0.0,244.1709,0.4338,CR
140,6539.6583,15.518,57.7555,35025.0,469.0,0.0,432.0,0.768,CR
141,6566.7002,15.6081,57.7896,35025.0,470.0502,0.0,383.8392,0.6792,CR
142,6602.4361,15.7246,57.8335,35050.0,470.0238,0.0,386.0201,0.6867,CR
143,6652.2073,15.8894,57.8954,35041.5829,466.8987,-140.8324,286.5528,0.5094,CR
144,6687.914,15.9992,57.9446,35025.0,458.2489,0.0,243.1357,0.4322,CR
145,6725.6532,16.1091,57.9973,34950.0,457.7181,-158.2915,91.1759,0.1612,CR
146,6780.0452,16.2699,58.0742,34099.2462,462.0,-859.2965,432.0,0.764,DE
147,6836.4448,16.4347,58.1587,33175.0,449.0292,-569.0955,327.799,0.5767,DE
148,6909.8997,16.5986,58.2805,31989.9497,454.1748,-995.7203,0.0,0.0,DE
149,6959.9989,16.7169,58.3683,31097.9899,458.2419,-1291.8379,300.9648,0.5215,DE
150,7005.5004,16.8212,58.4452,30377.0101,454.3628,-624.2567,34.8945,0.0595,DE
151,7066.5055,16.963,58.5495,29342.7136,445.0242,-766.73,358.794,0.6185,DE
152,7116.457,17.0757,58.6314,28522.1106,442.2025,-948.6773,0.0,0.0,DE
153,7168.1798,17.1931,58.7164,26985.3015,436.1164,-1717.3096,0.0,0.0,DE
154,7226.618,17.3238,58.8106,24814.5729,425.0528,-1489.0237,0.0,0.0,DE
155,7284.3531,17.4518,58.9023,22041.206,422.2986,821.0051,20.201,0.0338,CL
156,7362.9181,17.6103,59.0314,17885.1759,420.2854,-3123.5012,108.8945,0.178,DE
157,7436.2688,17.7509,59.1516,14436.6834,408.6066,-2621.0914,193.9698,0.3136,DE
158,7493.5189,17.8569,59.2418,12345.3518,384.1284,-2041.9365,257.9397,0.411,DE
159,7547.5609,17.9496,59.3203,10282.9146,374.8734,-2188.0347,0.0,0.0,DE
160,7599.6745,18.0394,59.3959,8640.9548,358.7362,-1011.0249,0.0,0.0,DE
161,7649.198,18.0888,59.4712,7419.4724,338.0621,-827.2686,124.5528,0.1905,DE
162,7714.7352,18.138,59.5642,6246.7337,304.2101,-209.6526,169.6884,0.2659,LVL
163,7777.844,18.1869,59.6482,4875.0,289.4863,-71.6535,230.2915,0.3368,LVL
164,7812.2846,18.2118,59.6887,4595.7286,269.2966,-86.3191,19.6482,0.0304,LVL
165,7843.725,18.2318,59.7261,4317.2111,262.8484,-252.3416,69.7889,0.1097,LVL
166,7877.5377,18.2321,59.768,4061.5578,261.0,-806.5327,244.3417,0.352,DE
167,7910.318,18.2243,59.8051,3880.9045,253.4311,-263.7497,52.9045,0.0803,DE
168,7940.9899,18.1761,59.823,3700.0,188.0,-15.0754,206.0,0.292,LVL
169,7975.2161,18.1216,59.828,3550.0,173.0,-293.9698,186.0,0.288,LVL
170,8005.7646,18.0752,59.8259,3400.0,159.1418,-149.997,82.2513,0.1274,DE
171,8034.5181,18.0409,59.8149,3258.2915,155.2607,-689.9604,124.3116,0.1925,DE
172,8060.0126,18.0167,59.8031,3150.0,146.8773,-79.1457,19.6281,0.0304,LVL
173,8089.3618,18.0078,59.7833,3071.9849,143.0,-60.3015,186.0,0.288,LVL
174,8116.7531,18.0014,59.7658,2775.0,142.1327,-685.4841,121.5075,0.1855,DE
175,8141.0833,17.9958,59.7504,2435.6784,143.1499,-959.1034,79.4472,0.1213,DE
176,8161.8744,17.9908,59.7366,2155.0251,136.6647,-1917.5879,148.6131,0.2141,DE
177,8183.0285,17.9864,59.7248,1875.0,107.1161,-1462.3116,181.3266,0.2145,DE
178,8200.2513,17.9836,59.7167,1725.0,104.0,-398.8195,186.0,0.216,DE
179,8216.9548,17.9806,59.7085,1563.0653,105.9548,-358.0402,186.0,0.2179,DE
180,8236.3955,17.9774,59.6996,1364.8241,106.6112,-527.6382,130.8543,0.152,DE
181,8258.9296,17.9732,59.688,1126.7588,108.0704,-1429.6482,186.0,0.212,DE
182,8294.0414,17.9667,59.6702,753.8945,114.9871,34.2312,157.0251,0.1722,CL
183,8326.1344,17.9605,59.6532,409.5477,120.9426,1009.365,114.9648,0.1286,CL
184,8398.0385,17.9514,59.633,0.0,9.7286,0.0,113.0955,0.1167,GND
185,8450.4559,17.9495,59.6342,0.0,13.3467,0.0,155.1558,0.1602,GND
186,8524.9158,17.9521,59.6413,0.0,0.0,0.0,0.0,0.0,GND
187,8601.4703,17.9548,59.6489,0.0,0.0,0.0,0.0,0.0,GND
188,8625.5126,17.9549,59.6509,0.0,15.0,0.0,186.0,0.192,GND
189,8651.5325,17.954,59.6526,0.0,11.0804,0.0,137.397,0.1418,GND
190,8712.4448,17.9518,59.6568,0.0,0.3869,0.0,6.5427,0.0068,GND
191,8731.191,17.9508,59.6575,0.0,11.0,0.0,186.0,0.192,GND
192,8750.4171,17.9485,59.6573,0.0,15.0,0.0,186.0,0.192,GND
193,8766.9296,17.946,59.657,0.0,18.0,0.0,186.0,0.192,GND
194,8782.6778,17.9436,59.6567,0.0,2.0905,0.0,24.3015,0.0251,GND
195,8800.1027,17.9412,59.6564,0.0,1.4322,0.0,17.7588,0.0183,GND
196,8827.2721,17.9392,59.6561,0.0,2.2513,0.0,59.8191,0.0617,GND
197,8848.191,17.9388,59.6554,0.0,9.5477,0.0,186.0,0.192,GND
198,8909.4155,17.9397,59.6536,0.0,0.0,0.0,0.0,0.0,GND
199,9008.461,17.9382,59.6531,0.0,0.0,0.0,0.0,0.0,NA
