,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4412,51.4667,0.0,18.0,0.0,186.0,0.208,GND
1,358.0553,-0.4325,51.476,0.0,14.7889,0.0,186.0,0.208,GND
2,551.9095,-0.4329,51.4768,0.0,18.2663,0.0,186.0,0.208,GND
3,651.8995,-0.4836,51.4774,1163.3166,152.7337,2917.0854,186.0,0.26,CL
4,678.7538,-0.5138,51.4773,2001.6332,168.4422,1183.4171,186.0,0.2855,CL
5,721.1106,-0.5746,51.4704,2806.9095,236.2764,1421.9311,166.0,0.3615,CL
6,745.5327,-0.6178,51.4599,3958.2915,263.0653,2899.6117,166.0,0.408,CL
7,768.4322,-0.644,51.434,5320.4774,283.4774,4653.2663,166.0,0.4179,CL
8,789.1307,-0.6531,51.4074,6362.6884,280.3116,2155.7789,166.0,0.4185,CL
9,833.4975,-0.6694,51.3496,8274.8744,298.0,2975.8794,166.0,0.4404,CL
10,860.5528,-0.6777,51.3167,9533.1658,294.1055,1732.1608,166.0,0.5796,CL
11,896.608,-0.6534,51.2616,10699.1206,340.6432,1307.0352,293.7186,0.4946,CL
12,927.6633,-0.6168,51.216,11191.5829,377.402,1219.598,316.0,0.5483,CL
13,962.4623,-0.5719,51.1602,12492.9648,397.2312,1698.4925,353.4874,0.571,CL
14,987.7739,-0.5361,51.1163,13639.8241,401.9095,2700.0,358.0,0.58,CL
15,1018.8291,-0.4955,51.0661,14812.3116,403.3266,1949.2462,364.0,0.5967,CL
16,1044.8844,-0.4645,51.0205,15890.9548,407.3618,1913.0653,364.0,0.604,CL
17,1070.9397,-0.4405,50.971,16777.8894,417.5879,1976.3819,364.0,0.62,CL
18,1109.9849,-0.4068,50.9009,18184.2965,422.196,2605.6951,364.0,0.6344,CL
19,1147.3015,-0.3749,50.8345,19358.5427,421.1608,908.0402,372.0,0.6442,CL
20,1198.1055,-0.3256,50.7315,20833.1658,434.2211,1800.0,372.0,0.668,CL
21,1229.1608,-0.2967,50.671,21754.0201,437.4322,1500.0,372.0,0.6783,CL
22,1260.2161,-0.2675,50.6095,22505.402,452.6432,1392.9648,372.0,0.6866,CL
23,1286.2714,-0.2437,50.5595,23135.4271,456.0,1287.4372,372.0,0.696,CL
24,1312.3266,-0.2196,50.5085,23628.2663,455.1307,319.598,372.0,0.7,CL
25,1338.3819,-0.192,50.4497,24070.7286,471.3417,900.0,372.0,0.704,CL
26,1369.4372,-0.1614,50.3848,24399.3719,487.0,753.7688,424.0,0.716,CL
27,1395.4925,-0.134,50.3265,24894.8492,486.6985,1109.5477,426.0,0.72,CL
28,1421.5477,-0.1085,50.2704,25295.4774,501.8191,627.1357,428.0,0.724,CL
