,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-0.4834,51.4749,0.0,28.0,0.0,196.0,0.196,GND
1,78.3869,-0.4749,51.4749,0.0,29.7789,0.0,196.0,0.196,GND
2,94.6633,-0.4737,51.4749,0.0,20.4472,0.0,196.0,0.196,GND
3,144.6482,-0.4727,51.4749,0.0,16.8291,0.0,196.0,0.196,GND
4,350.402,-0.4693,51.475,0.0,27.4623,0.0,196.0,0.196,GND
5,583.6482,-0.4484,51.4761,0.0,13.5779,0.0,196.0,0.196,GND
6,693.6231,-0.4646,51.4776,8.2915,104.593,19.1341,196.0,0.196,CL
7,714.1608,-0.4841,51.4774,208.0402,133.6131,3459.799,196.0,0.2215,CL
8,723.7688,-0.4938,51.4773,705.2764,129.4422,2781.407,196.0,0.22,CL
9,733.9849,-0.5014,51.4772,974.4975,134.9849,1597.9899,196.0,0.228,CL
10,741.6583,-0.5093,51.4771,1205.2764,144.2111,1776.3819,196.0,0.2378,CL
11,753.0402,-0.5231,51.477,1585.804,159.0402,1653.5535,174.1106,0.2511,CL
12,762.3266,-0.5337,51.4764,1849.7487,172.6533,2081.6583,161.3266,0.2707,CL
13,770.593,-0.5452,51.4748,2100.7538,186.4673,1931.1558,162.0,0.2897,CL
14,776.5477,-0.5549,51.4732,2352.3869,197.3216,2886.9347,162.0,0.296,CL
15,786.3166,-0.5685,51.4709,2749.3719,210.804,2292.7136,162.0,0.3233,CL
16,796.3065,-0.5823,51.4685,3165.3266,221.9598,2869.9749,162.0,0.3426,CL
17,800.8191,-0.593,51.4668,3417.4623,232.6382,2711.0553,162.0,0.3715,CL
18,808.9849,-0.6083,51.4633,3624.6231,255.9648,1500.0,162.0,0.3959,CL
19,820.201,-0.6232,51.4567,3807.5377,269.3015,1130.6533,162.0,0.4044,CL
20,832.3166,-0.6365,51.4443,4193.4673,278.1055,1878.7688,162.0,0.408,CL
21,841.9648,-0.642,51.432,4768.3417,284.3216,3620.603,171.6482,0.412,CL
22,853.8643,-0.647,51.416,5666.8342,289.4322,4905.1508,222.0,0.4217,CL
23,862.8995,-0.6508,51.4033,6442.4623,290.4573,4500.0,222.0,0.428,CL
24,871.3065,-0.6541,51.3924,7147.9899,288.6734,6015.0754,222.0,0.4228,CL
25,880.7638,-0.6579,51.3802,7910.9296,289.3819,5513.8191,222.0,0.432,CL
26,887.1859,-0.6608,51.3708,8424.8744,292.3116,4349.7487,259.598,0.4343,CL
27,895.4774,-0.6641,51.3598,8998.4925,295.4925,3873.1156,308.0,0.442,CL
28,906.0251,-0.6684,51.345,9763.191,299.191,4425.3084,276.0,0.443,CL
29,919.4271,-0.6734,51.3274,10501.1307,307.8241,2698.4925,276.0,0.4544,CL
30,927.9749,-0.6768,51.3146,10849.3719,322.9749,2012.5628,276.0,0.4879,CL
31,956.4221,-0.6649,51.2706,11642.7136,366.6985,1462.9098,298.0,0.5514,CL
32,969.3065,-0.6438,51.2517,11982.6633,388.3065,1543.3417,298.0,0.5822,CL
33,977.2965,-0.6275,51.2405,12244.2211,398.1206,2427.1357,298.0,0.5986,CL
34,993.6382,-0.5954,51.2191,12956.9095,407.7588,2944.3371,298.0,0.612,CL
35,1002.6734,-0.5758,51.2058,13432.0352,411.7387,3280.402,298.0,0.6197,CL
36,1007.9799,-0.5635,51.1975,13723.4925,414.9799,4479.8995,388.0,0.628,CL
37,1018.3166,-0.5449,51.1847,14246.4824,415.9548,3525.8435,388.5427,0.636,CL
38,1030.402,-0.5181,51.1663,15040.0754,416.1005,3734.1709,400.0,0.632,CL
39,1038.7789,-0.5006,51.1543,15419.4724,419.4673,3082.9146,398.0,0.6332,CL
40,1046.2663,-0.4847,51.1434,15681.6583,424.2663,3275.1256,400.8442,0.6448,CL
41,1057.397,-0.463,51.1284,15889.9497,431.5327,816.5829,406.5327,0.6501,CL
42,1072.0754,-0.4302,51.1058,16154.5226,433.9648,2320.2376,408.0,0.6573,CL
43,1102.8844,-0.3639,51.0601,16706.5327,438.3769,1412.7782,408.0,0.661,CL
44,1113.1608,-0.3433,51.0458,17018.2161,441.0,1711.0553,408.0,0.6697,CL
45,1125.8744,-0.3151,51.0263,17618.7186,442.4874,3307.5377,412.8744,0.6759,CL
46,1139.1709,-0.2851,51.0055,18308.5427,445.0,3114.3216,419.0854,0.6822,CL
47,1149.5879,-0.262,50.9895,18809.5477,446.598,2672.1106,420.0,0.684,CL
48,1160.2663,-0.2394,50.9738,19230.6533,450.3065,2400.0,422.6935,0.692,CL
49,1175.5427,-0.2051,50.9502,19784.4221,455.7085,2481.407,422.0,0.696,CL
50,1186.5829,-0.1789,50.9347,20196.8593,458.7638,2214.5729,422.0,0.696,CL
51,1196.2764,-0.1502,50.9219,20593.3417,461.0,2584.2965,422.0,0.696,CL
52,1212.1206,-0.1152,50.9089,21081.1558,463.7487,1396.3867,434.2412,0.696,CL
53,1227.5779,-0.0594,50.8889,21712.6884,468.8593,1837.9397,436.0,0.696,CL
54,1253.6683,0.0129,50.8619,22564.0704,471.9698,1975.7309,443.9095,0.7438,CL
55,1269.8442,0.0595,50.838,23233.1658,474.402,4701.7947,446.3216,0.7482,CL
56,1295.4774,0.1177,50.7929,24159.5477,485.191,1471.3568,454.0,0.7564,CL
57,1307.4121,0.1453,50.77,24477.7638,490.603,1981.2814,454.0,0.7646,CL
58,1326.8241,0.1845,50.7374,24865.4523,493.794,946.3568,454.0,0.768,CL
59,1338.6583,0.2112,50.7151,24963.0653,493.5226,277.6023,454.0,0.768,CL
60,1354.799,0.2486,50.6839,25000.0,495.3166,0.0,456.5327,0.772,CL
61,1377.603,0.2974,50.643,25000.0,496.0,0.0,462.0,0.772,CL
62,1396.8442,0.3394,50.6059,25000.0,497.4271,0.0,462.0,0.772,CR
63,1409.4121,0.3622,50.5833,25000.0,498.0,0.0,462.0,0.772,CR
64,1420.8392,0.3842,50.5606,25000.0,498.5377,0.0,462.0,0.772,CR
65,1435.1508,0.4106,50.5331,25000.0,499.0,0.0,462.0,0.772,CR
66,1444.1859,0.429,50.5142,25000.0,498.3518,0.0,462.0,0.7746,CR
67,1455.5176,0.4501,50.4924,25000.0,497.2965,0.0,462.0,0.772,CR
68,1466.794,0.4664,50.4755,25000.0,498.0,0.0,462.0,0.772,CR
69,1481.2563,0.4987,50.4422,25000.0,498.0,0.0,462.0,0.772,CR
70,1492.2161,0.5187,50.4216,25000.0,498.0,0.0,462.0,0.772,CR
71,1502.4724,0.5387,50.4008,25000.0,497.0754,0.0,462.0,0.772,CR
72,1522.8794,0.5759,50.3621,25000.0,497.0,0.0,462.0,0.772,CR
73,1533.1407,0.5946,50.3427,25000.0,497.0,0.0,462.0,0.772,CR
74,1543.8141,0.6163,50.3201,25000.0,497.0905,0.0,462.0,0.772,CR
75,1558.5829,0.643,50.2922,25000.0,498.0,0.0,462.0,0.772,CR
76,1568.206,0.6641,50.2701,25000.0,498.0,0.0,462.0,0.7752,CR
77,1583.7688,0.6916,50.2412,25000.0,495.0,0.0,462.0,0.772,CR
78,1594.8693,0.7105,50.2215,25000.0,495.0,0.0,462.0,0.7708,CR
79,1604.8342,0.7309,50.2001,25025.0,495.0,237.4372,462.0,0.772,CR
80,1617.2211,0.7543,50.1755,25000.0,496.4221,-173.3668,462.0,0.772,CR
81,1630.3869,0.7768,50.152,25000.0,496.5226,0.0,462.0,0.772,CR
82,1639.6633,0.7971,50.1307,25000.0,496.5327,0.0,462.0,0.772,CR
83,1654.9397,0.8248,50.1014,25000.0,498.0,0.0,462.0,0.772,CR
84,1665.8593,0.8449,50.0801,25000.0,498.3568,0.0,460.7136,0.772,CR
85,1676.191,0.8649,50.059,24905.1508,495.603,-811.5578,459.206,0.7664,CR
86,1686.7688,0.8838,50.0391,24599.2462,492.4925,-2178.392,456.0,0.7599,DE
87,1709.6181,0.9242,49.9962,24150.0,474.0,-229.1457,436.3819,0.7215,DE
88,1722.4573,0.9457,49.9735,23913.5678,462.407,-1432.1608,434.0,0.7085,DE
89,1743.4372,0.9814,49.9358,23245.1005,448.3216,-2117.0136,432.0,0.684,DE
90,1752.8744,0.9983,49.918,22830.6533,445.0,-2698.1156,410.5528,0.7,DE
91,1782.1508,1.0449,49.8684,21669.7236,434.9397,-2349.3898,400.0,0.6599,DE
92,1792.2563,1.0594,49.8529,21260.0503,433.0,-2768.3417,400.0,0.656,DE
93,1798.9849,1.0718,49.8397,20918.3417,432.7186,-2849.2462,400.0,0.656,DE
94,1815.5879,1.0996,49.81,20280.402,426.608,-2442.2111,396.0,0.6464,DE
95,1831.7739,1.124,49.7838,19636.4322,423.2412,-2421.4934,395.4874,0.638,DE
96,1850.8392,1.1542,49.7515,18840.7035,417.3869,-1883.1658,387.3869,0.6308,DE
97,1860.4472,1.1678,49.7369,18479.7739,414.2764,-1875.0,384.0,0.6266,DE
98,1873.6734,1.189,49.7141,17914.3216,410.7487,-2944.8807,381.1658,0.6167,DE
99,1887.8342,1.211,49.6905,17306.9095,407.5276,-3159.5477,379.0553,0.612,DE
100,1895.5276,1.2215,49.6793,17022.2362,406.0,-3874.3719,378.0,0.608,DE
